date,value,cash,stocks_value
2015-01-02,99910.0,9910.000000000007,90000.0
2015-01-05,98811.12200184373,9910.000000000007,88901.12200184372
2015-01-06,98614.71303637893,9910.000000000007,88704.71303637893
2015-01-07,100127.10883106652,9910.000000000007,90217.1088310665
2015-01-08,102055.98036786151,9910.000000000007,92145.98036786151
2015-01-09,101563.10333705173,9910.000000000007,91653.10333705173
2015-01-12,101470.96448539116,9910.000000000007,91560.96448539116
2015-01-13,101455.72502766806,9910.000000000007,91545.72502766804
2015-01-14,100969.55256064524,9910.000000000007,91059.55256064523
2015-01-15,99838.70862112407,9910.000000000007,89928.70862112405
2015-01-16,100173.94267569995,9910.000000000007,90263.94267569993
2015-01-20,99973.67768718323,9910.000000000007,90063.67768718323
2015-01-21,101152.1273608933,9910.000000000007,91242.12736089328
2015-01-22,102680.99054163534,9910.000000000007,92770.99054163533
2015-01-23,101974.05800710525,9910.000000000007,92064.05800710525
2015-01-26,102728.7865084694,9910.000000000007,92818.7865084694
2015-01-27,102079.47123668328,9910.000000000007,92169.47123668328
2015-01-28,101102.92785701237,9910.000000000007,91192.92785701237
2015-01-29,102963.34655234689,9910.000000000007,93053.34655234689
2015-01-30,100600.03759272804,9910.000000000007,90690.03759272803
2015-02-02,100537.15227751678,9910.000000000007,90627.15227751678
2015-02-03,100865.14229385479,9910.000000000007,90955.14229385479
2015-02-04,101587.49442173401,9910.000000000007,91677.494421734
2015-02-05,101865.80846272557,9910.000000000007,91955.80846272557
2015-02-06,101046.81456359255,9910.000000000007,91136.81456359255
2015-02-09,99730.43139455584,9892.188721049439,89838.24267350641
2015-02-10,101044.30427423495,9892.188721049439,91152.1155531855
2015-02-11,101560.03202754215,9892.188721049439,91667.84330649271
2015-02-12,101679.69698836171,9892.188721049439,91787.50826731227
2015-02-13,102319.62220822508,9892.188721049439,92427.43348717564
2015-02-17,102081.59110440829,9892.188721049439,92189.40238335884
2015-02-18,102207.30956299609,9892.188721049439,92315.12084194666
2015-02-19,102762.91115613462,9892.188721049439,92870.72243508519
