date,value,cash
2015-01-02,100000.0,10000.0
2015-01-05,97205.54510081146,10000.0
2015-01-06,97120.5379400447,10000.0
2015-01-07,96813.64636392026,10000.0
2015-01-08,96559.1587887147,10000.0
2015-01-09,96568.26148707053,10000.0
2015-01-12,95703.49166781084,10000.0
2015-01-13,93605.58991954314,10000.0
2015-01-14,92402.12575153101,10000.0
2015-01-15,90882.50681316032,10000.0
2015-01-16,90688.30800715275,10000.0
2015-01-20,89974.99575076895,10000.0
2015-01-21,92477.15121445451,10000.0
2015-01-22,92802.96337330602,10000.0
2015-01-23,91963.69082268997,10000.0
2015-01-26,93504.51959583473,10000.0
2015-01-27,92410.88314813212,10000.0
2015-01-28,89080.5434480817,10000.0
2015-01-29,88293.06025724763,10000.0
2015-01-30,88199.34446825062,10000.0
2015-02-02,90062.23471317493,10000.0
2015-02-03,92679.50702056377,10000.0
2015-02-04,92568.7716000569,10000.0
2015-02-05,98455.26998037659,10000.0
2015-02-06,95998.8015001792,10000.0
2015-02-09,96681.64328564229,9668.16432856422
2015-02-10,97357.19860194525,9668.16432856422
2015-02-11,97464.46864296627,9668.16432856422
2015-02-12,100098.62764734469,9668.16432856422
2015-02-13,101086.93178724649,9668.16432856422
2015-02-17,101628.9885319687,9668.16432856422
2015-02-18,101390.42672060261,9668.16432856422
2015-02-19,101319.79704654297,9668.16432856422
2015-02-20,101805.51893796437,9668.16432856422
2015-02-23,101170.80274882667,9668.16432856422
2015-02-24,102963.12878211898,9668.16432856422
2015-02-25,102919.57805011101,9668.16432856422
2015-02-26,105330.93802295462,9668.16432856422
2015-02-27,105564.74388139595,9668.16432856422
2015-03-02,106409.00792042528,9668.16432856422
2015-03-03,105374.29257908942,9668.16432856422
2015-03-04,105174.89409658755,9668.16432856422
2015-03-05,104748.59386553006,9668.16432856422
2015-03-06,103004.68708322145,9668.16432856422
2015-03-09,103144.69467128464,10314.46946712846
2015-03-10,102065.29021725562,10314.46946712846
2015-03-11,101734.47179293464,10314.46946712846
2015-03-12,100617.41318525196,10314.46946712846
2015-03-13,99825.08562729947,10314.46946712846
2015-03-16,99868.19071283023,10314.46946712846
2015-03-17,101086.72098536542,10314.46946712846
2015-03-18,102379.33877539673,10314.46946712846
2015-03-19,101173.63762853546,10314.46946712846
2015-03-20,102388.3634381225,10314.46946712846
2015-03-23,102765.26081024192,10314.46946712846
2015-03-24,102689.60257018411,10314.46946712846
2015-03-25,101825.35380634201,10314.46946712846
2015-03-26,101930.38264372047,10314.46946712846
2015-03-27,103392.8746250863,10314.46946712846
2015-03-30,104453.80557792603,10314.46946712846
2015-03-31,103693.72830762636,10314.46946712846
2015-04-01,103787.93690747206,10314.46946712846
2015-04-02,104872.52265185383,10314.46946712846
2015-04-06,106248.73316149227,10314.46946712846
2015-04-07,106611.04018623449,5330.55200931173
2015-04-08,107291.47643039995,5330.55200931173
2015-04-09,107786.04535187168,5330.55200931173
2015-04-10,108165.83893010509,5330.55200931173
2015-04-13,108279.93759472748,5330.55200931173
2015-04-14,107134.50384337109,5330.55200931173
2015-04-15,108179.37065335472,5330.55200931173
2015-04-16,108496.64372697454,5330.55200931173
2015-04-17,105516.33209770943,5330.55200931173
2015-04-20,105148.35064886167,5330.55200931173
2015-04-21,105980.1797074246,5330.55200931173
2015-04-22,105957.13636054791,5330.55200931173
2015-04-23,105847.80285384838,5330.55200931173
2015-04-24,105412.0119364329,5330.55200931173
2015-04-27,105216.2786542413,5330.55200931173
2015-04-28,105450.05824352479,5330.55200931173
2015-04-29,104773.76219029012,5330.55200931173
2015-04-30,104221.9993153128,5330.55200931173
2015-05-01,105790.68779646765,5330.55200931173
2015-05-04,105545.8188367777,5330.55200931173
2015-05-05,104162.03276392513,5330.55200931173
2015-05-06,104099.28469943054,5330.55200931173
2015-05-07,104886.18643052864,10488.618643052861
2015-05-08,106070.84028072405,10488.618643052861
2015-05-11,105662.41409989935,10488.618643052861
2015-05-12,105839.32214321784,10488.618643052861
2015-05-13,106310.90319753264,10488.618643052861
2015-05-14,104797.8343972675,10488.618643052861
2015-05-15,104183.38254439224,10488.618643052861
2015-05-18,105033.29826959503,10488.618643052861
2015-05-19,104872.65582019708,10488.618643052861
2015-05-20,105478.42472004512,10488.618643052861
2015-05-21,105174.97588074219,10488.618643052861
2015-05-22,105146.90740454836,10488.618643052861
2015-05-26,103534.1859170618,10488.618643052861
2015-05-27,103420.60807587195,10488.618643052861
2015-05-28,103719.31154106863,10488.618643052861
2015-05-29,103582.02288907784,10488.618643052861
2015-06-01,103470.77729905088,10488.618643052861
2015-06-02,102925.76823451737,10488.618643052861
2015-06-03,103241.2696000152,10488.618643052861
2015-06-04,105338.91850740135,10488.618643052861
2015-06-05,105458.97752951572,10488.618643052861
2015-06-08,104533.20423113674,5226.660211556846
2015-06-09,104511.21285379607,5226.660211556846
2015-06-10,104802.9840408405,5226.660211556846
2015-06-11,104888.92765198933,5226.660211556846
2015-06-12,104641.85094641386,5226.660211556846
2015-06-15,104261.71842020053,5226.660211556846
2015-06-16,103014.03424346972,5226.660211556846
2015-06-17,104248.8073475464,5226.660211556846
2015-06-18,104992.0410447343,5226.660211556846
2015-06-19,105174.07173044229,5226.660211556846
2015-06-22,105404.27913261493,5226.660211556846
2015-06-23,104913.33986543212,5226.660211556846
2015-06-24,104354.20813764552,5226.660211556846
2015-06-25,103566.69266508866,5226.660211556846
2015-06-26,102142.17769707416,5226.660211556846
2015-06-29,99890.73524742188,5226.660211556846
2015-06-30,100324.3788278615,5226.660211556846
2015-07-01,101770.49055415459,5226.660211556846
2015-07-02,102790.92642821766,5226.660211556846
2015-07-06,101409.36776430561,5226.660211556846
2015-07-07,99836.91507994544,4991.845753997273
2015-07-08,97422.98798998029,4991.845753997273
2015-07-09,96915.0578909903,4991.845753997273
2015-07-10,97091.77148095527,4991.845753997273
2015-07-13,97944.50074649358,4991.845753997273
2015-07-14,100971.32339517813,4991.845753997273
2015-07-15,98857.142854583,4991.845753997273
2015-07-16,97754.67672769619,4991.845753997273
2015-07-17,96542.37221874976,4991.845753997273
2015-07-20,94477.08112450385,4991.845753997273
2015-07-21,94388.74177313174,4991.845753997273
2015-07-22,92875.28633020737,4991.845753997273
2015-07-23,93199.75170090502,4991.845753997273
2015-07-24,91016.15169116195,4991.845753997273
2015-07-27,90021.71068828028,4991.845753997273
2015-07-28,93766.26985379544,4991.845753997273
2015-07-29,96033.86781304002,4991.845753997273
2015-07-30,96585.5687643648,4991.845753997273
2015-07-31,94866.508065682,4991.845753997273
