date,action,ticker,portfolio_value,vix_level,cash_pct,holdings,return_pct,portfolio_change,portfolio_change_pct
2015-01-02,BUY,VIX 2,100000.0,17.4,10,"CPRI, CPRI 2, VIX 2",0.0,,
2015-01-02,BUY,CPRI 2,100000.0,17.4,10,"CPRI, CPRI 2, VIX 2",0.0,0.0,0.0
2015-01-02,BUY,CPRI,100000.0,17.4,10,"CPRI, CPRI 2, VIX 2",0.0,0.0,0.0
2015-01-02,HOLD,"CPRI, CPRI 2, VIX 2",100000.0,17.4,10,"CPRI, CPRI 2, VIX 2",0.0,0.0,0.0
2015-02-09,HOLD,"CPRI, CPRI 2, VIX 2",100714.0,18.1,10,"CPRI, CPRI 2, VIX 2",0.7,714.0,0.7139999999999924
2015-03-09,HOLD,"CPRI, CPRI 2, VIX 2",92230.0,15.2,10,"CPRI, CPRI 2, VIX 2",-7.8,-8484.0,-8.423853684691307
2015-03-09,SELL,CPRI 2,145741.0,19.7,10,"CPRI, CPRI 2, VIX 2",45.7,53511.0,58.0190827279627
2015-03-09,SELL,CPRI,145741.0,19.7,10,"CPRI, CPRI 2, VIX 2",45.7,0.0,0.0
2016-07-07,SELL,VIX 2,203705.0,23.0,20,"DXCM, VIX, VIX 2",103.7,57964.0,39.77192416684392
2016-07-07,HOLD,"DXCM, VIX, VIX 2",145741.0,19.7,10,"DXCM, VIX, VIX 2",45.7,-57964.0,-28.454873468987017
2016-07-07,SELL,VIX,203705.0,23.0,20,"DXCM, VIX, VIX 2",103.7,57964.0,39.77192416684392
2016-07-07,BUY,VIX,145741.0,19.7,10,"DXCM, VIX, VIX 2",45.7,-57964.0,-28.454873468987017
2016-07-07,BUY,DXCM,145741.0,19.7,10,"DXCM, VIX, VIX 2",45.7,0.0,0.0
2018-02-07,BUY,DLTR 2,203705.0,23.0,20,"DLTR, DLTR 2, DXCM",103.7,57964.0,39.77192416684392
2018-02-07,BUY,DLTR,203705.0,23.0,20,"DLTR, DLTR 2, DXCM",103.7,0.0,0.0
2018-02-07,HOLD,"DLTR, DLTR 2, DXCM",203705.0,23.0,20,"DLTR, DLTR 2, DXCM",103.7,0.0,0.0
2018-02-07,SELL,DLTR,1207878.0,22.9,20,"DLTR, DLTR 2, DXCM",1107.9,1004173.0,492.95451756216096
2018-02-07,SELL,DLTR 2,1207878.0,22.9,20,"DLTR, DLTR 2, DXCM",1107.9,0.0,0.0
2018-02-07,SELL,DXCM,1207878.0,22.9,20,"DLTR, DLTR 2, DXCM",1107.9,0.0,0.0
2023-04-10,HOLD,"VIX, VIX 2, XRAY",1207878.0,22.9,20,"VIX, VIX 2, XRAY",1107.9,0.0,0.0
2023-04-10,BUY,VIX,1207878.0,22.9,20,"VIX, VIX 2, XRAY",1107.9,0.0,0.0
2023-04-10,BUY,VIX 2,1207878.0,22.9,20,"VIX, VIX 2, XRAY",1107.9,0.0,0.0
2023-04-10,BUY,XRAY,1207878.0,22.9,20,"VIX, VIX 2, XRAY",1107.9,0.0,0.0
2023-05-08,HOLD,"VIX, VIX 2, XRAY",1139778.0,17.6,10,"VIX, VIX 2, XRAY",1039.8,-68100.0,-5.637986617853786
