date,value
2005-01-21,99905.00000000003
2005-01-24,97437.27257884534
2005-01-25,96667.09653084604
2005-01-26,99739.38204186746
2005-01-27,99463.34143608474
2005-01-28,99873.19602634439
2005-01-31,101564.22340449573
2005-02-01,100907.24829137087
2005-02-02,104083.3440373843
2005-02-03,105001.72965036887
2005-02-04,104342.77213847353
2005-02-07,101667.96393753355
2005-02-08,103237.79171010808
2005-02-09,100452.3175709012
2005-02-10,99545.10816474332
2005-02-11,99869.11311758547
2005-02-14,101841.64711569886
2005-02-15,103297.04934788252
2005-02-16,104744.52159483844
2005-02-17,104030.3711304019
2005-02-18,103509.09737799603
2005-02-22,100656.74495234143
2005-02-23,102267.18491258967
2005-02-24,101717.66225874265
2005-02-25,101684.14163973786
2005-02-28,101989.75023807437
2005-03-01,101764.6477183502
2005-03-02,101088.1329131921
2005-03-03,100136.0419020197
2005-03-04,101371.27397150763
2005-03-07,101809.22026131216
2005-03-08,100066.99261783184
2005-03-09,98610.26191347418
2005-03-10,97261.72831614317
2005-03-11,96931.45788516951
2005-03-14,96455.89573421344
2005-03-15,96214.65758193484
2005-03-16,95814.95043419939
2005-03-17,96884.92188517329
2005-03-18,97255.56635543637
2005-03-21,97335.68833664438
2005-03-22,95906.9945516465
2005-03-23,95217.42898008955
2005-03-24,95254.67349948015
2005-03-28,95309.47026418158
2005-03-29,94373.82099832364
2005-03-30,96004.72647778981
2005-03-31,96437.67438753223
2005-04-01,96845.29081097388
2005-04-04,96813.27575078807
2005-04-05,97066.57420696315
2005-04-06,97401.9230211479
2005-04-07,97930.84826601637
2005-04-08,97374.17450160609
2005-04-11,97100.98511212334
2005-04-12,97461.0060149431
2005-04-13,96411.38163749212
2005-04-14,94211.23195903892
2005-04-15,91643.50789109996
2005-04-18,92019.72780320636
2005-04-19,93411.71816567238
2005-04-20,94528.48079796229
2005-04-21,96384.61960347518
2005-04-22,98511.89687971045
2005-04-25,100423.48551944846
2005-04-26,99217.38624596344
2005-04-27,99609.48549609004
2005-04-28,99347.01076423968
2005-04-29,99811.62955043909
2005-05-02,100191.6686662998
2005-05-03,101135.54804668092
2005-05-04,101758.9127310691
2005-05-05,101380.70811870266
2005-05-06,101821.90550877314
2005-05-09,100995.86067834526
2005-05-10,100402.04563782972
2005-05-11,101448.09380656946
2005-05-12,100612.2024649253
2005-05-13,100736.73077226742
2005-05-16,101821.26084806278
2005-05-17,102865.39380334082
2005-05-18,104267.26019795064
2005-05-19,105273.75677628926
2005-05-20,105857.76930850017
2005-05-23,108743.55008514921
2005-05-24,108723.66157696294
2005-05-25,109333.15458124742
2005-05-26,109412.25373643971
2005-05-27,110798.64807539704
2005-05-31,112763.95448003028
2005-06-01,115433.06890579383
2005-06-02,116036.8166726236
2005-06-03,113925.8347063711
