date,value
2015-01-02,99937.0
2015-01-05,98589.52729182233
2015-01-06,97192.68798026812
2015-01-07,97227.4539302123
2015-01-08,98251.27361075097
2015-01-09,97524.32330870618
2015-01-12,96754.18573839522
2015-01-13,96600.04966947614
2015-01-14,96237.3198614244
2015-01-15,94578.76254511885
2015-01-16,95137.03086616792
2015-01-20,95400.15577757216
2015-01-21,95948.4082273393
2015-01-22,96862.59131305544
2015-01-23,97095.17685778905
2015-01-26,96799.43781171643
2015-01-27,95723.15375675562
2015-01-28,95498.90020878428
2015-01-29,96001.75468062812
2015-01-30,96406.73217094656
2015-02-02,95948.29789755802
2015-02-03,96101.6724998527
2015-02-04,95877.7133158504
2015-02-05,96020.27895994278
2015-02-06,95875.72416136485
2015-02-09,95624.9935060316
2015-02-10,96581.33169472519
2015-02-11,97103.14157922094
2015-02-12,97798.79259981417
2015-02-13,98341.46467553507
2015-02-17,97914.18583286398
2015-02-18,97875.47947790514
2015-02-19,98255.83990512155
2015-02-20,98484.63592681527
2015-02-23,98656.22557674057
2015-02-24,98579.24574613001
2015-02-25,98663.71706332128
2015-02-26,99397.29015198111
2015-02-27,98957.56472837279
2015-03-02,99830.97494485571
2015-03-03,99976.59270057049
2015-03-04,99721.33491281765
2015-03-05,99721.57125174798
2015-03-06,99035.4615320033
2015-03-09,99040.35206131404
2015-03-10,97580.0325350622
2015-03-11,97216.90036823573
2015-03-12,97937.4082583683
2015-03-13,96937.90093216447
2015-03-16,97280.81087907705
2015-03-17,97405.16773954607
2015-03-18,98591.23655984776
2015-03-19,98916.50755550612
2015-03-20,99296.58410638812
2015-03-23,99516.13643682488
2015-03-24,100038.68966441274
2015-03-25,98720.66824463817
2015-03-26,98425.67375719729
2015-03-27,98193.87964332494
2015-03-30,98530.71143079443
2015-03-31,98242.2718787424
2015-04-01,97667.74770265655
2015-04-02,97497.13218055034
2015-04-06,98220.91624046816
2015-04-07,98156.74839150201
2015-04-08,98487.96410718451
2015-04-09,98861.38859580217
2015-04-10,99000.29443582764
2015-04-13,99120.49740690603
2015-04-14,98943.59872852314
2015-04-15,98839.47188545283
2015-04-16,98509.06237974782
2015-04-17,97829.08456287216
2015-04-20,98854.21385455962
2015-04-21,99267.42155268116
2015-04-22,100810.58288426345
2015-04-23,100301.50677906976
2015-04-24,100150.56334532343
2015-04-27,101929.87174965085
2015-04-28,101101.76305687307
2015-04-29,100877.6173931067
2015-04-30,99158.23874620417
2015-05-01,99913.40923293271
2015-05-04,100240.34413215899
2015-05-05,99589.90546152889
2015-05-06,99358.59459977907
2015-05-07,100131.04776046485
2015-05-08,101288.2071966757
2015-05-11,101646.99127413933
2015-05-12,101312.89833087786
2015-05-13,101103.09299892325
2015-05-14,102111.74536007346
2015-05-15,102595.69837287183
2015-05-18,102599.55572513006
2015-05-19,102319.40652159498
2015-05-20,102613.3629393063
2015-05-21,102979.24358694656
2015-05-22,102503.46720232256
2015-05-26,102036.06091862053
2015-05-27,103277.66320482457
2015-05-28,102874.85044215493
2015-05-29,102645.72088176533
2015-06-01,102858.08634828686
2015-06-02,102754.09206838584
2015-06-03,102914.61677793437
2015-06-04,102546.74687518404
2015-06-05,102547.80593571269
2015-06-08,101901.04612012162
2015-06-09,103132.00213658062
2015-06-10,104946.09398467257
2015-06-11,104907.95998559042
2015-06-12,104530.01257423236
2015-06-15,104354.29396389205
2015-06-16,105106.22768423273
2015-06-17,104577.50643894149
2015-06-18,105174.52946924891
2015-06-19,104395.4859271605
2015-06-22,105771.12055703661
2015-06-23,106406.12494559614
2015-06-24,106035.02781036179
2015-06-25,105003.2524598906
2015-06-26,104455.76060225035
2015-06-29,102745.34315545502
2015-06-30,103648.53418447638
2015-07-01,103646.02816174422
2015-07-02,103304.12119898376
2015-07-06,103441.69663351255
2015-07-07,102815.60436754904
2015-07-08,101896.87487615956
2015-07-09,102740.01446570997
2015-07-10,104121.4441605484
2015-07-13,106248.64680915923
2015-07-14,106487.56210078383
2015-07-15,105736.47263995178
2015-07-16,111053.01241031122
2015-07-17,112271.44229041574
2015-07-20,112283.14389436052
2015-07-21,112878.49434614542
2015-07-22,112294.79656384989
2015-07-23,111219.07492050286
2015-07-24,113896.61448164066
2015-07-27,112568.30211067415
2015-07-28,112694.12743060676
2015-07-29,113337.3617185732
2015-07-30,114363.0328950622
2015-07-31,114683.9562082706
2015-08-03,114235.29170008902
2015-08-04,116132.97373463033
2015-08-05,117642.63295198791
2015-08-06,117567.33816965322
2015-08-07,116212.30125138331
2015-08-10,116009.1365533214
2015-08-11,117989.84191098293
2015-08-12,117545.08052342941
2015-08-13,117879.82304184577
2015-08-14,117943.47736400015
2015-08-17,118651.31531904111
2015-08-18,118012.38491392096
2015-08-19,117997.48123958871
2015-08-20,115029.49862152583
2015-08-21,110719.77171217202
2015-08-24,108887.98118252773
2015-08-25,108390.47114268842
2015-08-26,111917.5963397139
2015-08-27,112565.28854822717
