date,value
2015-01-02,100000.0
2015-01-05,100000.0
2015-01-06,100000.0
2015-01-07,100000.0
2015-01-08,100000.0
2015-01-09,100000.0
2015-01-12,100936.37000000001
2015-01-13,101083.70517966614
2015-01-14,100786.98903640467
2015-01-15,99719.04131242135
2015-01-16,100379.44000077649
2015-01-20,100344.6818373797
2015-01-21,100812.68084574657
2015-01-22,101978.01434419521
2015-01-23,101309.31821889599
2015-01-26,101549.05715677798
2015-01-27,100555.59670162864
2015-01-28,100925.31322636937
2015-01-29,101717.9358304332
2015-01-30,100888.25856102926
2015-02-02,101820.76463089163
2015-02-03,102782.16661574949
2015-02-04,102550.24752130822
2015-02-05,103150.33893061535
2015-02-06,102637.44099395638
2015-02-09,102537.90653635403
2015-02-10,102971.67195109706
2015-02-11,103438.20217253608
2015-02-12,103771.43817625714
2015-02-13,104368.18254972206
2015-02-17,104604.95890546196
2015-02-18,104198.46169922386
2015-02-19,103924.50231025483
2015-02-20,104295.8202589059
2015-02-23,104746.37263378718
2015-02-24,104787.78599226756
2015-02-25,104275.73830479874
2015-02-26,104693.42206333157
2015-02-27,104226.16043647577
2015-03-02,104375.66586504613
2015-03-03,104149.20280644688
2015-03-04,103744.37246738047
2015-03-05,103402.80081152928
2015-03-06,102685.04947582699
2015-03-09,102791.4342921667
2015-03-10,101835.12405410313
2015-03-11,101088.79103789126
2015-03-12,101875.23852714589
2015-03-13,101498.18679330563
2015-03-16,102351.64687316515
2015-03-17,102359.1837529611
2015-03-18,103429.33078792495
2015-03-19,102894.52471708434
2015-03-20,102758.43764427278
2015-03-23,103342.76867005
2015-03-24,102817.82021339741
2015-03-25,101922.24964026613
2015-03-26,101921.28903688451
2015-03-27,101594.10841039605
2015-03-30,102934.3083913678
2015-03-31,102213.12553934936
2015-04-01,101754.16001843812
2015-04-02,102024.92783782858
2015-04-06,102518.91908465637
2015-04-07,102596.38609921049
2015-04-08,102128.92789749922
2015-04-09,102694.55986657366
2015-04-10,103164.17807686016
2015-04-13,103651.79224131884
2015-04-14,103864.97551572231
2015-04-15,103591.38406511399
2015-04-16,107080.59191557394
2015-04-17,106820.21536795811
2015-04-20,107774.47619324127
2015-04-21,107498.3106723884
2015-04-22,107957.58521965097
2015-04-23,107600.9180124427
2015-04-24,107442.26535903584
2015-04-27,108294.64091565275
2015-04-28,107460.87797242567
2015-04-29,107054.17843907302
2015-04-30,105701.95704552835
2015-05-01,106458.71959811995
2015-05-04,106274.36795711891
2015-05-05,105876.48512086003
2015-05-06,105668.30245613657
2015-05-07,106096.1930588332
2015-05-08,106939.0777084453
2015-05-11,107228.7537946512
2015-05-12,106729.32610975667
2015-05-13,106868.98394634963
2015-05-14,108476.05724672637
2015-05-15,109316.21295278445
2015-05-18,109891.76988820166
2015-05-19,109743.09092142209
2015-05-20,109935.74734174412
2015-05-21,110217.56596602297
2015-05-22,110389.56713764108
2015-05-26,109287.64200980167
2015-05-27,110608.3260285806
2015-05-28,110348.6471863319
2015-05-29,109714.39310228406
2015-06-01,110014.55011579394
2015-06-02,109989.95819900319
2015-06-03,110464.58443874765
2015-06-04,110385.15471445571
2015-06-05,110615.99553618989
2015-06-08,109809.46998567374
2015-06-09,110594.30239853854
2015-06-10,112283.63229917178
2015-06-11,111909.62118641527
2015-06-12,111372.75176438018
2015-06-15,110810.06595179906
2015-06-16,111577.85451345776
2015-06-17,111422.35661655232
2015-06-18,111970.7117536339
2015-06-19,111373.033792274
2015-06-22,112919.64633243544
2015-06-23,113937.08032288757
2015-06-24,114284.92156121126
2015-06-25,113322.52638549622
2015-06-26,112656.87337389232
2015-06-29,111405.0659022871
2015-06-30,112041.80914816435
2015-07-01,112495.73273278686
2015-07-02,112692.68279320521
2015-07-06,112842.70742899708
2015-07-07,112554.15817279206
2015-07-08,111397.26732212293
2015-07-09,111679.19042772477
2015-07-10,113262.49057589422
2015-07-13,116425.41635739924
2015-07-14,117371.80141236629
2015-07-15,116540.95599566694
2015-07-16,122672.65642693586
2015-07-17,127253.20806430923
2015-07-20,126157.4101040711
2015-07-21,126765.84149227805
2015-07-22,126511.82809064123
2015-07-23,124888.83973839007
2015-07-24,126470.98179564354
2015-07-27,125998.46458013888
2015-07-28,125876.34784562589
2015-07-29,126170.64057371416
2015-07-30,127896.41881142693
2015-07-31,128245.4882422577
2015-08-03,128061.04780023132
2015-08-04,129922.72877131225
2015-08-05,131408.89226835445
2015-08-06,131539.06172067235
2015-08-07,130142.62050375647
2015-08-10,130039.20647158832
2015-08-11,131388.05833577423
2015-08-12,130783.34621580533
2015-08-13,131594.49570002945
2015-08-14,131742.2555344238
2015-08-17,132669.3806249562
2015-08-18,132080.3636740134
2015-08-19,131692.783422283
2015-08-20,127618.64650547548
2015-08-21,122603.6655401942
2015-08-24,119669.9124734542
2015-08-25,119585.2163650947
2015-08-26,123670.40682664099
2015-08-27,125039.38917287733
2015-08-28,124645.42955834384
2015-08-31,123819.02985837852
2015-09-01,122067.40436960787
2015-09-02,123554.93841634755
2015-09-03,122869.42333298865
2015-09-04,122179.75278448324
2015-09-08,123904.65668971126
2015-09-09,123846.5805002783
2015-09-10,124496.30477366512
2015-09-11,125095.06479290672
2015-09-14,124510.34064818051
2015-09-15,125135.5977782186
2015-09-16,125440.49040475703
2015-09-17,126369.04840564827
2015-09-18,125962.27136129566
2015-09-21,126696.86044509671
2015-09-22,125508.12280010458
2015-09-23,125380.10805068271
2015-09-24,125321.76798536416
2015-09-25,124116.54075276494
2015-09-28,122253.83709862814
2015-09-29,121726.83258577005
2015-09-30,123335.49103045634
2015-10-01,123999.99859765382
2015-10-02,125347.13068900743
2015-10-05,126642.16281615716
2015-10-06,126288.89943763007
2015-10-07,126467.64332261574
2015-10-08,125834.42397000814
2015-10-09,126402.3436958628
2015-10-12,127225.74931590537
2015-10-13,127457.06705521482
2015-10-14,127101.68457427307
2015-10-15,128669.52714741793
2015-10-16,129245.04990053049
2015-10-19,129589.66793633821
2015-10-20,127992.98784478584
2015-10-21,127332.92690402853
2015-10-22,128216.24010933144
2015-10-23,131932.10789382822
2015-10-26,134195.07867433177
2015-10-27,133884.3433222774
2015-10-28,134425.95450768
2015-10-29,134668.27907922416
2015-10-30,134094.021172714
2015-11-02,134834.30344300688
2015-11-03,135166.4571693006
2015-11-04,136135.26990519313
2015-11-05,136841.80915976455
2015-11-06,137332.7498835134
2015-11-09,136509.94454428167
2015-11-10,136502.80190550827
2015-11-11,137375.27948755692
2015-11-12,136761.14210754994
2015-11-13,135081.52421742352
2015-11-16,136156.5997815313
2015-11-17,135637.52132846476
2015-11-18,137397.2479884929
2015-11-19,137289.72119238673
2015-11-20,138341.30607571287
2015-11-23,138753.56206405477
2015-11-24,138187.84352733722
2015-11-25,138095.3583890169
2015-11-27,138195.52140705395
2015-11-30,137773.12437471503
2015-12-01,139624.4291334399
2015-12-02,139330.30241716205
2015-12-03,138112.59049230826
2015-12-04,139672.88224213672
2015-12-07,139385.46978825622
2015-12-08,139654.0843083377
2015-12-09,138382.55841344065
2015-12-10,138340.12627067906
2015-12-11,136491.94436726306
2015-12-14,138038.62153216815
2015-12-15,137942.92142921418
2015-12-16,139597.4814024439
2015-12-17,138882.11648250348
2015-12-18,137527.92744140278
2015-12-21,138166.23361866391
2015-12-22,138430.50118058425
2015-12-23,138682.65139055473
2015-12-24,138508.24615404522
2015-12-28,139645.70955055454
2015-12-29,141193.220132248
2015-12-30,140682.88751846267
2015-12-31,139327.8785358893
2016-01-04,136810.4282437384
2016-01-05,136820.952796918
2016-01-06,136345.4521520727
2016-01-07,133847.55557708564
2016-01-08,133466.17856364755
2016-01-11,135135.1749195229
2016-01-12,136155.77522844716
2016-01-13,133789.9479827108
2016-01-14,135425.64205794653
2016-01-15,132937.746349267
2016-01-19,133289.05316966894
2016-01-20,133264.10205049417
2016-01-21,133685.85812475136
2016-01-22,135891.27007318678
2016-01-25,134749.53845673258
2016-01-26,134990.04131641798
2016-01-27,133495.00852095126
2016-01-28,136081.6731044501
2016-01-29,138445.05570873345
2016-02-01,138910.75781711238
2016-02-02,138880.16916725796
2016-02-03,136025.07140865497
2016-02-04,134596.37820267823
2016-02-05,131909.27327819017
2016-02-08,131527.11556584988
2016-02-09,131188.89418940846
2016-02-10,131816.74142826637
2016-02-11,131753.83449422754
2016-02-12,132142.76029602927
2016-02-16,133291.96312474995
2016-02-17,135067.0520539849
2016-02-18,134055.40753348288
2016-02-19,134160.73514354497
2016-02-22,135009.21323059004
2016-02-23,133497.1483931591
2016-02-24,133843.98928652
2016-02-25,134715.64115387347
2016-02-26,134149.16062205736
2016-02-29,133415.59790905728
2016-03-01,135872.9038232133
2016-03-02,135962.64396045636
2016-03-03,135162.82614390724
2016-03-04,134902.98396398444
2016-03-07,133242.17796397797
2016-03-08,133530.28523645818
2016-03-09,134932.28984014317
2016-03-10,135049.68485193234
2016-03-11,136494.04278338124
2016-03-14,136861.43920333424
2016-03-15,137002.55150416924
2016-03-16,137890.22588508012
2016-03-17,138142.1422238326
2016-03-18,137452.90342791792
2016-03-21,138030.54884116325
2016-03-22,138012.51336602465
2016-03-23,137780.4939762178
2016-03-24,137705.28491625428
2016-03-28,137258.00026868784
2016-03-29,138674.5357627087
2016-03-30,139132.8499094621
2016-03-31,138832.63990947616
2016-04-01,139412.99291512909
2016-04-04,139020.59377422358
2016-04-05,138096.78586660553
2016-04-06,138985.14158793265
2016-04-07,138190.1180149333
2016-04-08,138107.43729570814
2016-04-11,139083.98769745254
2016-04-12,141152.59124757606
2016-04-13,143010.6914883718
2016-04-14,143566.01214829262
2016-04-15,143522.89233921515
2016-04-18,142407.54722417606
2016-04-19,137607.80437528543
2016-04-20,137933.57210045954
2016-04-21,137502.2841161124
2016-04-22,136876.64855388788
2016-04-25,137001.93755105935
2016-04-26,136312.87476347203
2016-04-27,133931.25560682255
2016-04-28,132821.71928388026
