date,value
2015-01-02,100936.37000000001
2015-01-05,98834.36223722479
2015-01-06,97898.70815919846
2015-01-07,98174.59544446584
2015-01-08,99024.75223060836
2015-01-09,98417.6982967582
2015-01-12,97231.1751753688
2015-01-13,97603.97469084567
2015-01-14,97761.4696139475
2015-01-15,97591.25935495556
2015-01-16,99164.431064906
2015-01-20,99806.47750830435
2015-01-21,104111.1316284203
2015-01-22,106165.01362007036
2015-01-23,106485.60092914902
2015-01-26,107045.94179788619
2015-01-27,106653.37578586473
2015-01-28,104907.3624102105
2015-01-29,104930.95207595234
2015-01-30,105737.11512523588
2015-02-02,105942.15911768943
2015-02-03,107546.34987865652
2015-02-04,106604.92826484257
2015-02-05,107017.51109260856
2015-02-06,106840.03256579103
2015-02-09,106647.32054160324
2015-02-10,107550.21130184054
2015-02-11,107473.76416140253
2015-02-12,108274.35529734056
2015-02-13,109319.83197089146
2015-02-17,109231.42826587035
2015-02-18,108944.90929275275
2015-02-19,108683.65169557779
2015-02-20,108854.54183522103
2015-02-23,107973.95193732208
2015-02-24,108422.04961620893
2015-02-25,108987.6208041511
2015-02-26,109523.82348909303
2015-02-27,109122.94816673493
2015-03-02,109855.40119910058
2015-03-03,109514.92409925997
2015-03-04,109102.456653264
2015-03-05,108951.51076531854
2015-03-06,107564.61125043598
2015-03-09,106987.44178442015
2015-03-10,105578.43195674053
2015-03-11,105680.21794099642
2015-03-12,106395.43222882607
2015-03-13,105380.88348778669
2015-03-16,104877.66814161571
2015-03-17,104363.09694759795
2015-03-18,105450.7971151268
2015-03-19,105134.67802467139
2015-03-20,105448.21195965
2015-03-23,105389.859723684
2015-03-24,106447.50706439359
2015-03-25,105060.08054538029
2015-03-26,104577.54107525565
2015-03-27,103919.02549163101
2015-03-30,105014.18425227299
2015-03-31,104348.87711500788
2015-04-01,103787.70843884599
2015-04-02,103525.11047471777
2015-04-06,104266.34694869579
2015-04-07,105403.86360780708
2015-04-08,104910.50226757824
2015-04-09,105187.4487323342
2015-04-10,105467.6746816367
2015-04-13,105619.8883439563
2015-04-14,105974.93364601675
2015-04-15,106203.8375087367
2015-04-16,105913.86816340826
2015-04-17,105089.39477150598
2015-04-20,106231.76965387294
2015-04-21,106163.69836543848
2015-04-22,106849.69256971797
2015-04-23,106477.21618558161
2015-04-24,106214.28313835723
2015-04-27,106716.95882650035
2015-04-28,106247.44916326422
2015-04-29,105890.3494450716
2015-04-30,104750.40339257292
2015-05-01,105804.2946741644
2015-05-04,105780.33474646547
2015-05-05,104853.9296785696
2015-05-06,104756.97829951232
2015-05-07,104825.67425612028
2015-05-08,105582.89610637106
2015-05-11,104870.96401983302
2015-05-12,104714.30958666567
2015-05-13,104874.4688298948
2015-05-14,106217.76184009571
2015-05-15,106038.76873188498
2015-05-18,106270.73887439107
2015-05-19,106221.35580700025
2015-05-20,106233.85954522509
2015-05-21,106458.77850133432
2015-05-22,106496.22434783378
2015-05-26,105407.89164714426
2015-05-27,106066.11603554152
2015-05-28,105920.2807575313
2015-05-29,105445.6544635841
2015-06-01,105753.09676349597
2015-06-02,105696.66563017023
2015-06-03,106187.66476829178
2015-06-04,105779.96032494646
2015-06-05,105698.7511763173
2015-06-08,105321.51527391655
2015-06-09,105191.0102123025
2015-06-10,105972.50837252571
2015-06-11,105809.8484979987
2015-06-12,105230.35534680782
2015-06-15,104904.6300493127
2015-06-16,105345.61521003937
2015-06-17,105494.27090064595
2015-06-18,106063.33467576807
2015-06-19,105679.67218633356
2015-06-22,106409.10293222687
2015-06-23,107089.68636425328
2015-06-24,107424.78095450392
2015-06-25,106912.02039968339
2015-06-26,106776.61186954661
2015-06-29,105582.20608808605
2015-06-30,105819.45557192003
2015-07-01,106101.67336383976
2015-07-02,106362.4740543323
2015-07-06,106204.2449539196
2015-07-07,107078.4240801978
2015-07-08,106189.43341181254
2015-07-09,107132.2868424845
2015-07-10,108502.1632233677
2015-07-13,110806.58520536215
2015-07-14,111707.39696903556
2015-07-15,110893.88103006329
2015-07-16,116903.53178902605
2015-07-17,121275.4771784947
2015-07-20,120194.27450710289
2015-07-21,120791.98796899144
2015-07-22,120540.92127402603
2015-07-23,118976.68373860272
2015-07-24,120492.12079734556
2015-07-27,120016.91754415994
2015-07-28,119902.98685221544
2015-07-29,120186.3817128334
2015-07-30,121874.4643156329
2015-07-31,122230.60627995786
2015-08-03,122039.71490808965
2015-08-04,123889.3147056387
2015-08-05,125332.06934254064
2015-08-06,125477.51804040179
2015-08-07,124117.16957349695
2015-08-10,124014.55471012829
2015-08-11,125302.35114461806
2015-08-12,124705.6602791685
2015-08-13,125508.24887493548
2015-08-14,125647.07946283615
2015-08-17,126550.2817994335
2015-08-18,125976.40029223108
2015-08-19,125589.14935551152
2015-08-20,121612.48082078723
2015-08-21,116743.23205263051
2015-08-24,113932.54252562649
2015-08-25,113852.15317955913
2015-08-26,117764.25746841237
2015-08-27,119076.41174271944
2015-08-28,118699.71593012028
2015-08-31,117908.68580585704
2015-09-01,116230.96572354485
2015-09-02,117655.76122707207
2015-09-03,116999.27973082205
2015-09-04,116338.84688250272
2015-09-08,117991.44469494298
2015-09-09,117935.79800612244
2015-09-10,118557.97056824851
2015-09-11,119131.77905848561
2015-09-14,118571.22254150201
2015-09-15,119169.16109176021
2015-09-16,119461.6100827274
2015-09-17,120351.53399622621
2015-09-18,119962.9232110361
2015-09-21,120666.76444636424
2015-09-22,119528.39649966107
2015-09-23,119405.56344129016
2015-09-24,119349.34145931501
2015-09-25,118195.30421657934
2015-09-28,116410.6504036677
2015-09-29,115905.28750918308
2015-09-30,117446.22829191723
2015-10-01,118083.20686214295
2015-10-02,119373.35420195098
2015-10-05,120613.5623288559
2015-10-06,120274.64255101845
2015-10-07,121537.11795591887
2015-10-08,122918.00103110509
2015-10-09,122360.68408903986
2015-10-12,122337.81055584412
2015-10-13,121775.50317135075
2015-10-14,122008.34972719701
2015-10-15,121328.2777606307
2015-10-16,121542.32840167149
2015-10-19,121547.16259861116
2015-10-20,121225.57222699447
2015-10-21,120678.70641850022
2015-10-22,121653.4253607255
2015-10-23,123821.15138325474
2015-10-26,123971.76844315033
2015-10-27,123689.65160823813
2015-10-28,124129.6440942029
2015-10-29,123841.88646402274
