date,open,high,low,close,volume
2005-01-03,105.9,107.56,105.7,105.84,13760300
2005-01-04,105.79,105.79,104.33,104.83,8668538
2005-01-05,104.36,104.36,103.24,103.29,7392458
2005-01-06,102.97,103.94,102.68,102.93,8559639
2005-01-07,102.35,102.35,99.79,100.29,8072765
2005-01-10,100.3,102.6,100.3,101.67,3580188
2005-01-11,101.58,104.51,101.58,103.57,16121828
2005-01-12,103.39,106.26,103.39,106.01,4809369
2005-01-13,106.12,106.12,104.09,105.14,4373046
2005-01-14,105.48,105.48,102.65,104.36,4212126
2005-01-17,103.93,106.15,103.93,106.0,15189242
2005-01-18,105.6,107.17,105.6,106.86,13449777
2005-01-19,107.32,107.32,106.12,106.58,8055042
2005-01-20,106.58,108.09,106.58,108.01,10663746
2005-01-21,107.98,107.98,106.47,106.47,6394099
2005-01-24,106.15,106.33,105.15,105.69,10785224
2005-01-25,105.81,110.4,105.81,108.88,8382615
2005-01-26,109.59,109.59,106.31,107.42,16231841
2005-01-27,107.18,107.92,107.18,107.86,5847762
2005-01-28,107.25,107.64,105.7,106.47,11060324
2005-01-31,106.61,106.8,106.52,106.7,5656565
2005-02-01,106.86,107.39,105.49,107.17,9397530
2005-02-02,107.4,108.62,107.4,107.67,19685125
2005-02-03,107.54,109.14,107.28,107.58,3359601
2005-02-04,107.45,107.56,106.17,106.18,10172460
2005-02-07,106.44,106.44,102.94,103.73,11295407
2005-02-08,103.92,104.68,102.57,104.51,12217937
2005-02-09,104.71,106.19,104.71,105.58,5969905
2005-02-10,105.55,106.77,105.16,106.69,8260171
2005-02-11,106.63,107.09,105.66,106.25,4805834
2005-02-14,106.5,109.39,106.5,108.04,11966123
2005-02-15,107.74,107.74,106.9,106.91,5832517
2005-02-16,106.66,107.5,105.73,106.64,15156268
2005-02-17,106.08,106.33,104.79,105.89,7105475
2005-02-18,105.87,109.81,105.87,109.49,10021185
2005-02-21,108.68,108.68,106.08,107.07,21033870
2005-02-22,107.32,107.32,106.54,106.79,7435292
2005-02-23,107.59,107.59,104.33,105.48,27754427
2005-02-24,105.79,107.49,105.79,106.76,2764892
2005-02-25,106.88,109.22,106.88,108.26,13558656
2005-02-28,107.25,109.17,107.25,108.45,9743417
2005-03-01,107.85,109.97,107.85,109.24,6985814
2005-03-02,110.44,110.44,108.1,108.21,10954478
2005-03-03,108.57,110.58,108.57,110.48,11235923
2005-03-04,110.44,114.03,110.44,112.24,4265623
2005-03-07,112.31,112.31,110.2,110.55,9594683
2005-03-08,109.36,112.3,109.36,111.36,4209758
2005-03-09,111.4,111.4,110.3,110.88,26259393
2005-03-10,110.69,114.0,110.69,113.11,7835664
2005-03-11,113.35,113.35,111.21,111.24,22004899
2005-03-14,111.94,111.94,111.29,111.55,16158986
2005-03-15,111.71,114.65,111.71,114.36,26194906
2005-03-16,114.35,114.35,111.99,112.25,6762680
2005-03-17,112.3,112.3,109.77,110.21,10417246
2005-03-18,110.64,112.63,110.64,112.46,3922905
2005-03-21,112.72,112.72,111.77,112.0,6565937
2005-03-22,111.92,113.25,111.92,112.67,15220818
2005-03-23,113.64,113.64,112.23,112.37,4946591
2005-03-24,113.19,113.19,111.28,111.88,4220354
2005-03-25,111.86,113.37,111.86,113.36,4798863
2005-03-28,113.35,113.67,111.89,113.02,7039872
2005-03-29,112.66,112.66,110.58,111.66,8730296
2005-03-30,111.94,114.96,111.94,113.95,10051863
2005-03-31,114.25,114.25,109.96,110.91,11122752
2005-04-01,110.69,110.69,106.56,106.68,9202313
2005-04-04,106.51,106.51,105.42,105.74,10307188
2005-04-05,106.35,106.35,103.47,104.35,14812104
2005-04-06,104.07,107.83,104.07,107.14,12011162
2005-04-07,106.57,106.72,106.57,106.67,6622263
2005-04-08,107.16,108.44,107.16,108.37,14520112
2005-04-11,108.26,109.27,108.26,108.92,3030271
2005-04-12,109.29,109.29,107.2,107.27,13178234
2005-04-13,107.14,108.6,106.91,107.73,5705995
2005-04-14,108.22,108.4,107.36,108.08,10127362
2005-04-15,108.67,108.67,107.1,107.13,6110047
