date,open,high,low,close,volume
2005-01-03,107.02,107.52,107.02,107.44,14938035
2005-01-04,107.46,110.26,107.46,109.49,8549645
2005-01-05,109.42,109.42,106.85,107.67,10670183
2005-01-06,107.55,108.64,106.94,107.18,10766656
2005-01-07,107.53,107.53,106.67,106.75,10637542
2005-01-10,106.0,108.71,106.0,107.82,12043130
2005-01-11,107.99,110.29,107.99,109.66,5513668
2005-01-12,109.09,111.29,109.09,110.94,4438001
2005-01-13,111.17,111.17,109.46,110.01,14663930
2005-01-14,110.12,110.27,108.95,108.95,5799239
2005-01-17,109.05,111.68,108.95,110.31,12465891
2005-01-18,110.04,111.37,110.04,110.71,6900696
2005-01-19,110.92,113.9,110.92,112.2,9212868
2005-01-20,112.42,116.9,112.42,115.84,7338875
2005-01-21,115.56,115.94,113.67,115.91,11208813
2005-01-24,115.75,117.95,115.75,117.93,9265525
2005-01-25,117.46,120.64,117.46,120.17,15524142
2005-01-26,120.11,120.11,118.17,118.79,5557313
2005-01-27,118.5,119.83,118.5,119.33,7219608
2005-01-28,119.87,119.87,118.02,118.55,6285468
2005-01-31,118.87,118.87,116.98,117.31,5509108
2005-02-01,116.84,118.9,116.84,118.01,7735853
2005-02-02,118.1,119.29,118.1,119.1,8369873
2005-02-03,119.34,119.34,116.48,117.6,6124742
2005-02-04,117.68,118.77,117.68,118.71,10829495
2005-02-07,118.43,119.06,116.72,118.13,4516349
2005-02-08,117.62,120.43,117.62,119.66,9054518
2005-02-09,119.82,120.66,119.82,120.19,5024765
2005-02-10,119.99,124.22,119.99,123.35,5434512
2005-02-11,122.32,124.64,122.32,124.23,7792340
2005-02-14,123.86,127.37,123.86,127.35,13080845
2005-02-15,127.58,127.58,125.85,126.69,14822090
2005-02-16,126.25,127.02,125.91,126.53,6607755
2005-02-17,126.25,126.25,121.36,122.68,8693247
2005-02-18,123.05,124.17,121.99,123.29,6610386
2005-02-21,122.85,122.85,120.04,120.71,13443662
2005-02-22,120.96,123.66,120.96,122.98,9476014
2005-02-23,122.95,123.87,122.2,123.37,7016163
2005-02-24,123.25,127.84,123.25,126.99,41617722
2005-02-25,126.9,133.77,126.9,133.26,5325312
2005-02-28,133.26,136.31,133.26,135.07,17642531
2005-03-01,135.32,135.32,132.06,133.76,5409689
2005-03-02,133.83,134.65,132.92,134.63,9065822
2005-03-03,133.98,134.86,133.33,134.59,3837414
2005-03-04,134.46,135.14,133.23,133.99,4602390
2005-03-07,133.59,134.28,132.77,134.16,8048027
2005-03-08,133.89,133.89,131.79,131.87,7608138
2005-03-09,131.05,136.07,131.05,135.67,17256792
2005-03-10,135.18,139.12,135.18,139.11,9594774
2005-03-11,139.97,139.97,136.83,137.22,4468236
2005-03-14,136.94,137.58,136.92,137.51,11432639
2005-03-15,137.8,140.88,136.96,138.44,15111082
2005-03-16,138.79,138.79,137.6,138.48,16857054
2005-03-17,138.26,142.47,138.26,141.9,9555012
2005-03-18,141.57,142.2,139.06,141.75,4618905
2005-03-21,141.5,143.38,140.71,141.24,15019485
2005-03-22,140.71,144.96,140.71,144.31,6967090
2005-03-23,143.84,145.68,143.84,144.79,9116346
2005-03-24,145.1,145.1,140.68,141.67,15827918
2005-03-25,141.7,142.97,141.04,142.57,13521178
2005-03-28,142.0,145.69,142.0,144.32,7795853
2005-03-29,144.54,147.97,144.54,147.17,11793761
2005-03-30,147.37,151.41,147.37,148.72,9440874
2005-03-31,149.57,149.57,145.37,146.52,4854135
2005-04-01,146.47,147.13,145.5,146.28,11065505
2005-04-04,145.99,145.99,143.57,144.86,8304335
2005-04-05,144.45,144.45,143.03,144.21,6011538
2005-04-06,143.56,146.18,142.58,143.13,12020771
2005-04-07,143.41,143.41,140.37,141.84,6090316
2005-04-08,141.86,141.86,137.17,137.61,13404367
2005-04-11,137.42,138.89,136.64,137.42,5181593
2005-04-12,137.66,137.66,135.82,136.85,12807004
2005-04-13,136.91,137.49,135.67,137.22,5939299
2005-04-14,137.09,142.36,137.09,142.26,14030623
2005-04-15,141.81,143.93,141.81,143.49,5837737
2005-04-18,144.29,144.29,141.95,142.81,5936699
2005-04-19,143.57,144.46,143.57,144.26,11048915
2005-04-20,143.9,143.9,142.57,142.73,12192219
2005-04-21,143.26,143.94,141.34,143.0,9090491
2005-04-22,142.86,142.86,140.22,142.01,6723240
2005-04-25,142.57,143.65,140.92,142.52,7079885
2005-04-26,142.22,144.1,141.7,142.79,10748858
2005-04-27,142.17,144.51,142.17,143.94,11522583
2005-04-28,145.49,145.49,142.41,142.59,7264424
2005-04-29,142.84,144.79,142.84,143.51,3835584
2005-05-02,143.56,144.5,143.12,144.3,9479288
2005-05-03,144.57,144.72,143.63,144.61,13386858
2005-05-04,143.82,143.82,141.58,143.33,14026104
2005-05-05,142.59,146.01,142.59,144.59,3877237
2005-05-06,144.66,150.8,144.66,148.47,8002963
2005-05-09,147.59,151.77,147.59,150.88,9175165
2005-05-10,150.25,157.71,150.25,156.98,20102488
2005-05-11,157.44,160.1,156.79,158.2,14447192
2005-05-12,157.05,162.09,157.05,161.21,8441271
2005-05-13,161.64,161.64,156.3,157.66,11960079
2005-05-16,156.82,157.73,156.68,157.29,11282143
2005-05-17,156.77,157.33,156.0,156.84,14451943
2005-05-18,156.57,159.35,156.57,158.63,14043965
2005-05-19,158.71,163.62,158.71,162.33,5564820
2005-05-20,162.16,163.79,161.62,163.5,8144048
2005-05-23,163.46,163.46,162.28,162.73,38621027
2005-05-24,161.87,161.87,159.76,161.0,4888688
2005-05-25,161.81,161.81,155.14,155.81,8036340
2005-05-26,156.11,156.86,153.32,154.97,5873431
2005-05-27,154.19,154.19,152.42,153.02,16364389
2005-05-30,153.49,157.43,153.49,157.43,14336270
2005-05-31,157.69,162.59,157.69,160.89,11906266
2005-06-01,161.99,165.16,161.99,163.66,9055647
2005-06-02,163.3,164.75,162.66,163.15,8156658
2005-06-03,163.28,163.28,161.09,161.99,12898665
2005-06-06,160.45,161.52,160.45,161.43,10529926
2005-06-07,160.5,162.38,160.5,161.58,14155492
2005-06-08,161.03,163.24,161.03,162.97,13529118
2005-06-09,163.33,163.33,158.71,161.25,14331122
2005-06-10,160.84,161.42,160.84,161.28,10612522
2005-06-13,161.26,161.26,158.97,159.35,15297550
2005-06-14,159.82,163.42,159.82,162.33,15776059
2005-06-15,162.31,166.15,162.31,165.45,4491381
2005-06-16,166.29,166.29,164.45,165.22,11704521
2005-06-17,165.23,167.21,165.23,166.42,7369636
2005-06-20,167.1,167.1,163.78,164.45,5067607
2005-06-21,165.8,165.8,162.54,162.78,9843887
2005-06-22,161.79,164.37,161.79,163.7,9077632
2005-06-23,163.54,163.54,162.11,162.77,6766873
2005-06-24,161.28,167.04,161.28,167.04,16600554
2005-06-27,167.49,170.12,167.23,167.32,21551382
2005-06-28,167.51,167.51,164.06,166.62,8180234
2005-06-29,166.98,166.98,163.94,164.37,9896613
2005-06-30,164.68,165.61,161.6,164.56,9775536
2005-07-01,165.25,166.19,164.8,165.0,6307724
2005-07-04,164.72,167.51,164.35,166.47,8451341
2005-07-05,166.24,166.24,163.43,163.61,5391227
2005-07-06,162.43,162.43,159.59,160.64,9842221
2005-07-07,160.11,161.76,158.57,160.08,27669248
2005-07-08,158.91,163.3,158.91,163.25,8585190
2005-07-11,162.8,162.8,159.75,159.86,8060575
2005-07-12,160.2,160.2,156.55,156.55,17969887
2005-07-13,157.03,158.83,157.03,158.8,7184980
2005-07-14,159.52,160.2,158.44,158.82,17701591
2005-07-15,157.74,164.14,157.74,163.46,12165716
2005-07-18,162.7,167.02,162.7,164.63,10144544
2005-07-19,165.31,168.94,165.31,166.96,9028150
2005-07-20,166.38,168.06,164.97,166.3,5016152
2005-07-21,166.51,166.51,162.34,163.13,6001349
2005-07-22,162.63,164.4,161.29,162.54,9368835
2005-07-25,162.09,163.73,162.07,162.25,6187210
2005-07-26,162.56,166.09,162.56,165.48,9885053
2005-07-27,165.74,165.74,162.01,162.95,4239433
2005-07-28,162.82,163.29,161.22,162.39,14571593
2005-07-29,162.93,163.67,160.93,163.62,9788780
2005-08-01,163.78,168.69,163.78,167.82,10078567
2005-08-02,168.17,168.17,164.92,165.42,8872958
2005-08-03,165.38,165.94,164.12,165.41,5368789
2005-08-04,164.34,168.36,164.34,167.99,14063253
2005-08-05,169.04,169.04,166.2,166.57,11708908
2005-08-08,166.36,170.16,166.36,169.93,6796245
2005-08-09,169.29,169.29,163.47,164.19,8044040
2005-08-10,164.87,164.87,159.78,161.39,3338305
2005-08-11,162.07,162.59,160.65,160.71,14106986
2005-08-12,159.95,163.31,159.95,161.84,18052254
2005-08-15,162.52,164.91,162.52,164.33,6004811
2005-08-16,165.09,166.96,165.09,166.4,7047359
2005-08-17,165.89,170.77,165.89,170.33,13642194
2005-08-18,170.93,170.93,168.19,169.73,2701699
2005-08-19,169.65,171.5,169.07,170.27,12292311
2005-08-22,169.55,171.03,169.23,169.85,18511704
2005-08-23,169.06,169.06,163.84,164.26,18814603
2005-08-24,164.47,165.77,164.47,165.03,8025864
2005-08-25,164.44,164.44,161.58,162.83,27736774
2005-08-26,162.56,164.52,162.47,162.89,14994638
2005-08-29,162.73,162.73,158.62,158.82,4534636
2005-08-30,158.67,158.67,155.13,156.21,3588009
2005-08-31,155.42,155.42,152.42,153.89,6303531
2005-09-01,153.72,157.33,153.72,155.84,8573464
2005-09-02,155.75,156.92,155.75,156.38,7674272
2005-09-05,156.78,158.44,156.78,157.93,4822219
2005-09-06,156.6,158.16,156.27,157.3,8776790
2005-09-07,156.87,160.67,156.87,159.78,15466649
2005-09-08,159.29,162.57,159.29,161.89,12030703
2005-09-09,161.56,163.56,161.37,162.62,14142436
2005-09-12,162.39,162.39,157.55,158.6,4452368
2005-09-13,158.42,162.24,158.42,160.41,6712443
2005-09-14,160.45,161.06,159.23,159.64,12706735
2005-09-15,159.82,159.82,155.81,157.09,8204326
2005-09-16,156.57,158.18,154.81,157.99,22142385
2005-09-19,157.96,158.89,155.39,157.23,5757314
2005-09-20,157.19,162.28,157.19,161.44,5731126
2005-09-21,161.56,165.39,161.56,165.34,9816841
2005-09-22,165.91,167.43,165.91,166.28,8122168
2005-09-23,165.32,166.07,163.41,163.87,8979034
2005-09-26,164.39,166.79,164.13,164.41,14553320
2005-09-27,164.41,164.41,161.3,162.8,5005189
2005-09-28,162.55,165.22,162.55,164.69,6683839
2005-09-29,164.34,164.56,162.96,163.08,5583990
2005-09-30,163.52,166.84,163.05,164.99,4697478
2005-10-03,163.89,164.66,162.31,164.01,11064298
2005-10-04,163.49,166.33,163.49,166.32,8157095
2005-10-05,165.75,166.06,164.24,165.57,10094725
2005-10-06,165.58,167.92,165.58,167.39,5588542
2005-10-07,166.85,174.94,166.85,173.88,6977822
2005-10-10,173.16,173.63,171.88,173.45,7973013
2005-10-11,174.56,174.56,170.21,172.12,6850000
2005-10-12,171.65,174.28,171.04,174.06,7411040
2005-10-13,174.09,174.09,171.75,173.41,6656952
2005-10-14,173.58,173.58,167.98,168.8,5255538
2005-10-17,168.5,171.85,168.5,170.7,11308289
2005-10-18,171.22,171.22,166.57,166.74,11007341
2005-10-19,166.13,166.13,164.8,165.49,5517402
2005-10-20,165.6,165.6,162.83,163.14,9299264
2005-10-21,163.0,163.08,161.17,161.88,10108058
2005-10-24,161.91,162.62,161.79,162.41,2895442
2005-10-25,161.7,161.7,159.49,159.77,5732621
2005-10-26,159.67,160.08,156.75,159.05,12170223
2005-10-27,158.18,159.19,156.56,157.32,4167001
2005-10-28,158.03,158.23,157.58,157.66,10579843
2005-10-31,157.77,158.73,156.82,157.9,13838779
2005-11-01,157.4,158.23,157.35,157.96,4969285
2005-11-02,158.25,158.25,155.92,156.37,4658821
2005-11-03,157.44,161.44,157.44,160.09,10676965
2005-11-04,159.91,159.91,154.16,154.4,7294076
2005-11-07,154.23,154.85,153.88,153.95,8407762
2005-11-08,155.09,155.09,153.15,153.61,18067824
2005-11-09,153.33,156.46,153.33,156.45,9444039
2005-11-10,155.72,161.91,155.72,159.95,16475047
2005-11-11,160.31,163.05,160.31,162.68,22023379
2005-11-14,162.15,165.06,162.15,163.41,9308227
2005-11-15,163.28,163.28,158.84,159.97,7473250
2005-11-16,160.65,161.6,160.06,161.52,7779484
2005-11-17,161.77,164.67,161.77,163.54,8472331
2005-11-18,164.2,167.19,163.03,165.48,8562435
2005-11-21,165.44,165.44,162.26,163.4,6177120
2005-11-22,162.74,163.18,161.15,161.48,18617791
2005-11-23,161.65,161.65,159.32,159.6,7816684
2005-11-24,158.98,158.98,156.02,156.22,5674476
2005-11-25,156.22,157.67,153.88,157.0,7286060
2005-11-28,156.19,158.73,156.19,157.99,5110365
2005-11-29,157.37,161.96,157.37,160.27,10400079
2005-11-30,160.68,162.59,160.59,162.25,8537140
2005-12-01,162.95,163.95,162.43,162.62,8060188
2005-12-02,163.05,165.28,162.28,162.78,5921196
2005-12-05,163.06,163.17,160.75,162.25,7176559
2005-12-06,163.16,165.52,161.47,163.46,6809616
2005-12-07,164.38,166.27,163.92,164.09,6659610
2005-12-08,163.84,163.84,159.78,160.26,23215833
2005-12-09,160.88,160.88,160.15,160.59,10984038
2005-12-12,160.82,160.82,157.82,158.49,30386478
2005-12-13,159.08,159.08,156.05,156.64,16834829
2005-12-14,156.55,159.38,156.55,159.32,5032658
2005-12-15,159.12,159.59,157.23,158.75,4941560
2005-12-16,158.17,161.46,158.17,161.12,12307798
2005-12-19,161.72,161.72,159.01,159.52,7769678
2005-12-20,158.43,159.01,157.16,157.33,13551429
2005-12-21,157.53,157.8,155.61,156.32,5625756
2005-12-22,156.21,156.21,153.26,153.42,7448723
2005-12-23,153.87,156.14,153.87,155.58,13431818
2005-12-26,155.31,159.41,155.31,156.79,8639906
2005-12-27,156.94,156.94,153.8,154.18,5868883
2005-12-28,154.25,155.5,152.61,154.49,11166227
2005-12-29,153.92,155.71,153.92,155.66,21099365
2005-12-30,155.24,159.0,155.24,157.59,2899667
2006-01-02,157.25,157.47,154.37,156.29,10867130
2006-01-03,155.87,159.49,155.87,158.78,9857313
2006-01-04,158.18,159.58,158.18,159.29,15963199
2006-01-05,159.25,160.97,159.01,160.05,15200311
2006-01-06,160.11,160.24,158.76,159.75,6804833
2006-01-09,160.1,162.09,160.1,161.43,9116523
2006-01-10,161.3,162.69,161.3,161.57,6309455
2006-01-11,160.92,162.53,159.66,161.06,13588054
2006-01-12,161.16,161.16,156.0,156.61,10831075
2006-01-13,156.41,156.41,155.58,155.69,15872895
2006-01-16,156.53,157.59,155.37,156.18,6937884
2006-01-17,156.61,159.28,156.61,159.05,9132929
2006-01-18,158.22,158.22,155.32,155.79,14645945
2006-01-19,155.66,155.66,151.63,151.83,4987447
2006-01-20,150.96,150.96,144.3,144.94,12153405
2006-01-23,145.44,149.88,145.44,149.56,21848301
2006-01-24,150.11,153.32,149.47,151.16,7865232
2006-01-25,150.46,152.82,150.46,151.66,9016763
2006-01-26,151.59,151.59,149.73,150.76,14551170
2006-01-27,150.77,150.77,147.6,149.57,3451259
2006-01-30,150.34,150.34,147.16,148.21,6779988
2006-01-31,148.58,149.72,147.49,149.03,12197042
2006-02-01,148.85,149.59,148.85,149.32,5567623
2006-02-02,150.04,151.75,150.04,151.43,11735829
2006-02-03,151.43,151.43,147.33,147.92,8596825
2006-02-06,147.86,148.37,145.58,147.62,13318137
2006-02-07,147.65,149.82,147.65,149.29,19004278
2006-02-08,149.04,151.47,149.04,150.92,9089633
2006-02-09,151.14,151.14,147.77,148.83,5657839
2006-02-10,148.79,148.89,147.41,147.99,8522309
2006-02-13,148.67,148.67,146.31,147.11,4396212
2006-02-14,146.51,146.51,142.07,142.65,12928764
2006-02-15,142.76,143.87,142.35,142.93,4588413
2006-02-16,142.86,150.71,142.86,149.71,20085172
2006-02-17,150.21,150.21,148.81,148.92,17637327
2006-02-20,149.48,150.71,148.66,149.16,9221233
2006-02-21,149.68,149.68,144.0,145.57,15024217
2006-02-22,145.6,145.6,142.63,143.92,6961443
2006-02-23,143.9,147.6,143.9,145.84,8870715
2006-02-24,146.22,146.73,145.49,146.6,9756335
2006-02-27,146.28,146.39,144.95,145.91,12357880
2006-02-28,146.2,147.17,146.2,146.66,15570258
2006-03-01,146.7,146.7,145.12,145.46,15452201
2006-03-02,145.31,151.35,145.31,150.12,9024281
2006-03-03,149.38,154.08,149.38,154.01,8562032
2006-03-06,153.19,155.32,153.19,154.38,8951247
2006-03-07,153.9,156.98,153.9,156.69,14173882
2006-03-08,157.19,158.27,157.19,158.23,5759187
2006-03-09,157.9,164.97,157.9,162.25,8466713
2006-03-10,162.92,164.91,162.75,163.93,5701610
2006-03-13,163.95,163.95,161.66,162.76,4776314
2006-03-14,163.2,163.2,159.48,160.68,4973682
2006-03-15,159.77,162.13,159.24,160.86,3344450
2006-03-16,161.58,161.58,158.0,158.41,2772524
2006-03-17,157.23,162.24,157.23,161.07,12720253
2006-03-20,160.21,162.1,157.4,159.05,3094975
2006-03-21,159.14,162.83,159.14,162.67,8801481
2006-03-22,162.28,162.28,159.62,160.42,6346713
2006-03-23,160.24,161.24,159.65,160.88,16289780
2006-03-24,161.66,161.66,160.31,161.23,4819908
2006-03-27,161.5,161.5,159.58,160.6,17232206
2006-03-28,160.8,160.84,159.76,160.27,10553698
2006-03-29,159.29,161.48,159.29,161.48,8328335
2006-03-30,160.45,165.17,160.45,162.85,8313540
