date,open,high,low,close,volume
2005-01-03,109.61,110.4,109.16,109.93,3964401
2005-01-04,110.44,110.44,108.33,109.16,5318216
2005-01-05,109.47,109.47,108.22,108.55,6903127
2005-01-06,109.1,109.68,108.26,109.16,14360474
2005-01-07,108.83,109.05,108.21,108.27,20635894
2005-01-10,107.45,109.36,107.45,109.35,24395453
2005-01-11,108.95,108.95,108.14,108.3,6058922
2005-01-12,108.17,108.17,106.53,106.7,9348943
2005-01-13,106.38,108.17,105.96,107.33,14237156
2005-01-14,107.3,107.3,106.12,106.16,10206983
2005-01-17,105.93,106.28,105.68,106.22,14502390
2005-01-18,106.64,106.64,104.78,105.74,7984800
2005-01-19,105.5,108.42,105.5,108.04,11262579
2005-01-20,108.27,109.15,107.59,107.95,8249906
2005-01-21,108.47,108.47,106.98,107.76,6714674
2005-01-24,108.21,108.21,105.1,105.2,6999645
2005-01-25,105.77,105.77,103.15,103.7,9437313
2005-01-26,103.47,103.47,101.14,102.1,14156406
2005-01-27,102.09,104.58,102.09,103.68,9901220
2005-01-28,103.58,103.58,102.57,103.12,5156244
2005-01-31,102.58,103.06,102.58,102.97,4169303
2005-02-01,102.36,103.51,102.36,103.21,10973885
2005-02-02,103.36,103.36,100.42,101.06,5774385
2005-02-03,100.98,100.98,100.55,100.69,4750501
2005-02-04,100.73,100.73,98.71,100.24,7047531
2005-02-07,100.2,100.71,98.54,99.76,21344292
2005-02-08,99.56,100.79,99.39,99.76,4191552
2005-02-09,99.07,99.89,98.25,99.55,4623712
2005-02-10,99.59,99.59,95.65,97.34,7730776
2005-02-11,97.14,98.92,97.14,98.65,11956474
2005-02-14,98.04,98.04,96.23,96.99,15637679
2005-02-15,97.2,97.2,95.63,95.89,4105353
2005-02-16,96.04,96.19,95.4,95.65,7572348
2005-02-17,96.02,97.35,96.02,96.85,10939638
2005-02-18,97.04,97.04,94.92,96.32,12060628
2005-02-21,96.76,97.16,94.67,95.71,10232491
2005-02-22,95.84,97.03,95.84,96.47,4827434
2005-02-23,96.23,97.68,96.23,97.2,10410474
2005-02-24,96.99,97.02,96.51,96.82,7836904
2005-02-25,96.17,96.17,94.27,95.52,8135506
2005-02-28,95.36,95.36,94.54,94.6,7378669
2005-03-01,94.26,94.35,93.84,94.1,5532271
2005-03-02,94.32,96.33,94.32,95.68,7956471
2005-03-03,95.79,98.77,95.79,97.89,18515592
2005-03-04,97.9,98.48,97.9,98.33,9736559
2005-03-07,98.02,98.76,98.02,98.71,9149754
2005-03-08,98.53,98.77,97.63,98.44,6616507
2005-03-09,98.27,102.13,98.27,101.37,9874245
2005-03-10,101.95,101.95,98.19,98.93,6581066
2005-03-11,99.12,101.63,99.12,100.9,9218065
2005-03-14,100.98,102.32,100.98,101.24,6173696
2005-03-15,101.15,101.15,98.19,99.3,9528905
2005-03-16,100.02,100.02,98.48,98.93,11136205
2005-03-17,98.75,99.2,96.84,97.68,17387006
2005-03-18,97.95,99.37,97.95,99.26,3936155
2005-03-21,99.34,99.34,97.66,98.21,8088612
2005-03-22,98.16,98.66,98.16,98.31,10044565
2005-03-23,97.8,101.04,97.8,100.17,7547956
2005-03-24,100.63,100.63,98.87,99.41,17081290
2005-03-25,99.33,99.77,97.91,99.44,7519522
2005-03-28,99.57,99.75,98.77,99.26,9856276
2005-03-29,99.44,99.61,99.0,99.13,7542785
2005-03-30,98.99,101.94,98.99,101.75,14988905
2005-03-31,101.85,103.52,101.2,102.24,8975426
2005-04-01,102.48,102.48,100.23,101.05,4679905
2005-04-04,100.71,100.9,100.43,100.47,10673952
2005-04-05,100.99,101.71,100.99,101.21,12442997
2005-04-06,101.01,101.01,97.98,99.06,6243211
2005-04-07,99.57,101.19,99.57,100.65,11959028
2005-04-08,100.51,102.45,100.51,102.01,16629936
2005-04-11,102.54,102.54,101.14,101.37,5938255
2005-04-12,100.56,103.82,100.56,102.29,20161439
2005-04-13,102.01,103.94,102.01,102.95,10508996
2005-04-14,103.23,104.12,103.23,103.97,4313289
2005-04-15,103.64,103.64,102.49,102.6,17281248
2005-04-18,101.92,103.77,101.92,103.62,9279552
2005-04-19,103.51,103.95,102.56,102.66,4163124
2005-04-20,102.94,102.94,101.47,101.56,8602593
2005-04-21,100.9,102.4,99.81,100.95,8754662
2005-04-22,101.41,101.41,98.28,98.8,4178420
2005-04-25,98.74,99.49,98.05,99.37,17027475
2005-04-26,99.44,100.46,98.71,99.22,5692732
2005-04-27,98.95,100.59,98.95,99.79,22685049
2005-04-28,99.39,99.39,98.0,98.04,9267527
2005-04-29,98.34,98.34,95.85,96.56,2481225
2005-05-02,96.56,96.92,95.87,96.88,7222371
2005-05-03,96.4,97.64,96.4,97.51,10189576
2005-05-04,97.95,97.95,96.29,97.42,3684903
2005-05-05,97.88,97.88,95.25,95.77,11824037
2005-05-06,96.09,96.09,94.14,94.45,7940771
2005-05-09,94.66,95.63,94.66,94.95,12096806
2005-05-10,94.75,95.98,94.75,95.48,9165028
2005-05-11,95.04,95.87,94.75,94.92,14341835
2005-05-12,95.34,96.27,95.34,95.68,6636983
2005-05-13,95.83,95.83,94.22,94.32,5534537
2005-05-16,94.36,94.36,90.54,91.63,7141931
2005-05-17,91.36,91.95,90.3,91.3,13080706
2005-05-18,91.93,91.93,89.67,90.38,9411717
2005-05-19,90.27,90.8,89.86,90.42,13270386
2005-05-20,90.35,93.12,90.35,92.19,7341811
2005-05-23,91.84,93.87,91.84,92.92,12439059
2005-05-24,92.98,93.87,92.17,93.48,8206070
2005-05-25,93.7,98.02,93.7,96.31,13171823
2005-05-26,97.13,97.13,95.31,95.34,5581013
2005-05-27,95.23,96.37,95.23,96.12,22914326
2005-05-30,96.2,96.2,94.46,94.56,19359280
2005-05-31,94.82,94.82,93.59,94.49,15916466
2005-06-01,94.41,95.04,94.27,94.48,17032297
2005-06-02,94.04,95.6,94.04,94.68,17602311
2005-06-03,94.41,94.41,92.69,93.4,11954198
2005-06-06,93.39,94.84,93.39,94.56,5079181
2005-06-07,94.18,94.18,92.11,92.46,3842805
2005-06-08,92.58,93.26,92.49,93.17,7880937
2005-06-09,92.84,92.84,90.01,90.19,6700184
2005-06-10,89.64,89.64,87.08,88.23,7788329
2005-06-13,88.25,89.96,88.25,89.73,13870940
2005-06-14,89.73,89.85,88.63,89.2,8111656
2005-06-15,88.93,90.08,88.93,89.4,17075724
2005-06-16,89.51,89.51,87.58,88.96,3661804
2005-06-17,89.18,89.26,88.43,88.95,6353149
2005-06-20,89.45,89.45,88.56,88.68,14894007
2005-06-21,88.7,88.7,86.57,87.3,4906560
2005-06-22,87.27,87.79,87.27,87.62,5581237
2005-06-23,87.5,87.5,85.36,85.73,3990110
2005-06-24,85.73,86.13,85.43,85.89,13244011
2005-06-27,85.91,85.91,82.83,83.0,5607829
2005-06-28,83.11,85.66,83.11,84.77,7650339
2005-06-29,84.45,86.66,84.45,85.8,4321401
2005-06-30,85.8,85.8,84.75,84.85,8816767
2005-07-01,85.03,86.08,84.64,84.87,16144912
2005-07-04,84.59,88.34,84.59,87.83,13353545
2005-07-05,87.86,90.05,87.86,89.83,6473554
2005-07-06,89.72,91.21,89.72,91.0,16991685
2005-07-07,90.5,91.33,89.94,90.54,3661303
2005-07-08,91.06,91.24,89.62,90.68,6022301
2005-07-11,90.67,91.49,90.67,90.75,21260680
2005-07-12,90.83,92.39,90.83,91.67,6067736
2005-07-13,91.81,91.81,89.86,90.05,15882835
2005-07-14,89.82,90.63,89.82,90.17,17945586
2005-07-15,89.84,91.11,88.9,89.47,3239354
2005-07-18,89.3,90.63,89.3,89.96,5300410
2005-07-19,90.26,90.5,89.19,89.65,14038543
2005-07-20,89.91,90.75,89.38,90.44,6366173
2005-07-21,90.79,90.97,90.19,90.34,12226577
2005-07-22,90.97,90.97,89.66,90.51,18885125
2005-07-25,91.31,91.96,89.83,90.4,8167678
2005-07-26,90.11,90.5,87.69,88.87,7280911
2005-07-27,88.45,88.45,87.02,87.68,6805585
2005-07-28,87.37,88.96,87.37,88.55,4116873
2005-07-29,88.55,90.17,88.55,89.12,7720603
2005-08-01,89.02,90.26,87.8,88.49,13252347
2005-08-02,88.96,90.27,88.96,89.68,6834669
2005-08-03,90.09,93.22,90.09,93.01,4460942
2005-08-04,92.62,92.69,91.44,92.25,4718129
2005-08-05,92.22,92.41,91.87,91.91,11090688
2005-08-08,91.35,91.35,89.79,90.39,11015343
2005-08-09,90.39,91.45,90.39,91.45,25790762
2005-08-10,91.19,91.19,90.85,90.98,11841839
2005-08-11,90.95,92.78,90.95,92.74,5074510
2005-08-12,92.79,94.72,92.79,94.04,9139953
2005-08-15,94.08,94.93,93.62,93.82,13496977
2005-08-16,94.39,94.95,94.39,94.6,9768695
2005-08-17,94.81,94.81,93.42,93.6,10523429
2005-08-18,93.68,95.99,92.87,93.6,10838117
2005-08-19,93.47,93.47,91.68,92.06,8516495
2005-08-22,92.0,94.03,92.0,93.1,15332045
2005-08-23,92.98,93.04,92.17,92.97,18594511
2005-08-24,93.21,94.74,91.91,93.98,12029470
2005-08-25,93.74,94.93,93.21,94.08,7797828
2005-08-26,94.18,95.08,94.04,94.39,9140842
2005-08-29,95.05,95.13,93.28,93.99,6138236
2005-08-30,94.09,94.71,94.09,94.38,3221130
2005-08-31,94.66,97.17,94.66,96.82,10336389
2005-09-01,96.41,98.01,95.84,96.99,4324502
2005-09-02,96.77,96.77,92.88,93.67,13491948
2005-09-05,93.79,93.79,91.8,91.99,12146538
2005-09-06,92.42,93.46,92.42,93.14,18076136
2005-09-07,93.58,94.56,92.79,92.91,15111735
2005-09-08,93.34,93.34,92.91,93.22,11953845
2005-09-09,93.14,93.14,91.73,92.29,24466052
2005-09-12,92.45,92.45,88.6,90.06,5186207
2005-09-13,90.22,90.22,88.36,88.55,2955588
2005-09-14,88.71,88.71,86.9,87.47,11898880
2005-09-15,87.62,90.17,87.62,89.15,25821251
2005-09-16,89.78,89.78,89.38,89.4,11404439
2005-09-19,89.48,89.48,89.27,89.36,5208182
2005-09-20,89.72,89.72,87.43,87.58,6001655
2005-09-21,87.08,90.06,87.08,89.1,7047917
2005-09-22,88.96,89.31,88.96,89.25,10084152
2005-09-23,89.15,89.15,86.74,87.63,7241608
2005-09-26,87.73,87.87,87.02,87.52,4352778
2005-09-27,87.42,87.88,87.42,87.67,2251157
2005-09-28,87.68,87.68,83.79,85.19,36236298
2005-09-29,85.02,85.02,84.31,84.74,8498674
