date,open,high,low,close,volume
2005-01-03,109.01,109.28,108.2,109.05,10036616
2005-01-04,109.33,109.38,106.52,107.89,11992578
2005-01-05,107.17,107.17,103.68,105.45,13621281
2005-01-06,105.76,105.76,104.43,105.66,8603642
2005-01-07,105.64,106.33,103.92,105.38,4263022
2005-01-10,105.39,108.51,105.39,107.77,13100456
2005-01-11,107.92,113.22,107.92,112.16,7654612
2005-01-12,112.98,112.98,108.87,109.08,4972366
2005-01-13,109.23,110.7,107.94,108.67,17871356
2005-01-14,108.61,108.61,105.56,105.92,10069350
2005-01-17,105.53,107.76,105.53,106.77,6681323
2005-01-18,106.73,110.5,106.73,108.7,11546638
2005-01-19,109.91,109.91,106.78,107.73,13867334
2005-01-20,107.02,107.12,105.03,105.63,12587772
2005-01-21,105.43,108.17,105.43,107.25,7324468
2005-01-24,107.06,107.06,104.49,105.41,9311450
2005-01-25,104.87,106.19,104.87,105.99,8602774
2005-01-26,105.62,107.19,105.42,105.68,4101282
2005-01-27,106.57,106.57,104.26,105.63,16349507
2005-01-28,105.63,107.58,105.63,106.8,7789838
2005-01-31,106.23,109.79,106.23,109.16,11608159
2005-02-01,108.74,109.78,108.74,109.7,7930896
2005-02-02,110.14,110.14,108.36,108.48,5950706
2005-02-03,107.37,109.23,105.95,108.37,12880561
2005-02-04,108.19,108.19,106.53,106.56,5593370
2005-02-07,105.98,108.84,105.98,108.41,14625592
2005-02-08,108.27,108.27,104.85,105.05,16293759
2005-02-09,104.74,104.86,103.39,104.42,6333682
2005-02-10,104.35,105.77,103.76,105.25,6399392
2005-02-11,105.29,108.83,105.29,106.8,5673887
2005-02-14,106.82,108.05,106.82,107.6,6589417
2005-02-15,106.98,112.78,106.98,111.47,9355855
2005-02-16,111.83,114.65,111.83,113.84,15352820
2005-02-17,112.91,115.32,112.91,115.05,12061241
2005-02-18,115.34,115.34,111.72,111.83,7974833
2005-02-21,112.6,114.99,112.6,114.73,7932438
2005-02-22,114.9,115.82,113.02,114.91,10269086
2005-02-23,113.92,116.12,113.92,115.15,6073620
