date,open,high,low,close,volume
2005-01-03,114.76,115.82,112.3,114.32,16770080
2005-01-04,113.82,113.82,111.03,112.19,15899175
2005-01-05,112.54,112.54,110.69,111.44,10126009
2005-01-06,111.41,112.6,111.41,112.49,2952543
2005-01-07,112.78,117.65,112.78,117.31,7150340
2005-01-10,117.77,117.77,115.6,115.75,7965776
2005-01-11,116.25,121.45,116.25,121.24,9999990
2005-01-12,121.68,127.11,121.68,125.14,12590155
2005-01-13,125.58,125.58,123.65,123.92,7278260
2005-01-14,124.27,127.05,124.27,126.03,8146149
2005-01-17,125.05,127.71,125.05,127.37,6979935
2005-01-18,126.73,128.5,126.73,128.38,8497855
2005-01-19,127.97,127.97,124.66,125.38,7454749
2005-01-20,124.52,126.09,124.52,125.97,8658927
2005-01-21,125.46,128.36,125.46,127.27,10567086
2005-01-24,126.67,127.17,125.03,126.66,10255199
2005-01-25,126.86,128.32,126.86,127.27,6570221
2005-01-26,127.42,129.09,126.89,127.0,6533040
2005-01-27,127.36,129.12,126.45,126.87,5801466
2005-01-28,126.73,126.73,120.45,120.53,14826478
2005-01-31,120.52,120.52,118.49,118.95,6443061
2005-02-01,119.06,119.06,115.68,116.75,23398076
2005-02-02,117.15,118.28,116.48,117.46,29917218
2005-02-03,116.36,119.33,115.88,117.66,17905720
2005-02-04,117.85,118.25,115.68,118.18,10653959
2005-02-07,117.93,119.25,116.7,117.8,7795770
2005-02-08,118.12,121.14,118.12,120.98,11396350
2005-02-09,120.97,120.97,118.1,118.99,14185403
2005-02-10,119.05,119.05,117.38,117.42,6535104
2005-02-11,117.57,119.8,115.22,118.37,5338221
2005-02-14,119.03,124.14,119.03,123.93,9621309
2005-02-15,125.35,126.43,124.58,124.95,6078305
2005-02-16,124.93,128.39,124.93,128.3,10660044
2005-02-17,128.56,130.38,128.56,129.77,7252053
2005-02-18,129.64,129.64,123.84,125.41,10991639
2005-02-21,125.76,127.82,125.76,127.43,3636536
2005-02-22,127.24,127.24,125.15,126.04,25636153
2005-02-23,126.26,130.25,126.26,129.47,5743588
2005-02-24,130.03,130.13,129.21,129.68,7661861
2005-02-25,129.9,130.3,126.19,128.87,7812991
2005-02-28,128.72,128.72,127.16,127.53,4782013
2005-03-01,127.64,133.63,127.64,131.4,13253715
2005-03-02,131.31,132.45,128.68,130.87,9513661
2005-03-03,131.28,131.28,126.51,129.66,7665740
2005-03-04,130.33,130.33,128.22,129.24,8049549
2005-03-07,128.79,128.79,125.39,126.43,14022081
2005-03-08,125.63,130.15,125.63,128.03,3967225
2005-03-09,127.62,131.88,127.62,130.48,7270581
2005-03-10,131.05,134.89,131.05,132.98,16658120
2005-03-11,133.85,134.21,132.4,132.45,16566781
2005-03-14,132.76,133.08,132.76,132.88,12915072
2005-03-15,133.96,138.02,133.96,138.02,15477759
2005-03-16,138.79,142.24,138.79,140.52,13857334
2005-03-17,140.78,140.78,136.04,138.08,8360590
2005-03-18,139.54,139.54,136.83,138.05,13828131
2005-03-21,138.48,138.48,134.82,135.59,10251152
2005-03-22,136.21,137.39,136.21,137.3,3962583
2005-03-23,137.44,139.65,137.32,137.71,13851442
2005-03-24,137.77,138.12,136.62,137.64,15506053
2005-03-25,137.58,138.36,135.83,137.03,14528182
2005-03-28,137.13,137.13,132.4,133.18,9696346
2005-03-29,133.69,135.39,133.69,134.87,7653299
2005-03-30,135.4,135.4,128.55,131.78,29026627
2005-03-31,131.01,132.61,130.64,131.19,8822470
2005-04-01,130.87,130.87,128.67,130.37,9463151
2005-04-04,129.9,132.23,129.32,132.21,9030539
2005-04-05,132.41,132.87,132.41,132.8,5165174
2005-04-06,132.31,135.71,131.96,134.86,7550766
2005-04-07,135.36,137.38,135.36,137.23,6254319
2005-04-08,137.44,143.18,137.44,142.19,26620348
2005-04-11,142.14,142.93,139.39,142.84,4224236
2005-04-12,142.8,145.86,142.8,145.09,10452894
2005-04-13,145.72,145.72,143.09,143.92,2150768
2005-04-14,143.35,145.05,141.46,143.23,14354160
2005-04-15,144.15,144.15,140.74,141.58,9961662
2005-04-18,141.0,143.14,141.0,142.67,9970083
2005-04-19,142.63,143.52,142.63,143.5,9596345
