date,open,high,low,close,volume
2005-01-03,91.65,92.34,91.38,91.7,9427436
2005-01-04,91.81,91.81,89.81,90.34,10363416
2005-01-05,90.27,92.66,90.27,91.67,6023533
2005-01-06,91.51,95.32,91.51,93.68,22752633
2005-01-07,93.5,95.3,93.5,94.79,6128681
2005-01-10,95.39,98.63,95.39,97.46,11492617
2005-01-11,97.4,98.71,96.38,97.52,12780175
2005-01-12,96.9,100.23,96.9,98.98,11372541
2005-01-13,99.09,99.09,96.04,96.65,13506106
2005-01-14,97.02,97.25,96.42,96.94,10753287
2005-01-17,96.64,98.14,96.64,97.93,8064106
2005-01-18,98.53,100.23,98.53,99.75,4675315
2005-01-19,100.44,102.28,100.44,101.85,12287543
2005-01-20,101.74,103.58,101.74,103.35,8042192
2005-01-21,103.28,106.68,103.28,105.88,7083559
2005-01-24,106.98,108.03,106.61,107.65,7745169
2005-01-25,107.39,109.22,107.21,108.41,11819092
2005-01-26,108.26,108.26,104.95,106.69,7228609
2005-01-27,106.42,108.21,106.42,107.52,6680103
2005-01-28,107.61,107.61,104.23,106.21,10095672
2005-01-31,106.19,108.44,105.84,106.32,11553418
2005-02-01,106.7,106.7,105.07,105.16,13178426
2005-02-02,106.43,106.43,101.1,101.72,8884172
2005-02-03,102.33,102.33,98.89,99.96,7904989
2005-02-04,100.16,100.16,99.38,99.56,6081529
2005-02-07,99.96,99.96,96.8,98.02,16039640
2005-02-08,98.08,99.44,97.39,98.08,15131954
2005-02-09,97.97,100.46,97.97,99.68,7969186
2005-02-10,99.57,103.16,99.57,102.24,11704715
2005-02-11,102.45,102.45,100.6,101.41,9369222
2005-02-14,101.83,101.86,99.89,100.57,14703175
2005-02-15,100.61,100.61,98.16,98.82,15382656
2005-02-16,98.42,99.41,97.26,97.8,9190270
2005-02-17,97.69,100.26,97.69,99.5,7516486
2005-02-18,99.07,99.07,96.42,97.35,4161801
2005-02-21,96.98,98.56,96.98,98.03,4247476
2005-02-22,98.47,98.67,97.66,98.32,7617339
2005-02-23,97.51,100.6,97.51,99.8,7673883
2005-02-24,100.09,102.49,99.87,102.35,21115541
2005-02-25,102.59,103.02,102.37,102.49,8366642
2005-02-28,102.65,103.55,101.98,102.13,3432541
2005-03-01,101.58,107.29,101.58,106.76,5482824
2005-03-02,106.95,106.95,103.08,104.08,6290540
2005-03-03,103.75,103.8,102.62,103.47,5783903
2005-03-04,103.47,104.76,102.33,104.59,5880944
2005-03-07,103.86,106.18,103.86,105.15,4858839
2005-03-08,105.66,105.66,104.53,104.62,7689984
2005-03-09,104.97,104.97,101.3,101.76,12038501
2005-03-10,101.34,101.51,100.6,101.25,14299748
2005-03-11,101.76,103.28,99.37,101.26,5344395
2005-03-14,100.84,103.87,100.84,103.23,4495864
2005-03-15,103.42,106.14,103.42,104.52,9871877
2005-03-16,104.2,105.73,104.2,105.39,8104151
2005-03-17,105.37,105.37,103.99,104.0,13259060
2005-03-18,103.62,103.62,101.67,102.49,32505519
2005-03-21,102.46,102.46,99.12,99.32,12964379
2005-03-22,99.61,100.54,99.07,99.15,8359893
2005-03-23,98.65,98.75,98.13,98.41,9023040
2005-03-24,98.62,98.87,97.26,97.93,8424973
2005-03-25,98.03,99.14,97.18,97.51,7144498
2005-03-28,97.08,100.3,97.08,99.83,16250459
2005-03-29,99.84,100.87,97.93,98.53,3702800
2005-03-30,98.2,98.55,96.58,97.26,17256747
2005-03-31,97.08,98.38,97.08,98.29,7661991
2005-04-01,97.95,100.4,97.95,99.14,17557437
2005-04-04,98.96,101.69,98.96,100.88,8634736
2005-04-05,101.52,101.52,99.53,99.93,10340388
2005-04-06,99.25,99.88,98.52,99.72,5439232
2005-04-07,100.5,101.78,99.11,101.4,3249334
2005-04-08,101.39,101.39,98.97,100.64,14595721
2005-04-11,101.44,103.88,101.44,103.38,10088095
2005-04-12,103.28,104.29,102.06,103.74,12680294
2005-04-13,104.11,104.11,101.34,102.08,7457725
2005-04-14,102.65,102.65,100.61,100.72,5822723
2005-04-15,100.24,101.48,100.24,101.24,14071636
2005-04-18,101.63,106.06,101.63,103.58,10185639
2005-04-19,103.85,105.62,103.85,105.3,4086291
2005-04-20,105.85,105.85,103.61,104.18,7985246
2005-04-21,104.24,104.24,101.92,103.69,4165260
2005-04-22,104.18,104.56,103.34,104.37,19229313
2005-04-25,104.94,105.94,104.62,105.33,9266770
2005-04-26,105.84,105.84,103.7,104.84,26419875
2005-04-27,104.57,105.64,103.21,104.19,16396025
2005-04-28,104.63,104.63,101.24,102.28,10946707
2005-04-29,101.43,102.46,101.14,101.59,7836004
2005-05-02,101.83,103.92,101.83,103.86,11124609
2005-05-03,103.43,104.04,101.37,102.33,16271656
2005-05-04,101.52,101.52,99.6,100.13,3990691
2005-05-05,100.26,100.26,96.93,97.32,5975861
2005-05-06,97.32,99.4,95.92,96.73,5443055
2005-05-09,96.24,97.32,96.24,97.04,14645741
2005-05-10,96.21,97.79,96.21,97.01,4408575
2005-05-11,96.59,96.96,95.76,96.44,10481735
2005-05-12,96.93,98.68,96.28,96.74,12925377
2005-05-13,95.62,96.66,94.72,95.34,14427522
2005-05-16,95.41,95.41,94.28,94.85,5798772
2005-05-17,95.0,95.0,93.71,94.4,9652280
2005-05-18,94.13,96.98,94.13,96.84,9139699
2005-05-19,96.17,96.17,93.49,95.17,23872432
2005-05-20,95.81,96.01,94.45,95.43,20309309
2005-05-23,95.44,95.86,93.71,95.27,12320006
2005-05-24,95.35,96.82,94.99,95.89,7281915
2005-05-25,95.42,97.05,95.42,96.56,11370075
2005-05-26,96.55,98.21,96.34,97.33,5193421
2005-05-27,96.91,99.94,96.91,99.74,3784712
2005-05-30,99.78,99.78,98.18,99.24,7355527
2005-05-31,99.03,102.53,99.03,102.31,14890680
2005-06-01,102.3,105.09,102.3,103.84,18218140
2005-06-02,104.46,104.46,100.78,101.27,6467382
2005-06-03,102.1,103.06,102.1,102.3,11215326
2005-06-06,102.08,103.53,101.52,102.36,15913963
2005-06-07,102.35,102.99,101.34,102.13,20417882
2005-06-08,102.73,102.73,100.35,101.28,10956195
2005-06-09,101.33,101.34,100.33,100.68,14149272
2005-06-10,101.89,101.89,98.67,99.41,8448640
2005-06-13,99.25,99.25,96.59,97.61,8164923
2005-06-14,97.23,99.76,97.23,98.65,10663847
2005-06-15,98.33,98.82,96.26,97.86,6751590
2005-06-16,97.73,101.39,97.73,99.94,4015884
2005-06-17,99.67,99.67,95.48,96.06,9370399
2005-06-20,95.45,96.45,94.42,95.94,12161633
2005-06-21,96.11,96.11,95.29,95.7,6816579
2005-06-22,95.76,95.76,93.13,93.97,8998111
2005-06-23,94.32,94.32,92.52,93.08,3626247
2005-06-24,92.67,95.93,92.67,95.89,8132615
2005-06-27,95.85,95.85,92.79,93.52,13123414
2005-06-28,93.99,95.86,92.92,94.41,4624505
2005-06-29,94.49,95.68,94.49,95.13,17630031
2005-06-30,95.37,95.37,89.74,91.17,5118440
2005-07-01,91.25,91.25,88.81,88.82,5799987
2005-07-04,89.23,89.27,87.3,88.61,9532111
2005-07-05,88.78,88.78,87.43,87.8,14801965
2005-07-06,88.11,88.11,86.87,87.24,7102450
2005-07-07,87.89,87.89,86.31,86.49,14434048
2005-07-08,86.66,86.66,84.68,85.39,19084480
2005-07-11,85.58,89.26,85.58,88.12,8177665
2005-07-12,88.38,88.48,88.05,88.48,14106992
2005-07-13,89.4,89.4,88.41,88.63,11981046
2005-07-14,88.83,88.83,87.32,87.59,11327600
2005-07-15,87.29,87.29,85.91,86.57,6700932
2005-07-18,86.68,87.92,86.53,87.83,7795561
2005-07-19,87.56,87.56,85.98,87.21,15827644
2005-07-20,87.22,89.71,87.22,88.82,10232526
2005-07-21,88.15,91.35,88.15,89.94,9500705
2005-07-22,88.98,88.98,88.36,88.67,4435835
2005-07-25,88.8,88.8,86.57,87.73,6982425
2005-07-26,87.84,87.84,85.25,85.99,4286889
2005-07-27,86.47,86.47,84.76,84.85,5679402
2005-07-28,84.7,84.7,82.27,82.37,4521164
2005-07-29,82.34,82.34,80.24,81.71,10466513
2005-08-01,82.42,82.55,81.67,82.3,4871971
2005-08-02,82.2,83.95,82.2,83.34,11394098
