date,open,high,low,close,volume
2005-01-03,58.18,58.93,57.71,58.03,6054560
2005-01-04,58.16,59.68,58.16,59.57,4577792
2005-01-05,60.18,60.18,58.97,59.0,4610184
2005-01-06,58.49,58.86,58.24,58.78,17557777
2005-01-07,58.86,60.84,58.86,60.55,10608716
2005-01-10,60.92,60.92,59.96,59.98,8677426
2005-01-11,60.5,60.53,59.3,60.39,5467783
2005-01-12,60.67,63.47,60.07,61.78,10574714
2005-01-13,62.07,62.18,61.03,61.34,15428550
2005-01-14,61.26,61.99,60.62,61.3,7362783
2005-01-17,60.65,60.65,58.91,59.88,4530298
2005-01-18,59.79,61.72,59.79,61.36,3477423
2005-01-19,61.29,61.29,60.46,60.74,4033899
2005-01-20,61.08,61.57,60.86,61.45,9755006
2005-01-21,61.81,61.98,60.86,61.78,14506435
2005-01-24,61.63,61.63,61.07,61.35,6909663
2005-01-25,61.55,61.83,61.1,61.56,9345215
2005-01-26,62.01,62.88,62.01,62.56,13629515
2005-01-27,62.19,62.24,60.7,61.18,4837879
2005-01-28,60.82,62.56,60.82,62.42,12442042
2005-01-31,62.53,62.53,61.06,61.47,5412161
2005-02-01,61.52,62.8,61.52,62.47,4275432
2005-02-02,62.81,64.07,62.81,63.44,3775221
2005-02-03,63.09,64.07,63.08,63.28,8552876
2005-02-04,63.14,63.14,62.45,62.75,4967846
2005-02-07,62.61,62.61,60.46,60.78,8102197
2005-02-08,60.99,61.39,60.15,60.77,14182865
2005-02-09,61.11,61.87,60.31,61.43,9685292
2005-02-10,61.52,63.04,61.52,62.87,6358862
2005-02-11,62.8,63.02,61.77,62.26,8036362
2005-02-14,62.63,62.63,61.65,61.69,5754998
2005-02-15,61.39,61.39,60.83,61.16,3626727
2005-02-16,61.39,61.53,60.65,60.89,24888482
2005-02-17,60.74,60.74,59.76,60.19,11525775
2005-02-18,59.69,60.52,59.69,59.94,2920039
2005-02-21,60.1,61.04,60.1,60.97,15003699
2005-02-22,60.94,61.15,60.69,61.01,8357719
2005-02-23,60.76,61.31,59.96,60.5,6854991
2005-02-24,60.23,60.23,58.33,59.52,8614794
2005-02-25,59.18,59.29,58.49,58.81,5335968
2005-02-28,58.28,58.97,58.28,58.82,23997834
2005-03-01,58.57,60.29,58.57,60.07,22844574
2005-03-02,59.72,62.31,59.72,61.88,4952023
2005-03-03,61.48,63.03,61.48,62.84,10489403
2005-03-04,62.86,65.27,62.86,63.98,17387280
2005-03-07,63.76,67.16,63.76,67.03,7221265
2005-03-08,67.38,67.38,66.68,66.8,17684232
2005-03-09,66.87,67.26,66.7,66.75,25274191
2005-03-10,66.57,66.57,65.23,65.72,12450249
2005-03-11,66.1,66.79,65.65,65.77,2322485
2005-03-14,65.9,66.65,65.9,66.2,6108308
2005-03-15,66.34,66.4,65.41,65.76,14901120
2005-03-16,65.57,65.93,64.94,65.23,9825334
2005-03-17,64.45,67.84,64.45,66.73,6962371
2005-03-18,66.95,66.95,63.96,64.38,19569122
2005-03-21,63.73,66.01,63.73,65.97,4178545
2005-03-22,65.99,65.99,64.85,65.57,14339721
2005-03-23,65.34,65.34,63.05,63.67,13495964
2005-03-24,63.35,64.27,63.35,64.14,19887875
2005-03-25,63.76,64.98,63.76,64.58,9589170
2005-03-28,64.66,65.69,64.5,65.5,4479108
2005-03-29,64.81,65.92,64.81,65.81,17789286
2005-03-30,65.92,66.82,65.91,66.46,13027393
2005-03-31,66.81,67.75,66.51,66.77,3605410
2005-04-01,66.77,67.02,66.13,66.44,13855877
2005-04-04,66.17,67.07,66.17,66.62,8193991
2005-04-05,66.34,67.18,66.34,66.72,9210496
2005-04-06,66.86,67.29,66.62,66.99,22031594
2005-04-07,67.0,69.43,67.0,69.02,9301270
2005-04-08,69.21,70.41,69.21,69.95,14807025
2005-04-11,70.03,71.07,70.03,70.51,4007512
2005-04-12,71.11,71.38,69.98,71.07,11516974
2005-04-13,70.96,72.22,70.82,71.49,11806627
2005-04-14,71.4,73.47,71.4,72.99,3123690
2005-04-15,73.4,73.4,72.11,72.43,6750629
2005-04-18,72.56,73.39,71.92,73.0,9193777
2005-04-19,73.28,73.28,70.78,71.8,4621011
2005-04-20,71.95,72.4,71.95,72.28,7367257
2005-04-21,72.34,73.18,72.32,72.91,5957640
2005-04-22,73.82,73.82,71.14,71.39,2967115
2005-04-25,71.48,71.48,70.0,70.06,17807823
2005-04-26,69.99,71.87,69.99,70.88,7177834
2005-04-27,70.55,70.8,70.26,70.64,16845449
2005-04-28,70.72,70.72,69.29,69.34,10663760
2005-04-29,69.43,70.15,69.43,69.91,6044757
2005-05-02,69.43,69.63,67.54,68.52,7662576
2005-05-03,68.69,69.84,68.62,69.02,5246804
2005-05-04,68.53,68.53,68.24,68.25,8064662
2005-05-05,68.56,68.56,67.61,68.41,4933833
2005-05-06,68.55,68.55,67.4,67.54,11589496
2005-05-09,67.63,67.63,66.49,66.62,16841444
2005-05-10,66.73,67.36,66.24,67.1,7127464
2005-05-11,67.14,67.14,66.15,66.32,11447475
2005-05-12,66.32,66.32,64.99,65.79,9760399
2005-05-13,65.78,65.78,63.91,64.97,4719228
2005-05-16,64.55,66.52,64.55,66.27,7156588
2005-05-17,65.66,65.78,63.69,65.09,16354751
2005-05-18,65.49,65.7,64.74,65.65,9659934
2005-05-19,65.28,65.28,64.53,64.61,7529596
2005-05-20,64.56,66.07,64.56,65.85,5810108
2005-05-23,65.86,66.78,65.56,66.52,5642030
2005-05-24,66.67,66.67,65.2,65.74,8395463
2005-05-25,66.18,66.18,65.19,65.55,9631452
2005-05-26,65.05,65.18,64.62,65.11,6296055
2005-05-27,65.41,66.53,65.13,66.12,3447001
2005-05-30,66.48,68.13,66.48,67.68,5502348
2005-05-31,67.6,71.47,67.6,71.18,6454853
2005-06-01,71.49,72.05,70.22,70.94,11464325
2005-06-02,70.41,73.75,70.41,72.98,21014295
2005-06-03,72.18,75.11,72.18,74.74,6881258
2005-06-06,74.62,76.05,74.62,75.15,16905925
2005-06-07,75.39,75.39,74.26,75.25,10273808
2005-06-08,74.99,75.52,74.91,75.12,6532168
2005-06-09,75.3,77.17,75.3,75.96,7296230
2005-06-10,76.0,76.0,74.7,74.82,15628488
2005-06-13,74.38,77.52,74.38,76.35,1265994
2005-06-14,76.05,78.33,76.05,77.75,23085108
2005-06-15,78.15,78.15,76.5,76.88,10657809
2005-06-16,76.94,77.66,76.94,77.6,20842899
2005-06-17,77.55,78.9,77.55,77.88,8054400
2005-06-20,78.01,78.46,78.01,78.25,9587741
2005-06-21,78.3,78.88,78.3,78.79,9006868
2005-06-22,78.81,79.7,78.6,78.84,13870562
2005-06-23,78.67,80.33,78.67,79.37,9417774
2005-06-24,78.83,80.94,78.83,80.0,5810673
2005-06-27,80.12,83.62,80.12,83.23,5351400
2005-06-28,82.69,82.78,82.28,82.63,12533237
2005-06-29,81.93,82.98,81.93,82.23,8326063
2005-06-30,82.07,82.3,81.57,81.74,14270979
2005-07-01,81.38,83.69,81.38,82.88,14166587
2005-07-04,82.84,84.69,82.84,84.31,5092816
2005-07-05,85.12,85.12,83.97,84.5,7140840
2005-07-06,84.94,84.94,82.9,82.97,19876803
2005-07-07,83.88,83.88,82.46,82.93,10446958
2005-07-08,82.83,85.33,82.83,84.02,5607164
2005-07-11,84.29,84.64,84.14,84.32,14669641
2005-07-12,84.33,84.33,78.49,80.71,4578651
2005-07-13,81.18,81.18,79.59,80.17,3720472
2005-07-14,79.95,81.49,79.91,81.48,17425219
2005-07-15,81.12,81.25,80.63,81.19,6381381
2005-07-18,81.3,81.38,79.67,80.86,13811866
2005-07-19,80.38,80.57,78.82,79.61,6446786
2005-07-20,79.86,79.86,77.67,78.34,20147304
2005-07-21,78.69,79.81,78.69,79.59,3521362
2005-07-22,79.5,79.5,77.15,77.67,9515891
2005-07-25,77.47,81.14,77.47,80.03,10632394
2005-07-26,80.13,81.67,79.54,80.27,11096206
2005-07-27,80.78,80.78,78.86,79.38,6862063
2005-07-28,79.76,79.76,77.73,78.02,5801876
2005-07-29,77.93,78.97,77.93,78.63,4051551
2005-08-01,78.52,79.73,78.52,79.56,9777059
2005-08-02,79.84,81.35,79.84,81.01,10943328
2005-08-03,81.21,81.21,80.21,80.4,13224579
2005-08-04,79.77,81.53,79.77,80.94,4421383
2005-08-05,81.12,83.0,81.12,82.73,12819735
2005-08-08,82.58,84.7,81.24,83.66,5144130
2005-08-09,83.62,83.62,82.58,83.05,15144337
2005-08-10,83.31,85.29,83.31,84.83,10213232
2005-08-11,84.99,84.99,83.43,84.16,44435748
2005-08-12,83.8,84.85,83.8,84.4,16069471
2005-08-15,84.27,85.16,83.69,85.06,5015897
2005-08-16,84.3,84.3,82.49,82.74,8510419
2005-08-17,82.49,83.48,82.49,83.21,4292320
2005-08-18,82.51,84.9,82.51,84.25,5587552
2005-08-19,85.18,85.39,83.94,84.59,6116842
2005-08-22,83.98,84.06,83.07,83.48,8331541
2005-08-23,83.26,83.39,82.95,83.15,5289389
2005-08-24,83.27,85.5,83.27,85.32,3911057
2005-08-25,85.34,86.1,85.02,85.25,2930596
2005-08-26,85.1,86.88,85.1,86.45,13268356
2005-08-29,85.8,86.43,84.75,85.02,7272896
2005-08-30,84.83,85.63,84.7,85.33,15464041
2005-08-31,84.81,86.59,84.81,86.01,4546517
2005-09-01,86.15,86.15,81.82,82.94,6701405
2005-09-02,82.12,84.61,82.12,83.4,10304406
2005-09-05,83.6,84.11,83.29,83.71,17552633
2005-09-06,83.37,87.29,83.37,87.12,21580540
2005-09-07,87.16,88.45,87.16,88.36,1783452
2005-09-08,88.05,88.05,87.73,87.98,14670539
2005-09-09,88.0,88.0,86.84,87.43,5524826
2005-09-12,87.27,87.27,84.06,84.7,9388297
2005-09-13,85.03,85.03,81.01,82.82,6803202
2005-09-14,82.5,83.43,82.5,82.8,9091040
2005-09-15,82.7,85.5,82.7,85.09,5348138
2005-09-16,84.84,86.74,84.84,86.52,11457988
2005-09-19,86.95,86.95,86.02,86.81,14824452
2005-09-20,86.85,90.86,86.85,89.23,21448733
2005-09-21,88.17,88.17,86.57,87.89,8342604
2005-09-22,88.3,89.71,87.32,88.01,16309669
2005-09-23,87.74,87.74,86.81,87.24,7484126
2005-09-26,87.23,89.22,87.23,88.66,49594924
2005-09-27,88.77,91.51,88.77,91.05,10066400
2005-09-28,91.17,91.8,89.78,90.49,19648275
2005-09-29,90.49,90.49,88.01,89.4,9137270
2005-09-30,88.8,92.06,88.8,91.68,5672689
2005-10-03,91.95,91.95,90.94,91.19,6590186
2005-10-04,91.43,92.64,91.09,91.79,8560045
