date,open,high,low,close,volume
2005-01-03,65.59,67.12,64.67,65.94,6892883
2005-01-04,66.1,67.82,66.01,66.8,31809346
2005-01-05,67.12,67.34,66.76,66.89,11679904
2005-01-06,67.35,68.43,67.35,68.25,8669974
2005-01-07,68.45,68.45,66.59,67.06,4130805
2005-01-10,66.91,66.91,64.24,65.68,8319233
2005-01-11,65.36,66.72,65.36,66.19,18417777
2005-01-12,66.35,67.53,66.35,67.01,7620213
2005-01-13,67.11,67.11,65.59,65.76,1984317
2005-01-14,66.35,66.35,63.36,64.95,16948277
2005-01-17,64.88,65.22,63.97,64.88,7811487
2005-01-18,65.63,66.01,64.97,65.62,7114990
2005-01-19,65.02,65.02,62.81,63.33,7419612
2005-01-20,63.01,65.52,63.01,65.43,6071345
2005-01-21,65.87,66.51,64.49,65.44,3826570
2005-01-24,65.68,68.67,65.68,67.79,26145748
2005-01-25,67.4,68.11,67.15,67.56,6510036
2005-01-26,67.55,67.55,66.59,66.68,3064871
2005-01-27,66.93,69.98,66.93,68.73,4064377
2005-01-28,69.25,69.25,65.28,66.5,20525419
2005-01-31,66.88,66.88,65.12,65.69,6410563
2005-02-01,65.32,65.38,64.91,65.19,8928496
2005-02-02,65.24,65.24,63.92,63.93,7569762
2005-02-03,64.15,66.3,64.15,66.07,14746507
2005-02-04,66.57,66.57,64.34,64.47,11213111
2005-02-07,63.67,65.03,63.32,63.9,8785956
2005-02-08,63.75,66.69,63.75,66.07,4181340
2005-02-09,65.89,65.89,64.04,64.46,5425347
2005-02-10,64.68,66.08,64.3,65.11,11098733
2005-02-11,65.34,70.01,65.34,69.15,2961258
2005-02-14,68.63,68.63,65.79,66.0,11347834
2005-02-15,66.85,67.2,65.63,66.59,13836320
2005-02-16,65.93,68.33,65.93,66.68,6104559
2005-02-17,67.74,67.74,63.14,63.48,5401336
2005-02-18,62.54,66.08,62.54,65.57,5623792
2005-02-21,65.84,65.84,62.6,64.28,3323430
2005-02-22,64.3,64.3,62.95,62.97,8643173
2005-02-23,63.13,63.78,61.69,62.25,10637421
2005-02-24,61.98,67.82,61.98,67.54,13908914
2005-02-25,67.32,68.68,67.32,68.59,6234966
2005-02-28,68.29,68.29,66.46,66.93,13144263
2005-03-01,66.33,66.33,65.05,65.13,16004437
2005-03-02,65.02,65.74,64.49,64.88,8424798
2005-03-03,64.92,64.92,64.68,64.81,27482661
2005-03-04,64.81,65.38,64.17,64.38,9599436
2005-03-07,64.27,65.58,63.68,65.57,7285606
2005-03-08,64.78,67.59,64.78,66.75,5253007
2005-03-09,66.36,69.98,66.36,69.57,5588252
2005-03-10,69.47,69.96,68.48,68.97,9326872
2005-03-11,69.01,69.01,67.72,68.06,12015666
2005-03-14,67.45,69.68,67.45,68.72,5292334
2005-03-15,68.32,68.32,67.1,67.73,15097478
2005-03-16,67.61,67.96,67.45,67.57,6302164
2005-03-17,67.64,68.13,65.56,67.03,6655516
2005-03-18,66.87,67.21,65.3,66.62,10712226
2005-03-21,66.53,66.53,64.68,65.36,5573269
2005-03-22,65.21,66.6,65.16,65.28,8154358
