date,open,high,low,close,volume
2005-01-03,86.41,87.13,86.13,86.25,3791646
2005-01-04,85.78,85.78,85.27,85.3,8526939
2005-01-05,85.16,86.9,85.16,86.42,7636861
2005-01-06,86.32,86.78,84.97,86.12,11778603
2005-01-07,86.22,86.22,84.56,85.37,9814541
2005-01-10,85.05,86.62,85.05,85.9,5999258
2005-01-11,86.11,86.45,85.06,85.69,6780862
2005-01-12,85.71,86.07,83.98,85.24,10592011
2005-01-13,84.96,84.96,83.34,83.73,9446617
2005-01-14,83.77,84.75,83.77,84.1,9919721
2005-01-17,84.14,85.17,84.14,84.99,10144361
2005-01-18,85.07,86.21,85.07,86.06,14135341
2005-01-19,85.74,86.83,85.74,86.57,8135721
2005-01-20,86.17,86.54,85.98,86.26,11361100
2005-01-21,86.4,88.26,86.4,87.76,16078644
2005-01-24,87.77,87.81,86.95,87.48,5331542
2005-01-25,87.64,89.86,87.64,88.84,7855570
2005-01-26,89.38,89.91,88.87,89.29,8843030
2005-01-27,89.55,89.55,87.07,88.06,11796916
2005-01-28,88.12,91.4,88.12,90.85,8015691
2005-01-31,91.1,91.1,88.18,89.63,5781872
2005-02-01,90.03,93.8,90.03,93.61,19145749
2005-02-02,93.39,94.34,92.65,93.07,9784366
2005-02-03,92.86,94.5,92.84,93.31,5151989
2005-02-04,93.43,95.15,93.43,94.96,9145950
2005-02-07,95.18,95.18,93.89,94.0,8454114
2005-02-08,94.14,94.98,93.1,94.11,10625390
2005-02-09,94.8,94.91,93.33,93.62,19438247
2005-02-10,93.75,94.82,93.41,94.11,9368427
2005-02-11,93.81,97.77,93.81,97.2,10915618
2005-02-14,96.96,98.99,96.96,98.07,10900523
2005-02-15,97.41,99.92,97.41,98.86,4311417
2005-02-16,98.31,98.43,97.24,97.41,11882383
2005-02-17,98.43,98.43,96.72,97.06,6927910
2005-02-18,96.72,98.85,96.72,98.54,4397771
2005-02-21,98.75,99.83,98.56,99.11,11716993
2005-02-22,99.01,100.52,99.01,100.41,11182127
2005-02-23,99.95,101.16,99.95,101.0,3968043
2005-02-24,101.04,104.24,101.04,103.74,19616981
2005-02-25,104.21,104.35,102.65,103.68,20885117
2005-02-28,103.67,105.82,103.67,105.52,6908148
2005-03-01,105.99,105.99,104.58,104.6,12146336
2005-03-02,104.39,106.14,104.39,105.87,11327316
2005-03-03,106.34,108.94,106.27,106.82,19390303
2005-03-04,107.08,107.24,106.15,106.61,8485396
2005-03-07,106.58,107.21,105.11,106.12,10381827
2005-03-08,106.57,106.57,102.73,102.97,4538366
2005-03-09,103.48,105.02,103.48,104.86,5193791
2005-03-10,104.85,104.85,103.34,103.72,6749431
2005-03-11,104.33,105.92,104.13,104.81,4581493
2005-03-14,104.35,104.35,102.44,103.1,11774885
2005-03-15,103.02,104.27,103.02,104.13,11766287
2005-03-16,104.34,105.1,103.4,104.55,6700963
2005-03-17,104.01,105.98,104.01,105.39,16417090
2005-03-18,105.13,105.13,104.74,104.75,7039660
2005-03-21,104.59,105.04,103.22,104.8,17306915
2005-03-22,105.03,107.8,105.03,107.13,15730570
2005-03-23,106.8,106.8,103.85,104.36,9284065
2005-03-24,104.58,104.58,101.69,102.8,6455342
2005-03-25,103.24,103.24,100.31,100.65,4067851
2005-03-28,100.36,102.42,100.36,101.38,3534470
2005-03-29,101.36,104.05,101.36,103.81,6625571
2005-03-30,104.42,104.42,101.83,102.39,7608823
2005-03-31,102.6,103.32,101.65,102.35,3930305
2005-04-01,102.56,102.56,100.67,102.12,13865246
2005-04-04,101.9,102.36,101.23,101.88,12973872
2005-04-05,101.76,105.12,101.76,103.77,10265994
2005-04-06,103.92,104.77,103.63,104.22,22892843
2005-04-07,104.24,104.24,101.65,103.43,6643754
2005-04-08,103.79,103.79,102.13,102.53,17402025
2005-04-11,102.66,107.27,102.66,106.23,9770269
2005-04-12,106.13,106.13,103.54,103.69,16203151
2005-04-13,104.07,104.07,100.61,101.09,13749232
2005-04-14,100.52,103.54,100.52,102.23,5938917
2005-04-15,102.33,102.33,102.04,102.09,7373336
2005-04-18,102.37,104.29,102.37,104.24,29073258
2005-04-19,104.58,104.58,102.22,102.58,12497542
2005-04-20,102.41,103.23,102.41,103.02,17402321
2005-04-21,102.33,104.09,102.33,103.94,5227944
2005-04-22,104.38,104.38,103.73,103.76,8241340
2005-04-25,103.91,104.52,103.67,104.19,12343842
2005-04-26,104.5,104.5,103.2,103.31,15139886
2005-04-27,103.97,106.3,103.97,105.84,8958401
2005-04-28,105.43,107.74,105.43,107.39,15248351
2005-04-29,107.23,107.23,105.81,106.34,10913090
2005-05-02,106.64,108.16,105.96,106.33,5345778
2005-05-03,106.5,108.04,106.39,106.95,4086148
2005-05-04,106.6,110.05,106.6,109.41,7123927
2005-05-05,108.89,110.45,108.89,109.91,6222449
2005-05-06,110.56,111.5,110.1,111.14,9298612
2005-05-09,111.0,112.95,111.0,112.51,7334766
2005-05-10,112.61,114.26,112.61,113.5,14187263
2005-05-11,113.74,118.37,113.74,117.23,8391174
2005-05-12,117.54,117.54,114.51,116.45,19728183
2005-05-13,116.14,119.04,116.14,117.78,9058394
2005-05-16,118.22,118.22,114.55,115.24,7128245
2005-05-17,115.82,115.82,111.51,112.27,10738801
2005-05-18,113.15,113.15,111.81,111.83,9355370
2005-05-19,111.23,115.33,111.23,114.86,7087501
2005-05-20,115.14,115.14,111.26,111.67,12263661
2005-05-23,111.53,115.89,111.53,113.93,6801821
2005-05-24,114.29,116.19,114.07,114.72,18086230
2005-05-25,114.88,115.3,113.54,113.9,9463372
2005-05-26,114.25,114.25,111.17,111.87,7501844
2005-05-27,111.11,111.11,108.64,109.04,10126437
2005-05-30,109.3,111.34,109.3,111.07,11423680
2005-05-31,110.26,112.45,110.26,112.09,9341404
2005-06-01,111.32,112.46,111.32,111.53,11190986
2005-06-02,111.56,112.12,111.56,112.05,6385094
2005-06-03,111.95,114.36,111.95,113.48,12279273
2005-06-06,112.9,114.55,112.76,113.18,13255231
2005-06-07,113.79,116.73,113.75,114.7,8632869
2005-06-08,114.23,114.23,112.68,113.43,6030002
2005-06-09,113.47,116.38,113.47,114.94,4742174
2005-06-10,114.72,116.82,114.72,115.95,5998554
2005-06-13,116.0,116.0,113.77,114.21,6549205
2005-06-14,114.01,118.46,114.01,117.6,9031855
2005-06-15,116.81,116.81,114.62,116.02,8020443
2005-06-16,116.24,117.08,115.15,116.69,6360209
2005-06-17,117.14,118.0,116.59,117.71,16830475
2005-06-20,117.07,117.07,113.07,113.62,8825752
2005-06-21,113.58,115.68,112.07,113.51,9497469
2005-06-22,113.84,115.45,112.96,113.74,5706842
2005-06-23,113.84,113.84,111.54,111.66,8530792
2005-06-24,111.55,115.5,111.55,115.34,9647802
2005-06-27,115.58,115.58,113.42,114.41,14891642
2005-06-28,113.94,116.34,113.94,116.31,10084193
2005-06-29,116.37,117.76,116.37,117.37,18454649
2005-06-30,118.07,118.41,116.1,117.69,21367067
2005-07-01,117.91,119.09,117.91,118.77,6265765
2005-07-04,119.2,121.2,117.69,119.0,5157602
2005-07-05,119.03,120.51,119.03,120.4,11415625
2005-07-06,120.47,120.95,119.4,120.07,6469705
2005-07-07,119.9,119.9,117.91,118.05,12468906
2005-07-08,118.47,119.47,117.91,118.88,7045185
2005-07-11,118.45,118.84,117.28,117.89,6984879
2005-07-12,117.81,117.81,116.23,116.83,4819425
2005-07-13,116.87,120.56,116.87,120.09,5903883
2005-07-14,120.63,120.63,117.73,117.94,6327878
2005-07-15,117.83,121.72,117.83,121.07,9479332
2005-07-18,121.15,124.57,121.15,123.19,7818782
2005-07-19,122.85,122.85,119.64,121.01,5620557
2005-07-20,120.93,122.53,119.56,121.42,8157780
2005-07-21,121.92,122.81,121.31,122.75,6309722
2005-07-22,122.53,125.2,122.53,125.14,16596707
2005-07-25,124.57,125.69,123.55,124.74,11678799
2005-07-26,125.8,126.37,124.37,125.74,15023094
2005-07-27,125.55,125.55,124.07,124.28,16529913
2005-07-28,124.17,124.17,121.92,122.78,8572842
2005-07-29,123.59,123.98,122.06,123.29,5705198
2005-08-01,124.0,126.61,124.0,125.01,4604990
2005-08-02,124.92,126.43,124.55,125.18,11247795
2005-08-03,125.45,126.44,124.72,124.93,7528937
2005-08-04,124.94,125.7,124.94,125.57,12851643
2005-08-05,126.35,126.35,122.46,123.07,6879967
2005-08-08,122.61,124.19,122.61,123.95,10598930
2005-08-09,123.4,123.4,120.4,121.73,2415676
2005-08-10,122.15,123.8,121.73,122.13,20179099
2005-08-11,122.76,122.76,121.2,121.68,7679357
2005-08-12,121.29,122.13,121.29,122.08,3460362
2005-08-15,121.49,123.26,121.11,122.44,5783231
2005-08-16,122.46,125.02,122.46,124.4,33870577
2005-08-17,124.39,125.82,123.78,125.03,5509783
2005-08-18,124.73,128.01,124.73,126.38,10637344
2005-08-19,126.08,128.42,126.08,128.22,9195569
2005-08-22,127.84,131.87,127.84,131.71,10983469
2005-08-23,132.06,133.61,131.84,133.07,7561758
2005-08-24,133.63,133.63,131.72,132.57,2052846
2005-08-25,132.84,132.84,132.21,132.37,10047796
