date,open,high,low,close,volume
2005-01-03,113.73,115.52,113.73,115.17,13920130
2005-01-04,115.25,117.69,115.25,115.69,6846833
2005-01-05,116.38,116.38,112.52,115.06,6908272
2005-01-06,114.76,117.0,114.76,116.26,6048853
2005-01-07,116.98,116.98,111.78,112.97,4729242
2005-01-10,112.03,113.58,110.25,110.81,2499886
2005-01-11,111.35,112.05,110.3,111.95,4915911
2005-01-12,112.15,112.46,108.46,112.23,12223145
2005-01-13,111.55,115.05,111.55,114.28,8922860
2005-01-14,114.65,115.99,114.65,115.91,7855817
2005-01-17,115.81,122.28,115.81,119.74,4186955
2005-01-18,119.96,119.96,117.29,117.99,5552868
2005-01-19,118.14,120.93,118.14,120.93,5581964
2005-01-20,121.36,124.5,121.36,122.96,10553131
2005-01-21,123.47,127.1,123.47,125.81,6259906
2005-01-24,125.8,127.52,125.22,126.8,3551337
2005-01-25,125.5,131.41,125.5,130.48,11512138
2005-01-26,129.61,130.74,129.61,130.34,8322726
2005-01-27,129.39,131.2,128.62,129.27,8251445
2005-01-28,130.12,133.18,128.32,131.03,11282978
2005-01-31,130.92,135.91,130.92,135.34,5729511
2005-02-01,135.77,135.77,133.56,133.94,16844766
2005-02-02,133.8,137.14,133.8,136.77,17623146
2005-02-03,137.89,142.77,137.89,142.03,7994842
2005-02-04,141.09,148.31,141.09,147.21,10702496
2005-02-07,147.68,148.79,147.55,148.76,8312171
2005-02-08,148.66,150.17,146.03,149.77,6658848
2005-02-09,150.61,150.61,148.27,149.1,2073729
2005-02-10,148.53,157.34,148.53,154.41,6377265
2005-02-11,154.26,156.8,154.26,156.53,10512044
2005-02-14,156.82,156.82,153.69,154.95,8998270
2005-02-15,154.51,154.51,151.18,153.16,9406786
2005-02-16,152.93,157.94,152.93,156.41,8215462
2005-02-17,155.33,160.83,155.33,160.32,12531481
2005-02-18,159.33,159.33,158.08,158.27,13891590
2005-02-21,157.28,164.69,157.28,164.46,5030901
2005-02-22,165.46,165.46,163.95,164.37,18445947
2005-02-23,163.22,163.89,158.35,160.56,9892304
2005-02-24,161.36,161.36,156.93,159.41,11781415
2005-02-25,160.07,160.07,155.88,157.53,2904502
2005-02-28,157.22,163.94,157.22,163.58,8990341
2005-03-01,163.44,166.67,161.71,161.98,3639844
2005-03-02,163.32,163.32,158.36,159.31,5905147
2005-03-03,158.1,163.49,158.1,162.6,10406585
2005-03-04,163.43,163.43,161.51,162.51,12841585
2005-03-07,162.67,167.31,162.67,165.47,7642401
2005-03-08,165.57,166.44,163.42,166.03,9974224
2005-03-09,165.67,170.33,165.3,167.6,13007619
2005-03-10,166.22,168.44,164.61,167.7,7369357
2005-03-11,168.66,173.05,167.99,170.13,13346875
2005-03-14,170.01,170.01,164.73,165.46,7007730
2005-03-15,165.15,165.15,159.47,159.75,5558441
2005-03-16,160.34,162.12,158.26,161.39,4964818
2005-03-17,161.29,161.4,159.3,160.6,7567233
2005-03-18,160.73,161.89,160.54,160.57,13541612
2005-03-21,160.43,160.43,157.8,159.78,13876173
2005-03-22,160.05,162.57,160.05,162.28,3385129
2005-03-23,162.72,162.72,160.95,161.78,11558264
2005-03-24,162.52,164.67,162.52,163.91,4841013
2005-03-25,164.24,164.6,161.01,161.42,11976473
2005-03-28,160.91,164.8,160.0,162.34,4861039
2005-03-29,164.04,164.04,161.25,161.61,9311801
2005-03-30,162.25,163.11,159.88,161.35,5252394
2005-03-31,160.65,163.32,158.61,160.02,14302754
2005-04-01,158.7,167.29,158.7,166.2,5683330
2005-04-04,167.57,167.57,164.64,165.65,5992967
2005-04-05,166.13,166.13,162.14,162.26,6173199
2005-04-06,162.35,166.27,162.35,165.04,5376354
2005-04-07,165.87,165.87,156.7,157.6,13351515
2005-04-08,159.07,161.92,159.06,159.81,9327520
2005-04-11,158.37,163.74,158.37,162.64,9041348
2005-04-12,162.6,168.65,162.6,166.66,16390933
2005-04-13,166.49,169.79,166.49,168.29,9865351
2005-04-14,167.9,172.31,164.91,166.47,18087311
2005-04-15,167.68,167.91,165.45,166.01,13265064
2005-04-18,166.39,166.39,163.81,165.38,12670011
2005-04-19,166.48,166.48,161.44,162.15,8909878
2005-04-20,161.99,164.37,159.17,159.92,12556645
2005-04-21,158.36,158.36,154.44,156.21,5363350
2005-04-22,156.77,157.57,155.43,155.64,4299914
2005-04-25,156.16,158.87,154.49,154.8,12857407
2005-04-26,155.14,161.01,155.14,160.62,7496880
2005-04-27,161.43,162.96,159.27,162.48,6589704
2005-04-28,162.03,169.21,162.03,165.1,3475337
2005-04-29,164.72,167.85,164.72,167.16,11437381
2005-05-02,167.95,169.59,167.27,169.18,17142260
2005-05-03,168.47,169.1,167.88,168.59,9385963
2005-05-04,169.11,169.11,165.71,166.48,3624140
2005-05-05,166.74,168.31,166.74,168.04,13745112
2005-05-06,168.36,168.56,167.03,168.11,15580607
2005-05-09,167.21,167.24,165.17,166.59,9242189
2005-05-10,167.49,168.53,167.49,167.98,4817073
2005-05-11,169.02,169.02,167.73,168.72,6884328
2005-05-12,167.68,173.95,167.68,172.93,10187682
2005-05-13,170.98,172.54,170.07,172.34,4823683
2005-05-16,173.41,178.47,173.41,178.2,5396414
2005-05-17,178.19,178.19,174.14,174.21,24736860
2005-05-18,174.15,174.18,173.0,173.82,8056354
2005-05-19,173.57,174.83,169.45,172.69,3836128
2005-05-20,172.15,175.96,172.15,175.1,7498333
2005-05-23,174.35,174.35,172.52,173.52,7464587
2005-05-24,172.98,172.98,170.13,171.83,7417760
2005-05-25,173.84,180.93,173.84,177.24,9146636
2005-05-26,177.28,177.28,173.12,174.59,7507977
2005-05-27,173.55,175.46,173.39,174.91,17088406
2005-05-30,175.87,175.87,173.33,174.77,4992744
2005-05-31,174.54,174.54,170.77,172.03,5642032
2005-06-01,171.5,171.5,165.1,166.35,4174360
2005-06-02,165.71,165.71,161.75,162.45,12708829
2005-06-03,162.79,164.53,162.65,163.92,5868058
2005-06-06,164.45,164.83,164.45,164.78,6042198
2005-06-07,163.37,167.12,163.37,166.11,5125209
2005-06-08,164.36,165.27,159.5,162.19,8737144
2005-06-09,162.05,162.05,152.91,156.1,7889188
2005-06-10,156.36,156.36,153.51,153.83,3011432
2005-06-13,153.54,157.98,153.54,156.74,7816500
2005-06-14,156.21,161.43,156.21,158.1,9592699
2005-06-15,159.3,164.1,159.3,162.6,7359108
2005-06-16,161.24,165.86,161.24,165.51,10208150
2005-06-17,164.98,166.71,163.59,166.63,14862969
2005-06-20,166.42,166.42,163.15,163.84,12633853
2005-06-21,162.23,162.61,160.39,162.11,9862264
2005-06-22,161.84,161.84,159.35,160.11,8964804
2005-06-23,159.26,171.2,159.26,170.6,9985229
2005-06-24,171.02,171.02,167.07,168.16,5678875
2005-06-27,168.9,171.84,168.9,169.21,10851769
2005-06-28,169.16,170.32,165.79,168.03,14488003
2005-06-29,168.29,168.46,164.57,167.8,10543482
2005-06-30,168.44,168.44,163.62,166.58,27290887
2005-07-01,165.39,165.39,161.36,163.24,16988441
2005-07-04,163.91,164.83,163.39,164.0,3730309
2005-07-05,163.25,167.71,163.25,164.43,18887911
2005-07-06,165.64,166.93,165.64,166.6,20230048
2005-07-07,167.33,171.19,166.63,168.77,29376924
2005-07-08,170.32,177.19,170.32,175.64,13073468
2005-07-11,175.71,178.22,175.71,177.82,12002986
2005-07-12,177.69,180.01,177.69,179.27,12752323
2005-07-13,180.23,183.3,178.5,181.39,15324784
2005-07-14,182.58,184.89,179.73,180.39,5986574
2005-07-15,180.04,180.04,176.61,179.61,6949210
2005-07-18,179.77,179.77,175.98,176.89,4866119
2005-07-19,176.73,176.73,169.67,171.06,6547730
2005-07-20,170.66,171.02,169.05,169.56,20766078
2005-07-21,170.3,170.3,165.59,166.25,9321069
