date,open,high,low,close,volume
2005-01-03,97.73,98.87,96.51,97.64,6686469
2005-01-04,97.18,97.18,95.93,96.41,6795245
2005-01-05,96.25,96.25,94.71,95.48,6499421
2005-01-06,95.41,95.41,91.75,92.79,13427650
2005-01-07,92.51,92.51,88.89,90.32,4545413
2005-01-10,89.35,91.33,88.68,89.45,5916454
2005-01-11,89.48,90.43,89.13,89.5,7737185
2005-01-12,89.15,90.92,89.15,90.91,5907042
2005-01-13,90.95,90.95,88.94,89.09,12268965
2005-01-14,89.29,89.29,87.63,88.42,6038956
2005-01-17,88.37,88.37,86.15,87.87,8502062
2005-01-18,88.7,88.7,87.0,87.22,11005968
2005-01-19,87.39,87.71,87.39,87.7,20551135
2005-01-20,87.69,87.69,86.57,87.09,6157543
2005-01-21,86.94,89.42,86.94,88.49,14025579
2005-01-24,89.02,89.02,88.27,88.69,8897005
2005-01-25,88.65,89.16,87.63,89.12,7658688
2005-01-26,89.17,89.17,88.78,88.88,6500082
2005-01-27,88.62,90.09,88.62,89.74,13236523
2005-01-28,89.97,89.97,88.58,88.96,11024442
2005-01-31,89.14,89.14,86.99,87.38,8415123
2005-02-01,87.09,87.09,84.58,86.04,11018220
2005-02-02,85.41,86.62,85.24,85.72,7063542
2005-02-03,85.37,85.71,84.68,84.74,4436806
2005-02-04,84.95,86.09,84.95,85.24,6545204
2005-02-07,85.65,85.65,83.13,83.34,3738048
2005-02-08,83.07,83.07,82.22,82.45,8676720
2005-02-09,82.39,84.5,82.39,83.8,13393846
2005-02-10,83.57,85.29,83.57,84.45,7758127
2005-02-11,83.63,86.78,83.63,86.69,8554864
2005-02-14,87.02,87.6,86.26,87.27,3874167
2005-02-15,86.85,86.85,84.66,85.11,3562750
2005-02-16,84.87,84.87,82.99,83.52,5828184
2005-02-17,83.42,86.59,83.42,86.5,21566905
2005-02-18,86.04,88.47,86.04,87.72,14077566
2005-02-21,87.66,88.91,87.39,88.44,24047762
2005-02-22,88.35,88.35,86.11,86.24,8009780
