date,open,high,low,close,volume
2005-01-03,78.64,78.64,77.95,78.2,10146432
2005-01-04,78.47,80.63,78.47,80.49,5194077
2005-01-05,80.49,81.08,80.29,80.7,5331277
2005-01-06,81.45,82.38,81.15,81.97,15608391
2005-01-07,81.86,81.86,79.33,79.86,7228730
2005-01-10,80.25,80.25,79.08,79.6,6291264
2005-01-11,80.72,80.72,77.52,78.0,14177806
2005-01-12,77.69,79.27,77.69,78.66,7226066
2005-01-13,78.57,79.05,78.31,78.57,7828183
2005-01-14,79.02,80.47,78.81,79.72,22290963
2005-01-17,79.71,81.05,79.53,80.2,3747316
2005-01-18,80.63,80.63,79.3,80.01,10336141
2005-01-19,80.39,82.47,80.39,81.58,8126675
2005-01-20,81.73,81.73,80.7,81.13,7142428
2005-01-21,80.85,83.55,80.85,82.63,15976895
2005-01-24,82.55,83.62,82.19,83.21,17351320
2005-01-25,83.67,85.38,82.71,83.14,7311015
2005-01-26,83.23,86.74,83.23,86.43,10594639
2005-01-27,86.39,86.59,86.26,86.31,15450744
2005-01-28,86.52,88.3,86.52,88.07,7208201
2005-01-31,88.11,90.4,88.11,89.68,3848109
2005-02-01,89.84,90.69,88.88,90.34,7734302
2005-02-02,89.41,92.34,89.41,90.94,11347368
2005-02-03,90.76,90.76,87.62,89.0,13432180
2005-02-04,88.9,90.56,88.7,89.09,7471764
2005-02-07,89.59,91.5,89.59,90.92,12955821
2005-02-08,91.1,91.22,89.41,90.07,3910359
2005-02-09,90.83,90.83,90.11,90.7,12352326
2005-02-10,91.09,91.91,91.09,91.5,12231100
2005-02-11,91.62,92.93,90.51,92.2,7515199
2005-02-14,91.96,94.13,91.96,93.66,13887264
2005-02-15,93.46,93.81,93.19,93.42,13288103
2005-02-16,92.9,92.9,88.8,89.01,7175630
2005-02-17,89.06,89.06,86.82,87.64,11041431
2005-02-18,86.97,87.32,86.8,87.1,28407799
2005-02-21,87.24,88.07,87.24,87.65,14373104
2005-02-22,87.42,90.92,87.42,90.84,6800986
2005-02-23,90.94,90.94,88.39,89.32,15843757
2005-02-24,89.69,89.69,87.55,87.92,11264657
2005-02-25,88.11,89.34,86.43,88.12,18875323
2005-02-28,88.41,88.97,87.0,88.53,8547618
2005-03-01,88.27,89.67,88.0,88.52,28321756
2005-03-02,88.53,88.53,84.7,86.4,3582904
2005-03-03,87.0,88.11,86.2,87.55,18910295
2005-03-04,87.62,87.88,87.17,87.41,6898250
2005-03-07,87.45,87.45,83.95,84.22,18053822
2005-03-08,83.89,83.89,82.48,83.16,9595078
2005-03-09,82.96,83.44,81.97,82.99,6374997
2005-03-10,83.31,83.31,80.99,81.61,14148863
2005-03-11,81.47,81.47,79.46,79.96,3494363
2005-03-14,79.75,81.09,79.75,81.06,19585476
2005-03-15,81.25,82.89,81.25,81.42,7166798
2005-03-16,81.44,83.27,81.09,82.5,7687029
2005-03-17,82.18,82.18,80.72,81.11,3991533
2005-03-18,80.94,84.19,80.94,84.0,8501190
2005-03-21,83.95,85.11,83.09,84.75,6580090
2005-03-22,84.49,84.49,81.62,82.59,12951052
2005-03-23,82.46,85.85,82.46,84.59,4788229
2005-03-24,84.87,84.87,83.97,84.2,10810390
2005-03-25,84.06,87.05,84.06,86.71,9740035
2005-03-28,87.02,88.23,87.02,88.06,6731348
2005-03-29,88.02,91.76,88.02,91.22,19000400
2005-03-30,91.66,91.66,88.1,89.28,7206710
2005-03-31,88.96,89.79,88.4,88.56,7198642
2005-04-01,88.36,89.07,88.36,88.81,15477491
2005-04-04,89.46,89.46,88.12,88.96,11035980
2005-04-05,88.69,95.29,88.69,93.26,7996824
2005-04-06,92.96,93.63,92.24,93.52,6220903
2005-04-07,93.47,93.96,92.24,93.01,8185035
2005-04-08,92.39,95.18,92.39,94.0,7042375
2005-04-11,93.95,95.35,93.95,95.15,6792974
2005-04-12,95.8,95.8,94.05,94.06,12438061
2005-04-13,93.58,94.38,93.58,94.23,3935525
2005-04-14,94.21,94.21,92.56,93.24,5779782
2005-04-15,92.85,92.85,90.67,92.36,8523974
2005-04-18,91.79,91.79,89.78,91.19,9093790
2005-04-19,91.45,93.44,91.45,92.29,9926515
2005-04-20,92.7,93.3,92.26,92.45,20684905
2005-04-21,92.53,92.53,89.41,89.44,8839067
2005-04-22,89.97,92.79,88.83,91.04,5735741
2005-04-25,90.99,90.99,89.75,89.92,14148555
2005-04-26,89.77,92.3,89.77,91.1,4722780
2005-04-27,91.39,92.74,91.39,92.6,5494372
2005-04-28,93.12,93.12,90.54,90.7,17561285
2005-04-29,91.13,91.13,89.16,89.79,4299999
