date,open,high,low,close,volume
2005-01-03,60.88,60.88,59.11,59.92,12062930
2005-01-04,60.01,60.01,58.66,58.93,4432442
2005-01-05,59.21,60.8,59.21,60.05,7898684
2005-01-06,59.62,60.3,59.62,60.19,19641189
2005-01-07,60.46,60.46,58.8,58.92,9213818
2005-01-10,59.02,59.69,59.02,59.58,4947806
2005-01-11,59.39,59.39,58.42,58.56,7700471
2005-01-12,58.52,58.52,57.73,57.97,11719409
2005-01-13,58.01,58.37,57.83,58.27,6477565
2005-01-14,58.52,58.8,58.14,58.67,14865931
2005-01-17,58.38,58.85,57.95,58.06,8648687
2005-01-18,57.8,57.8,56.96,57.04,11134499
2005-01-19,56.9,57.63,56.9,57.5,10347261
2005-01-20,57.35,57.35,56.39,56.47,6808118
2005-01-21,56.25,56.62,56.06,56.12,2879426
2005-01-24,56.12,57.43,56.12,57.29,11096565
2005-01-25,57.25,59.27,57.25,59.16,24919877
2005-01-26,59.25,59.41,59.05,59.31,10146937
2005-01-27,59.22,61.04,59.22,60.36,8573745
2005-01-28,60.14,62.14,60.14,61.48,4033553
2005-01-31,61.7,61.99,61.62,61.71,12304066
2005-02-01,62.26,62.26,59.13,59.87,15273423
2005-02-02,60.08,60.08,58.8,59.07,4358651
2005-02-03,59.31,59.31,57.68,58.08,7136501
2005-02-04,57.87,58.09,57.35,58.03,7403575
2005-02-07,58.1,61.88,58.1,60.97,6644970
2005-02-08,61.19,61.19,60.23,60.43,18776532
2005-02-09,60.5,61.45,59.46,61.36,6701425
2005-02-10,61.28,62.5,61.28,62.5,12818586
2005-02-11,62.45,62.45,61.1,61.73,7272919
2005-02-14,62.0,62.65,61.8,62.22,26659691
2005-02-15,62.18,63.68,62.18,62.79,5843893
2005-02-16,62.72,62.72,61.14,61.91,14241567
2005-02-17,61.85,62.43,61.85,62.01,21523629
2005-02-18,61.97,62.97,61.91,62.19,6320791
2005-02-21,62.21,64.32,62.21,64.01,22836202
2005-02-22,64.01,64.01,63.22,63.37,16104668
2005-02-23,63.37,63.37,61.72,62.6,7244384
2005-02-24,62.22,64.03,62.22,63.9,15143834
2005-02-25,64.18,64.18,62.71,63.73,19827640
2005-02-28,63.71,64.76,63.64,64.34,12574261
2005-03-01,64.56,64.56,63.58,63.75,10336813
2005-03-02,63.83,63.83,62.05,62.9,9104355
2005-03-03,62.8,63.42,62.6,62.72,7070957
2005-03-04,63.07,63.39,62.22,62.8,11795760
2005-03-07,62.87,64.28,62.87,64.04,7010238
