date,open,high,low,close,volume
2005-01-03,147.49,150.0,147.49,149.02,7912347
2005-01-04,149.08,151.93,149.08,151.1,7826933
2005-01-05,149.97,152.14,149.97,152.03,7621753
2005-01-06,152.25,152.25,147.94,148.78,26597351
2005-01-07,148.75,148.75,143.67,144.53,5538116
2005-01-10,144.67,146.86,144.67,146.74,30099041
2005-01-11,146.85,147.63,145.38,146.11,14283115
2005-01-12,146.92,149.55,146.92,148.85,3544384
2005-01-13,148.88,148.88,144.03,144.21,13253509
2005-01-14,144.02,147.29,144.02,146.6,14525458
2005-01-17,147.07,148.92,146.83,148.73,12067087
2005-01-18,149.63,150.37,149.09,149.64,3509300
2005-01-19,150.44,151.41,150.44,151.18,5292778
2005-01-20,150.53,150.53,147.14,147.27,3804983
2005-01-21,146.23,147.36,145.59,147.28,4035636
2005-01-24,147.8,147.8,145.6,145.73,8221659
2005-01-25,146.16,147.02,144.38,145.85,23156035
2005-01-26,144.72,144.72,138.61,140.68,6741785
2005-01-27,141.49,144.2,141.49,143.34,18294522
2005-01-28,143.73,144.03,143.07,143.14,24698584
2005-01-31,142.74,143.91,141.23,141.92,9633814
2005-02-01,141.92,141.92,137.43,138.84,14712068
2005-02-02,138.61,145.23,138.61,142.79,12484151
2005-02-03,142.85,144.82,141.74,143.67,8540517
2005-02-04,143.37,145.75,143.37,145.0,4655333
2005-02-07,145.28,145.28,141.6,142.57,24821417
2005-02-08,142.76,142.76,140.87,141.24,9816440
2005-02-09,141.11,141.47,139.11,139.96,14576192
2005-02-10,139.66,143.83,139.66,143.15,8968514
2005-02-11,143.49,145.11,143.49,144.97,16439021
2005-02-14,144.62,145.65,143.17,145.45,8439777
2005-02-15,145.87,145.87,141.44,143.28,5065687
2005-02-16,142.88,142.88,140.51,140.63,16525197
2005-02-17,140.36,143.75,140.36,142.84,7314627
2005-02-18,144.04,144.04,139.73,141.8,8338352
2005-02-21,141.63,145.55,141.63,143.13,6881237
2005-02-22,144.15,146.55,144.15,145.27,3217702
2005-02-23,145.74,145.74,141.23,141.33,7224522
2005-02-24,141.34,143.1,140.69,142.08,8432108
2005-02-25,141.76,145.91,141.76,145.75,11589967
2005-02-28,146.15,146.16,142.38,145.86,3301988
2005-03-01,145.7,145.7,142.43,142.97,5894720
2005-03-02,143.61,144.75,143.61,144.28,6330398
2005-03-03,143.59,145.97,142.65,145.49,9102280
2005-03-04,145.29,146.11,144.01,144.83,28180394
2005-03-07,144.61,144.61,141.11,142.37,5106750
2005-03-08,142.04,142.04,140.72,141.74,29289691
2005-03-09,141.96,143.02,140.64,142.74,6572095
2005-03-10,142.87,143.95,140.37,142.21,7664971
2005-03-11,141.68,145.93,141.68,145.16,7115539
2005-03-14,146.03,146.03,140.66,142.8,10067787
2005-03-15,143.89,143.89,141.55,141.72,8660229
2005-03-16,141.82,144.63,141.82,143.77,11984127
2005-03-17,143.74,143.74,140.01,142.04,6783682
2005-03-18,141.01,145.78,141.01,143.79,8964896
2005-03-21,144.92,144.92,143.07,143.45,10568339
2005-03-22,142.89,142.89,136.14,138.72,6122289
2005-03-23,138.67,139.34,138.67,139.19,17144228
2005-03-24,138.89,139.28,138.25,139.16,5176390
2005-03-25,139.18,144.91,139.18,143.51,15687208
2005-03-28,143.75,143.75,141.04,141.4,13178908
2005-03-29,141.29,141.44,140.51,140.99,4834660
2005-03-30,140.88,144.48,140.88,144.05,5269726
2005-03-31,144.37,146.86,144.37,144.95,6625937
2005-04-01,145.86,147.87,145.43,146.34,7057027
2005-04-04,146.18,149.9,146.18,148.89,20742510
2005-04-05,149.06,149.06,147.07,147.96,2309353
2005-04-06,149.04,150.61,149.04,150.32,11307542
2005-04-07,150.22,150.22,145.73,146.61,22182937
2005-04-08,146.32,146.32,144.21,145.29,8198331
2005-04-11,145.33,147.46,144.75,145.56,8158895
2005-04-12,145.74,148.13,145.74,147.0,1908457
2005-04-13,147.5,152.83,147.5,151.92,21409595
2005-04-14,152.3,153.34,150.17,151.1,13050604
2005-04-15,151.21,152.0,151.04,151.35,17910890
2005-04-18,150.5,155.94,150.5,155.01,9217199
2005-04-19,155.72,155.72,154.02,155.63,12200545
2005-04-20,155.93,158.01,155.93,157.97,6852071
