date,open,high,low,close,volume
2005-01-03,82.17,82.17,81.33,81.47,14227002
2005-01-04,81.26,81.26,78.94,79.78,9941682
2005-01-05,80.06,80.22,79.18,79.89,10701255
2005-01-06,79.87,80.93,79.87,80.48,9676844
2005-01-07,80.6,80.6,78.84,79.66,6265047
2005-01-10,79.59,81.61,79.59,80.74,26715218
2005-01-11,80.2,80.2,79.03,79.08,8932197
2005-01-12,79.08,79.08,77.38,78.6,5701224
2005-01-13,77.89,80.43,77.89,78.74,10229600
2005-01-14,79.1,80.94,79.1,80.87,11900887
2005-01-17,80.97,81.02,80.24,80.35,13901794
2005-01-18,80.19,82.55,80.19,82.38,3683547
2005-01-19,82.35,84.55,82.35,83.8,5413828
2005-01-20,83.73,84.33,83.01,84.21,10577655
2005-01-21,84.23,85.0,84.23,84.99,24767477
2005-01-24,84.33,89.07,84.33,88.53,19243886
2005-01-25,88.37,91.1,88.37,90.99,8267023
2005-01-26,91.36,91.36,88.27,88.4,6354053
2005-01-27,88.33,91.59,88.33,90.42,7868473
2005-01-28,90.53,91.2,89.55,89.56,6857805
2005-01-31,89.82,91.78,89.82,91.78,16505904
2005-02-01,91.49,91.49,89.48,90.52,10229943
2005-02-02,90.45,90.45,89.24,89.62,9112526
2005-02-03,89.55,91.2,89.55,90.69,6766665
2005-02-04,90.45,91.07,90.45,91.05,25945297
2005-02-07,92.01,93.15,89.85,91.38,6230291
2005-02-08,91.97,92.84,91.97,92.7,27410196
2005-02-09,92.63,92.63,90.68,90.78,7641126
2005-02-10,91.21,91.73,89.4,90.24,5542872
2005-02-11,89.88,90.84,89.44,90.64,6074646
2005-02-14,91.56,92.82,91.56,92.27,11758381
2005-02-15,92.04,95.8,92.04,95.15,3032145
2005-02-16,96.04,97.12,95.16,95.75,8778010
2005-02-17,95.12,96.95,95.12,95.86,7591166
2005-02-18,95.6,99.14,95.6,98.78,10011625
2005-02-21,98.55,99.81,98.34,99.66,5261141
2005-02-22,100.44,101.06,100.39,100.49,6671368
2005-02-23,100.38,105.74,100.38,104.67,5866771
2005-02-24,104.9,106.89,104.9,106.88,14294352
2005-02-25,106.72,113.11,106.72,111.7,3492756
2005-02-28,112.44,112.44,110.96,111.44,7971185
2005-03-01,111.18,111.18,107.61,108.54,6566108
2005-03-02,108.26,113.59,108.26,113.06,19051770
2005-03-03,112.52,112.87,111.06,112.11,7795870
2005-03-04,112.98,113.59,111.95,112.59,7806247
2005-03-07,111.85,113.59,111.52,112.73,13905979
2005-03-08,112.78,112.78,110.33,111.92,22274620
2005-03-09,111.79,114.19,111.79,113.31,14965876
2005-03-10,112.99,112.99,111.32,111.65,12458430
2005-03-11,111.23,118.52,111.23,118.18,10076659
2005-03-14,117.69,117.69,115.45,116.15,13112192
2005-03-15,116.29,118.14,116.29,117.64,3878152
2005-03-16,116.96,116.96,114.25,115.23,6803655
2005-03-17,115.24,116.33,115.24,115.66,9661216
2005-03-18,115.75,115.75,113.76,113.82,4516967
2005-03-21,113.34,115.41,113.34,115.02,16681348
2005-03-22,114.92,120.1,114.92,118.05,14610792
2005-03-23,117.78,117.78,117.46,117.57,16531434
2005-03-24,117.4,118.11,116.0,116.81,7480994
2005-03-25,116.14,116.14,113.49,113.7,10328902
2005-03-28,113.56,118.83,113.56,117.36,11800453
2005-03-29,117.08,119.04,117.08,117.56,12026352
2005-03-30,117.45,119.88,117.45,119.07,5571256
2005-03-31,119.12,121.02,118.0,118.71,11061901
2005-04-01,118.54,118.54,116.14,116.41,19640147
2005-04-04,116.66,116.66,115.13,116.05,16839609
2005-04-05,116.47,116.47,112.38,113.89,9898397
2005-04-06,113.79,113.79,109.3,109.36,7539963
2005-04-07,109.97,109.97,108.94,109.36,15202818
2005-04-08,109.78,109.78,106.8,107.36,6418615
2005-04-11,107.05,109.17,107.05,108.69,7041482
2005-04-12,109.43,111.19,108.56,110.27,12040647
2005-04-13,111.04,111.53,110.61,110.84,14458387
2005-04-14,111.06,112.43,110.28,111.8,17599618
2005-04-15,112.27,115.14,112.27,114.56,5339770
2005-04-18,114.1,114.1,111.22,112.05,15970038
2005-04-19,112.53,114.03,111.84,113.91,2199809
2005-04-20,113.96,113.96,111.54,113.16,18214565
2005-04-21,113.74,117.59,113.74,117.08,9864290
2005-04-22,116.41,116.41,111.98,112.27,6855060
2005-04-25,112.54,113.39,112.54,112.78,14638880
2005-04-26,113.24,113.24,110.18,111.09,4510128
2005-04-27,110.01,111.87,110.01,111.66,28256192
2005-04-28,112.08,112.08,108.57,110.22,11236662
2005-04-29,110.48,110.48,107.96,109.25,5531192
2005-05-02,108.62,111.66,108.62,110.72,15498275
2005-05-03,111.11,112.97,111.11,112.32,6320756
2005-05-04,112.37,112.37,108.89,109.92,17286669
2005-05-05,109.83,111.45,109.79,109.79,14217274
2005-05-06,109.87,112.17,109.87,111.92,10633079
2005-05-09,112.13,114.58,112.13,112.92,17722398
2005-05-10,112.95,113.81,112.76,113.26,5400101
2005-05-11,113.94,115.61,113.94,115.14,4340778
2005-05-12,114.83,116.52,114.35,115.87,8182159
2005-05-13,116.07,116.75,115.37,115.93,12122599
2005-05-16,116.47,118.41,115.2,117.55,11858604
2005-05-17,117.65,117.65,114.42,114.46,13530913
2005-05-18,114.48,115.65,114.48,115.59,10755193
2005-05-19,115.63,118.56,115.63,117.95,8594862
2005-05-20,117.35,117.35,114.78,115.46,12299808
2005-05-23,115.61,115.61,112.47,112.49,14103048
2005-05-24,112.43,112.43,109.47,109.57,5888596
2005-05-25,109.72,109.72,108.27,109.19,16655043
2005-05-26,109.7,109.7,107.86,108.71,4936361
2005-05-27,108.83,110.93,108.83,110.73,4476567
2005-05-30,111.09,111.26,109.98,110.78,12199308
2005-05-31,110.08,112.66,110.08,111.97,39187759
2005-06-01,112.27,112.27,109.08,109.39,7093300
2005-06-02,110.61,110.61,108.71,109.35,9014474
2005-06-03,109.02,109.17,106.74,108.15,3871350
2005-06-06,108.44,108.44,105.17,105.76,9303684
2005-06-07,106.49,106.49,105.3,105.55,7706109
2005-06-08,105.35,105.44,104.77,104.95,6845327
2005-06-09,104.53,104.53,101.42,102.36,6286073
2005-06-10,102.03,103.2,101.6,102.92,9101170
2005-06-13,102.34,104.35,102.34,103.76,29982404
2005-06-14,103.3,103.3,102.65,102.65,11615086
2005-06-15,102.03,103.35,101.84,102.16,10705353
2005-06-16,102.53,104.7,102.53,102.97,8422737
2005-06-17,103.28,103.28,100.64,101.08,14636743
2005-06-20,101.44,101.55,99.66,100.95,9307667
2005-06-21,100.31,100.31,98.23,98.94,3368404
2005-06-22,98.99,100.91,98.99,100.65,9550362
2005-06-23,100.7,103.21,100.7,102.79,13046650
2005-06-24,103.88,103.88,100.6,101.74,14608167
2005-06-27,101.67,101.67,99.61,99.84,17699486
2005-06-28,100.07,101.04,99.35,100.62,8803973
2005-06-29,100.59,101.4,100.29,100.89,4957752
2005-06-30,100.95,101.54,100.77,100.82,12091147
2005-07-01,101.2,101.2,98.16,98.91,3193878
2005-07-04,98.42,98.61,98.15,98.58,8733357
2005-07-05,98.53,98.53,96.36,97.57,8055148
2005-07-06,98.47,98.47,97.28,97.55,33168170
2005-07-07,97.95,99.82,97.95,98.86,15335234
2005-07-08,98.94,101.96,98.94,100.43,18279127
2005-07-11,100.38,101.35,100.38,100.75,3485702
2005-07-12,101.4,105.06,101.4,105.0,4697764
2005-07-13,104.58,106.37,103.31,104.86,11896781
2005-07-14,105.34,106.81,105.34,106.46,7177623
2005-07-15,105.89,105.91,105.49,105.7,6400165
2005-07-18,105.27,105.86,103.89,104.38,5292916
2005-07-19,104.57,105.15,103.0,103.36,17134309
2005-07-20,103.4,103.4,98.11,99.01,7987807
2005-07-21,99.22,99.22,97.44,97.75,6667229
2005-07-22,98.14,98.14,96.86,97.18,10940294
2005-07-25,97.31,97.31,96.39,96.44,7161123
2005-07-26,96.11,96.11,93.29,93.44,24476833
2005-07-27,93.66,94.45,93.66,93.8,11525851
2005-07-28,93.87,93.87,92.08,93.01,5010543
2005-07-29,92.84,93.15,92.84,93.03,10655201
2005-08-01,92.53,93.63,92.53,93.38,7522706
2005-08-02,93.32,94.23,93.13,93.55,10845201
2005-08-03,93.02,93.02,87.85,89.2,13003505
2005-08-04,88.72,91.76,88.72,91.02,6959051
2005-08-05,91.59,91.59,88.84,89.3,15184065
2005-08-08,89.53,90.01,89.53,89.96,22750604
2005-08-09,90.56,90.56,88.8,88.83,10642849
2005-08-10,88.64,88.64,87.39,87.63,7848121
2005-08-11,87.64,87.64,87.52,87.54,9605735
2005-08-12,87.62,88.54,87.24,87.87,17014642
2005-08-15,87.74,88.43,87.32,87.81,8888658
2005-08-16,88.22,89.56,88.22,88.59,6420573
2005-08-17,88.91,89.48,88.91,89.47,10819982
2005-08-18,89.15,89.85,88.0,88.88,6012107
2005-08-19,89.06,89.06,88.45,88.7,6107990
2005-08-22,89.12,91.46,89.09,89.3,4757625
2005-08-23,89.13,89.76,88.63,89.75,5760085
2005-08-24,89.78,92.38,89.78,92.24,8261728
2005-08-25,92.05,93.83,92.05,93.18,6699944
2005-08-26,93.0,93.42,92.83,93.34,8693006
2005-08-29,93.16,93.16,91.28,91.41,12961702
2005-08-30,91.51,91.51,88.95,90.65,8345520
2005-08-31,89.72,90.98,89.72,90.63,7027372
2005-09-01,90.74,91.11,90.16,90.81,9671310
2005-09-02,91.02,91.74,90.75,91.28,12221385
2005-09-05,91.59,93.65,91.59,92.23,19818088
2005-09-06,91.53,94.35,91.53,93.21,7755337
2005-09-07,93.47,93.47,92.3,92.72,7809061
2005-09-08,93.22,93.22,89.21,90.31,4554896
2005-09-09,90.07,90.07,88.44,88.64,6238476
2005-09-12,88.34,90.11,88.34,89.63,6574249
2005-09-13,89.42,89.42,87.23,87.88,7519743
2005-09-14,88.27,88.78,86.71,87.72,5896144
2005-09-15,87.74,87.74,86.14,86.57,6181042
2005-09-16,87.19,87.36,86.96,86.99,3095896
2005-09-19,87.35,87.35,84.98,85.8,9469643
2005-09-20,85.31,85.31,84.16,84.58,15209959
2005-09-21,84.59,84.59,84.02,84.24,11070366
2005-09-22,83.94,83.94,80.98,81.13,6928324
2005-09-23,81.53,82.59,81.53,82.28,13885910
2005-09-26,82.35,82.35,79.85,80.77,5550136
2005-09-27,80.59,81.84,80.54,80.61,13493333
2005-09-28,80.02,80.49,80.02,80.42,5127406
2005-09-29,80.2,81.8,80.03,81.19,9792858
2005-09-30,81.21,82.05,81.17,81.39,7921758
2005-10-03,81.27,81.52,81.27,81.37,17817686
2005-10-04,81.59,82.1,80.4,80.99,13475200
2005-10-05,80.83,81.96,80.27,81.77,9574535
2005-10-06,81.78,81.78,78.83,79.43,8545473
2005-10-07,79.52,80.65,79.22,80.28,7958380
2005-10-10,80.09,81.48,80.09,81.25,11088808
2005-10-11,80.93,80.93,79.2,80.06,7914605
2005-10-12,80.18,82.05,79.76,81.31,12006048
2005-10-13,81.84,81.84,80.68,81.06,3652717
2005-10-14,81.28,82.24,80.62,81.53,2867773
2005-10-17,80.8,84.26,80.8,83.89,16813558
2005-10-18,83.39,86.24,83.39,85.87,12794547
2005-10-19,86.19,87.06,85.19,86.84,2837934
2005-10-20,87.43,88.72,86.0,87.39,10244294
2005-10-21,87.67,87.67,83.21,84.48,10078421
2005-10-24,84.24,84.82,83.59,83.82,8685175
2005-10-25,83.94,84.04,82.42,82.91,34821412
2005-10-26,82.76,85.14,82.76,84.86,7828710
2005-10-27,84.89,84.89,81.93,82.15,11041810
2005-10-28,82.11,82.11,81.55,81.66,5477240
2005-10-31,81.76,84.1,81.76,83.9,12690781
2005-11-01,84.14,84.14,81.16,81.98,7542693
2005-11-02,81.93,81.93,81.07,81.13,13064093
2005-11-03,81.41,83.8,81.41,83.34,5363721
2005-11-04,82.97,84.1,82.97,84.01,10472710
2005-11-07,84.04,85.59,84.04,85.07,11672956
2005-11-08,84.39,85.97,84.26,84.68,14315068
2005-11-09,85.21,85.73,83.64,85.06,13401688
2005-11-10,85.2,85.2,83.87,84.55,9027880
2005-11-11,84.55,85.92,84.55,85.22,11657208
2005-11-14,85.27,87.29,85.27,86.62,5369849
2005-11-15,87.44,87.44,84.78,84.88,8289203
2005-11-16,84.69,85.41,84.51,84.99,10017361
2005-11-17,84.78,89.01,84.78,88.23,7070742
2005-11-18,88.5,89.87,88.37,88.78,9992235
2005-11-21,89.15,91.06,89.15,90.57,6641170
2005-11-22,91.13,91.13,90.0,90.64,17234694
2005-11-23,91.29,92.36,91.29,91.87,8670413
2005-11-24,92.4,92.46,91.6,92.14,6249678
2005-11-25,91.95,93.81,91.95,93.48,8549643
2005-11-28,93.41,94.78,93.41,94.61,6845090
2005-11-29,94.69,97.51,94.69,97.19,12291508
2005-11-30,97.27,99.17,97.27,98.59,6621737
2005-12-01,98.41,98.41,96.88,97.32,10296805
2005-12-02,97.63,98.9,96.83,97.92,8041286
2005-12-05,97.79,99.85,97.79,98.8,10283663
2005-12-06,98.83,100.04,97.99,99.01,2380559
2005-12-07,99.73,99.73,97.99,98.07,5080969
2005-12-08,98.03,98.03,97.1,97.32,11648239
2005-12-09,98.0,98.92,97.39,98.22,13429768
2005-12-12,97.94,101.18,97.94,100.94,4556563
2005-12-13,101.28,102.91,100.54,101.71,3206608
2005-12-14,101.58,101.73,100.52,101.16,6000969
2005-12-15,101.11,101.11,100.33,100.38,18297992
2005-12-16,100.45,102.19,100.45,102.06,4673035
2005-12-19,102.29,102.29,99.96,101.04,12869410
2005-12-20,101.63,103.7,101.63,103.06,9309180
2005-12-21,102.78,102.78,99.76,100.62,4739146
2005-12-22,100.12,101.94,100.12,100.4,7597096
2005-12-23,100.6,101.47,99.48,101.16,12148990
2005-12-26,101.01,101.01,97.97,98.2,11652652
2005-12-27,97.93,97.93,93.2,94.57,19133965
2005-12-28,94.47,95.43,94.47,95.02,4213508
2005-12-29,94.78,98.82,94.78,98.6,7909842
2005-12-30,98.31,98.66,98.01,98.35,8681027
2006-01-02,98.26,99.32,98.26,99.05,6923116
2006-01-03,99.22,100.08,99.06,99.59,9254289
2006-01-04,99.16,101.05,99.16,99.66,17555310
2006-01-05,98.9,99.74,98.9,99.47,3926796
2006-01-06,99.73,100.92,98.57,99.6,8230379
2006-01-09,100.51,100.51,99.04,99.69,8132637
2006-01-10,100.21,102.39,100.21,101.64,15585116
2006-01-11,100.7,102.65,100.7,102.28,3814171
2006-01-12,102.09,103.36,101.88,102.43,12022411
2006-01-13,101.77,106.26,101.77,104.81,4256666
2006-01-16,105.18,105.18,104.16,104.37,10886751
2006-01-17,104.44,104.52,102.36,103.82,5351988
2006-01-18,103.23,107.48,103.23,106.63,9850855
2006-01-19,105.64,106.81,103.33,105.35,9414650
2006-01-20,106.02,106.02,102.17,103.38,6747567
2006-01-23,102.88,103.64,101.92,103.3,16223484
2006-01-24,103.37,104.62,103.37,104.32,6612377
2006-01-25,104.24,104.62,103.71,104.58,9448432
2006-01-26,104.8,105.36,104.3,104.71,10063728
2006-01-27,105.16,105.16,102.45,103.67,6897178
2006-01-30,103.27,103.7,102.11,102.84,12104513
