date,open,high,low,close,volume
2005-01-03,80.51,81.48,79.83,80.19,7791840
2005-01-04,79.64,79.64,78.52,78.66,14151992
2005-01-05,78.22,78.65,77.49,78.55,9188911
2005-01-06,78.87,79.12,77.94,78.63,4539118
2005-01-07,78.37,78.37,77.79,77.97,5695674
2005-01-10,78.06,79.83,77.93,78.53,6891342
2005-01-11,78.52,78.53,77.91,77.96,6693925
2005-01-12,77.96,79.2,77.96,78.65,12495420
2005-01-13,78.44,78.51,77.82,78.33,3135853
2005-01-14,78.76,79.09,77.84,78.32,17895086
2005-01-17,78.33,80.37,78.33,80.0,5908554
2005-01-18,80.22,82.33,80.22,81.87,15597414
2005-01-19,81.71,81.71,79.88,79.89,14845441
2005-01-20,80.01,80.01,78.01,78.62,10979767
2005-01-21,78.61,80.29,78.61,79.57,4627703
2005-01-24,79.51,79.72,79.51,79.58,12485566
2005-01-25,80.04,80.04,78.76,79.47,2490292
2005-01-26,79.24,79.24,77.82,78.17,11752543
2005-01-27,78.48,79.29,78.48,78.73,11434394
2005-01-28,78.62,78.62,77.33,77.82,5866796
2005-01-31,77.47,79.16,77.09,78.1,10621412
2005-02-01,78.24,79.9,78.24,79.73,10279917
2005-02-02,79.92,79.92,77.28,77.39,4509170
2005-02-03,77.27,78.76,77.27,78.34,12969934
2005-02-04,78.61,78.95,78.61,78.95,19311099
2005-02-07,79.08,79.08,77.54,78.26,4058931
2005-02-08,77.97,78.97,77.97,78.29,7234071
2005-02-09,78.38,78.38,77.0,77.6,5516390
2005-02-10,77.49,78.1,76.98,77.24,16367725
2005-02-11,77.42,78.77,77.42,78.6,6024857
2005-02-14,78.27,78.27,76.62,76.71,17421820
2005-02-15,76.86,77.04,76.39,76.8,26787042
2005-02-16,77.03,77.85,76.87,77.42,10753592
2005-02-17,77.84,77.84,76.03,76.58,7288781
2005-02-18,76.38,76.38,74.31,74.54,8033905
2005-02-21,74.05,74.84,74.05,74.79,6822252
2005-02-22,75.37,75.93,74.88,75.14,8091082
2005-02-23,75.09,76.77,74.53,75.19,4668784
2005-02-24,74.77,77.54,74.77,76.72,8458033
2005-02-25,76.63,78.01,76.63,77.91,4776083
2005-02-28,77.68,79.93,77.68,78.94,10899284
2005-03-01,78.98,78.98,78.35,78.72,21301318
2005-03-02,78.6,78.6,77.72,77.75,21635470
2005-03-03,77.69,77.85,77.6,77.82,11745263
2005-03-04,77.77,78.94,77.0,77.63,4999587
2005-03-07,77.65,77.65,75.91,76.34,16933234
2005-03-08,76.97,76.97,75.33,75.94,2851668
2005-03-09,75.53,75.53,75.0,75.29,14726476
2005-03-10,75.0,78.24,75.0,77.35,5466914
2005-03-11,77.29,77.51,76.31,77.24,17418702
2005-03-14,77.13,77.13,74.03,75.12,3956574
2005-03-15,75.09,76.03,74.52,75.26,7482723
2005-03-16,75.04,75.69,75.04,75.67,12556529
2005-03-17,75.7,76.38,75.64,76.19,4776678
2005-03-18,76.44,77.32,76.44,77.06,5805585
2005-03-21,77.28,77.28,76.19,76.52,6700155
2005-03-22,76.46,76.93,75.74,76.62,5566252
2005-03-23,76.98,76.98,75.54,76.33,4775310
2005-03-24,76.61,76.99,76.61,76.71,5482091
2005-03-25,76.66,78.25,76.66,78.17,9721605
2005-03-28,78.63,78.63,75.91,76.48,12243071
2005-03-29,76.55,76.55,75.76,75.92,17521875
2005-03-30,75.98,75.98,74.34,74.99,7222127
2005-03-31,74.66,76.49,74.66,75.83,9892788
2005-04-01,75.92,76.1,75.9,75.98,8697937
2005-04-04,76.06,77.7,76.06,76.96,12079498
2005-04-05,77.29,77.49,76.89,76.9,6377111
2005-04-06,77.03,77.95,76.81,77.65,10718330
2005-04-07,77.89,77.89,74.66,74.76,10745329
2005-04-08,74.64,74.82,74.3,74.7,5690202
2005-04-11,74.55,74.55,72.42,73.01,8901417
2005-04-12,72.93,75.84,72.93,75.01,6136256
2005-04-13,74.56,76.9,74.56,76.18,10720690
2005-04-14,76.23,77.56,76.23,77.15,15638114
2005-04-15,77.21,77.21,75.64,76.49,16653796
2005-04-18,76.38,76.38,74.34,74.7,24385905
2005-04-19,75.11,76.39,75.11,76.13,7075483
2005-04-20,76.07,76.07,74.21,74.84,9615733
2005-04-21,74.76,76.56,74.76,75.68,6139300
2005-04-22,76.08,78.5,76.08,77.81,4078206
2005-04-25,77.52,78.23,77.13,77.56,6743557
2005-04-26,77.26,78.7,77.26,78.17,13731348
2005-04-27,77.57,79.8,77.57,79.27,16455662
2005-04-28,79.5,79.5,78.39,78.83,12833832
2005-04-29,78.18,79.94,78.18,79.25,7618571
2005-05-02,79.5,80.64,79.5,80.36,6674375
2005-05-03,80.37,81.22,80.23,80.58,10815967
2005-05-04,80.5,80.5,79.95,80.08,6854202
2005-05-05,80.59,83.43,80.59,82.16,9660136
2005-05-06,82.41,82.41,81.06,81.3,4715449
2005-05-09,81.38,82.8,81.38,82.47,8601416
2005-05-10,82.41,84.08,82.41,83.2,10869143
2005-05-11,83.49,84.6,82.57,83.84,13074517
2005-05-12,83.67,85.53,83.67,84.94,5668113
2005-05-13,84.62,84.9,84.25,84.56,17608784
2005-05-16,84.5,86.78,84.5,86.4,4591520
2005-05-17,86.58,87.82,86.58,87.05,5784654
2005-05-18,86.79,87.46,86.52,87.16,6313247
2005-05-19,87.29,90.08,87.29,89.38,7822094
