date,open,high,low,close,volume
2005-01-03,96.63,96.63,95.83,96.03,9603019
2005-01-04,96.29,96.29,93.82,95.01,12300481
2005-01-05,95.69,95.98,94.81,95.63,4371433
2005-01-06,96.25,96.25,94.88,95.06,7436274
2005-01-07,96.17,96.17,94.39,94.71,6217287
2005-01-10,95.61,95.62,92.51,95.17,19602439
2005-01-11,95.33,95.33,93.63,94.27,8194292
2005-01-12,94.44,94.44,92.53,93.3,20602971
2005-01-13,93.43,96.56,93.43,96.09,25140973
2005-01-14,96.09,100.06,96.09,99.6,8768426
2005-01-17,99.19,101.89,99.19,101.33,10849056
2005-01-18,100.99,102.66,100.99,102.14,15127680
2005-01-19,102.78,102.92,101.46,102.85,6149977
2005-01-20,102.74,104.79,101.52,102.86,3468420
2005-01-21,103.62,106.25,103.62,104.62,14506962
2005-01-24,104.32,106.78,103.91,105.26,4839226
2005-01-25,105.88,105.88,104.11,104.4,6511651
2005-01-26,104.81,108.05,103.68,105.29,8210806
2005-01-27,105.5,105.55,103.43,103.84,9176216
2005-01-28,104.38,105.62,103.38,103.73,3156602
2005-01-31,104.65,106.7,104.65,105.96,7110341
2005-02-01,105.24,105.24,101.34,101.5,9268716
2005-02-02,101.81,102.41,97.92,101.29,9671239
2005-02-03,102.36,102.86,101.65,102.35,9917740
2005-02-04,101.79,106.0,101.79,105.71,9053592
2005-02-07,105.03,109.0,105.03,106.98,4581631
2005-02-08,107.49,107.49,101.68,103.06,4497983
2005-02-09,103.25,103.25,98.69,101.03,5199587
2005-02-10,100.83,100.83,98.17,99.26,13806470
2005-02-11,99.54,99.54,97.07,98.05,10057271
2005-02-14,98.54,98.54,95.34,96.2,15500958
2005-02-15,96.4,100.61,96.4,99.65,15200307
2005-02-16,99.47,103.17,99.47,101.87,19941032
2005-02-17,101.98,102.25,100.44,101.74,11912872
2005-02-18,101.56,103.88,101.56,103.79,8441804
2005-02-21,103.57,110.7,103.57,109.28,9300887
2005-02-22,109.0,111.37,109.0,109.52,3161060
2005-02-23,109.8,109.8,106.93,107.55,2961604
