date,open,high,low,close,volume
2005-01-03,59.98,60.2,59.54,59.81,9213301
2005-01-04,59.51,59.58,58.81,59.23,7009705
2005-01-05,59.4,59.4,57.65,57.76,10131581
2005-01-06,58.03,58.03,56.98,57.61,11726551
2005-01-07,57.14,58.41,57.14,58.32,19964661
2005-01-10,58.14,59.31,58.14,58.8,7108010
2005-01-11,58.99,59.12,58.41,58.87,13027617
2005-01-12,58.79,59.02,58.68,58.98,19484942
2005-01-13,58.73,60.15,58.73,60.15,6974243
2005-01-14,60.11,60.11,59.14,59.3,6658754
2005-01-17,59.2,59.2,57.9,58.25,8608986
2005-01-18,58.09,59.01,58.09,58.94,5085969
2005-01-19,58.93,59.62,58.93,59.33,8210776
2005-01-20,59.31,61.03,59.31,60.3,10302858
2005-01-21,60.28,60.66,59.71,60.24,16044468
2005-01-24,60.2,60.69,60.2,60.55,15689797
2005-01-25,60.68,60.68,60.37,60.4,10621860
2005-01-26,60.68,60.68,59.8,59.95,11046809
2005-01-27,60.01,60.65,60.01,60.57,9175141
2005-01-28,60.84,60.84,59.63,59.68,11907341
2005-01-31,59.45,60.27,59.45,59.86,9835745
2005-02-01,59.91,60.32,59.91,60.21,9388186
2005-02-02,59.86,60.48,59.29,60.08,5076851
2005-02-03,59.85,60.5,59.85,60.46,12422860
2005-02-04,60.45,60.45,59.64,59.76,17392658
2005-02-07,59.64,61.84,59.64,61.19,4957509
2005-02-08,61.0,61.3,60.86,61.16,3905068
2005-02-09,61.31,62.01,61.31,61.97,6373109
2005-02-10,61.68,62.98,61.68,62.33,8333019
2005-02-11,62.56,62.59,62.42,62.42,16205444
2005-02-14,62.57,63.2,62.33,62.76,4195713
2005-02-15,62.73,63.31,62.73,62.98,8906709
2005-02-16,62.82,63.05,61.93,62.74,8104979
2005-02-17,62.8,63.19,61.98,62.28,3906662
2005-02-18,62.27,63.08,62.27,62.77,4917162
2005-02-21,62.65,62.65,62.17,62.42,4748623
2005-02-22,62.58,62.58,61.84,62.36,9734298
2005-02-23,62.52,63.38,61.99,62.57,10314439
2005-02-24,62.49,63.12,62.38,62.53,12477253
2005-02-25,62.81,63.46,62.39,62.99,5203833
2005-02-28,63.0,63.71,63.0,63.66,12591741
2005-03-01,63.82,63.82,63.12,63.37,3282418
2005-03-02,63.45,63.51,63.03,63.47,3172897
2005-03-03,63.55,63.55,63.02,63.16,14360407
