date,open,high,low,close,volume
2005-01-03,89.59,89.59,88.71,88.86,12013686
2005-01-04,89.11,89.67,89.11,89.57,11437046
2005-01-05,89.28,90.52,89.28,90.43,21326115
2005-01-06,90.57,90.57,89.48,89.72,11996310
2005-01-07,89.7,90.46,89.43,89.58,3612153
2005-01-10,89.52,90.16,89.52,89.79,11934989
2005-01-11,89.78,90.01,88.23,88.3,6110658
2005-01-12,88.41,89.2,88.41,88.69,15757370
2005-01-13,89.19,90.56,89.19,90.46,4424950
2005-01-14,90.43,91.7,90.43,91.4,1520735
2005-01-17,91.36,92.6,91.36,92.39,26698862
2005-01-18,91.89,93.83,91.89,93.47,8193809
2005-01-19,93.5,95.59,93.5,95.2,5283142
2005-01-20,95.22,96.98,95.22,96.93,3819271
2005-01-21,97.11,97.11,94.38,95.45,21379406
2005-01-24,94.93,96.92,94.93,96.85,15035217
2005-01-25,97.06,97.9,96.82,97.06,7260917
2005-01-26,97.12,97.43,96.06,97.02,6848247
2005-01-27,96.74,96.74,94.55,94.89,5913846
2005-01-28,95.43,95.43,94.1,94.51,9529582
2005-01-31,94.47,94.47,93.3,93.71,16003537
2005-02-01,93.97,93.97,92.82,93.19,1918680
2005-02-02,93.55,93.55,93.39,93.46,6330208
2005-02-03,93.15,94.51,93.15,94.19,4710523
2005-02-04,94.19,94.35,93.85,94.02,3325624
2005-02-07,94.11,94.11,92.99,93.23,5180207
2005-02-08,92.62,93.77,92.62,93.2,3288981
2005-02-09,93.56,94.24,93.56,94.23,15879490
2005-02-10,94.42,96.16,94.42,95.95,11562034
2005-02-11,95.75,97.56,95.75,97.37,7118143
2005-02-14,97.34,98.41,97.34,98.35,10805623
2005-02-15,98.37,100.31,98.37,98.94,14417687
2005-02-16,98.96,98.99,97.57,98.57,14469019
2005-02-17,98.13,98.13,97.34,97.77,30224033
2005-02-18,97.76,98.53,97.76,98.46,9377847
2005-02-21,97.45,100.12,97.45,99.95,3741955
2005-02-22,99.67,99.67,98.21,98.94,6010857
2005-02-23,98.63,98.86,97.22,98.09,3545984
2005-02-24,98.05,100.22,98.05,99.6,7974040
2005-02-25,99.6,99.81,99.41,99.46,12540040
2005-02-28,99.42,101.13,99.42,100.77,3790379
2005-03-01,100.81,100.81,100.01,100.44,21531968
2005-03-02,100.3,100.59,100.24,100.4,6504535
2005-03-03,100.3,100.49,99.09,100.14,8263747
2005-03-04,99.96,100.03,99.36,99.91,13020799
2005-03-07,99.28,100.14,99.28,99.81,16329470
2005-03-08,99.52,100.35,99.52,100.11,10992716
2005-03-09,99.96,100.15,99.15,99.77,6866947
2005-03-10,99.6,100.99,99.6,100.85,7704919
2005-03-11,100.62,101.4,100.55,100.9,5183055
2005-03-14,101.3,101.3,100.21,100.87,23168471
2005-03-15,100.47,101.85,100.47,101.39,6284588
2005-03-16,101.34,102.22,100.59,101.37,9767583
2005-03-17,101.79,102.8,101.79,102.68,10923967
2005-03-18,102.94,103.91,102.94,103.9,5715072
2005-03-21,103.85,104.7,103.85,104.16,7752073
2005-03-22,104.0,104.0,101.62,101.75,6921979
2005-03-23,101.95,104.25,101.95,103.46,8314407
2005-03-24,103.48,104.5,103.48,104.05,8441167
2005-03-25,104.22,106.44,104.22,106.28,6676057
2005-03-28,105.79,107.79,105.79,107.27,4853685
2005-03-29,107.19,107.19,104.85,105.1,27719962
2005-03-30,104.44,107.02,104.44,106.11,7928403
2005-03-31,106.07,107.16,105.87,106.06,13146453
2005-04-01,106.15,106.15,104.93,104.93,5339607
2005-04-04,104.97,105.96,104.97,105.7,12834365
2005-04-05,105.63,105.63,104.97,105.02,7206994
2005-04-06,105.22,106.96,105.22,106.53,20323376
2005-04-07,106.39,106.39,106.06,106.29,2945646
2005-04-08,106.54,106.54,105.65,105.96,9553982
2005-04-11,106.39,106.39,104.48,104.9,4512357
2005-04-12,105.19,105.19,102.02,102.93,10317154
2005-04-13,103.01,103.01,100.08,100.88,3953374
2005-04-14,100.86,103.2,100.86,101.86,9770260
2005-04-15,101.73,102.94,101.73,102.9,10893160
2005-04-18,102.67,102.67,102.09,102.1,19624185
2005-04-19,102.13,102.13,99.87,100.49,15800196
2005-04-20,100.25,101.0,100.25,100.45,7174026
2005-04-21,99.97,102.28,99.97,101.9,4626052
2005-04-22,101.66,103.8,101.66,102.94,13475574
2005-04-25,102.94,103.45,102.68,103.09,13220455
2005-04-26,103.37,104.57,103.24,103.66,5441823
2005-04-27,103.8,103.8,101.41,101.84,22514508
2005-04-28,101.37,101.69,100.7,101.41,4674169
2005-04-29,101.12,102.24,101.12,102.08,7603397
2005-05-02,102.02,103.96,102.02,102.82,5450477
2005-05-03,103.08,104.25,103.08,103.73,13876408
2005-05-04,103.94,105.14,103.94,104.82,8658156
2005-05-05,104.87,106.76,104.87,106.74,10157533
2005-05-06,107.11,107.11,105.49,105.54,14580084
2005-05-09,105.58,105.66,105.15,105.25,7839731
2005-05-10,105.07,109.55,105.07,109.34,13722281
2005-05-11,109.31,109.47,109.12,109.16,4122202
2005-05-12,108.53,109.53,108.53,109.48,13538157
2005-05-13,109.83,109.83,107.63,108.22,5970958
2005-05-16,107.81,109.38,107.81,108.38,12011118
2005-05-17,108.55,108.55,107.42,108.36,14386271
2005-05-18,107.87,107.87,107.26,107.57,5972367
2005-05-19,107.49,107.71,107.33,107.55,10179169
2005-05-20,107.07,107.3,106.56,107.16,4109593
2005-05-23,107.22,107.74,107.22,107.5,3667618
2005-05-24,107.31,107.31,106.39,106.67,12142283
2005-05-25,106.74,108.1,106.74,107.8,9877645
2005-05-26,107.78,108.5,107.49,107.95,4622983
2005-05-27,107.79,108.49,107.79,108.24,8192916
2005-05-30,107.96,107.96,106.7,107.64,22610747
2005-05-31,107.66,107.66,106.06,106.87,11597419
2005-06-01,106.97,108.52,106.35,107.66,3649592
2005-06-02,107.6,107.6,106.52,106.88,10538867
2005-06-03,107.0,107.04,106.34,106.62,5657285
2005-06-06,106.56,106.56,106.07,106.12,1452482
2005-06-07,106.03,106.15,105.88,105.91,13357037
2005-06-08,105.54,105.82,105.16,105.73,17866553
2005-06-09,105.9,106.45,105.9,106.39,9042564
2005-06-10,106.24,106.32,104.65,105.43,4151583
2005-06-13,105.52,106.01,104.57,104.94,13349727
2005-06-14,105.39,105.52,105.24,105.38,7677233
2005-06-15,105.78,105.78,104.27,104.44,6106047
2005-06-16,104.79,105.52,104.44,105.33,7628389
2005-06-17,105.6,106.45,105.6,105.96,8340777
2005-06-20,106.32,106.83,105.52,106.23,9503098
2005-06-21,106.79,106.79,104.82,105.18,11046247
2005-06-22,105.63,106.18,105.09,105.27,9748635
2005-06-23,105.52,105.52,103.42,103.5,8455224
2005-06-24,103.23,103.23,100.52,101.32,12540961
2005-06-27,101.31,102.97,101.31,102.71,7592035
2005-06-28,102.39,104.52,102.39,104.27,5041303
2005-06-29,103.91,103.91,102.49,102.73,10841281
2005-06-30,102.93,103.12,102.28,102.64,7582037
2005-07-01,102.3,102.3,101.2,101.59,14191984
2005-07-04,101.65,101.65,99.96,100.09,9806809
2005-07-05,100.35,100.35,98.64,99.34,2797422
2005-07-06,99.41,100.44,99.41,100.43,8889240
2005-07-07,100.39,101.48,100.39,101.2,8131649
2005-07-08,100.79,100.79,100.3,100.36,7432320
2005-07-11,100.54,100.54,99.54,99.93,7758648
2005-07-12,100.01,100.01,96.98,97.83,8875888
2005-07-13,98.07,99.99,98.07,99.45,16076072
2005-07-14,99.2,100.27,99.2,100.14,9999478
2005-07-15,99.95,100.97,99.8,100.34,9586504
2005-07-18,100.16,100.16,97.87,98.07,5313258
2005-07-19,98.18,98.18,97.31,97.82,7362571
2005-07-20,97.64,98.36,96.89,97.5,9562459
2005-07-21,97.11,97.11,96.03,96.59,4552525
2005-07-22,96.46,96.46,95.77,95.79,9587074
2005-07-25,95.7,97.04,95.7,97.01,7998180
2005-07-26,97.3,97.8,97.3,97.36,14379079
2005-07-27,97.34,97.72,97.21,97.28,6229306
2005-07-28,97.27,97.44,96.69,96.94,7166659
2005-07-29,96.87,97.17,96.87,97.15,7103383
2005-08-01,97.08,98.39,97.08,98.11,8449762
2005-08-02,98.11,100.37,98.11,99.41,9763413
2005-08-03,99.15,99.88,98.85,99.76,14343304
2005-08-04,99.81,101.45,99.81,100.44,6284484
2005-08-05,100.21,101.47,100.18,100.4,13131295
2005-08-08,99.94,101.67,99.94,101.24,9859880
2005-08-09,101.78,101.78,99.84,99.93,4584881
2005-08-10,100.55,100.55,99.65,100.01,7497536
2005-08-11,100.01,100.01,99.03,99.61,11704320
2005-08-12,99.37,99.37,98.04,98.63,7587439
2005-08-15,98.17,100.46,98.17,100.09,20511016
2005-08-16,99.82,99.82,97.45,98.69,8686727
2005-08-17,98.16,99.59,98.16,98.83,8898451
2005-08-18,99.49,99.49,98.56,99.42,7834685
2005-08-19,99.27,99.78,99.23,99.7,8158423
2005-08-22,99.57,100.22,99.12,100.12,4805310
2005-08-23,99.99,101.08,99.82,100.33,7831544
2005-08-24,100.41,101.65,100.41,100.96,15715469
2005-08-25,101.02,102.39,100.78,101.77,6537514
2005-08-26,101.35,102.74,101.2,101.79,4551459
2005-08-29,101.52,103.06,101.52,102.16,6423744
2005-08-30,102.01,103.01,102.01,102.99,17586657
2005-08-31,102.87,103.19,102.74,103.14,7790268
2005-09-01,103.61,103.74,103.07,103.44,9199904
2005-09-02,103.65,103.65,102.72,102.85,6573451
2005-09-05,102.86,104.38,102.86,102.99,11232029
2005-09-06,103.01,105.17,103.01,103.97,7881734
2005-09-07,103.74,104.81,103.74,103.93,6713724
2005-09-08,104.05,105.56,104.05,105.11,16880676
2005-09-09,105.47,105.87,104.49,105.1,9250064
2005-09-12,104.76,105.28,103.92,104.31,8628685
2005-09-13,104.05,105.29,104.05,104.48,5989432
2005-09-14,104.47,105.94,104.47,105.26,3658562
2005-09-15,105.39,106.08,105.39,105.76,4114173
2005-09-16,105.56,105.56,104.96,105.18,5069134
2005-09-19,104.98,107.59,104.98,106.68,11549384
2005-09-20,107.39,108.58,107.16,107.47,11534213
2005-09-21,107.04,109.33,107.04,108.44,3035662
2005-09-22,108.36,109.02,108.36,108.98,16376434
2005-09-23,109.01,109.01,107.55,108.56,6921358
2005-09-26,108.82,109.99,108.82,109.78,8006545
2005-09-27,109.23,109.65,108.87,109.22,6229920
2005-09-28,109.29,109.29,109.11,109.12,6761695
2005-09-29,108.92,109.89,108.92,109.76,10658850
2005-09-30,109.65,111.19,109.27,109.9,11456862
2005-10-03,110.13,110.13,108.07,108.31,6212178
2005-10-04,108.42,111.01,108.42,110.64,8972218
2005-10-05,110.67,112.16,110.67,112.07,6697951
2005-10-06,112.61,113.17,112.39,112.75,11723259
2005-10-07,112.78,112.78,110.88,111.36,5524436
2005-10-10,111.39,111.39,110.34,110.44,6357234
2005-10-11,110.24,110.24,108.44,108.59,10136478
2005-10-12,108.25,109.14,108.25,108.64,11884654
2005-10-13,108.83,109.59,108.83,109.27,4061706
2005-10-14,108.87,110.2,107.97,108.73,19879374
2005-10-17,108.82,109.52,108.33,108.69,8359990
2005-10-18,108.7,109.85,108.7,109.67,5318015
2005-10-19,109.33,111.47,109.33,110.82,7001851
2005-10-20,110.91,110.91,110.15,110.3,11970751
2005-10-21,110.05,111.76,110.05,111.44,10131803
2005-10-24,110.98,112.62,110.98,111.41,14813930
2005-10-25,111.58,112.29,111.58,112.14,5425932
2005-10-26,112.27,113.57,112.27,112.91,12328990
2005-10-27,113.05,113.05,111.1,112.02,14654815
2005-10-28,112.03,112.03,110.72,111.01,8785693
2005-10-31,110.62,111.67,110.29,111.05,6573650
2005-11-01,111.2,111.65,110.64,111.25,5330684
2005-11-02,111.13,111.56,110.87,111.01,6676914
2005-11-03,110.72,112.61,110.72,112.07,10764215
