date,open,high,low,close,volume
2005-01-03,123.57,123.82,121.62,122.57,7027477
2005-01-04,121.76,123.37,121.76,122.59,6559431
2005-01-05,122.8,122.8,119.66,120.44,6950572
2005-01-06,120.57,120.72,119.55,120.39,5437261
2005-01-07,121.72,121.72,120.48,120.53,22567063
2005-01-10,119.57,119.91,118.42,118.87,7130493
2005-01-11,118.92,119.63,118.06,118.96,4877900
2005-01-12,119.15,119.57,116.51,118.07,8839874
2005-01-13,118.5,120.29,118.5,120.08,15589612
2005-01-14,119.73,119.89,118.33,118.87,25593557
2005-01-17,118.55,118.55,113.67,114.79,8800512
2005-01-18,115.05,115.05,111.17,111.94,7242407
2005-01-19,111.08,113.3,111.08,112.7,4518786
2005-01-20,112.04,112.06,109.86,111.3,8634515
2005-01-21,111.17,112.27,110.19,111.96,11836533
2005-01-24,112.84,113.59,111.55,112.66,6916117
2005-01-25,112.29,112.88,111.08,112.38,5619943
2005-01-26,112.32,115.87,112.32,114.54,6455381
2005-01-27,114.71,115.59,114.03,114.3,15643955
2005-01-28,113.84,113.84,109.83,110.77,6515466
2005-01-31,111.09,111.09,108.44,109.62,7401094
2005-02-01,109.78,110.12,107.9,108.59,9625343
2005-02-02,107.69,114.02,107.69,112.21,9331275
2005-02-03,110.77,110.77,107.98,108.58,26557942
2005-02-04,107.7,109.69,107.7,108.73,6592257
2005-02-07,108.32,108.32,107.7,108.18,6481427
2005-02-08,107.81,107.81,105.29,106.12,13567640
2005-02-09,107.09,109.37,107.09,109.29,6341622
2005-02-10,108.57,112.3,108.57,111.94,13985548
2005-02-11,112.17,112.17,110.96,111.91,7921601
2005-02-14,112.34,114.41,112.34,112.62,5719949
2005-02-15,112.8,112.8,109.26,110.53,3609115
2005-02-16,110.44,110.44,109.17,109.83,5021347
2005-02-17,109.76,112.42,109.76,111.74,7193526
2005-02-18,111.04,113.57,111.04,113.12,9430147
2005-02-21,114.18,114.54,112.93,113.65,10049458
2005-02-22,113.69,117.02,113.69,116.69,7345004
2005-02-23,117.02,120.63,117.02,120.38,7031605
2005-02-24,119.83,125.15,119.83,124.63,5485080
2005-02-25,125.2,125.2,122.59,124.14,9553662
2005-02-28,124.38,124.62,124.38,124.6,13103176
2005-03-01,124.1,125.71,124.1,124.62,11598033
2005-03-02,125.52,125.52,121.38,122.47,14761097
2005-03-03,122.7,124.85,122.43,123.9,10676580
2005-03-04,122.23,125.62,122.23,125.12,9911264
2005-03-07,126.2,127.26,123.13,125.78,5487268
2005-03-08,126.36,126.36,124.29,125.13,4337198
2005-03-09,125.39,131.05,125.39,129.5,11371223
2005-03-10,129.62,130.53,129.04,130.35,10135512
2005-03-11,129.88,129.88,128.19,129.61,11561879
2005-03-14,130.33,130.44,127.75,128.4,8331260
2005-03-15,127.06,132.21,127.06,130.51,10700231
2005-03-16,129.96,137.41,129.96,136.15,8601025
2005-03-17,136.33,136.33,132.68,133.47,8758465
2005-03-18,134.25,138.28,134.25,137.13,7641728
2005-03-21,137.72,137.72,136.41,137.0,5433134
2005-03-22,137.33,140.45,137.33,138.67,19218108
2005-03-23,138.49,140.1,138.49,139.67,8639868
2005-03-24,140.09,141.03,138.98,140.81,14525559
2005-03-25,140.06,140.12,136.0,139.69,3759286
2005-03-28,139.6,144.64,139.6,142.33,14431540
2005-03-29,142.45,147.73,142.45,145.51,8951916
2005-03-30,146.28,147.91,145.13,146.78,7901449
2005-03-31,147.34,147.34,144.42,145.44,7168682
2005-04-01,146.16,149.61,146.16,148.96,10825804
2005-04-04,149.39,154.05,149.39,153.38,4587972
2005-04-05,152.45,154.82,152.45,153.24,5540313
2005-04-06,154.69,154.74,154.01,154.59,7082246
2005-04-07,155.13,158.95,155.13,157.2,11807610
2005-04-08,157.52,157.52,154.41,155.53,19522940
2005-04-11,156.22,156.22,147.96,149.92,8473192
2005-04-12,150.29,156.0,150.29,155.18,12874716
2005-04-13,155.1,159.17,153.46,156.53,11858340
2005-04-14,156.93,156.93,153.67,153.97,6390159
2005-04-15,154.59,154.59,149.77,150.39,13013821
2005-04-18,150.45,152.59,150.45,151.9,12024650
2005-04-19,150.99,154.33,150.99,153.59,9163227
2005-04-20,153.06,157.97,153.06,157.73,8427096
2005-04-21,156.34,161.15,156.34,159.26,13910333
2005-04-22,159.53,160.43,158.59,159.95,12439917
2005-04-25,158.96,158.96,152.86,155.15,2893701
2005-04-26,154.35,154.35,151.69,152.54,7334129
2005-04-27,153.08,153.08,149.56,149.92,9643434
2005-04-28,149.83,155.12,149.83,152.38,11319155
2005-04-29,152.41,152.41,147.56,148.61,11801703
2005-05-02,148.86,148.86,142.6,145.67,5637991
2005-05-03,145.34,146.98,142.71,145.02,10033120
2005-05-04,144.98,144.98,143.71,143.76,6400099
2005-05-05,142.46,142.46,139.57,140.66,13313218
2005-05-06,140.31,140.31,135.69,136.7,12318158
2005-05-09,136.5,136.5,134.93,135.13,5973986
2005-05-10,135.48,138.71,135.48,137.82,12362852
2005-05-11,137.41,139.15,137.33,138.52,7599251
2005-05-12,137.56,141.85,137.56,141.01,3761551
2005-05-13,140.71,140.71,138.11,139.67,7154740
2005-05-16,138.85,138.85,136.7,137.27,6544605
2005-05-17,137.12,137.12,133.08,135.17,3419159
2005-05-18,134.74,137.89,134.74,137.13,6232468
2005-05-19,136.6,140.04,136.6,139.0,6426938
2005-05-20,139.24,139.24,135.28,137.54,14643674
2005-05-23,137.55,142.87,137.55,140.43,12343421
2005-05-24,141.15,143.09,140.3,141.43,11826534
2005-05-25,140.38,140.38,137.79,137.82,4824203
2005-05-26,137.46,140.11,137.46,139.87,7739443
2005-05-27,139.8,139.8,137.21,138.46,20155319
2005-05-30,137.88,139.21,135.33,139.14,2974967
2005-05-31,138.32,139.41,136.82,139.09,5498521
2005-06-01,139.02,139.24,137.7,137.76,10633117
2005-06-02,136.86,137.62,135.96,135.97,9660462
2005-06-03,135.67,136.87,135.28,135.57,11517788
2005-06-06,134.8,138.38,134.8,137.79,7154984
2005-06-07,138.62,138.62,132.86,134.88,4779987
2005-06-08,134.27,141.34,134.27,141.11,11343655
2005-06-09,140.85,140.85,138.87,139.2,8012563
2005-06-10,139.12,140.61,139.12,139.85,9766770
2005-06-13,140.19,141.67,139.01,139.64,19775689
2005-06-14,140.43,141.26,139.7,141.21,9019765
2005-06-15,140.98,141.74,140.89,141.52,10870260
2005-06-16,141.9,141.94,139.39,140.95,3777633
2005-06-17,140.57,140.57,136.2,137.31,6998458
2005-06-20,137.17,140.14,137.17,138.91,14393899
2005-06-21,138.21,142.32,138.21,141.3,10191038
2005-06-22,141.03,143.88,141.03,142.03,8894060
2005-06-23,142.27,142.27,138.84,139.03,9516243
2005-06-24,138.42,145.78,138.42,143.81,8077783
2005-06-27,144.19,144.19,140.92,141.22,6028498
2005-06-28,142.06,142.69,141.2,142.2,9371894
2005-06-29,141.99,141.99,138.07,138.56,6015294
2005-06-30,138.7,138.7,135.5,136.14,4266345
2005-07-01,135.8,141.23,135.8,138.95,7602787
2005-07-04,138.35,138.35,137.15,137.46,6390228
2005-07-05,136.89,140.12,136.89,139.58,10973581
2005-07-06,139.86,139.86,137.72,138.25,15995002
2005-07-07,138.06,138.06,135.74,137.64,15236895
2005-07-08,137.58,137.58,134.49,135.84,7193147
2005-07-11,136.01,139.23,136.01,137.82,9659205
2005-07-12,136.9,137.89,136.38,136.62,13618776
2005-07-13,136.21,139.08,135.13,137.17,3288613
2005-07-14,138.04,142.36,137.71,139.21,3970834
2005-07-15,138.69,138.93,136.83,138.53,9873152
2005-07-18,137.7,138.4,136.19,137.74,7695233
2005-07-19,137.42,139.54,137.42,138.89,3315425
2005-07-20,139.29,139.29,136.07,136.87,5633765
2005-07-21,137.48,137.48,134.6,134.84,10276747
2005-07-22,135.7,135.7,132.13,132.76,6581364
2005-07-25,132.16,134.59,132.16,134.54,8429922
