date,open,high,low,close,volume
2005-01-03,137.58,141.48,137.58,138.82,9571765
2005-01-04,138.6,138.6,135.16,136.3,4309953
2005-01-05,135.63,135.63,134.09,135.06,25627934
2005-01-06,134.01,134.01,131.3,132.05,5713683
2005-01-07,133.2,134.98,133.2,134.73,12587686
2005-01-10,134.91,135.55,134.91,135.25,3181934
2005-01-11,135.09,136.71,134.56,134.99,5065424
2005-01-12,135.14,135.14,132.85,133.1,5573601
2005-01-13,133.9,135.14,132.87,133.77,17303621
2005-01-14,132.96,135.09,132.96,134.49,13859170
2005-01-17,134.75,139.66,134.75,138.32,10734255
2005-01-18,139.27,139.79,136.96,139.32,10332983
2005-01-19,138.74,143.13,138.74,142.62,1927222
2005-01-20,142.62,147.14,142.62,146.49,1853654
2005-01-21,146.15,148.18,146.15,147.48,14784991
2005-01-24,148.55,148.55,143.67,144.84,9330869
2005-01-25,144.17,147.44,144.17,146.29,7958269
2005-01-26,145.99,151.99,145.99,151.08,11307969
2005-01-27,151.45,151.45,150.13,150.3,5326189
2005-01-28,150.78,152.48,150.78,151.95,19145335
2005-01-31,152.46,153.2,149.54,152.28,4431811
2005-02-01,151.34,154.36,150.64,153.34,5337067
2005-02-02,153.05,153.05,149.42,150.47,18792050
2005-02-03,150.44,150.44,146.31,146.88,10132241
2005-02-04,146.75,148.43,146.33,146.39,6296673
2005-02-07,147.31,147.31,143.29,144.21,8779837
2005-02-08,145.6,146.5,143.4,144.66,16499631
2005-02-09,144.46,147.7,144.46,146.48,8622294
2005-02-10,145.91,145.91,138.97,142.51,7079005
2005-02-11,141.86,141.86,140.83,141.04,6378950
2005-02-14,140.77,140.77,135.23,137.1,7666416
2005-02-15,137.52,137.85,136.75,136.94,5534270
2005-02-16,135.98,138.98,135.98,138.16,14353649
2005-02-17,137.67,137.67,134.28,135.7,21701744
2005-02-18,136.3,137.37,136.17,136.89,16955994
2005-02-21,136.79,140.3,136.79,139.82,4120772
2005-02-22,140.12,141.22,139.37,140.46,4032650
2005-02-23,140.4,142.69,140.4,142.51,10429447
2005-02-24,141.94,145.35,141.94,144.66,11217662
2005-02-25,144.86,148.58,144.86,147.16,4444494
2005-02-28,147.4,147.64,145.82,147.09,7814004
2005-03-01,147.6,147.6,143.61,144.44,9114088
2005-03-02,143.46,145.12,143.46,144.39,5911191
2005-03-03,143.56,143.6,142.35,143.41,10263252
2005-03-04,143.31,148.16,143.31,147.6,6860479
2005-03-07,146.78,150.21,146.78,149.49,4610911
2005-03-08,149.44,150.65,149.27,150.33,12470597
2005-03-09,149.77,152.53,149.01,149.35,6593385
2005-03-10,148.7,151.44,148.7,150.98,14538375
2005-03-11,150.68,154.35,150.68,154.33,8873418
2005-03-14,153.71,162.16,153.71,158.58,8231093
2005-03-15,158.55,158.55,154.76,155.91,9586226
2005-03-16,156.73,158.46,155.92,156.36,13891710
2005-03-17,156.79,158.39,156.79,158.28,4224415
2005-03-18,158.06,158.54,156.57,157.39,7349873
2005-03-21,157.78,160.53,157.78,159.47,3977030
2005-03-22,159.81,160.19,157.9,158.53,6341656
2005-03-23,158.45,159.56,157.85,158.61,4775291
2005-03-24,158.64,158.64,156.22,156.97,5190606
2005-03-25,156.64,157.49,154.05,156.49,8781228
2005-03-28,156.78,156.78,154.2,155.87,4752199
2005-03-29,155.79,155.79,151.35,152.82,11227333
2005-03-30,152.86,152.86,150.12,151.1,3942994
2005-03-31,150.96,151.98,150.96,151.25,9801350
2005-04-01,151.66,152.79,149.59,150.22,6969011
2005-04-04,150.78,153.48,150.78,153.25,7272363
2005-04-05,152.77,158.84,152.77,155.77,4562954
2005-04-06,155.35,155.35,150.93,151.68,19311838
2005-04-07,152.26,152.26,145.06,146.51,9682150
2005-04-08,147.07,147.92,144.93,145.89,4387184
2005-04-11,147.34,152.97,147.34,152.34,14874843
2005-04-12,151.62,151.62,149.44,151.18,20783406
2005-04-13,150.41,150.41,145.24,147.58,6961393
2005-04-14,147.83,147.86,147.06,147.18,14588137
2005-04-15,147.7,147.7,146.15,147.12,10488568
2005-04-18,146.43,146.43,144.98,145.31,12913727
2005-04-19,146.29,148.38,146.29,147.27,6873739
2005-04-20,146.16,147.48,144.4,144.93,12081783
2005-04-21,145.79,149.22,145.79,148.9,9733237
2005-04-22,149.49,151.85,148.89,151.18,11723660
2005-04-25,151.17,151.17,149.62,149.81,12454681
2005-04-26,150.01,151.76,148.76,149.89,6896767
2005-04-27,149.7,153.81,149.7,151.51,11807692
2005-04-28,150.73,156.11,150.73,155.31,14382945
2005-04-29,154.53,154.53,147.65,148.82,5478595
2005-05-02,149.72,149.72,146.76,148.06,7760545
2005-05-03,148.24,155.09,148.24,153.94,7627913
2005-05-04,153.28,153.28,150.62,152.03,6568316
2005-05-05,152.31,158.06,152.31,156.34,8966225
2005-05-06,155.87,159.94,155.87,159.17,7392795
2005-05-09,159.53,162.35,157.99,160.18,7957561
2005-05-10,160.68,160.68,158.98,159.26,17659020
2005-05-11,158.85,162.28,158.85,160.7,15337326
2005-05-12,160.3,160.3,158.75,159.65,8144076
2005-05-13,159.79,164.38,159.79,161.51,14647875
2005-05-16,162.31,162.31,156.68,160.15,7872224
2005-05-17,159.99,159.99,154.99,155.78,14196096
2005-05-18,156.4,156.4,152.58,153.37,11159605
2005-05-19,153.11,153.45,148.16,151.83,12664151
2005-05-20,152.02,153.32,152.02,153.06,8177837
2005-05-23,152.88,152.88,147.78,150.52,18307506
2005-05-24,150.32,158.07,150.32,155.71,5065559
2005-05-25,156.27,156.27,151.01,152.15,6321597
2005-05-26,153.15,153.15,148.98,151.23,13760585
2005-05-27,151.28,151.28,145.08,145.69,3969194
2005-05-30,145.79,145.79,143.59,143.65,8527226
2005-05-31,143.41,145.51,143.41,145.03,5272581
2005-06-01,144.88,144.88,142.81,143.27,13613188
2005-06-02,142.57,142.57,138.58,138.65,7678511
2005-06-03,138.74,142.83,138.74,140.36,6149474
2005-06-06,139.91,142.76,139.91,141.89,7543900
2005-06-07,141.78,142.93,140.54,141.23,9595850
2005-06-08,141.74,141.74,139.08,139.62,14537228
2005-06-09,138.83,140.94,138.83,140.59,12499119
2005-06-10,140.4,143.91,140.4,142.6,15789605
2005-06-13,142.03,143.66,142.03,143.59,9956894
2005-06-14,142.84,144.22,140.87,142.42,14783474
2005-06-15,142.37,143.33,141.67,142.25,6844364
2005-06-16,142.1,146.48,142.1,145.81,15223921
2005-06-17,145.83,145.83,139.41,140.77,4533905
2005-06-20,140.09,140.42,139.15,139.72,9766225
2005-06-21,138.43,145.8,138.43,144.91,20357211
2005-06-22,143.85,147.39,143.85,147.15,5126144
2005-06-23,148.14,154.71,148.14,153.41,5764409
2005-06-24,153.65,153.65,149.2,150.56,5411680
2005-06-27,150.1,151.12,147.55,148.72,5241862
2005-06-28,148.59,148.59,145.77,145.81,9487888
2005-06-29,146.63,146.63,142.42,143.08,10045270
2005-06-30,142.67,143.63,142.67,143.05,9062843
2005-07-01,142.26,142.26,136.77,138.08,7843377
2005-07-04,137.1,137.1,135.99,136.19,8687025
2005-07-05,136.5,136.5,132.1,133.34,6271069
2005-07-06,133.44,134.64,133.44,134.57,5313387
2005-07-07,133.85,134.98,133.64,134.79,26763398
2005-07-08,135.47,135.47,134.48,134.52,6520403
2005-07-11,135.48,139.63,135.48,139.06,7906221
2005-07-12,139.22,140.27,138.57,138.95,13901261
2005-07-13,139.11,143.19,139.11,141.44,12503649
2005-07-14,141.04,141.04,139.11,139.6,9477756
2005-07-15,139.24,143.75,139.24,142.96,8624553
2005-07-18,142.63,147.1,142.63,146.62,7374659
2005-07-19,145.97,149.6,145.97,149.03,11249684
2005-07-20,149.53,154.14,149.53,152.95,5772297
