date,open,high,low,close,volume
2005-01-03,110.21,110.72,108.22,110.06,11453130
2005-01-04,110.26,111.34,109.57,109.89,9569496
2005-01-05,109.69,111.3,109.69,111.08,4080749
2005-01-06,111.63,111.74,109.82,111.51,11461358
2005-01-07,111.49,111.49,106.54,107.99,8129052
2005-01-10,107.89,107.89,104.52,104.64,4207664
2005-01-11,104.71,104.71,101.86,103.46,8253930
2005-01-12,102.58,102.96,101.66,102.36,7251636
2005-01-13,102.61,102.61,100.12,100.29,5233791
2005-01-14,100.32,102.29,100.32,101.64,44783526
2005-01-17,101.57,102.03,101.39,101.74,10887555
2005-01-18,102.46,102.84,101.07,102.19,8196677
2005-01-19,102.41,103.41,101.86,102.53,7064095
2005-01-20,102.37,102.37,98.58,98.99,10901203
2005-01-21,99.25,99.65,97.58,99.36,6938476
2005-01-24,99.25,99.25,96.16,96.96,8984070
2005-01-25,97.08,99.47,95.46,98.23,13964903
2005-01-26,98.63,100.44,98.63,99.9,12755093
2005-01-27,100.25,100.25,97.82,98.03,6768785
2005-01-28,98.02,100.29,98.02,99.76,28711293
2005-01-31,100.18,101.11,99.31,99.75,9261971
2005-02-01,100.04,100.04,99.58,99.64,5815889
2005-02-02,99.96,99.96,98.17,98.96,4381190
2005-02-03,98.93,100.32,98.56,99.0,14587649
2005-02-04,98.95,99.78,98.39,98.56,5410111
2005-02-07,99.0,99.25,98.24,99.24,4406151
2005-02-08,99.54,99.54,97.62,98.4,8305478
2005-02-09,97.88,97.88,94.88,96.17,6271118
2005-02-10,95.77,97.6,95.77,96.39,6638787
2005-02-11,96.77,96.77,94.53,94.63,19822167
2005-02-14,94.25,94.25,93.32,94.02,15526195
2005-02-15,94.26,94.35,93.73,94.27,6249924
2005-02-16,93.99,93.99,92.24,92.28,10356976
2005-02-17,92.48,92.48,91.06,91.67,11350754
2005-02-18,91.65,93.22,91.65,92.47,12937808
2005-02-21,93.12,95.66,93.12,95.36,6505532
2005-02-22,95.54,95.54,93.45,93.63,5844599
2005-02-23,94.12,94.12,91.97,93.03,7689376
2005-02-24,92.6,93.36,91.24,92.55,8525833
2005-02-25,91.85,95.01,91.85,94.78,9116009
2005-02-28,94.94,94.94,93.95,94.03,31608258
2005-03-01,93.84,96.48,93.84,96.38,20642141
2005-03-02,96.71,98.62,96.71,97.77,20158906
2005-03-03,97.84,97.84,95.16,95.62,4476079
2005-03-04,95.36,95.36,93.44,93.46,3642677
2005-03-07,93.3,93.3,90.96,90.96,15854431
2005-03-08,89.79,91.23,89.79,90.92,4915777
2005-03-09,90.69,90.69,88.23,89.51,4917580
2005-03-10,89.69,90.22,88.81,89.28,6465140
2005-03-11,88.76,89.51,88.71,89.28,15730301
2005-03-14,89.51,90.04,88.71,89.71,7864423
2005-03-15,90.45,90.45,84.59,84.74,15341760
2005-03-16,84.46,85.08,83.21,84.16,9270138
2005-03-17,84.4,87.2,84.4,86.29,17058023
2005-03-18,86.2,89.33,86.2,88.77,18263149
2005-03-21,87.98,93.19,87.98,90.66,5673368
2005-03-22,90.5,95.44,90.5,94.21,14423290
2005-03-23,94.51,94.51,92.41,93.33,14097956
2005-03-24,93.2,95.73,93.2,94.71,11113922
2005-03-25,94.6,94.99,93.31,94.76,7891579
2005-03-28,94.82,94.82,92.03,93.1,5663833
2005-03-29,94.1,94.69,92.43,93.81,4405645
2005-03-30,94.22,94.89,93.94,94.64,11349485
2005-03-31,93.83,94.24,93.69,94.22,4478149
2005-04-01,93.4,96.39,93.4,95.92,7851072
2005-04-04,95.34,95.34,92.09,92.54,6412119
2005-04-05,92.12,93.87,92.12,92.79,5595953
2005-04-06,91.98,96.88,91.98,95.91,9582582
2005-04-07,95.44,98.01,95.44,97.86,7059320
2005-04-08,97.85,98.28,97.55,98.1,8342018
2005-04-11,98.93,100.6,98.57,99.17,10839316
2005-04-12,99.04,99.04,96.98,97.87,13451107
2005-04-13,97.43,98.96,97.2,97.84,13952163
2005-04-14,98.01,98.41,96.64,97.37,14062832
2005-04-15,97.43,99.31,97.43,98.87,8858652
2005-04-18,99.83,100.74,99.83,100.15,24094690
2005-04-19,99.91,99.91,98.1,99.35,12370077
2005-04-20,99.3,101.0,99.3,100.27,7747040
2005-04-21,100.49,103.35,100.49,102.9,11121851
2005-04-22,103.32,103.32,100.77,101.2,9805591
2005-04-25,100.6,101.78,100.11,101.66,13339291
2005-04-26,101.73,101.9,98.49,99.33,31954145
2005-04-27,99.92,99.92,99.01,99.1,5405608
2005-04-28,99.32,101.36,99.32,100.9,18739651
2005-04-29,101.45,101.45,98.2,99.59,7884845
2005-05-02,99.83,102.73,99.83,102.73,3890568
2005-05-03,103.01,103.99,101.94,102.62,8254727
2005-05-04,102.34,105.5,102.34,104.2,9201615
2005-05-05,104.73,104.73,100.7,102.08,5218938
2005-05-06,101.94,102.14,101.33,102.12,12967720
2005-05-09,101.96,101.96,99.52,100.56,15387165
2005-05-10,100.45,100.51,99.36,99.61,7240282
2005-05-11,100.11,100.11,97.31,98.54,5321323
2005-05-12,98.11,98.11,97.62,97.94,12120715
2005-05-13,98.42,99.68,97.32,99.03,5158192
2005-05-16,99.65,99.65,96.97,97.66,5320151
2005-05-17,97.35,97.35,96.16,96.36,6916202
2005-05-18,96.08,98.92,96.08,98.36,15033003
2005-05-19,97.58,97.58,95.98,96.48,7174583
2005-05-20,96.41,97.57,96.41,97.46,7614365
2005-05-23,97.21,98.7,97.21,97.89,7375178
2005-05-24,97.67,98.48,97.67,97.97,8195916
2005-05-25,97.97,97.97,95.3,95.56,10092347
2005-05-26,95.17,95.91,95.05,95.27,6324626
2005-05-27,95.99,98.37,95.99,98.07,6562508
2005-05-30,98.78,98.78,95.99,98.31,17460310
2005-05-31,98.66,99.2,97.87,98.46,18596475
2005-06-01,98.22,98.34,96.35,97.38,16951048
2005-06-02,97.55,97.55,95.8,96.11,11759778
2005-06-03,95.48,97.01,95.48,96.78,13951027
2005-06-06,97.26,97.83,96.01,97.35,9243491
2005-06-07,97.85,97.85,94.34,95.75,13295281
2005-06-08,95.45,95.88,94.33,95.29,7366922
2005-06-09,95.7,96.36,95.7,96.17,18398389
2005-06-10,96.53,99.05,96.12,97.92,8865398
2005-06-13,97.67,98.35,96.58,97.31,14795488
2005-06-14,96.86,96.99,95.8,96.88,11254750
2005-06-15,96.83,97.18,96.39,96.5,6054040
2005-06-16,95.79,95.79,94.5,95.16,8901641
2005-06-17,95.23,96.41,94.71,95.81,11579068
2005-06-20,95.8,95.8,93.19,93.51,11286765
2005-06-21,92.82,92.82,91.24,91.67,11010448
2005-06-22,91.3,91.94,90.89,91.38,5163639
2005-06-23,91.4,93.66,91.01,92.54,7402656
2005-06-24,93.08,95.04,93.08,94.61,9057445
2005-06-27,94.71,94.71,91.85,92.1,6083688
2005-06-28,92.68,92.68,89.19,89.38,11948652
2005-06-29,89.12,90.28,89.12,90.25,32380414
2005-06-30,90.33,90.33,87.95,88.95,8685486
2005-07-01,88.46,88.63,88.3,88.59,6202067
2005-07-04,88.59,89.87,88.3,89.29,21857724
2005-07-05,89.45,89.45,87.13,87.17,7407653
2005-07-06,87.17,88.32,87.01,87.69,8291640
2005-07-07,87.4,88.81,87.02,87.61,12602236
2005-07-08,88.05,88.05,85.82,86.27,9819080
2005-07-11,86.05,89.25,86.05,89.06,16585150
2005-07-12,89.25,89.25,86.23,86.35,10635397
2005-07-13,87.15,87.15,85.97,86.42,6989077
2005-07-14,86.53,86.65,85.95,86.3,5405095
2005-07-15,86.14,86.14,84.64,84.94,5172515
2005-07-18,84.82,84.82,82.99,83.75,5712861
2005-07-19,84.36,84.36,82.03,82.72,5447557
2005-07-20,82.53,86.29,82.53,84.46,8575815
2005-07-21,84.53,84.53,83.13,83.86,8824936
2005-07-22,84.96,86.8,84.35,85.91,8981605
2005-07-25,86.09,86.09,84.51,84.54,6531597
2005-07-26,84.6,84.6,81.79,82.21,7120169
2005-07-27,82.09,82.09,81.54,81.75,11995434
2005-07-28,82.17,82.17,79.28,80.0,10348193
2005-07-29,80.14,83.42,80.14,81.67,10131996
2005-08-01,81.79,81.79,79.8,79.92,5558419
2005-08-02,80.67,80.67,77.85,77.85,21165413
2005-08-03,78.36,78.47,77.48,78.19,10751032
2005-08-04,78.12,81.11,78.12,80.85,14279712
2005-08-05,81.14,83.62,81.14,82.3,12822548
2005-08-08,82.75,84.9,82.75,84.57,44703800
2005-08-09,83.76,83.76,83.17,83.3,7927358
2005-08-10,83.27,84.13,83.27,84.07,13797064
2005-08-11,83.01,86.28,83.01,85.97,6332834
2005-08-12,86.73,86.73,84.77,84.87,19797608
2005-08-15,84.59,84.59,83.56,83.69,8723973
2005-08-16,83.97,83.97,82.4,82.47,3439812
2005-08-17,82.78,82.78,81.04,81.27,7165424
2005-08-18,81.31,81.76,81.31,81.6,14015192
2005-08-19,81.95,81.95,79.53,80.47,26082214
2005-08-22,80.22,83.32,80.22,82.61,4935329
2005-08-23,82.44,84.12,82.44,83.97,8025074
2005-08-24,83.29,83.9,82.09,83.26,19611191
2005-08-25,83.72,83.72,81.05,81.62,5693790
2005-08-26,82.19,82.64,80.87,82.18,9006897
2005-08-29,82.82,83.08,80.88,82.57,5339508
2005-08-30,83.16,83.96,82.54,83.83,2235744
2005-08-31,83.85,84.49,83.16,83.22,13314766
2005-09-01,83.54,83.54,81.03,82.38,29930237
2005-09-02,82.33,85.02,82.33,84.26,12387690
2005-09-05,84.35,89.68,84.35,88.47,7936025
2005-09-06,88.48,88.59,87.99,88.21,5032168
2005-09-07,88.36,88.36,85.04,85.72,6942745
2005-09-08,85.48,88.93,85.48,88.04,7290795
