date,open,high,low,close,volume
2005-01-03,143.68,144.2,143.68,143.73,12123285
2005-01-04,144.08,145.68,144.08,144.86,3347502
2005-01-05,145.02,147.0,145.02,145.59,5493191
2005-01-06,145.29,149.87,145.29,146.87,4975267
2005-01-07,146.44,148.03,145.3,148.0,17567453
2005-01-10,147.4,150.22,147.4,150.14,29579554
2005-01-11,149.05,149.33,148.48,149.03,8812865
2005-01-12,148.28,148.28,145.61,146.48,7280030
2005-01-13,146.46,147.45,142.71,144.03,12644395
2005-01-14,143.82,146.07,143.82,145.21,7498182
2005-01-17,145.02,145.21,144.29,144.71,8047109
2005-01-18,144.44,147.04,144.44,147.02,10871743
2005-01-19,146.61,148.39,145.81,146.83,8130927
2005-01-20,146.61,147.73,145.25,147.36,6289442
2005-01-21,147.69,149.67,147.69,149.46,10449855
2005-01-24,149.17,154.96,149.17,153.42,4864621
2005-01-25,155.17,156.13,154.49,155.68,23594000
2005-01-26,155.4,155.4,152.68,153.57,3988154
2005-01-27,153.81,157.98,153.81,157.86,2985883
2005-01-28,158.2,158.2,155.38,155.92,6731267
2005-01-31,156.18,156.76,154.62,154.69,6666712
2005-02-01,154.52,154.52,151.91,152.91,10554863
2005-02-02,153.25,154.78,153.25,154.59,5353548
2005-02-03,153.01,156.47,153.01,154.12,5392491
2005-02-04,153.88,159.92,153.88,157.02,23426736
2005-02-07,156.92,156.92,151.29,152.63,11322121
2005-02-08,153.35,157.25,153.35,154.97,29241478
2005-02-09,153.96,157.64,153.96,155.8,11897815
2005-02-10,156.2,156.2,151.87,154.09,15496990
2005-02-11,154.73,154.74,152.85,153.17,8206900
2005-02-14,153.01,154.35,153.01,154.31,6340904
2005-02-15,155.0,158.28,153.6,157.49,9862539
2005-02-16,156.83,157.82,156.36,157.21,10231179
2005-02-17,157.05,157.14,156.07,156.47,8010598
2005-02-18,156.2,156.2,151.61,152.98,8095541
2005-02-21,152.78,152.78,144.6,147.26,11457993
2005-02-22,147.25,150.07,147.25,150.05,11132224
2005-02-23,148.97,148.97,146.08,146.17,13489711
2005-02-24,146.49,147.54,145.73,145.9,9105530
2005-02-25,144.92,146.49,144.68,146.28,8019378
2005-02-28,146.36,146.36,140.12,141.98,9299901
2005-03-01,142.61,143.21,142.17,142.73,7856673
2005-03-02,143.19,150.85,143.19,147.66,5402186
2005-03-03,148.73,152.87,148.73,150.74,7180778
2005-03-04,149.84,151.54,149.47,149.52,10095425
2005-03-07,149.09,155.14,149.09,155.03,3257800
2005-03-08,155.12,159.35,155.12,158.05,6745885
2005-03-09,157.64,159.19,157.64,159.09,14361123
2005-03-10,158.84,158.84,154.31,154.99,8624590
2005-03-11,154.76,154.76,152.48,153.87,9428103
2005-03-14,154.21,158.46,154.21,156.81,14886307
2005-03-15,156.93,158.31,155.96,155.97,7780898
2005-03-16,157.03,159.54,157.03,158.99,16522875
2005-03-17,159.1,159.1,157.63,158.13,11478719
2005-03-18,158.36,159.76,157.83,159.31,8066427
2005-03-21,159.15,162.09,159.15,160.94,23592327
2005-03-22,160.84,162.65,159.32,161.21,15673950
2005-03-23,162.44,162.44,157.2,159.04,16116263
2005-03-24,159.04,159.28,157.22,158.4,17784807
2005-03-25,158.38,166.75,158.38,164.79,6910739
2005-03-28,164.81,165.99,163.29,163.82,6289008
2005-03-29,162.76,171.47,162.76,167.34,19260194
2005-03-30,166.91,169.59,166.66,169.29,21410308
2005-03-31,169.67,169.67,162.84,164.78,12758820
2005-04-01,164.86,171.57,164.86,169.69,10144961
2005-04-04,169.11,177.08,169.11,174.48,17669717
2005-04-05,175.56,175.56,169.16,172.73,11141482
2005-04-06,172.99,174.15,171.55,173.42,14348826
2005-04-07,173.2,173.2,169.55,171.22,6135078
2005-04-08,171.34,171.69,169.98,170.65,6689620
2005-04-11,170.16,170.16,169.0,169.57,13704673
2005-04-12,168.5,172.28,168.5,170.24,11479603
2005-04-13,169.13,173.76,169.13,172.55,13410869
2005-04-14,173.16,173.2,172.79,172.81,7173361
2005-04-15,172.35,172.35,167.28,169.05,15750856
2005-04-18,168.36,169.79,168.36,169.28,7261193
2005-04-19,168.91,168.91,164.7,164.87,18386105
2005-04-20,165.37,165.37,161.92,162.67,9195165
2005-04-21,162.59,166.01,162.59,165.23,5768430
2005-04-22,164.33,164.33,160.04,161.88,6420408
2005-04-25,162.69,166.13,162.11,164.12,7824268
2005-04-26,164.46,164.46,161.74,162.02,16734273
2005-04-27,162.19,163.41,161.37,162.17,12798886
2005-04-28,161.77,163.4,160.38,160.4,9438384
2005-04-29,160.39,163.56,160.39,161.74,2454033
2005-05-02,161.92,162.0,161.25,161.51,4009283
2005-05-03,162.28,162.61,159.36,160.23,5083251
2005-05-04,160.68,164.04,160.68,163.91,6243261
2005-05-05,164.1,164.1,153.89,154.48,4201824
2005-05-06,155.28,155.28,150.54,151.82,16053904
2005-05-09,149.75,154.29,149.75,154.23,21047376
2005-05-10,154.65,154.65,147.18,148.21,3268777
2005-05-11,148.0,148.0,145.45,145.94,16105224
2005-05-12,145.95,151.66,145.95,150.39,4521719
2005-05-13,150.82,155.68,150.82,153.95,6329502
2005-05-16,153.54,154.65,153.54,153.91,9966813
2005-05-17,153.56,153.56,150.84,151.13,8071661
2005-05-18,151.4,152.78,151.4,152.5,5632470
2005-05-19,152.79,157.79,152.79,154.8,16704917
2005-05-20,154.5,159.13,154.5,159.06,8421197
2005-05-23,159.5,159.92,153.37,156.67,9983893
2005-05-24,155.91,159.83,155.91,158.46,4943411
2005-05-25,158.72,161.91,158.72,160.23,7376928
2005-05-26,159.72,164.9,159.72,162.47,6569011
2005-05-27,162.9,162.9,160.66,162.55,23116415
2005-05-30,162.31,162.31,159.84,160.77,10098455
2005-05-31,160.87,166.18,160.87,164.32,28104483
2005-06-01,163.53,167.42,163.53,166.34,7435660
2005-06-02,166.9,170.15,166.84,167.32,8088273
2005-06-03,168.76,168.76,160.32,163.21,4442349
2005-06-06,162.94,162.94,160.87,161.18,4511653
2005-06-07,161.47,161.47,160.0,160.09,9051363
2005-06-08,159.64,161.74,158.51,160.79,8910851
2005-06-09,161.38,161.99,158.78,160.36,17416582
2005-06-10,160.03,164.46,160.03,163.19,9888169
2005-06-13,163.47,163.83,161.41,163.67,14771303
2005-06-14,162.87,162.87,157.97,158.53,10503202
2005-06-15,156.6,162.25,156.6,161.43,8329280
2005-06-16,159.98,163.46,159.98,161.13,9487390
2005-06-17,162.1,162.1,159.33,159.9,9060295
