date,open,high,low,close,volume
2005-01-03,89.05,89.05,87.78,88.45,10114112
2005-01-04,88.4,88.53,87.78,88.09,4108269
2005-01-05,88.25,89.18,88.13,88.6,8221552
2005-01-06,88.95,88.95,88.22,88.64,6036183
2005-01-07,88.51,88.81,88.1,88.23,8764633
2005-01-10,87.85,89.16,87.85,89.11,18060268
2005-01-11,88.39,89.41,88.0,88.72,5613603
2005-01-12,88.86,88.86,87.52,87.83,3120363
2005-01-13,88.06,88.81,87.94,88.71,6688637
2005-01-14,88.57,88.57,86.8,86.86,9036577
2005-01-17,86.89,87.48,86.84,86.98,11105279
2005-01-18,86.96,88.32,86.96,88.03,20881987
2005-01-19,88.13,90.38,88.13,89.62,5722413
2005-01-20,89.56,92.18,89.56,91.71,7063918
2005-01-21,91.88,91.88,90.47,90.52,13578310
2005-01-24,90.4,92.65,90.4,91.52,9417636
2005-01-25,91.35,92.73,91.35,92.28,6402877
2005-01-26,92.48,92.57,92.08,92.41,14090905
2005-01-27,92.36,93.67,92.36,93.1,23899337
2005-01-28,93.47,95.02,93.34,94.11,12486259
2005-01-31,94.26,94.26,92.41,93.13,12344173
2005-02-01,92.78,92.78,92.04,92.14,18828638
2005-02-02,92.29,94.31,92.29,93.49,6277431
2005-02-03,93.58,93.58,91.85,91.95,5531294
2005-02-04,92.01,92.01,91.5,91.79,4903794
2005-02-07,91.26,91.87,91.01,91.03,6577356
2005-02-08,91.16,92.33,89.42,90.64,7347180
2005-02-09,90.44,90.77,90.26,90.64,6527123
2005-02-10,90.54,92.69,90.54,91.75,3623640
2005-02-11,91.79,93.66,91.79,92.71,13062301
2005-02-14,92.5,93.02,92.05,92.16,6996249
2005-02-15,92.1,93.25,92.1,92.95,10318415
2005-02-16,93.1,93.1,92.39,92.83,19444822
2005-02-17,92.95,92.95,91.39,92.07,9329442
2005-02-18,92.0,92.0,90.4,91.19,8244816
2005-02-21,91.17,93.57,91.17,93.25,11138731
2005-02-22,93.31,95.61,93.31,95.17,5602096
2005-02-23,95.02,95.23,93.82,94.69,9795052
2005-02-24,94.66,94.66,93.95,94.55,16338415
2005-02-25,94.16,94.65,93.56,94.37,17948352
2005-02-28,94.29,96.29,94.29,95.88,10163362
2005-03-01,95.98,96.64,95.58,95.59,9632065
2005-03-02,95.54,96.2,95.33,95.62,6815404
2005-03-03,95.84,95.84,94.4,94.66,6965239
2005-03-04,94.65,96.99,94.65,96.88,7199410
2005-03-07,96.94,96.98,96.5,96.8,22086795
2005-03-08,97.45,98.71,97.45,98.51,5757365
2005-03-09,98.45,98.82,97.11,97.24,5214404
2005-03-10,97.18,99.88,97.18,98.69,4816344
2005-03-11,98.49,98.65,97.97,98.26,6623792
2005-03-14,98.07,98.07,96.13,96.62,15525992
2005-03-15,96.51,99.32,96.51,98.51,13490478
2005-03-16,98.61,99.04,98.17,98.49,8250694
2005-03-17,98.37,99.7,98.37,99.18,11760869
2005-03-18,99.25,99.28,98.7,99.19,6571800
2005-03-21,99.15,99.78,99.15,99.66,8115896
2005-03-22,99.56,99.56,96.81,97.2,11075014
2005-03-23,97.14,97.19,96.73,97.08,10873231
2005-03-24,96.81,96.81,94.51,94.8,8818429
2005-03-25,94.74,94.85,94.56,94.84,4325558
2005-03-28,95.04,95.06,94.73,94.83,2645260
2005-03-29,94.96,94.96,93.51,93.89,11314587
2005-03-30,93.39,93.79,93.06,93.34,5694661
2005-03-31,93.19,93.19,91.67,92.31,14359782
2005-04-01,92.42,93.53,92.42,93.05,2819850
2005-04-04,93.16,93.16,91.49,92.67,5689752
2005-04-05,92.72,93.26,92.51,92.69,8863861
2005-04-06,92.75,92.87,91.65,92.41,15219653
2005-04-07,92.22,92.22,91.04,91.7,11453414
2005-04-08,91.63,91.63,90.09,90.93,6830470
2005-04-11,91.11,91.35,91.05,91.11,10648182
2005-04-12,90.99,91.89,90.68,91.39,8054746
2005-04-13,91.64,93.12,91.64,92.96,32931145
2005-04-14,93.35,93.35,92.22,92.49,16234429
2005-04-15,92.41,92.41,90.81,90.94,6601914
2005-04-18,90.92,91.18,90.44,90.89,14712735
2005-04-19,90.82,92.6,90.82,91.89,3819961
2005-04-20,91.88,91.88,89.02,89.88,10260240
2005-04-21,90.08,90.37,89.56,89.82,26149264
2005-04-22,89.75,90.42,89.08,89.94,4320341
2005-04-25,90.53,90.53,88.34,88.89,9333445
2005-04-26,88.58,88.7,88.01,88.46,11164011
2005-04-27,88.66,88.82,87.67,88.42,10326020
2005-04-28,88.58,88.58,87.95,88.41,13139134
2005-04-29,88.45,88.45,88.09,88.17,9065655
2005-05-02,88.04,89.81,88.04,89.11,7860584
2005-05-03,89.18,89.39,88.92,89.26,3281171
2005-05-04,89.17,91.89,89.17,91.5,6503611
2005-05-05,91.5,91.5,90.58,91.19,9319123
2005-05-06,90.97,90.97,89.7,90.19,5759528
2005-05-09,90.7,91.75,90.7,91.29,14817427
2005-05-10,91.08,92.52,91.08,91.99,12515955
2005-05-11,91.91,94.11,91.91,94.02,12520540
2005-05-12,93.93,94.39,93.93,94.28,6360122
2005-05-13,94.15,94.73,94.15,94.48,7082796
2005-05-16,94.84,94.84,93.85,94.07,7134959
2005-05-17,94.15,94.15,92.7,93.3,5277647
2005-05-18,93.33,95.68,93.33,94.99,13319151
2005-05-19,95.62,95.62,93.3,93.87,10596857
2005-05-20,93.45,94.45,92.88,93.67,15521702
2005-05-23,93.28,93.68,92.97,93.22,5040193
2005-05-24,93.19,95.41,93.19,94.26,3813992
2005-05-25,94.54,95.29,94.54,94.99,3857054
2005-05-26,95.18,95.18,93.56,94.74,7270281
2005-05-27,95.03,95.2,94.35,94.62,20998983
2005-05-30,94.55,94.55,93.7,93.83,7985652
2005-05-31,93.62,93.62,92.23,92.61,11787857
2005-06-01,92.76,92.9,92.31,92.51,9133213
2005-06-02,92.53,93.9,92.53,93.68,7485729
2005-06-03,93.6,96.92,93.6,95.75,10087656
2005-06-06,95.6,97.64,95.6,97.09,13601411
2005-06-07,97.05,97.36,96.85,97.05,5184332
2005-06-08,97.06,97.06,95.54,95.72,15604109
2005-06-09,96.21,96.21,93.02,93.97,7502085
2005-06-10,93.98,96.93,93.98,96.81,5733611
2005-06-13,96.44,96.44,94.86,94.88,10316327
2005-06-14,94.75,96.47,94.75,96.02,15548062
2005-06-15,95.65,98.23,95.65,97.52,9517747
2005-06-16,97.44,97.44,96.56,97.12,6113558
2005-06-17,97.47,97.47,96.47,96.54,11736714
2005-06-20,96.25,96.25,95.66,95.67,10303266
2005-06-21,95.86,96.81,95.07,95.98,8484428
2005-06-22,95.69,95.69,94.49,95.0,5531719
2005-06-23,95.31,95.64,95.31,95.62,21250707
2005-06-24,95.67,95.67,94.57,94.6,4092709
2005-06-27,94.66,94.66,92.56,93.76,6863744
2005-06-28,93.44,95.88,93.44,95.37,6509909
2005-06-29,95.67,96.24,94.52,95.08,9229654
2005-06-30,94.51,96.39,94.51,96.21,4226515
2005-07-01,96.38,96.38,95.02,95.11,4491438
2005-07-04,95.05,95.26,94.94,95.21,5004446
2005-07-05,94.72,96.3,94.72,95.89,9562809
2005-07-06,95.79,98.25,95.79,97.14,7550147
2005-07-07,96.98,98.11,96.98,97.5,9366501
2005-07-08,97.41,97.41,96.42,96.6,27961397
2005-07-11,96.56,98.75,96.56,98.14,13926176
2005-07-12,97.94,97.94,95.11,95.94,7005950
2005-07-13,96.04,96.27,95.7,95.8,6822443
2005-07-14,95.83,95.83,95.01,95.24,7803358
2005-07-15,94.98,98.46,94.98,97.35,12369809
2005-07-18,97.67,97.67,95.09,95.5,24299784
2005-07-19,95.3,96.43,95.3,95.82,26915505
2005-07-20,96.03,96.03,94.0,94.02,6289127
2005-07-21,93.93,93.93,92.93,93.1,5563326
2005-07-22,93.46,93.46,92.26,92.3,8199987
2005-07-25,92.44,93.39,92.44,92.77,20983370
2005-07-26,92.78,92.78,90.84,91.45,8389614
2005-07-27,91.33,93.03,91.33,92.48,16464040
2005-07-28,92.24,93.47,92.24,93.0,6087038
2005-07-29,92.73,93.33,92.73,93.26,4332776
2005-08-01,93.18,94.47,93.18,94.46,15722893
2005-08-02,93.94,95.47,93.94,94.54,7571380
2005-08-03,94.72,96.52,94.72,96.1,2753677
2005-08-04,96.25,96.25,94.76,95.27,9532805
2005-08-05,95.09,95.79,95.09,95.77,8228567
2005-08-08,95.47,97.82,95.47,96.91,12498253
2005-08-09,96.66,97.04,96.3,96.44,13935852
2005-08-10,96.59,96.59,95.95,96.06,2274488
2005-08-11,96.59,98.32,96.59,97.83,4613628
2005-08-12,97.72,98.46,97.72,97.97,9376935
2005-08-15,98.29,98.29,96.83,97.57,6410460
2005-08-16,97.72,99.86,97.72,98.69,10948147
2005-08-17,98.79,99.02,98.32,98.61,7623685
2005-08-18,98.24,98.98,97.31,98.7,7618881
2005-08-19,98.85,98.93,96.93,98.1,14013715
2005-08-22,98.26,99.77,98.26,99.61,4766936
2005-08-23,99.42,100.15,99.42,100.0,11860842
