date,open,high,low,close,volume
2005-01-03,140.02,140.03,138.34,139.52,4822362
2005-01-04,139.35,139.35,136.85,137.27,15225461
2005-01-05,137.53,137.53,134.48,136.06,7586493
2005-01-06,136.7,136.76,135.4,135.49,5666515
2005-01-07,135.7,135.7,132.9,134.47,10997925
2005-01-10,133.9,137.71,133.9,136.78,22723147
2005-01-11,135.94,136.69,135.94,136.67,18199825
2005-01-12,136.69,136.69,134.6,134.63,11708268
2005-01-13,133.96,135.08,133.96,135.07,4671194
2005-01-14,135.21,135.21,132.52,132.92,6012794
2005-01-17,132.32,135.54,132.32,135.5,17170016
2005-01-18,134.91,138.88,134.91,136.78,13531102
2005-01-19,136.48,138.58,136.48,138.28,11869031
2005-01-20,138.21,141.74,138.21,140.97,9844791
2005-01-21,140.65,141.95,139.82,140.6,18599043
2005-01-24,140.5,140.5,137.82,139.0,6664406
2005-01-25,138.78,140.29,138.5,139.42,5904668
2005-01-26,138.99,141.67,138.99,140.57,11412177
2005-01-27,141.24,141.24,137.05,137.61,3357642
2005-01-28,137.12,142.88,137.12,140.92,7234257
2005-01-31,141.04,143.77,140.87,142.21,11704602
2005-02-01,141.82,141.82,138.17,138.61,10423024
2005-02-02,138.51,138.51,137.47,137.56,5495469
2005-02-03,136.81,136.81,133.89,135.08,3624646
2005-02-04,135.24,135.95,134.21,134.49,10984433
2005-02-07,133.88,133.88,132.87,133.65,23341748
2005-02-08,133.93,133.93,132.23,133.46,19501749
2005-02-09,132.23,133.93,132.23,133.59,11115784
2005-02-10,133.28,136.82,133.28,135.57,15022675
2005-02-11,135.37,135.98,135.37,135.76,35546234
2005-02-14,136.83,137.47,135.5,135.92,12264897
2005-02-15,136.2,138.58,136.2,136.74,8351480
2005-02-16,136.08,136.08,134.11,134.8,5871058
2005-02-17,134.52,136.68,134.52,136.35,16974131
2005-02-18,136.55,136.55,134.07,134.56,11563966
2005-02-21,135.53,135.53,131.9,132.25,9287956
2005-02-22,132.28,133.86,132.28,132.97,6072113
2005-02-23,133.0,133.15,132.72,132.75,7060346
2005-02-24,132.65,135.74,132.65,133.92,11083200
2005-02-25,134.2,134.2,132.64,133.27,2799676
2005-02-28,132.99,132.99,130.4,130.67,3355101
2005-03-01,131.52,133.75,131.45,131.7,19820596
2005-03-02,131.78,132.71,131.78,132.65,20920366
2005-03-03,132.52,136.52,132.52,135.89,12536393
2005-03-04,135.6,135.6,131.59,131.84,9021834
2005-03-07,132.7,132.7,130.52,131.89,13535267
2005-03-08,132.31,133.56,132.31,132.7,15028529
2005-03-09,132.27,134.54,130.91,131.55,11925506
2005-03-10,131.74,133.86,131.74,132.59,11845354
2005-03-11,131.91,135.25,131.91,134.98,2929054
2005-03-14,135.15,138.11,135.15,138.1,8143745
2005-03-15,138.9,139.43,138.9,139.15,3646116
2005-03-16,138.14,142.71,138.14,140.64,6696781
2005-03-17,139.91,140.67,139.4,139.75,9068799
2005-03-18,140.18,141.86,139.59,140.47,4737028
2005-03-21,140.19,140.19,139.09,139.4,4256145
2005-03-22,139.3,139.3,134.58,134.95,3425360
2005-03-23,136.38,137.02,136.35,136.97,8079893
2005-03-24,136.02,140.24,136.02,138.04,5386410
2005-03-25,137.68,138.63,137.68,138.22,15044330
2005-03-28,137.59,137.59,134.96,135.67,7618497
2005-03-29,136.41,136.41,133.36,133.87,8320143
2005-03-30,133.78,136.12,133.78,135.03,4463947
2005-03-31,135.47,135.47,133.73,134.63,7569618
2005-04-01,134.81,135.8,132.4,135.21,10387877
2005-04-04,135.35,135.35,131.65,133.37,7844940
2005-04-05,133.04,136.28,133.04,136.03,6755411
2005-04-06,135.2,135.57,134.47,134.69,9370444
2005-04-07,134.27,134.27,132.8,132.82,6057686
2005-04-08,134.02,135.29,133.55,133.72,6802001
2005-04-11,133.78,135.41,133.78,134.94,4444753
2005-04-12,134.96,134.96,133.27,133.69,7023174
2005-04-13,134.34,135.54,132.8,135.34,9954998
2005-04-14,135.5,138.46,135.5,137.38,14434137
2005-04-15,137.53,137.53,134.45,135.51,5212660
2005-04-18,135.88,136.27,135.69,135.73,4057820
2005-04-19,135.36,135.36,133.73,133.85,7007185
2005-04-20,133.9,134.39,132.2,133.29,13773175
2005-04-21,133.74,134.08,132.36,133.16,5909608
2005-04-22,134.0,134.0,131.14,132.17,9778838
2005-04-25,132.46,138.23,132.46,136.87,8706608
2005-04-26,137.5,139.1,137.02,138.38,6000966
2005-04-27,138.19,139.87,138.06,138.57,4887065
2005-04-28,138.89,139.11,137.11,138.56,13889743
2005-04-29,138.75,140.94,138.75,139.25,5163658
2005-05-02,139.11,139.11,135.96,137.29,14687657
2005-05-03,137.78,137.78,135.06,135.4,5287376
2005-05-04,135.73,136.05,135.46,136.05,10125041
2005-05-05,136.03,136.14,135.4,136.02,18585109
2005-05-06,135.84,139.23,134.56,137.73,5876901
2005-05-09,138.22,139.63,138.22,138.85,7671654
2005-05-10,138.25,142.97,138.25,142.55,15292284
2005-05-11,142.08,146.78,142.08,146.55,14141371
2005-05-12,147.22,147.4,146.92,147.03,7289250
2005-05-13,146.77,146.77,144.48,145.76,21206370
2005-05-16,145.03,145.03,144.61,144.63,6378231
2005-05-17,145.11,145.11,139.54,141.8,10597685
2005-05-18,141.46,141.46,140.16,140.62,7734414
2005-05-19,140.24,141.32,140.24,141.05,8505611
2005-05-20,141.13,141.13,137.67,138.41,5814810
2005-05-23,139.07,139.07,136.97,137.55,33405211
2005-05-24,137.7,139.27,136.34,137.99,11862493
2005-05-25,137.64,141.78,137.64,141.59,10510174
2005-05-26,141.79,145.84,141.79,145.74,7129382
2005-05-27,144.56,146.02,143.5,144.42,8940803
2005-05-30,144.3,144.68,143.41,144.15,13449999
2005-05-31,144.01,144.01,142.36,142.78,21894161
2005-06-01,142.19,142.19,140.44,141.23,2684739
2005-06-02,141.24,141.34,138.81,139.31,13408710
2005-06-03,139.34,143.26,139.34,141.88,12136935
2005-06-06,142.06,144.98,142.06,144.26,12435475
2005-06-07,144.87,144.87,140.95,141.18,20471382
2005-06-08,141.35,144.67,141.35,143.28,8955976
2005-06-09,142.24,146.52,142.24,145.54,7038962
2005-06-10,145.5,147.52,145.5,146.79,14041031
2005-06-13,147.74,147.74,144.16,145.2,6806785
2005-06-14,145.68,145.68,144.41,145.31,5083986
2005-06-15,145.69,145.69,144.19,144.82,8943469
2005-06-16,144.63,146.42,144.63,145.61,5355007
2005-06-17,145.93,145.93,143.51,143.69,15622337
2005-06-20,143.42,145.04,143.05,144.08,6631629
2005-06-21,144.32,146.52,143.61,144.63,14260339
2005-06-22,144.2,150.09,144.2,147.23,13055869
2005-06-23,146.42,146.61,144.41,145.3,6346650
2005-06-24,145.09,145.71,142.55,144.06,8467732
2005-06-27,144.03,145.86,144.03,145.49,10228789
2005-06-28,145.58,145.58,142.05,143.06,7203475
2005-06-29,142.68,142.68,137.77,138.56,10139602
2005-06-30,139.01,139.01,136.31,136.34,6078710
2005-07-01,136.09,137.28,136.09,137.09,15142122
2005-07-04,136.85,138.9,136.59,137.6,16795811
2005-07-05,137.07,137.07,134.74,134.83,7379201
2005-07-06,135.08,136.26,134.46,135.24,7931276
2005-07-07,135.24,135.24,133.43,133.72,15371329
2005-07-08,133.47,135.01,131.66,132.92,16247387
2005-07-11,133.22,134.31,131.2,133.23,10185790
2005-07-12,133.7,134.02,132.7,133.21,12935577
2005-07-13,133.22,133.22,128.86,129.4,6647658
2005-07-14,130.21,130.21,126.17,126.64,7162741
2005-07-15,126.66,126.66,123.72,124.36,10103382
2005-07-18,124.11,127.62,124.11,126.12,21687713
2005-07-19,126.38,130.03,126.38,129.17,8703411
2005-07-20,129.82,129.82,124.99,126.24,9986295
2005-07-21,125.92,125.92,125.08,125.2,5834422
2005-07-22,125.41,125.67,124.19,125.22,9834749
2005-07-25,124.75,126.37,123.93,125.61,8318123
2005-07-26,125.24,126.38,125.24,125.95,9508797
2005-07-27,125.2,125.2,122.1,122.39,4040803
2005-07-28,122.25,123.24,122.25,123.12,5469631
2005-07-29,123.64,123.99,121.57,123.45,6428374
2005-08-01,123.4,125.36,123.4,124.89,7639196
2005-08-02,124.66,125.76,124.66,125.31,7227537
2005-08-03,125.82,125.82,124.44,125.23,14882317
2005-08-04,125.87,129.06,125.87,128.77,6392130
2005-08-05,127.87,129.63,127.87,128.95,12126679
2005-08-08,128.52,132.46,128.52,132.32,8418170
2005-08-09,133.29,133.29,129.34,130.43,5167952
2005-08-10,131.04,131.65,129.74,131.52,14199443
2005-08-11,131.84,131.84,128.94,130.12,6845315
2005-08-12,130.17,132.86,130.17,132.68,12402853
2005-08-15,132.68,133.22,131.92,132.36,6900802
2005-08-16,132.39,133.11,131.65,132.11,7817836
2005-08-17,132.0,132.0,129.09,129.36,15316675
2005-08-18,128.82,128.97,126.25,128.15,19156107
2005-08-19,128.75,128.75,126.09,127.27,6376527
2005-08-22,127.44,127.53,126.46,126.7,6498941
2005-08-23,125.31,125.88,124.79,125.65,5835185
2005-08-24,126.35,127.54,126.35,127.12,6905860
2005-08-25,126.46,129.76,126.46,128.72,5894291
2005-08-26,128.77,131.93,128.77,131.45,10124058
2005-08-29,130.96,134.85,130.96,133.97,5295227
2005-08-30,134.02,134.02,131.01,131.79,8119485
2005-08-31,132.29,133.03,131.39,131.94,3987232
2005-09-01,132.16,132.16,129.2,130.24,12958333
2005-09-02,129.7,130.68,129.47,130.06,7630078
2005-09-05,129.55,129.55,126.16,127.24,9119009
2005-09-06,125.96,125.96,122.7,122.92,16447073
2005-09-07,122.83,124.47,122.83,123.75,19395817
2005-09-08,123.48,123.51,121.33,123.37,9563448
2005-09-09,123.73,123.73,120.06,121.89,6150140
2005-09-12,121.65,125.89,121.65,124.85,11428218
2005-09-13,123.7,126.3,123.7,126.0,20029933
2005-09-14,126.96,126.96,124.89,124.96,24443153
2005-09-15,124.13,127.64,124.13,127.57,8249680
2005-09-16,126.78,129.84,126.78,129.38,15413686
2005-09-19,129.67,129.67,126.86,127.44,4492290
2005-09-20,126.85,128.65,126.85,128.08,7682805
2005-09-21,128.18,130.68,128.18,130.46,4425294
2005-09-22,130.1,132.75,130.1,131.2,7550244
2005-09-23,130.83,130.83,130.17,130.18,3872285
2005-09-26,130.38,133.94,130.38,131.69,25737027
2005-09-27,132.2,136.74,132.2,133.99,8133486
2005-09-28,133.64,133.64,132.15,132.23,6420080
2005-09-29,132.01,132.01,129.73,130.14,21493343
2005-09-30,129.71,129.71,126.5,128.12,9986129
2005-10-03,128.2,128.99,127.31,127.66,9489767
2005-10-04,126.8,126.8,123.81,124.21,10960547
2005-10-05,124.71,125.35,123.33,124.39,7312129
2005-10-06,124.47,128.5,124.47,127.38,9714662
2005-10-07,128.05,129.65,128.05,128.73,7481241
2005-10-10,128.23,129.71,128.23,128.72,7457264
2005-10-11,128.64,129.52,128.64,128.8,7626542
2005-10-12,128.56,129.81,127.79,128.47,6169699
2005-10-13,127.68,127.89,127.25,127.73,10056410
2005-10-14,128.41,130.57,128.39,129.08,8397000
2005-10-17,129.67,129.67,125.36,125.96,3903297
2005-10-18,126.32,126.32,124.35,125.58,16213161
2005-10-19,126.36,127.35,126.36,127.12,10211085
2005-10-20,127.55,130.92,127.55,129.49,6587271
2005-10-21,128.89,130.47,127.79,129.91,7979486
2005-10-24,129.32,130.59,128.08,129.3,12085176
2005-10-25,129.7,129.9,128.28,128.53,8880156
2005-10-26,128.43,128.69,127.32,127.74,8588538
2005-10-27,127.34,127.34,121.93,122.38,25346158
2005-10-28,122.19,122.19,118.55,119.3,14007376
2005-10-31,119.65,121.3,119.65,120.67,9682743
2005-11-01,121.1,121.1,120.0,120.79,12723145
2005-11-02,121.41,121.41,117.02,117.2,3251555
2005-11-03,116.91,117.43,116.91,117.2,7629699
2005-11-04,117.66,117.66,115.66,116.06,13129489
2005-11-07,116.39,116.39,114.0,114.29,14728671
2005-11-08,114.82,118.61,114.82,116.75,9943856
2005-11-09,116.65,117.22,115.89,116.79,6823533
2005-11-10,117.11,118.71,116.44,117.37,11430329
2005-11-11,116.81,118.94,116.81,118.56,17432328
2005-11-14,118.97,119.82,118.83,118.94,8980746
2005-11-15,118.95,119.88,115.95,117.74,7872259
2005-11-16,117.63,118.81,117.4,118.29,13772731
2005-11-17,118.03,118.83,117.72,118.53,19505799
2005-11-18,118.12,120.72,118.12,119.92,13435981
2005-11-21,119.58,121.86,119.58,121.24,2063853
2005-11-22,122.22,122.22,119.91,121.14,9385534
2005-11-23,120.98,120.98,117.38,117.96,8408456
2005-11-24,118.63,118.63,116.87,116.91,17013495
2005-11-25,117.11,119.81,117.11,118.67,9730214
2005-11-28,118.0,119.27,118.0,119.25,32869008
2005-11-29,118.95,121.12,118.95,121.08,5968620
2005-11-30,120.83,120.83,119.79,120.23,14897758
2005-12-01,120.48,122.41,120.48,121.13,11957699
2005-12-02,120.99,123.48,120.79,122.75,11871358
2005-12-05,122.9,128.91,122.9,126.01,15247132
2005-12-06,126.43,126.43,124.22,125.11,6850432
2005-12-07,124.72,124.72,120.85,122.01,9653508
