date,open,high,low,close,volume
2005-01-03,110.02,110.37,108.26,108.68,20239275
2005-01-04,108.48,108.48,106.97,107.15,6147294
2005-01-05,107.02,107.08,106.73,106.95,7131779
2005-01-06,106.71,106.71,105.02,105.18,16055867
2005-01-07,105.35,106.21,104.94,106.09,8996083
2005-01-10,106.19,108.01,105.31,106.74,15063798
2005-01-11,106.9,106.9,105.23,106.34,6905790
2005-01-12,106.25,107.07,104.88,105.42,7458580
2005-01-13,105.11,106.22,105.11,105.59,17601392
2005-01-14,105.78,106.17,104.47,104.85,24584969
2005-01-17,104.83,104.83,101.51,102.3,14090529
2005-01-18,102.66,102.66,101.18,101.46,8467434
2005-01-19,101.87,102.38,101.56,101.85,10033476
2005-01-20,101.51,103.09,101.51,102.66,5789738
2005-01-21,102.63,102.63,101.71,101.86,18141265
2005-01-24,101.55,103.38,101.17,102.4,20502010
2005-01-25,101.83,103.65,101.83,103.32,9573033
2005-01-26,102.97,104.32,102.29,103.32,4733406
2005-01-27,102.49,102.49,100.28,100.62,5420815
2005-01-28,100.58,100.58,98.83,99.3,29959751
2005-01-31,99.32,101.41,99.32,100.63,17247749
2005-02-01,100.68,100.7,100.0,100.32,11903427
2005-02-02,100.17,100.17,97.15,98.0,8466991
2005-02-03,97.79,98.29,97.6,97.91,6330651
2005-02-04,97.82,97.82,96.07,96.95,16860223
2005-02-07,96.66,97.6,96.24,96.48,6266366
2005-02-08,96.52,96.52,94.47,95.16,10503026
2005-02-09,95.41,96.04,95.11,95.19,10217647
2005-02-10,95.08,96.15,95.08,95.8,3317826
2005-02-11,95.61,95.61,94.92,94.99,7533782
2005-02-14,95.11,95.11,93.47,93.61,8968945
2005-02-15,92.9,94.89,92.9,94.72,8889847
2005-02-16,95.07,95.07,93.31,94.76,12093923
2005-02-17,94.57,95.66,94.57,95.57,9365748
2005-02-18,95.99,95.99,94.21,94.83,9890644
2005-02-21,95.13,95.19,93.75,93.86,4183208
2005-02-22,94.32,94.32,91.42,92.49,7631756
2005-02-23,92.08,93.62,92.08,93.33,11602217
2005-02-24,92.83,94.54,92.83,94.37,16271722
2005-02-25,94.76,94.76,94.37,94.49,3730435
2005-02-28,93.98,94.39,93.35,94.23,8185327
2005-03-01,93.85,95.58,93.85,95.28,4737096
2005-03-02,95.25,95.32,94.36,94.59,6111273
2005-03-03,94.44,94.44,93.74,93.98,10070280
2005-03-04,94.26,94.72,93.38,94.23,5802813
2005-03-07,94.09,96.19,94.09,95.4,10509396
2005-03-08,95.58,95.58,93.84,94.32,9882423
2005-03-09,93.91,93.91,92.66,93.2,6078764
2005-03-10,93.27,93.27,91.96,92.07,15953399
2005-03-11,92.12,93.22,92.12,93.17,9219604
2005-03-14,93.31,93.31,92.56,92.76,6762191
2005-03-15,93.11,94.99,93.11,94.26,9818846
2005-03-16,94.38,95.42,94.38,95.25,7888748
2005-03-17,95.3,95.3,93.81,93.95,9209304
2005-03-18,93.64,95.19,93.64,94.0,3664885
2005-03-21,94.1,94.81,94.0,94.37,4616732
2005-03-22,94.61,94.69,93.87,93.91,13212919
2005-03-23,94.35,95.91,94.35,95.45,5915968
2005-03-24,95.88,95.88,92.14,92.62,4304161
2005-03-25,92.33,93.54,92.33,93.19,8585067
2005-03-28,93.01,94.08,93.0,93.47,7353522
2005-03-29,93.51,95.03,93.51,94.06,5330738
2005-03-30,94.05,94.05,93.19,93.49,11346324
2005-03-31,93.27,94.0,93.27,93.71,5368993
2005-04-01,94.52,94.52,92.76,93.61,14443579
2005-04-04,93.87,95.39,93.87,94.21,8560474
2005-04-05,93.82,96.18,93.82,96.12,8824813
2005-04-06,96.1,97.03,96.1,96.36,8112059
2005-04-07,96.34,96.34,95.57,95.62,4986788
2005-04-08,95.66,96.37,95.1,96.36,4235667
2005-04-11,96.5,97.97,96.5,97.32,7914768
2005-04-12,97.46,98.76,97.46,98.69,5499000
2005-04-13,98.3,98.3,96.78,97.57,5410804
2005-04-14,97.58,97.58,96.57,96.91,3506426
2005-04-15,97.19,98.71,97.19,98.58,4690599
2005-04-18,98.53,101.19,98.53,100.79,7974478
2005-04-19,100.9,102.19,99.1,100.3,8858611
2005-04-20,100.56,100.56,99.71,100.14,10674135
2005-04-21,100.35,100.35,99.72,99.96,5677829
2005-04-22,100.12,101.12,100.12,100.84,18616606
2005-04-25,101.15,101.26,100.09,100.67,5712208
2005-04-26,100.73,101.5,99.61,100.76,5248414
2005-04-27,100.75,100.75,99.22,99.72,4638275
2005-04-28,99.51,101.07,99.51,100.67,4633458
2005-04-29,100.19,101.66,100.19,101.38,4652210
2005-05-02,100.93,102.14,100.93,101.68,13492497
2005-05-03,101.47,102.49,101.47,102.07,24400652
2005-05-04,101.73,104.24,101.73,103.83,9849921
2005-05-05,103.67,103.83,102.86,103.23,2806293
2005-05-06,102.95,103.22,102.34,102.91,7969795
2005-05-09,103.33,103.69,103.0,103.59,9518435
2005-05-10,103.54,105.14,103.54,104.65,7054560
2005-05-11,104.79,106.05,104.37,105.01,10214868
2005-05-12,105.13,105.13,101.59,102.29,8227463
2005-05-13,101.83,102.36,101.83,102.14,6316102
2005-05-16,101.73,101.75,100.48,101.41,6201094
2005-05-17,101.87,102.71,99.88,101.27,9207165
2005-05-18,101.17,101.54,100.77,101.53,7751444
2005-05-19,101.37,102.49,101.37,102.01,5766574
2005-05-20,102.06,102.06,100.03,100.91,5009286
2005-05-23,100.71,100.71,97.2,97.84,10785623
2005-05-24,97.99,100.05,97.99,99.39,9446049
2005-05-25,99.35,101.41,99.35,100.54,8313567
2005-05-26,100.31,100.31,98.3,99.36,19575576
2005-05-27,99.12,101.75,98.91,100.21,13731215
2005-05-30,100.35,100.35,98.32,98.47,16793009
2005-05-31,98.43,98.43,96.62,97.47,9434214
2005-06-01,97.04,97.87,96.19,96.31,4955518
2005-06-02,96.06,98.26,96.06,97.54,8362557
2005-06-03,97.57,98.49,97.37,97.88,12848265
2005-06-06,97.82,98.68,97.61,98.1,16448470
2005-06-07,98.41,99.0,97.11,97.5,7459819
2005-06-08,97.49,99.91,97.49,99.46,9791268
2005-06-09,98.97,101.64,98.97,101.08,3592203
2005-06-10,101.09,101.09,98.48,99.21,10709414
2005-06-13,98.82,100.5,98.82,100.23,7578491
2005-06-14,100.41,100.72,100.41,100.65,9845518
2005-06-15,100.65,100.99,100.48,100.86,20277171
2005-06-16,101.42,102.78,101.42,102.51,5384872
2005-06-17,102.71,103.97,102.71,103.58,10469352
2005-06-20,103.14,105.4,103.14,105.08,14395895
2005-06-21,105.14,108.22,105.14,106.72,7132581
2005-06-22,106.31,107.84,106.31,107.48,14938694
2005-06-23,107.34,108.33,107.14,108.32,8743495
2005-06-24,108.23,110.08,108.23,109.84,6090532
2005-06-27,110.3,110.3,106.54,106.76,17115196
2005-06-28,107.25,108.53,106.85,107.22,5469657
2005-06-29,107.13,107.13,105.28,105.56,14855352
2005-06-30,105.97,105.97,103.64,104.42,21238978
2005-07-01,104.1,105.24,104.1,104.97,6157973
2005-07-04,104.85,104.85,103.46,103.58,11238598
2005-07-05,103.22,104.0,102.14,103.22,10030288
2005-07-06,103.21,103.21,102.34,102.64,8378226
2005-07-07,102.31,104.16,102.31,104.13,8459862
2005-07-08,103.89,106.3,103.89,105.64,16383228
2005-07-11,105.69,105.69,104.25,104.67,11808503
2005-07-12,104.65,105.72,104.33,104.56,6575947
2005-07-13,104.14,108.22,104.14,108.1,14892011
2005-07-14,108.61,108.61,106.37,107.0,12335914
2005-07-15,107.01,108.02,107.01,107.53,8043377
2005-07-18,107.42,107.42,104.89,105.61,14758528
2005-07-19,106.14,106.14,104.51,104.91,7227954
2005-07-20,104.62,104.62,103.03,103.38,4777788
2005-07-21,103.56,104.29,102.65,103.79,7090054
2005-07-22,104.05,104.36,104.04,104.08,5943668
2005-07-25,103.65,103.71,103.11,103.33,8425844
2005-07-26,104.43,104.43,102.05,103.26,6975230
2005-07-27,102.76,103.51,101.58,102.93,4456359
2005-07-28,102.63,104.17,102.43,103.65,5677273
2005-07-29,103.26,104.75,103.26,104.35,9159798
2005-08-01,104.34,105.98,104.34,105.1,12668411
2005-08-02,105.47,105.47,104.66,104.72,4126089
2005-08-03,104.75,106.37,104.75,106.1,9800619
2005-08-04,106.12,107.12,106.01,106.85,4027654
2005-08-05,107.07,108.1,107.07,107.76,11339816
2005-08-08,107.56,107.56,105.51,105.98,7563730
2005-08-09,106.05,106.91,106.01,106.32,11858519
2005-08-10,106.21,107.92,106.21,107.47,5591607
2005-08-11,107.2,108.4,106.39,107.37,7129943
2005-08-12,107.3,107.3,105.76,106.14,10821444
2005-08-15,105.72,105.72,104.39,104.87,11551174
2005-08-16,104.76,104.76,102.07,102.29,14277694
2005-08-17,102.7,102.7,100.08,100.83,4800627
2005-08-18,100.72,103.58,100.72,102.79,6886188
2005-08-19,103.35,104.3,103.35,104.25,10627306
2005-08-22,104.22,104.22,102.32,102.92,8612338
2005-08-23,103.49,103.49,101.74,101.78,4086962
2005-08-24,101.98,103.83,101.98,103.6,7029746
2005-08-25,103.46,106.43,103.46,105.87,11630385
2005-08-26,105.47,105.47,102.38,102.81,8236650
2005-08-29,102.27,104.3,102.27,103.48,3933979
2005-08-30,103.64,103.64,101.2,101.76,5086132
2005-08-31,101.93,102.62,101.93,102.61,9452151
2005-09-01,102.96,103.7,102.27,102.39,12633920
2005-09-02,101.84,103.3,101.84,103.27,15249776
2005-09-05,103.5,103.5,102.65,102.75,8266857
2005-09-06,103.03,103.03,100.08,101.11,11698062
2005-09-07,101.09,101.26,99.73,100.28,11684030
2005-09-08,100.28,101.14,99.66,100.05,6216761
2005-09-09,99.66,102.2,99.66,101.0,10070146
2005-09-12,101.62,102.18,101.62,102.03,10555473
2005-09-13,102.49,102.49,99.27,99.99,12713085
2005-09-14,100.26,100.26,98.26,99.31,2328860
2005-09-15,99.26,101.29,99.26,100.79,5896789
2005-09-16,100.65,100.65,97.62,98.5,12629725
2005-09-19,98.82,98.82,97.89,98.26,16730527
2005-09-20,98.81,99.19,98.03,98.9,19249889
2005-09-21,98.65,100.05,98.42,99.3,9778885
2005-09-22,98.92,99.09,98.64,98.69,7207256
2005-09-23,98.26,101.42,98.26,100.74,14509585
2005-09-26,101.08,101.57,100.97,101.12,5377939
2005-09-27,101.24,102.8,101.22,102.08,6982880
2005-09-28,103.05,103.11,101.65,102.11,16638951
2005-09-29,101.5,103.91,101.5,102.93,5730017
2005-09-30,102.87,103.62,102.26,103.33,3527465
2005-10-03,103.27,104.31,103.27,104.17,14019608
2005-10-04,104.33,104.9,104.25,104.63,9997457
2005-10-05,104.57,106.52,104.57,106.4,7740184
2005-10-06,106.43,106.43,105.89,106.02,19668374
2005-10-07,105.88,106.9,105.88,106.73,5636693
2005-10-10,107.4,107.4,104.62,104.83,5890046
2005-10-11,104.96,104.96,103.47,103.84,6081248
2005-10-12,104.51,104.64,103.54,103.83,6798280
2005-10-13,103.72,103.72,102.75,103.21,19710839
2005-10-14,103.43,103.43,101.02,101.2,10020139
2005-10-17,101.64,102.97,101.64,102.69,4950221
2005-10-18,102.88,102.88,102.3,102.35,4019371
2005-10-19,102.33,102.35,100.9,101.28,12726641
2005-10-20,100.91,101.04,100.0,100.61,4503806
2005-10-21,100.91,101.43,100.44,101.4,15295651
2005-10-24,101.57,101.57,99.81,99.86,4499363
2005-10-25,99.28,99.28,97.63,98.22,16870480
2005-10-26,98.75,101.12,98.75,100.24,3743125
2005-10-27,99.97,100.17,99.81,100.0,8232191
2005-10-28,100.11,100.11,97.74,98.04,10021379
2005-10-31,97.79,100.58,97.79,99.97,4249350
2005-11-01,100.26,100.7,99.86,100.49,4438418
2005-11-02,100.67,102.11,100.67,101.51,4664187
2005-11-03,101.9,101.9,100.75,101.12,10386914
2005-11-04,101.23,101.47,100.59,101.33,4249402
2005-11-07,101.56,102.35,101.56,102.3,5563136
2005-11-08,102.32,104.57,102.32,104.03,6956360
2005-11-09,103.38,103.38,101.73,101.75,7350026
2005-11-10,101.67,102.6,101.67,102.28,14921579
2005-11-11,102.6,104.05,102.6,103.74,13338676
2005-11-14,103.91,104.04,103.45,103.78,8548706
2005-11-15,103.58,105.45,103.58,105.14,5311659
2005-11-16,105.16,106.14,104.66,105.58,9815457
2005-11-17,106.1,106.1,104.51,104.72,8386592
2005-11-18,104.53,105.57,104.53,105.03,6159389
2005-11-21,105.03,105.03,102.73,104.28,21294209
2005-11-22,104.73,104.73,103.61,103.84,12594413
2005-11-23,103.52,104.78,103.52,104.25,17216421
2005-11-24,105.17,105.17,102.84,103.58,6617939
2005-11-25,103.52,104.84,103.52,104.77,8426403
2005-11-28,104.34,106.93,104.34,106.05,6955392
2005-11-29,105.78,106.65,105.78,106.36,7142451
2005-11-30,105.83,108.62,105.83,108.49,22246492
2005-12-01,108.02,108.02,107.53,107.69,9880633
2005-12-02,107.9,107.9,106.7,107.6,8240880
2005-12-05,107.85,108.8,107.85,108.66,3794749
2005-12-06,108.94,108.94,103.4,104.48,3924115
2005-12-07,105.08,105.32,104.53,105.07,9240303
2005-12-08,105.33,106.41,105.33,105.82,8951499
2005-12-09,105.55,106.66,105.55,106.23,12992554
2005-12-12,105.91,107.16,105.91,106.89,15361575
2005-12-13,106.47,107.61,106.47,107.56,12372686
2005-12-14,107.26,109.52,107.26,109.41,15238315
2005-12-15,109.03,110.93,109.03,110.64,5426210
2005-12-16,110.28,110.34,109.67,109.73,8714863
2005-12-19,109.51,110.25,108.52,109.4,8984096
2005-12-20,109.45,109.45,105.55,106.38,8275746
2005-12-21,106.55,106.55,103.88,104.88,17517753
2005-12-22,104.94,104.94,103.29,103.85,5309533
2005-12-23,103.33,103.33,101.99,102.53,11359709
2005-12-26,102.21,102.21,99.48,99.89,5251454
2005-12-27,99.08,102.46,99.08,101.48,24890368
2005-12-28,101.67,101.67,100.37,100.74,12555559
2005-12-29,100.75,102.91,100.75,101.6,8478900
2005-12-30,101.66,101.99,101.66,101.88,8835774
2006-01-02,102.22,103.46,102.22,102.71,11967175
2006-01-03,102.27,102.63,102.03,102.29,11064545
2006-01-04,102.12,102.12,99.49,100.26,6591952
2006-01-05,100.49,101.37,99.83,100.83,17370335
2006-01-06,101.31,101.31,100.3,100.45,5979634
2006-01-09,101.26,101.26,98.76,99.21,7344611
2006-01-10,99.1,100.49,99.1,100.4,7972281
2006-01-11,101.24,101.85,100.77,101.64,6268827
2006-01-12,101.79,101.79,100.36,101.14,6064616
2006-01-13,101.04,101.61,100.15,100.63,5699371
2006-01-16,100.32,101.68,100.25,101.32,10589325
2006-01-17,100.88,102.5,100.88,101.27,5870784
2006-01-18,101.78,101.78,100.41,100.41,17779834
2006-01-19,100.14,100.14,99.23,99.69,9504723
2006-01-20,99.88,101.12,99.88,100.46,14505919
2006-01-23,100.37,101.49,99.93,100.62,16580576
2006-01-24,101.08,101.08,98.43,99.29,13834687
2006-01-25,99.42,99.42,97.51,97.86,2270624
2006-01-26,97.65,97.65,93.68,94.4,4451752
2006-01-27,94.59,95.98,94.59,95.14,5905216
2006-01-30,94.89,97.9,94.89,97.2,7519360
2006-01-31,97.6,97.92,97.01,97.34,3842515
2006-02-01,97.51,99.45,97.51,98.86,8409431
2006-02-02,99.32,99.32,97.14,97.81,13253171
2006-02-03,97.96,98.92,97.89,98.28,13140604
2006-02-06,98.65,99.24,98.4,98.74,5215787
2006-02-07,98.7,98.7,96.62,96.82,7963803
2006-02-08,96.54,96.77,96.49,96.5,8293370
2006-02-09,96.36,98.22,96.36,97.63,25864578
2006-02-10,98.09,98.09,96.93,96.94,7090842
2006-02-13,96.97,96.97,95.69,96.22,5986742
2006-02-14,96.34,96.34,94.29,94.7,3257590
2006-02-15,94.89,95.18,94.24,94.51,5671168
2006-02-16,94.55,94.55,92.95,92.97,4149147
2006-02-17,93.12,94.62,93.12,93.95,13973405
2006-02-20,93.85,97.31,93.85,96.45,5957615
2006-02-21,96.21,96.9,95.93,96.71,6952473
2006-02-22,96.81,98.14,96.81,97.6,7191577
2006-02-23,98.11,100.39,98.11,99.68,8042952
2006-02-24,99.17,99.65,98.18,98.99,26961637
2006-02-27,99.76,100.26,99.6,99.85,4935550
2006-02-28,99.36,101.86,99.36,101.77,5837178
2006-03-01,101.81,102.13,100.68,101.84,2213320
2006-03-02,101.21,101.21,98.48,99.45,6917379
2006-03-03,99.57,100.68,98.83,100.36,7276843
2006-03-06,100.1,100.41,99.11,100.28,10268757
2006-03-07,99.81,100.1,98.46,99.99,8034635
2006-03-08,100.56,102.11,100.18,100.72,5214763
2006-03-09,100.31,101.41,100.03,100.57,10301415
2006-03-10,100.66,100.66,98.52,98.69,4971513
2006-03-13,98.53,100.01,98.53,99.66,9742531
2006-03-14,99.84,100.19,99.28,99.71,3692832
2006-03-15,99.67,101.33,99.67,100.86,6095247
2006-03-16,100.33,102.51,100.33,102.4,2913518
2006-03-17,102.09,103.04,102.09,103.0,8389951
2006-03-20,103.05,103.05,101.25,102.33,4509610
2006-03-21,102.28,103.33,101.59,102.46,6330994
2006-03-22,102.34,104.46,102.34,104.37,6186246
2006-03-23,104.44,106.15,104.44,106.02,8369553
2006-03-24,105.94,106.29,105.94,106.16,5598222
2006-03-27,105.95,107.82,105.95,107.33,5809847
2006-03-28,106.44,107.5,106.44,107.26,6644085
2006-03-29,107.43,107.43,105.62,106.31,15431297
2006-03-30,106.85,106.85,105.78,105.78,9477183
2006-03-31,105.46,107.88,105.46,107.58,8914255
2006-04-03,107.95,109.94,107.95,109.44,4957366
2006-04-04,109.03,110.15,109.03,109.41,17418635
2006-04-05,109.48,110.52,109.2,110.37,6861777
2006-04-06,109.67,111.92,109.67,111.85,11341001
2006-04-07,112.28,112.28,107.99,109.54,12169947
2006-04-10,109.69,109.69,107.59,108.45,3863235
2006-04-11,108.04,109.25,107.37,109.08,11761849
2006-04-12,108.49,108.49,105.81,107.11,11582920
2006-04-13,107.16,108.24,107.16,107.62,12337419
2006-04-14,107.86,107.86,106.43,106.47,13174679
2006-04-17,106.29,107.75,105.87,106.82,11136866
2006-04-18,107.07,107.07,106.2,106.63,7933970
2006-04-19,106.72,106.89,105.78,106.77,7510249
2006-04-20,106.61,108.8,106.61,108.19,7144990
2006-04-21,107.7,108.58,107.7,108.15,13764297
2006-04-24,107.78,109.8,107.78,109.72,2939115
2006-04-25,109.67,110.01,109.0,109.9,9811999
2006-04-26,109.8,109.8,108.78,109.11,14864169
2006-04-27,110.15,110.15,109.14,109.49,6628216
2006-04-28,109.33,110.41,108.71,109.52,22927261
2006-05-01,109.17,110.43,108.54,109.11,5952938
2006-05-02,110.09,110.09,107.95,108.74,15777947
2006-05-03,108.54,108.54,105.28,105.73,8920775
2006-05-04,106.01,108.08,106.01,107.91,5349353
2006-05-05,108.15,108.17,107.35,107.39,7068054
2006-05-08,107.85,108.9,107.66,108.24,9054287
2006-05-09,108.23,109.47,108.14,108.57,7559979
2006-05-10,108.63,112.74,108.63,111.35,7514476
2006-05-11,110.94,113.2,110.94,112.6,24176859
2006-05-12,112.45,113.69,112.45,112.67,5993721
2006-05-15,112.95,112.95,110.51,111.13,5921892
2006-05-16,111.36,111.36,108.97,110.64,9060560
2006-05-17,110.89,110.89,109.38,110.27,8326986
2006-05-18,109.88,110.24,109.25,109.85,11858343
2006-05-19,109.87,112.08,109.87,111.42,14680610
2006-05-22,111.39,111.39,110.32,110.75,9074482
2006-05-23,111.39,112.32,111.39,112.32,3532937
2006-05-24,112.31,112.31,110.43,110.74,7896564
2006-05-25,110.76,110.76,109.72,109.94,6157135
2006-05-26,110.41,111.73,110.41,111.66,6142285
2006-05-29,111.93,113.42,111.93,112.33,12538761
2006-05-30,112.34,112.34,110.65,111.5,8520517
2006-05-31,111.44,111.44,110.24,110.51,19141605
2006-06-01,110.5,110.5,109.43,109.43,8482322
2006-06-02,109.65,109.65,106.32,106.63,17295459
2006-06-05,106.8,108.13,106.8,107.8,10845905
2006-06-06,107.36,107.36,105.08,105.47,15371435
2006-06-07,105.61,106.38,104.61,104.92,8281429
2006-06-08,104.62,105.4,104.62,104.97,9928172
2006-06-09,104.96,104.96,101.15,101.25,9098371
2006-06-12,101.13,101.68,100.94,101.35,11153864
2006-06-13,101.18,103.36,101.18,103.16,10527500
2006-06-14,103.41,103.41,101.08,101.76,3199562
2006-06-15,101.54,102.15,101.54,102.07,13701129
2006-06-16,102.29,102.29,99.69,100.16,11604966
2006-06-19,99.76,99.76,97.75,97.84,3137692
2006-06-20,97.69,100.0,97.69,99.9,11516489
2006-06-21,99.1,99.32,98.59,98.82,5027954
2006-06-22,98.51,101.71,98.51,101.6,8276101
2006-06-23,101.66,102.56,100.55,101.8,11435380
2006-06-26,101.57,102.45,101.09,101.67,15755069
2006-06-27,101.67,103.67,101.67,102.96,3425137
2006-06-28,102.31,102.89,102.31,102.63,14390619
2006-06-29,102.57,103.3,101.91,102.26,15126529
2006-06-30,102.44,102.44,100.56,101.6,12375513
2006-07-03,101.62,104.2,101.62,104.04,3118872
2006-07-04,103.97,103.97,102.49,103.19,7950532
2006-07-05,103.21,103.21,102.03,102.56,5875056
2006-07-06,102.66,102.66,99.01,99.62,9091289
2006-07-07,99.22,100.17,99.22,99.94,4817778
2006-07-10,100.26,100.26,97.85,98.18,5389350
2006-07-11,98.32,100.08,98.32,98.94,9442988
2006-07-12,98.68,100.12,98.68,99.93,12578541
2006-07-13,100.49,101.37,100.49,101.19,6865257
