date,open,high,low,close,volume
2005-01-03,133.12,135.12,133.12,134.71,17757225
2005-01-04,135.01,135.01,129.4,130.07,13754793
2005-01-05,130.05,130.05,122.69,124.59,16079391
2005-01-06,125.09,130.35,125.09,130.08,4586908
2005-01-07,131.16,131.16,128.65,129.83,14703163
2005-01-10,130.08,133.23,130.08,131.99,7416230
2005-01-11,131.26,131.26,128.25,129.55,8145672
2005-01-12,129.21,133.22,129.21,132.71,14508412
2005-01-13,132.68,132.68,127.41,129.17,7415543
2005-01-14,129.91,133.88,129.91,131.41,13009916
2005-01-17,132.58,137.44,132.58,135.97,7609274
2005-01-18,135.82,135.82,129.42,130.3,13424651
2005-01-19,131.31,138.38,131.31,138.27,8073624
2005-01-20,138.85,138.85,130.22,133.7,10870945
2005-01-21,134.05,137.12,134.05,135.97,8772387
2005-01-24,136.61,136.61,133.41,135.17,6049381
2005-01-25,134.76,137.09,134.76,136.89,14764023
2005-01-26,138.15,143.26,138.15,141.78,4678705
2005-01-27,142.35,142.35,139.01,139.9,15106890
2005-01-28,138.39,138.39,135.15,135.33,6980904
2005-01-31,135.28,135.28,133.15,134.9,8901521
2005-02-01,135.72,135.72,131.46,132.97,4390455
2005-02-02,133.6,133.6,130.47,131.13,5883449
2005-02-03,131.82,136.13,131.82,134.25,7496553
2005-02-04,134.54,134.54,130.9,134.03,4859541
2005-02-07,133.56,134.58,133.17,134.2,5086520
2005-02-08,134.56,134.56,129.67,129.68,9330089
2005-02-09,129.31,129.81,128.45,129.14,8925746
2005-02-10,129.43,131.52,128.01,130.9,10084749
2005-02-11,130.38,135.71,130.38,133.16,11217601
2005-02-14,132.48,133.45,130.32,131.24,12152442
2005-02-15,130.46,133.24,127.53,128.71,9496627
2005-02-16,128.69,131.13,128.61,129.62,13876977
2005-02-17,128.63,128.63,123.31,123.65,8603298
2005-02-18,124.35,126.99,124.35,126.9,15773502
2005-02-21,127.25,132.02,127.25,129.83,16815550
2005-02-22,129.27,130.67,129.12,130.45,5367365
2005-02-23,130.77,130.77,125.63,126.39,3019700
2005-02-24,128.13,128.16,126.18,127.89,9919110
2005-02-25,127.67,130.57,127.67,129.68,15439965
2005-02-28,129.54,132.19,129.53,131.21,8362220
2005-03-01,130.34,132.08,130.34,131.48,11252665
2005-03-02,131.93,131.93,129.56,130.0,4501781
2005-03-03,129.27,129.27,123.85,124.18,12139227
2005-03-04,124.54,125.33,123.59,124.13,13046907
2005-03-07,124.76,125.5,122.2,123.99,27618223
2005-03-08,123.35,127.26,123.35,127.19,13535808
2005-03-09,128.09,128.09,124.24,124.49,3515938
2005-03-10,123.23,123.36,122.23,122.88,9129866
2005-03-11,123.27,123.57,122.4,122.67,6023986
2005-03-14,122.47,124.25,122.47,123.4,4086470
2005-03-15,123.5,126.44,123.5,124.28,13189391
2005-03-16,125.15,125.15,123.18,123.55,7143235
2005-03-17,124.92,125.54,124.67,125.13,10826368
2005-03-18,126.4,126.4,123.87,126.27,8111061
2005-03-21,126.46,126.46,123.79,125.12,8260187
2005-03-22,124.62,128.56,124.62,127.13,8131845
2005-03-23,126.69,126.69,123.29,123.71,7724481
2005-03-24,123.23,126.94,123.23,126.58,8035824
2005-03-25,125.79,125.79,121.83,123.46,7902832
2005-03-28,124.28,125.96,124.15,124.8,14733716
2005-03-29,124.8,124.8,123.98,124.26,5476210
2005-03-30,124.1,124.1,121.38,122.04,8014222
2005-03-31,121.46,121.46,118.88,120.24,10899843
2005-04-01,121.35,121.35,117.18,117.97,11855569
2005-04-04,117.21,120.44,117.21,119.51,24438658
2005-04-05,118.49,122.88,118.49,121.75,6808828
2005-04-06,121.95,124.46,121.95,122.83,2667564
2005-04-07,123.43,126.55,123.43,126.33,17869923
2005-04-08,125.78,127.0,125.08,126.67,7569654
2005-04-11,127.88,127.88,123.28,125.39,17353057
2005-04-12,124.81,128.93,124.81,128.44,16056012
2005-04-13,127.66,129.5,126.75,129.26,7094589
2005-04-14,129.12,134.41,129.12,132.48,9798721
2005-04-15,133.51,134.72,133.51,134.21,8830603
2005-04-18,135.28,139.66,135.28,136.38,11271204
2005-04-19,135.5,136.6,135.5,136.17,21041874
2005-04-20,136.45,139.82,135.58,138.3,9877244
2005-04-21,136.94,138.86,135.89,137.98,6793717
2005-04-22,138.5,143.51,138.5,142.51,7799191
2005-04-25,143.19,143.19,140.01,141.57,16620271
2005-04-26,141.78,143.97,141.48,142.71,8002585
2005-04-27,142.85,142.85,140.63,141.0,13377642
2005-04-28,140.87,140.87,134.06,138.44,7866882
2005-04-29,138.31,139.78,137.7,139.5,9132139
2005-05-02,139.77,140.89,139.29,140.74,10659243
2005-05-03,140.4,140.4,135.93,137.51,12029376
2005-05-04,137.51,137.51,132.97,133.33,6494230
2005-05-05,134.4,134.4,128.69,129.99,6578045
2005-05-06,129.94,130.59,129.74,130.08,10233991
2005-05-09,129.48,129.48,127.5,128.31,8140020
2005-05-10,128.33,128.33,126.02,127.51,7994588
2005-05-11,126.74,126.74,122.76,123.14,17592861
2005-05-12,122.65,124.57,122.65,122.99,6532595
2005-05-13,123.92,123.92,117.1,118.21,9772876
2005-05-16,117.58,117.58,115.96,116.14,7336224
2005-05-17,115.2,115.2,113.69,113.85,15040559
2005-05-18,114.19,114.19,111.53,113.56,13263270
2005-05-19,112.17,113.82,112.17,113.36,4097057
2005-05-20,112.84,114.92,112.84,114.08,7646911
2005-05-23,114.48,114.48,105.93,108.24,4917678
2005-05-24,108.28,108.28,104.39,106.37,13918223
2005-05-25,105.98,108.0,105.27,106.81,5410636
2005-05-26,107.7,108.66,107.7,108.21,10347281
