date,open,high,low,close,volume
2005-01-03,130.33,130.93,129.69,130.06,7986264
2005-01-04,129.99,131.01,129.44,130.41,4795304
2005-01-05,130.03,130.03,128.14,129.44,7477614
2005-01-06,129.42,131.55,129.42,130.75,11039680
2005-01-07,131.29,134.89,131.29,134.02,4812309
2005-01-10,133.69,135.62,133.69,135.42,9940937
2005-01-11,135.96,137.14,134.67,135.46,14402964
2005-01-12,135.67,135.67,133.86,134.16,10232177
2005-01-13,134.45,134.93,134.28,134.7,7767677
2005-01-14,135.41,135.41,132.64,133.57,5411656
2005-01-17,133.94,136.49,133.94,134.57,12406352
2005-01-18,134.79,134.79,131.13,131.79,7326014
2005-01-19,131.45,131.45,130.51,130.91,10973588
2005-01-20,130.79,134.41,130.79,133.54,13991950
2005-01-21,134.28,135.2,133.71,134.58,8660353
2005-01-24,134.21,134.49,134.0,134.23,10431631
2005-01-25,134.18,134.18,131.15,131.2,19221860
2005-01-26,130.93,132.1,130.93,131.71,10419378
2005-01-27,131.61,134.44,131.61,133.85,28054146
2005-01-28,133.76,135.47,133.01,134.07,9141773
2005-01-31,133.7,135.19,133.7,134.78,5883585
2005-02-01,134.16,134.16,132.56,132.68,16527844
2005-02-02,132.86,132.86,131.05,132.07,13152284
2005-02-03,132.67,132.67,131.34,131.52,17006710
2005-02-04,131.46,135.96,131.46,134.93,15387646
2005-02-07,134.47,134.47,130.8,131.43,6251274
2005-02-08,130.48,131.59,129.51,130.86,4408088
2005-02-09,132.0,132.0,129.1,129.17,6551186
2005-02-10,129.37,129.65,127.57,128.56,15473479
2005-02-11,127.78,131.66,127.78,131.2,5361116
2005-02-14,131.35,131.35,129.7,129.97,2935163
2005-02-15,130.06,132.36,130.06,131.64,4522553
2005-02-16,131.86,131.86,130.5,130.71,8147961
2005-02-17,131.35,131.35,127.63,129.73,11202781
2005-02-18,129.48,134.49,129.48,133.77,6022114
2005-02-21,133.24,133.35,130.69,132.03,14809043
2005-02-22,132.06,132.06,130.35,130.7,7416627
2005-02-23,130.87,130.87,129.36,129.99,7970340
2005-02-24,129.85,130.75,128.52,129.35,18680824
2005-02-25,129.33,130.29,129.01,129.21,11717221
2005-02-28,129.24,129.43,127.35,128.03,13923431
2005-03-01,128.02,129.29,127.97,128.5,5835610
2005-03-02,128.65,128.65,127.07,127.45,6335948
2005-03-03,126.92,127.88,126.92,127.32,12132361
2005-03-04,127.37,129.48,127.37,128.9,11864225
2005-03-07,129.07,132.13,129.07,131.43,8293603
2005-03-08,131.6,133.21,131.6,132.32,7955007
2005-03-09,132.16,134.43,132.16,133.59,8312556
2005-03-10,133.66,136.19,133.66,135.91,8475479
2005-03-11,135.42,137.19,135.11,136.12,26164625
2005-03-14,135.58,135.89,134.22,135.69,9036597
2005-03-15,135.57,135.57,134.23,134.42,17022109
2005-03-16,134.38,135.71,134.38,135.67,14359057
2005-03-17,135.7,139.12,135.7,138.09,4377538
2005-03-18,138.22,141.9,138.22,140.25,5178626
2005-03-21,140.42,142.56,139.63,141.52,10021722
2005-03-22,141.69,141.69,139.19,141.18,20282864
2005-03-23,141.16,141.16,137.3,138.25,7338488
2005-03-24,138.61,140.24,137.99,139.38,11869937
2005-03-25,139.45,139.45,137.68,138.64,7684230
2005-03-28,139.2,140.54,139.2,140.18,12720347
2005-03-29,139.95,142.8,139.95,141.64,5726672
2005-03-30,141.6,142.37,141.46,142.26,5601409
2005-03-31,141.58,141.58,140.25,141.23,20602727
2005-04-01,141.53,144.2,141.53,143.46,4184899
2005-04-04,143.99,143.99,139.55,140.96,5478358
2005-04-05,140.78,141.4,139.68,140.89,10933117
