date,open,high,low,close,volume
2005-01-03,119.5,121.06,119.5,119.81,23562746
2005-01-04,120.35,122.29,120.35,121.28,10015057
2005-01-05,121.07,121.4,119.47,121.03,14586199
2005-01-06,121.31,123.04,121.31,122.2,15741595
2005-01-07,122.28,123.72,121.48,122.81,7363152
2005-01-10,122.96,122.96,120.85,121.14,14653992
2005-01-11,121.24,121.24,120.06,120.25,3429504
2005-01-12,121.02,121.02,120.19,120.28,5785591
2005-01-13,120.91,121.24,120.41,120.74,5413757
2005-01-14,120.81,123.01,120.81,121.88,7564235
2005-01-17,122.78,122.78,120.16,121.29,13977453
2005-01-18,122.12,122.12,117.48,118.88,9423048
2005-01-19,118.59,119.05,117.86,118.54,2993143
2005-01-20,118.09,120.13,118.09,119.9,10408612
2005-01-21,118.8,120.67,118.8,120.2,4448943
2005-01-24,120.57,121.36,119.28,120.69,4855059
2005-01-25,120.02,123.46,120.02,123.41,5172622
2005-01-26,123.87,123.87,121.98,122.29,4304888
2005-01-27,122.7,124.55,122.6,124.14,7137611
2005-01-28,124.24,126.12,122.58,124.38,23268677
2005-01-31,124.63,124.63,121.97,122.56,16191613
2005-02-01,121.43,124.31,121.43,123.93,7567495
2005-02-02,124.19,124.71,123.63,124.06,12070745
2005-02-03,123.98,123.98,122.48,123.12,12051289
2005-02-04,122.36,125.74,122.36,125.59,6019678
2005-02-07,125.35,129.08,125.35,127.09,3947186
2005-02-08,127.75,127.75,124.67,126.39,3672237
2005-02-09,127.18,127.18,123.65,125.09,5135182
2005-02-10,125.28,125.28,123.63,123.78,8796564
2005-02-11,123.98,123.98,122.24,122.63,7394068
2005-02-14,122.13,125.73,122.13,124.84,6388094
2005-02-15,124.93,124.93,122.15,122.38,12354178
2005-02-16,122.51,122.51,121.3,122.27,22097400
2005-02-17,122.38,122.38,121.26,121.42,13867933
2005-02-18,121.52,121.52,119.66,120.86,10433622
2005-02-21,122.28,122.28,118.38,118.54,10548113
2005-02-22,118.62,119.13,116.98,118.11,9787864
2005-02-23,117.45,117.45,116.37,116.81,8040316
2005-02-24,116.62,116.62,115.83,116.49,9051734
2005-02-25,116.8,116.8,115.2,116.2,9522355
2005-02-28,116.19,117.64,115.33,115.94,4427923
2005-03-01,115.75,115.81,113.54,115.1,14583953
2005-03-02,115.48,115.61,115.01,115.32,17095630
2005-03-03,114.83,116.06,114.83,115.45,8185373
2005-03-04,115.41,116.69,115.41,116.35,6270275
2005-03-07,117.19,119.53,117.19,119.12,6999726
2005-03-08,119.1,121.88,119.1,120.14,9327472
2005-03-09,120.0,120.73,118.59,119.58,4500187
