date,open,high,low,close,volume
2005-01-03,134.27,134.31,127.45,131.83,5549690
2005-01-04,131.69,131.69,124.45,126.86,5139235
2005-01-05,126.96,126.96,125.64,125.75,6940715
2005-01-06,126.37,126.37,122.5,124.52,7119889
2005-01-07,125.25,125.25,118.97,119.13,7530374
2005-01-10,119.02,122.65,119.02,121.72,5137719
2005-01-11,121.79,121.79,118.05,118.68,6998496
2005-01-12,119.2,123.15,119.2,121.42,19692549
2005-01-13,121.91,121.91,118.38,118.54,8497121
2005-01-14,117.6,118.06,116.37,117.41,9797124
2005-01-17,116.74,116.74,113.53,113.72,6049344
2005-01-18,112.9,113.14,112.11,112.27,9620371
2005-01-19,112.22,113.75,112.22,113.45,24313869
2005-01-20,113.76,119.31,113.76,118.87,13505617
2005-01-21,118.57,118.57,117.97,118.18,13488934
2005-01-24,119.02,119.02,115.41,118.29,4965686
2005-01-25,118.14,118.14,115.69,116.21,9726874
2005-01-26,115.77,120.66,115.77,118.28,5990807
2005-01-27,118.48,121.98,118.48,121.78,4738114
2005-01-28,121.85,121.85,118.53,118.76,8776945
2005-01-31,118.35,118.35,114.02,114.34,10801861
2005-02-01,115.06,115.06,108.88,110.85,12435733
2005-02-02,110.5,115.27,110.5,113.85,21950848
2005-02-03,114.5,114.5,107.3,108.13,5756667
2005-02-04,108.0,108.0,101.46,103.7,10596411
2005-02-07,104.13,104.4,102.13,103.83,12112542
2005-02-08,103.66,103.66,99.66,99.68,7398985
2005-02-09,99.5,101.91,99.5,101.82,8518741
2005-02-10,102.35,102.35,99.36,100.99,14091933
2005-02-11,101.58,104.33,101.58,103.94,3607887
2005-02-14,102.58,106.48,102.58,105.41,9219649
2005-02-15,104.86,104.86,102.2,103.04,20462521
2005-02-16,103.2,104.61,103.02,103.48,8014889
2005-02-17,103.19,106.69,103.19,106.11,10021803
2005-02-18,106.11,106.11,103.57,103.81,10065296
2005-02-21,103.64,103.67,101.93,103.44,17461466
2005-02-22,103.81,103.81,101.43,102.42,12234594
2005-02-23,102.4,102.4,96.96,98.2,15703236
2005-02-24,98.36,100.68,98.36,100.15,19171401
2005-02-25,99.42,103.86,99.42,103.34,11642877
2005-02-28,103.87,106.36,103.87,105.44,3808241
2005-03-01,105.08,105.08,101.56,102.89,27933626
2005-03-02,102.82,104.68,101.66,103.32,15433380
2005-03-03,104.06,104.06,99.48,99.57,11624576
2005-03-04,99.81,100.21,97.89,99.9,11235353
2005-03-07,99.27,103.85,99.27,102.6,8641397
2005-03-08,102.18,102.18,97.57,99.13,5927158
2005-03-09,99.04,99.04,93.44,94.78,4085847
2005-03-10,94.98,95.35,93.57,94.58,15095689
2005-03-11,95.23,95.23,92.46,94.0,5004676
2005-03-14,93.78,95.21,92.4,93.16,7462413
2005-03-15,92.47,97.71,92.47,97.09,7452087
2005-03-16,95.6,97.52,95.6,97.33,12300607
2005-03-17,97.73,100.8,97.73,100.63,7063749
2005-03-18,101.93,101.93,97.55,98.44,7145836
2005-03-21,97.31,97.31,96.49,96.62,6708590
2005-03-22,96.64,97.57,95.27,96.26,7135954
2005-03-23,95.46,95.46,93.36,94.69,5696156
2005-03-24,93.64,96.36,93.64,95.37,14310662
2005-03-25,95.45,96.22,95.13,95.23,8137901
2005-03-28,95.12,95.12,88.63,89.83,10982934
2005-03-29,90.09,90.09,87.99,88.82,7628404
2005-03-30,88.72,88.72,86.42,86.78,10448084
2005-03-31,86.19,87.63,86.19,87.19,8856331
2005-04-01,88.15,90.34,87.61,89.47,19465613
2005-04-04,89.12,91.04,89.12,90.89,8523551
2005-04-05,91.51,93.75,91.51,91.89,5095472
2005-04-06,91.05,95.17,91.05,93.97,27773138
2005-04-07,94.29,94.29,90.02,90.76,15072867
2005-04-08,91.23,94.33,91.23,91.96,11937312
2005-04-11,91.48,92.28,91.48,91.76,6162754
2005-04-12,91.87,93.31,91.87,92.69,6683625
2005-04-13,91.75,92.43,91.07,92.0,8201438
2005-04-14,91.77,92.17,89.89,92.15,5558228
2005-04-15,92.18,95.58,92.18,93.71,16180134
2005-04-18,95.12,95.12,90.02,90.03,4296356
2005-04-19,89.52,92.5,89.52,90.47,13159329
2005-04-20,91.26,92.61,91.26,92.42,9168520
2005-04-21,92.29,94.03,92.25,93.28,12681912
2005-04-22,93.1,98.81,93.1,98.68,9710147
2005-04-25,99.15,99.15,95.81,96.91,11713979
2005-04-26,96.04,96.04,91.46,91.77,2772288
2005-04-27,91.97,91.97,88.99,89.89,16532724
2005-04-28,90.54,90.54,86.45,87.09,8030646
2005-04-29,87.08,87.08,84.27,85.86,19781704
2005-05-02,84.81,90.9,84.81,89.8,13483012
2005-05-03,89.66,89.66,88.19,88.51,5552642
2005-05-04,88.89,91.39,88.89,90.85,9197483
2005-05-05,91.11,92.23,90.25,90.9,8776046
2005-05-06,90.89,93.66,90.89,91.33,26757965
2005-05-09,91.41,91.41,87.09,87.35,5892948
2005-05-10,88.11,92.89,88.11,90.94,15988846
2005-05-11,91.29,94.47,91.29,92.81,7873501
2005-05-12,93.44,93.66,92.52,92.96,11423905
2005-05-13,92.97,93.03,91.04,92.27,10732280
2005-05-16,91.87,95.1,91.87,94.32,7725808
2005-05-17,94.68,96.83,94.68,95.99,10856786
2005-05-18,97.41,97.41,91.8,92.44,4956829
2005-05-19,93.39,93.78,92.28,92.67,9438738
2005-05-20,93.88,96.21,93.88,95.61,8825149
2005-05-23,96.34,96.34,94.37,95.86,3337268
2005-05-24,95.39,95.68,95.15,95.17,4089435
2005-05-25,95.48,95.48,91.22,92.43,3013612
2005-05-26,92.36,92.58,90.56,91.39,4164017
2005-05-27,91.52,91.52,87.77,88.1,6048783
2005-05-30,87.1,88.59,87.1,88.36,10049607
2005-05-31,87.93,91.39,87.93,88.93,3229963
2005-06-01,89.74,90.03,88.73,89.22,12790157
2005-06-02,89.47,90.3,89.37,89.63,6285416
2005-06-03,89.68,90.97,88.68,90.44,8873073
2005-06-06,90.31,90.42,89.94,90.21,9063261
2005-06-07,89.01,92.79,89.01,91.74,9576456
2005-06-08,91.37,92.35,89.96,92.32,4262060
2005-06-09,92.62,92.62,88.02,89.26,12336239
2005-06-10,89.37,92.45,89.37,91.3,5845961
2005-06-13,91.05,92.53,89.23,90.22,6020535
2005-06-14,91.14,91.14,88.68,90.33,3035119
