date,open,high,low,close,volume
2005-01-03,136.38,136.7,135.95,136.06,9317626
2005-01-04,136.7,137.84,136.33,136.63,18190664
2005-01-05,137.01,137.01,134.26,134.81,4392015
2005-01-06,134.79,134.89,133.69,133.86,5447128
2005-01-07,133.31,135.46,132.75,133.92,6883243
2005-01-10,134.05,134.96,133.97,134.56,15480782
2005-01-11,134.76,134.76,132.65,133.54,7383393
2005-01-12,133.53,135.0,133.53,134.89,11338286
2005-01-13,134.65,135.12,134.19,134.28,6943464
2005-01-14,134.06,135.13,134.01,134.72,7651968
2005-01-17,134.6,135.81,134.6,135.02,13392177
2005-01-18,134.69,135.7,134.56,135.58,8304274
2005-01-19,135.86,138.74,135.86,138.02,7504714
2005-01-20,138.16,140.77,138.16,140.55,11082453
2005-01-21,140.78,140.78,139.83,140.46,10648736
2005-01-24,140.86,142.96,140.86,142.02,6936487
2005-01-25,141.95,142.32,141.95,142.19,6985432
2005-01-26,142.22,144.96,142.22,144.14,8167150
2005-01-27,144.83,144.83,144.35,144.66,12518202
2005-01-28,145.1,146.96,145.1,146.28,12946067
2005-01-31,146.05,148.5,146.05,148.17,9487679
2005-02-01,148.52,148.52,146.98,147.13,9151758
2005-02-02,147.17,147.17,143.54,143.75,22984359
2005-02-03,143.64,146.35,143.64,145.61,9409169
2005-02-04,145.27,145.27,143.7,144.02,5232476
2005-02-07,143.31,145.05,143.31,143.91,7536336
2005-02-08,143.75,144.72,143.75,144.36,9057387
2005-02-09,144.34,144.34,143.41,143.63,8117845
2005-02-10,143.95,143.95,141.76,142.25,4745229
2005-02-11,142.03,142.03,141.33,141.52,16206400
2005-02-14,141.72,141.72,140.63,140.98,9200333
2005-02-15,141.68,143.02,141.68,142.88,12269920
2005-02-16,143.26,145.81,143.26,145.22,8603634
2005-02-17,145.12,145.12,143.2,143.78,2624052
2005-02-18,143.68,143.68,142.93,143.0,15514888
2005-02-21,142.77,144.88,142.77,143.74,9237273
2005-02-22,143.78,143.78,142.34,142.46,7651339
2005-02-23,141.81,145.99,141.81,145.27,10011271
2005-02-24,145.1,146.86,144.76,146.32,10505451
2005-02-25,146.41,148.23,146.41,147.95,14580027
2005-02-28,148.54,148.54,145.52,146.09,14843074
2005-03-01,145.75,146.69,145.21,145.25,7705807
2005-03-02,145.0,146.43,144.91,146.17,7574077
2005-03-03,145.85,145.85,143.93,144.33,10858817
2005-03-04,144.43,144.43,142.23,142.55,5388230
2005-03-07,142.26,143.86,142.26,143.43,7088669
2005-03-08,143.56,145.95,143.16,145.28,31877502
2005-03-09,145.11,145.2,144.65,144.75,12938196
2005-03-10,144.54,146.02,143.6,145.06,9907257
2005-03-11,145.3,145.97,145.0,145.31,11920249
2005-03-14,145.38,145.38,143.03,143.33,3909613
2005-03-15,143.52,145.18,143.52,144.36,11030329
2005-03-16,143.91,143.91,141.21,141.51,5999765
2005-03-17,141.49,142.09,141.15,141.25,6999614
2005-03-18,140.67,144.9,140.67,143.49,13668906
2005-03-21,143.28,147.31,143.28,145.86,5980005
2005-03-22,146.03,148.9,146.03,147.53,13888057
2005-03-23,148.04,148.04,147.0,147.12,7878295
2005-03-24,147.77,147.77,145.2,145.31,6387622
2005-03-25,145.18,145.18,144.81,144.88,5578524
2005-03-28,144.78,146.74,144.78,146.35,12100284
2005-03-29,146.89,148.66,146.89,148.52,4654572
2005-03-30,147.88,148.71,147.85,148.07,8426798
2005-03-31,148.25,148.25,146.28,146.28,7171526
2005-04-01,146.23,147.38,146.23,147.21,3608194
2005-04-04,147.53,148.02,146.08,146.8,9248417
2005-04-05,146.03,149.86,146.03,149.34,7772409
2005-04-06,149.72,151.26,148.95,150.15,41104641
2005-04-07,150.89,150.92,150.19,150.2,18978004
2005-04-08,150.04,152.11,150.04,151.94,15134050
2005-04-11,151.61,152.88,151.59,152.04,8738247
2005-04-12,151.76,155.12,151.76,154.87,9487172
2005-04-13,155.22,158.63,155.22,157.33,6642195
2005-04-14,157.22,159.13,157.14,158.72,9009542
2005-04-15,158.2,158.89,157.4,158.1,10480570
2005-04-18,157.73,160.77,157.73,159.83,8357952
2005-04-19,159.71,161.78,159.71,161.76,13870566
2005-04-20,161.64,164.04,161.64,163.16,4740147
2005-04-21,162.88,166.78,162.88,165.95,16164659
2005-04-22,166.02,167.07,166.02,166.75,13479319
2005-04-25,166.96,166.96,165.27,165.3,4230747
2005-04-26,165.3,165.3,164.29,164.98,3784412
2005-04-27,164.17,165.8,164.17,165.56,15158311
2005-04-28,165.23,165.23,163.36,163.51,13387764
2005-04-29,163.23,164.22,162.1,162.61,9714392
2005-05-02,161.93,162.61,161.11,161.91,9255520
2005-05-03,161.86,162.7,160.62,161.41,9542664
2005-05-04,161.18,165.62,161.18,164.74,8063315
2005-05-05,165.21,166.97,165.21,166.37,9722098
2005-05-06,166.06,167.7,166.06,167.15,3060084
2005-05-09,166.97,167.84,166.93,167.75,4800009
2005-05-10,168.06,168.24,167.82,168.05,8750333
2005-05-11,168.12,170.05,168.12,169.82,25831840
2005-05-12,169.61,171.7,169.61,171.49,5677016
2005-05-13,171.87,172.43,170.42,171.58,9785575
2005-05-16,172.35,172.35,169.53,170.26,9598662
2005-05-17,170.53,170.53,168.31,169.3,28049452
2005-05-18,169.66,169.66,167.53,168.5,9171515
2005-05-19,168.22,169.98,168.22,169.17,10665719
2005-05-20,169.5,169.5,167.94,168.22,12305075
2005-05-23,168.41,168.68,166.95,167.38,25990493
2005-05-24,167.43,168.09,166.99,167.08,17857984
2005-05-25,167.48,167.48,164.27,165.23,7809997
2005-05-26,165.99,165.99,164.4,164.77,7045690
2005-05-27,165.02,165.02,162.32,162.48,9726238
2005-05-30,162.65,162.65,160.23,160.52,4906067
2005-05-31,161.19,161.42,160.22,160.78,11535927
2005-06-01,160.81,163.46,160.81,161.69,5675773
2005-06-02,161.44,161.44,159.29,159.87,4577996
2005-06-03,159.57,162.77,159.57,162.66,14584149
2005-06-06,162.25,167.07,162.25,165.45,19317835
2005-06-07,165.8,166.95,165.8,166.55,10952559
2005-06-08,166.24,167.79,166.24,166.71,7880563
2005-06-09,166.6,167.14,165.47,166.42,9698625
2005-06-10,166.67,168.07,166.67,167.59,6015839
2005-06-13,167.32,169.9,167.32,168.66,3985341
2005-06-14,168.74,170.48,168.74,170.07,7930702
2005-06-15,169.83,169.83,167.38,168.53,11164477
2005-06-16,168.22,169.46,168.22,168.96,4216099
2005-06-17,168.94,168.94,165.83,166.83,12258943
2005-06-20,166.33,166.72,166.15,166.71,7849807
