date,open,high,low,close,volume
2005-01-03,107.33,107.33,105.51,106.5,14202362
2005-01-04,107.32,109.81,105.83,106.39,6366542
2005-01-05,105.94,105.94,104.98,105.38,11488441
2005-01-06,105.67,105.67,101.1,101.22,7654153
2005-01-07,101.33,101.39,99.56,100.15,14752199
2005-01-10,100.04,105.83,100.04,104.64,4085555
2005-01-11,104.25,105.67,104.25,105.51,9373185
2005-01-12,105.68,105.68,104.16,104.49,4373377
2005-01-13,103.39,106.35,103.39,106.04,3685597
2005-01-14,106.35,106.35,105.16,105.23,4006874
2005-01-17,105.76,110.03,105.76,108.74,11023412
2005-01-18,108.9,108.9,104.85,104.92,7193094
2005-01-19,104.33,108.74,104.33,106.92,6886204
2005-01-20,107.48,110.68,107.48,109.46,10339323
2005-01-21,110.23,111.16,107.91,109.14,8951388
2005-01-24,108.75,108.75,106.91,108.36,17934609
2005-01-25,107.61,109.82,107.61,109.01,11474275
2005-01-26,108.63,109.95,107.96,109.52,10012187
2005-01-27,109.54,112.18,108.97,110.19,15748280
2005-01-28,111.13,111.13,109.53,110.53,6780180
2005-01-31,111.01,114.86,111.01,114.46,9952070
2005-02-01,114.02,120.6,114.02,120.02,31702190
2005-02-02,119.47,119.86,117.0,118.57,5916989
2005-02-03,118.64,118.64,112.88,114.29,10595321
2005-02-04,114.59,114.7,113.73,113.8,13303027
2005-02-07,113.5,114.24,112.92,113.7,10220804
2005-02-08,114.12,115.19,112.66,115.06,3880606
2005-02-09,115.87,115.87,111.46,112.72,5493439
2005-02-10,112.65,113.04,110.85,111.21,9428968
2005-02-11,110.82,114.46,110.82,114.33,8282439
2005-02-14,114.78,116.12,114.78,115.87,23890962
2005-02-15,115.0,117.68,115.0,116.3,8482731
2005-02-16,116.63,118.59,115.96,117.78,7451299
2005-02-17,118.45,120.29,117.08,119.13,17495234
2005-02-18,119.5,119.97,118.19,119.42,5563739
2005-02-21,120.12,120.45,118.57,120.43,11326534
2005-02-22,119.37,124.45,119.37,123.88,9407752
2005-02-23,123.44,130.32,123.44,129.71,8432318
2005-02-24,130.27,130.27,126.96,127.69,5231003
2005-02-25,127.25,128.73,126.41,128.59,5659466
2005-02-28,128.42,128.42,124.46,125.17,10372184
2005-03-01,125.55,127.69,125.55,126.97,4695797
2005-03-02,127.29,130.37,126.52,127.87,12807754
2005-03-03,127.26,127.26,122.62,123.42,3753087
2005-03-04,122.3,126.92,122.3,126.47,12590719
2005-03-07,125.81,125.81,122.22,125.51,6956736
2005-03-08,125.28,125.28,124.11,124.98,4596550
2005-03-09,125.17,125.91,124.84,125.48,10522914
2005-03-10,126.53,126.53,121.47,123.2,4474129
2005-03-11,122.58,124.68,121.91,123.75,8164610
2005-03-14,124.97,128.95,124.97,127.66,8545384
2005-03-15,128.51,132.28,128.51,130.29,6002806
2005-03-16,129.45,131.17,128.55,129.59,9777292
2005-03-17,130.58,130.58,128.88,129.15,15856370
2005-03-18,128.75,128.75,124.29,124.81,3030300
2005-03-21,124.76,132.11,124.76,131.18,16528039
2005-03-22,131.29,131.29,127.26,127.67,11737117
2005-03-23,127.57,131.73,127.57,128.31,5441878
2005-03-24,128.99,128.99,124.26,124.78,9288673
2005-03-25,123.98,127.17,123.88,125.68,4489250
2005-03-28,126.0,129.58,126.0,128.85,8905888
2005-03-29,129.79,130.54,128.05,129.28,15908876
2005-03-30,129.57,130.97,128.2,129.1,11810457
2005-03-31,128.18,131.78,128.18,131.26,6522801
2005-04-01,131.82,131.82,127.41,127.92,7093807
2005-04-04,127.16,128.1,124.7,127.17,16752234
2005-04-05,127.47,129.06,126.39,126.89,9488009
2005-04-06,127.04,127.04,124.15,124.72,4234726
2005-04-07,124.98,124.98,122.75,123.45,4246379
2005-04-08,123.44,123.44,120.02,120.2,9324653
2005-04-11,119.93,121.37,119.93,120.08,17070121
2005-04-12,119.95,120.55,119.09,119.9,4406910
2005-04-13,120.37,120.37,118.96,119.2,15280999
2005-04-14,118.24,122.41,118.24,120.93,16123225
2005-04-15,120.65,120.65,118.11,118.56,6508237
2005-04-18,118.5,118.5,114.56,114.62,8967243
2005-04-19,114.43,114.43,111.67,113.14,6947718
2005-04-20,113.04,114.59,111.94,113.97,12259209
2005-04-21,114.14,114.14,112.15,112.24,14084252
2005-04-22,112.34,112.34,108.45,108.51,9150548
2005-04-25,108.12,109.61,108.12,109.58,11394471
2005-04-26,109.27,109.36,107.6,109.07,5251490
2005-04-27,108.79,109.03,108.64,108.88,15856090
2005-04-28,108.81,110.48,108.81,110.11,8611626
2005-04-29,109.82,112.17,109.82,112.11,9839556
2005-05-02,112.55,112.55,110.82,112.04,10175229
2005-05-03,112.11,116.61,112.11,114.6,12863766
2005-05-04,114.26,120.15,114.26,117.33,2690869
2005-05-05,116.45,116.45,113.34,115.69,8828759
2005-05-06,115.67,117.18,115.26,116.72,4035879
2005-05-09,116.27,117.82,116.27,117.44,17336114
2005-05-10,117.52,121.42,117.52,120.55,7547188
2005-05-11,119.24,125.71,119.24,124.78,5935074
2005-05-12,123.96,125.75,123.4,125.23,7321505
2005-05-13,125.87,126.4,123.41,124.97,13985011
2005-05-16,125.42,127.83,124.86,126.71,17516429
2005-05-17,127.08,127.72,126.65,127.15,15198926
2005-05-18,126.73,126.73,125.43,125.94,11632389
2005-05-19,125.29,125.29,122.29,124.29,5246660
2005-05-20,124.12,127.66,124.12,124.9,29221828
2005-05-23,124.76,127.12,124.39,124.8,10097916
2005-05-24,124.07,126.01,123.36,125.05,11542646
