date,open,high,low,close,volume
2005-01-03,97.91,98.25,97.16,97.83,10148710
2005-01-04,97.4,99.42,96.18,97.82,9440501
2005-01-05,98.03,98.03,96.91,97.62,11971522
2005-01-06,96.98,100.28,96.98,98.78,6812054
2005-01-07,98.45,98.52,98.2,98.26,8073639
2005-01-10,98.6,101.16,98.6,100.87,8133291
2005-01-11,101.12,102.56,101.12,102.53,9376097
2005-01-12,102.41,103.07,102.41,103.02,6006660
2005-01-13,103.04,107.6,103.04,105.77,8576900
2005-01-14,105.68,106.65,105.68,106.17,6828326
2005-01-17,105.8,106.06,105.45,105.88,6065737
2005-01-18,106.18,106.18,105.1,105.33,11359668
2005-01-19,104.95,107.94,104.95,107.39,9073631
2005-01-20,106.94,108.76,106.94,107.57,11068222
2005-01-21,108.1,108.41,107.36,107.66,9261316
2005-01-24,106.82,110.97,106.82,110.0,5961702
2005-01-25,109.42,110.63,108.26,109.35,9807876
2005-01-26,108.83,108.83,106.39,107.01,10543052
2005-01-27,106.25,109.82,106.25,109.76,9653301
2005-01-28,109.23,110.74,108.11,108.79,7515044
2005-01-31,109.55,110.51,109.55,109.86,10093913
2005-02-01,109.54,110.67,109.54,110.47,8252459
2005-02-02,110.02,110.31,109.46,109.56,13029466
2005-02-03,109.46,110.33,109.46,110.28,9282312
2005-02-04,110.39,110.39,107.7,107.79,12414168
2005-02-07,107.74,109.8,107.74,108.24,3390773
2005-02-08,108.15,110.23,108.15,109.43,9762746
2005-02-09,109.58,113.43,109.58,112.2,6320076
2005-02-10,112.78,112.78,108.92,110.51,8132075
2005-02-11,111.07,111.07,108.91,109.93,11502115
2005-02-14,109.77,112.16,109.77,111.74,11930442
2005-02-15,111.77,111.96,109.49,110.15,10763654
2005-02-16,109.84,110.0,109.62,109.93,7551930
2005-02-17,109.01,109.01,107.09,108.12,8362168
2005-02-18,106.92,110.15,106.92,109.47,13685302
2005-02-21,109.6,110.19,109.21,109.84,10429845
2005-02-22,110.17,115.29,110.17,114.95,4257505
2005-02-23,115.53,115.53,110.97,112.45,9271654
2005-02-24,112.44,114.46,110.94,111.42,9722332
2005-02-25,111.15,111.84,111.03,111.68,18670829
2005-02-28,111.36,111.36,109.56,110.38,7884471
2005-03-01,109.96,111.41,109.46,110.87,5325511
2005-03-02,111.03,115.28,111.03,114.29,19847397
2005-03-03,114.04,115.67,114.04,115.23,4979873
2005-03-04,114.26,115.98,114.26,115.58,23890596
2005-03-07,116.34,117.72,115.62,116.22,11417284
2005-03-08,115.84,120.18,115.84,120.16,9415588
2005-03-09,119.44,121.36,118.09,119.39,5406030
2005-03-10,118.97,123.52,118.97,122.08,5182973
2005-03-11,121.63,122.91,120.72,121.52,12001408
2005-03-14,121.07,121.07,118.53,118.89,11807330
2005-03-15,118.87,118.87,115.33,116.45,10068831
2005-03-16,116.63,116.63,107.92,108.05,6852463
2005-03-17,108.33,109.51,108.33,108.97,4757443
2005-03-18,109.03,109.03,107.12,107.27,17449604
2005-03-21,107.56,108.15,106.67,107.8,14636413
2005-03-22,108.08,111.11,108.08,110.68,6588150
2005-03-23,110.48,111.21,109.87,111.03,20220514
2005-03-24,111.47,111.47,109.32,109.49,2835560
2005-03-25,109.59,110.08,109.04,109.92,8839257
2005-03-28,110.22,110.26,108.61,109.37,7137850
2005-03-29,109.33,109.99,108.9,109.34,3988945
2005-03-30,110.11,110.53,110.05,110.51,6611744
2005-03-31,110.76,112.67,110.44,111.51,13059000
2005-04-01,111.8,112.58,111.8,112.4,11168560
2005-04-04,112.5,119.61,112.5,118.47,5406825
2005-04-05,117.9,119.72,116.87,117.87,10552689
2005-04-06,117.2,119.11,117.2,118.43,14512687
2005-04-07,117.57,119.6,117.06,118.03,12473482
2005-04-08,118.47,122.15,118.47,121.7,19925044
2005-04-11,121.77,121.77,117.65,118.22,7816204
2005-04-12,118.04,118.26,116.97,118.09,6101444
2005-04-13,118.32,119.5,118.26,118.77,14727242
2005-04-14,118.32,118.32,112.56,113.55,11048283
2005-04-15,113.22,113.22,110.39,110.88,9864723
2005-04-18,110.97,112.06,110.33,111.86,5506514
2005-04-19,112.25,112.25,109.65,110.5,8496515
2005-04-20,110.17,112.85,110.17,111.21,12701503
2005-04-21,110.59,110.59,107.51,108.33,5934400
2005-04-22,108.49,111.11,108.49,109.87,28119013
2005-04-25,110.07,114.25,110.07,112.54,5334925
2005-04-26,112.88,112.88,108.66,108.67,15862513
2005-04-27,108.3,113.18,108.3,112.48,9970215
2005-04-28,112.62,115.25,112.62,114.98,18864162
2005-04-29,115.22,116.32,115.22,115.88,11172628
2005-05-02,116.02,116.08,115.57,115.58,6427027
2005-05-03,115.55,115.55,113.68,114.79,17124808
2005-05-04,114.24,117.46,114.24,117.19,10955066
2005-05-05,116.67,116.67,115.78,115.8,9799412
