date,open,high,low,close,volume
2005-01-03,109.47,110.03,109.47,109.53,6880865
2005-01-04,109.74,109.74,107.37,108.24,4916018
2005-01-05,108.48,108.48,105.54,105.57,13968775
2005-01-06,105.97,106.99,104.58,104.92,7610546
2005-01-07,104.58,105.63,104.27,104.97,6822264
2005-01-10,104.5,106.58,104.5,106.19,5126674
2005-01-11,106.45,106.45,103.6,105.01,7861184
2005-01-12,105.84,105.84,103.99,104.96,7765759
2005-01-13,105.18,106.78,105.18,106.6,9780824
2005-01-14,107.08,107.08,103.45,104.09,7474257
2005-01-17,103.93,107.18,103.93,106.63,15750571
2005-01-18,107.26,108.84,106.12,107.34,7625009
2005-01-19,107.16,110.29,107.16,109.79,9942309
2005-01-20,110.85,111.26,110.5,111.15,8110484
2005-01-21,111.32,113.19,111.32,112.7,8089984
2005-01-24,113.06,113.88,112.02,113.86,8139041
2005-01-25,113.98,116.03,112.17,114.69,22768393
2005-01-26,114.52,117.27,114.52,116.16,2569502
2005-01-27,116.24,116.24,112.91,113.5,10062877
2005-01-28,113.45,116.57,113.45,115.21,4083442
2005-01-31,115.04,115.04,112.49,112.83,5718657
2005-02-01,113.68,113.69,111.53,112.74,7451587
2005-02-02,112.93,112.93,110.8,112.02,9829943
2005-02-03,111.86,111.86,108.35,109.31,4664155
2005-02-04,108.87,111.62,108.87,110.41,9328316
2005-02-07,111.02,111.81,109.64,110.49,7189694
2005-02-08,110.02,110.02,109.22,109.28,15694366
2005-02-09,108.7,108.7,103.41,103.83,13841492
2005-02-10,104.4,105.79,104.08,104.65,8144473
2005-02-11,104.43,109.07,104.43,108.96,4439477
2005-02-14,109.39,111.01,109.39,110.76,4621485
2005-02-15,110.62,114.93,110.62,114.28,7236116
2005-02-16,114.22,116.58,113.74,114.94,11859891
2005-02-17,114.52,114.52,112.13,112.99,3624638
2005-02-18,112.65,112.65,109.27,109.74,13588009
2005-02-21,110.76,112.37,110.76,111.42,13894181
2005-02-22,110.24,110.34,110.17,110.31,5612684
2005-02-23,110.11,110.11,108.69,109.48,2485560
2005-02-24,109.56,109.56,107.64,107.73,4474261
2005-02-25,107.64,108.75,107.64,108.64,4971505
2005-02-28,109.42,109.42,103.46,104.93,13412596
2005-03-01,104.98,107.48,104.46,105.7,22952508
2005-03-02,105.34,107.16,105.34,106.53,26995702
2005-03-03,107.34,108.59,106.22,107.55,15529917
2005-03-04,107.77,109.08,106.11,107.9,11456806
2005-03-07,108.0,112.01,108.0,111.37,9511548
2005-03-08,111.81,112.97,110.64,112.26,16845530
2005-03-09,112.23,112.23,107.85,108.81,12823308
2005-03-10,108.07,109.28,107.2,108.99,24329982
2005-03-11,109.55,110.39,108.5,108.96,13936314
2005-03-14,109.34,112.86,109.34,111.1,3741486
2005-03-15,111.25,111.25,109.45,110.19,9490512
2005-03-16,110.49,111.58,109.79,111.5,6451706
2005-03-17,111.0,111.0,108.61,108.75,10423247
2005-03-18,109.74,112.0,108.45,111.89,14585762
2005-03-21,111.73,111.73,108.73,109.3,9277338
2005-03-22,109.54,111.71,109.54,111.0,11636573
2005-03-23,111.28,112.68,110.17,112.0,15727320
2005-03-24,111.63,113.47,111.63,112.92,5419211
2005-03-25,112.63,113.37,111.34,113.12,6034568
2005-03-28,113.6,115.73,112.72,113.68,6979587
2005-03-29,114.43,115.31,111.35,113.44,7683228
2005-03-30,113.73,115.75,113.73,114.53,3391612
2005-03-31,114.05,114.05,109.83,112.71,15449715
2005-04-01,111.95,113.11,111.32,112.2,10295156
2005-04-04,112.57,112.68,112.31,112.4,15949629
2005-04-05,113.2,116.86,113.2,116.72,2837081
2005-04-06,117.37,118.22,115.25,115.57,11502486
2005-04-07,115.74,117.45,114.58,115.09,10725821
2005-04-08,114.94,116.96,114.94,116.32,11825939
2005-04-11,117.0,117.0,113.9,114.78,7763517
2005-04-12,114.29,117.66,114.29,117.22,13539469
2005-04-13,117.96,117.96,115.9,116.08,8163131
2005-04-14,115.28,117.96,115.28,116.29,4716651
2005-04-15,115.95,116.2,113.63,115.04,9700333
2005-04-18,115.56,119.08,115.56,119.08,23130782
2005-04-19,118.49,119.08,117.56,118.3,3422612
2005-04-20,117.61,119.48,117.61,119.41,13561031
2005-04-21,118.79,121.01,117.35,119.78,25007301
2005-04-22,119.79,119.79,115.97,116.47,10354011
2005-04-25,116.45,116.45,108.64,111.54,6883830
2005-04-26,111.08,114.84,111.08,114.27,7739832
2005-04-27,114.38,120.05,114.38,119.01,14687896
2005-04-28,118.89,122.8,118.89,120.86,11592812
2005-04-29,120.24,120.7,119.6,120.53,12752612
2005-05-02,120.25,120.25,117.77,118.09,13014038
2005-05-03,118.76,118.76,115.73,115.97,3212155
2005-05-04,115.8,119.34,115.47,117.95,9001522
2005-05-05,117.81,118.56,116.91,117.7,14561845
2005-05-06,118.09,118.09,114.3,114.91,6724746
2005-05-09,114.58,116.29,114.2,115.29,15917911
2005-05-10,114.83,114.83,110.12,111.86,19894534
2005-05-11,112.03,113.22,111.43,112.06,14549072
2005-05-12,112.64,112.64,109.65,110.88,11109365
2005-05-13,111.63,111.63,110.44,110.92,14282425
2005-05-16,110.56,111.15,110.49,110.5,10207289
2005-05-17,110.6,112.89,110.6,112.27,3632865
2005-05-18,112.54,113.84,111.33,111.63,4011025
2005-05-19,112.31,112.31,108.7,109.3,11234506
2005-05-20,109.74,112.54,109.74,110.74,5288203
2005-05-23,110.69,112.72,109.91,111.55,6425688
2005-05-24,111.79,111.79,110.66,110.69,10097759
2005-05-25,110.54,113.91,110.54,112.36,16656021
2005-05-26,112.3,113.84,112.3,113.3,27271344
2005-05-27,113.18,116.89,113.18,114.18,12940974
2005-05-30,113.77,113.77,110.37,111.22,4932564
2005-05-31,111.71,116.04,111.71,113.86,13775358
2005-06-01,114.24,118.22,114.24,116.92,8205887
2005-06-02,116.02,116.02,115.15,115.58,10336344
2005-06-03,115.67,116.81,115.57,116.16,13941025
2005-06-06,115.84,117.49,113.89,117.3,16376094
2005-06-07,117.59,117.59,113.75,114.58,9592867
2005-06-08,114.35,115.66,114.35,115.11,7539865
2005-06-09,114.97,114.97,113.03,113.08,6879697
2005-06-10,113.55,115.67,112.41,114.95,7876730
2005-06-13,115.86,121.56,115.86,120.73,8178584
2005-06-14,120.06,120.75,120.06,120.57,5850314
2005-06-15,120.27,123.89,120.27,121.71,7567614
2005-06-16,121.36,121.36,117.56,118.32,6378873
2005-06-17,118.3,118.99,114.8,116.13,3119764
2005-06-20,115.82,115.88,113.19,114.38,32981152
2005-06-21,114.57,119.48,114.57,119.18,16395775
2005-06-22,118.98,120.38,118.98,120.11,3549782
2005-06-23,120.15,121.89,120.15,121.63,10880642
2005-06-24,120.09,120.09,117.29,119.4,13157407
2005-06-27,118.86,118.86,115.43,115.61,4456158
2005-06-28,116.05,120.07,116.05,118.66,9851998
2005-06-29,118.98,118.98,115.44,116.61,8115707
2005-06-30,116.19,117.89,115.33,116.89,8707107
2005-07-01,117.14,117.99,115.9,117.65,3291688
2005-07-04,119.31,119.31,117.21,118.1,7102527
2005-07-05,118.05,118.15,115.36,116.65,12173045
2005-07-06,115.83,116.73,113.36,115.99,10285377
2005-07-07,115.92,117.23,115.77,116.63,7252814
2005-07-08,115.9,119.59,115.9,118.11,3484819
2005-07-11,117.94,117.94,115.63,116.53,10463351
2005-07-12,116.33,117.01,115.4,115.56,4680761
2005-07-13,115.71,115.71,113.9,115.08,5546771
2005-07-14,114.95,114.95,113.59,114.64,7220239
2005-07-15,114.78,117.21,114.78,116.4,5440401
2005-07-18,115.87,117.0,115.12,115.83,15225508
2005-07-19,116.56,117.82,116.56,116.82,5373616
2005-07-20,116.0,119.03,116.0,118.29,4417568
2005-07-21,118.41,120.44,118.41,120.36,5332226
2005-07-22,119.42,120.77,118.61,118.84,6508495
2005-07-25,119.1,119.11,118.17,118.96,3473516
2005-07-26,119.21,119.21,115.49,118.12,17473426
2005-07-27,118.59,118.59,117.37,117.78,11682137
2005-07-28,117.84,117.84,116.17,116.23,4677062
2005-07-29,115.67,120.69,115.67,119.05,6107442
2005-08-01,119.63,119.63,117.71,119.28,12612513
2005-08-02,119.36,120.81,118.71,120.11,11155631
2005-08-03,119.95,119.95,115.63,115.98,14396772
2005-08-04,116.22,116.22,114.35,114.64,22943379
2005-08-05,114.72,117.86,114.72,115.75,7426243
2005-08-08,116.0,117.26,115.6,115.74,21757320
2005-08-09,115.08,116.07,114.64,114.7,6250230
2005-08-10,114.79,117.47,114.79,116.33,5021108
2005-08-11,116.82,116.82,115.88,116.78,21846610
2005-08-12,117.66,119.41,117.66,118.85,6310251
2005-08-15,119.95,119.95,116.17,117.58,20809356
2005-08-16,118.12,118.12,115.91,115.93,11200236
2005-08-17,115.59,118.25,115.59,117.35,4246712
2005-08-18,117.26,119.68,117.26,119.15,7855146
2005-08-19,119.42,122.56,119.42,121.56,4015264
2005-08-22,122.03,122.03,120.81,120.98,13087762
2005-08-23,121.17,121.17,116.18,117.39,7792715
2005-08-24,117.85,122.83,117.85,121.99,7690859
2005-08-25,121.33,125.35,121.33,125.0,4295154
2005-08-26,125.26,125.26,120.11,120.9,7738303
2005-08-29,121.88,121.88,118.48,119.8,20042533
2005-08-30,119.91,119.91,115.63,116.89,1820768
2005-08-31,117.29,118.41,115.92,118.01,17436051
2005-09-01,117.68,124.1,117.68,123.55,9085048
2005-09-02,124.03,129.34,124.03,128.08,9025542
2005-09-05,127.38,132.46,127.38,130.47,12672851
2005-09-06,130.85,134.33,130.85,133.6,3437921
2005-09-07,134.32,137.76,134.32,136.01,7727195
2005-09-08,136.42,137.27,134.79,136.76,7434013
2005-09-09,136.71,139.56,136.71,139.39,9147083
2005-09-12,139.75,139.75,137.36,138.14,8216918
2005-09-13,138.64,139.42,136.87,137.46,13337651
2005-09-14,136.87,137.59,135.79,136.42,11931608
2005-09-15,137.53,140.24,137.06,138.08,10834866
2005-09-16,137.89,138.21,136.55,137.54,16255944
2005-09-19,137.83,140.68,137.83,139.27,21027825
2005-09-20,139.24,139.94,138.35,139.18,12215900
2005-09-21,138.88,140.3,137.98,139.33,9085664
2005-09-22,138.96,138.96,135.31,137.1,5707100
2005-09-23,137.42,137.42,134.13,134.82,3538062
2005-09-26,134.64,139.22,134.64,138.67,5395709
2005-09-27,139.71,139.71,135.88,137.89,20620666
2005-09-28,138.96,138.96,137.88,138.78,8416187
2005-09-29,139.07,142.17,138.65,140.1,7754395
2005-09-30,140.28,144.48,140.28,143.97,9591645
2005-10-03,144.73,145.37,142.32,144.18,10716385
2005-10-04,143.78,146.3,143.78,145.53,5540520
2005-10-05,145.0,145.0,143.08,143.93,10750655
2005-10-06,144.47,147.34,144.47,145.35,7610608
2005-10-07,144.44,146.02,144.04,145.43,7290404
2005-10-10,144.35,149.15,144.35,147.68,6730650
2005-10-11,147.43,147.43,142.92,143.7,13717472
2005-10-12,142.67,146.32,142.67,145.89,16015390
2005-10-13,146.28,147.47,144.74,145.58,6419956
2005-10-14,145.46,151.71,145.46,149.83,16316286
2005-10-17,149.88,154.46,149.88,153.54,9682543
2005-10-18,152.75,152.75,149.96,150.5,8612395
2005-10-19,149.99,149.99,149.72,149.75,22589860
2005-10-20,150.5,150.5,142.63,144.43,11216675
2005-10-21,144.47,145.13,143.82,144.43,9157164
2005-10-24,143.65,143.84,141.14,142.89,21975904
2005-10-25,142.96,143.81,142.42,143.11,11113664
2005-10-26,142.79,147.82,142.79,147.64,17208293
2005-10-27,146.33,149.32,146.33,148.92,6896782
2005-10-28,149.06,152.24,149.06,152.18,14706670
2005-10-31,151.66,153.56,151.66,153.54,4498940
2005-11-01,152.76,152.76,149.88,150.17,5221062
2005-11-02,150.4,153.16,150.4,151.83,6140903
2005-11-03,151.57,156.25,151.57,155.77,8330088
2005-11-04,154.49,160.96,154.49,158.73,6814975
2005-11-07,159.33,164.6,159.33,163.49,7138562
2005-11-08,164.37,168.82,164.37,167.62,13693712
2005-11-09,166.41,173.0,166.41,172.81,9576304
2005-11-10,172.15,172.15,163.24,164.61,5771124
2005-11-11,164.97,169.86,164.97,167.79,8831324
2005-11-14,168.93,170.23,168.93,169.51,5994935
2005-11-15,168.97,173.7,168.97,173.17,7128011
2005-11-16,173.19,173.19,170.61,171.25,9304400
2005-11-17,170.31,170.31,166.44,166.46,10689156
2005-11-18,166.59,167.36,165.28,166.65,5429227
2005-11-21,166.45,168.21,166.45,167.4,5482429
2005-11-22,167.5,167.5,162.61,164.03,8060199
2005-11-23,163.44,166.55,163.27,164.37,8686896
2005-11-24,164.14,166.96,164.14,166.46,14443859
2005-11-25,167.5,168.4,166.03,167.52,9243833
2005-11-28,168.26,170.36,168.07,169.72,6193341
2005-11-29,170.61,171.45,169.73,171.16,6029916
2005-11-30,170.57,170.93,166.75,169.84,14227925
2005-12-01,169.68,169.68,165.64,167.86,8624362
2005-12-02,167.98,170.21,167.91,169.14,14893346
2005-12-05,170.01,174.98,170.01,173.12,6793649
2005-12-06,173.54,173.54,168.48,169.29,8506591
2005-12-07,168.99,172.14,168.51,170.11,4593798
2005-12-08,170.61,175.44,170.61,173.11,10373807
2005-12-09,173.33,175.12,173.33,174.43,3665232
2005-12-12,172.81,175.45,172.81,175.07,3433173
2005-12-13,176.12,176.58,172.8,172.87,15455754
2005-12-14,173.96,173.96,171.11,171.88,8567641
2005-12-15,172.49,173.11,171.59,172.08,6594803
2005-12-16,172.41,173.71,170.67,171.5,7272026
2005-12-19,170.16,173.23,170.16,172.3,8508793
2005-12-20,172.03,181.21,172.03,179.01,2702128
2005-12-21,179.76,181.35,179.76,180.78,10209517
2005-12-22,181.68,181.68,178.87,178.99,7231964
2005-12-23,179.67,183.86,179.67,182.41,5775686
2005-12-26,182.69,183.46,182.14,182.71,3890150
2005-12-27,181.13,181.56,179.12,180.37,14314967
2005-12-28,181.74,181.74,179.13,179.7,9578437
2005-12-29,179.42,182.77,178.53,180.7,20246845
2005-12-30,179.89,186.61,179.89,185.5,6781981
2006-01-02,185.47,188.03,185.39,186.36,10551657
2006-01-03,185.67,185.67,180.81,181.32,8328636
2006-01-04,182.38,182.38,178.34,178.94,17998129
2006-01-05,178.91,178.91,172.68,174.68,9481754
2006-01-06,174.19,176.93,174.05,175.94,10153498
2006-01-09,175.79,175.79,168.21,172.2,10317255
2006-01-10,172.27,172.27,167.2,167.73,5036304
2006-01-11,167.66,176.29,167.66,173.69,17594230
2006-01-12,174.0,174.0,170.21,171.1,13089958
2006-01-13,171.18,172.09,168.71,168.78,10702128
2006-01-16,168.2,168.43,166.79,167.59,5032861
2006-01-17,168.31,170.64,166.35,169.45,16004513
2006-01-18,168.78,173.54,167.65,171.03,18406758
2006-01-19,169.59,172.81,169.59,172.63,30960996
2006-01-20,173.15,173.15,164.83,164.84,4752497
2006-01-23,164.55,164.55,161.91,162.84,12383162
2006-01-24,163.49,163.49,161.16,162.21,4847637
2006-01-25,163.35,163.35,158.44,159.58,7870810
2006-01-26,159.04,159.04,157.2,158.15,18374845
2006-01-27,159.48,163.39,159.48,162.61,16590957
2006-01-30,162.72,162.72,158.52,158.64,11188056
2006-01-31,156.81,160.92,156.81,159.08,14474600
2006-02-01,158.82,158.82,155.31,156.62,6989509
2006-02-02,156.35,156.35,153.7,154.75,10101685
2006-02-03,154.86,155.87,154.86,155.69,13598632
2006-02-06,155.66,155.66,151.7,152.44,15890867
2006-02-07,152.45,153.94,152.15,152.95,8739563
2006-02-08,152.77,153.48,151.61,151.78,7881589
2006-02-09,151.98,152.3,150.15,150.95,5378722
2006-02-10,151.27,151.27,149.7,151.0,5759205
2006-02-13,149.8,149.8,146.57,147.28,11540908
2006-02-14,146.1,146.1,144.76,145.05,6665901
2006-02-15,145.0,145.47,142.94,144.59,4902044
2006-02-16,144.14,146.92,144.14,146.57,12853086
2006-02-17,145.07,145.18,144.08,144.34,14556508
2006-02-20,143.87,147.9,143.87,147.38,8348828
2006-02-21,146.99,148.6,146.77,147.59,5603996
2006-02-22,146.69,152.59,146.69,151.76,25740174
2006-02-23,151.38,151.38,148.28,148.45,9670951
2006-02-24,149.04,149.04,144.1,144.86,18459475
2006-02-27,145.3,145.3,139.72,141.45,10655878
2006-02-28,141.77,141.77,137.54,139.33,4739178
2006-03-01,139.59,140.68,138.55,139.55,9340998
2006-03-02,140.71,140.79,139.09,140.32,6377279
2006-03-03,140.97,140.97,136.91,137.47,23433637
2006-03-06,138.13,138.13,136.17,136.21,18120627
2006-03-07,135.73,135.73,134.37,134.87,9855436
2006-03-08,135.93,137.82,135.93,136.88,7984385
2006-03-09,137.51,137.51,135.26,135.48,4342393
2006-03-10,134.88,136.27,134.87,135.29,2805832
2006-03-13,134.81,137.24,134.81,136.27,9021451
2006-03-14,136.07,136.54,134.26,135.93,16173747
2006-03-15,135.11,138.15,135.11,137.3,4125872
2006-03-16,136.62,136.68,134.8,135.48,6872102
2006-03-17,135.36,135.75,132.73,133.35,11994079
2006-03-20,134.19,136.41,134.19,135.22,9797390
2006-03-21,136.18,136.5,135.25,135.72,16213988
2006-03-22,136.27,138.81,136.27,137.3,5946238
2006-03-23,136.91,139.27,135.92,137.31,9443467
2006-03-24,137.77,137.77,134.53,136.14,6978858
2006-03-27,136.37,144.58,136.37,142.71,4472687
2006-03-28,142.37,148.65,142.37,147.89,19074161
2006-03-29,149.08,149.08,142.46,145.34,9534122
2006-03-30,145.15,145.15,144.73,144.96,18921889
2006-03-31,144.32,146.49,144.32,146.33,13012544
2006-04-03,146.64,146.64,140.0,142.58,6199720
2006-04-04,142.13,142.13,140.16,140.34,9993062
2006-04-05,140.05,142.74,140.05,141.84,5945113
2006-04-06,141.73,144.26,141.73,143.16,16759708
2006-04-07,143.19,143.19,139.43,140.33,7967638
2006-04-10,139.71,140.77,139.06,140.01,9746805
2006-04-11,140.26,141.17,140.04,140.35,12093488
2006-04-12,140.36,140.36,138.28,139.15,18952737
2006-04-13,138.89,142.61,138.89,141.04,4524499
2006-04-14,141.15,147.57,141.15,146.37,5129039
2006-04-17,144.84,153.43,144.84,150.4,5359009
2006-04-18,149.61,151.52,149.61,151.06,9907642
2006-04-19,151.9,151.9,148.39,148.43,6675316
2006-04-20,148.1,148.53,147.54,148.47,8905526
2006-04-21,148.08,148.08,146.54,146.8,8900527
2006-04-24,146.44,150.1,146.44,148.95,5186750
2006-04-25,149.34,151.68,149.34,150.58,21756675
2006-04-26,150.26,150.26,145.8,147.38,9279913
2006-04-27,147.71,150.4,147.71,149.2,18050418
2006-04-28,149.65,150.44,148.93,149.07,8239440
2006-05-01,148.81,149.38,148.03,148.17,7106962
2006-05-02,147.62,152.51,147.62,150.93,18621042
2006-05-03,151.04,151.52,151.04,151.48,26921071
2006-05-04,151.05,156.76,151.05,154.61,11109781
2006-05-05,154.13,156.86,154.13,156.73,12620496
2006-05-08,156.86,159.51,156.86,159.0,13350015
2006-05-09,158.39,161.93,158.39,161.28,9670045
2006-05-10,160.49,163.35,160.49,162.14,11561426
2006-05-11,161.98,163.72,159.94,162.99,8770315
2006-05-12,163.18,163.18,157.18,158.81,9234645
2006-05-15,159.57,163.1,159.57,161.79,10385601
2006-05-16,160.15,165.12,159.27,162.54,10315887
2006-05-17,163.43,165.53,162.45,164.13,6809805
2006-05-18,163.57,165.65,163.57,165.13,11560988
2006-05-19,165.1,165.42,162.04,163.41,5017104
2006-05-22,163.46,168.38,163.46,167.65,7382678
2006-05-23,168.33,168.33,165.92,166.63,20031665
2006-05-24,166.82,168.13,164.26,166.91,22632306
2006-05-25,167.44,172.38,167.44,170.37,9670135
2006-05-26,170.56,175.32,168.62,169.39,9014311
2006-05-29,169.03,169.03,165.61,166.88,9926617
2006-05-30,166.71,168.56,166.55,166.93,8589372
2006-05-31,167.31,169.64,167.31,168.94,8643694
2006-06-01,170.35,170.95,170.35,170.65,16515205
2006-06-02,169.96,169.96,163.48,164.6,13636675
2006-06-05,164.43,168.95,164.43,167.95,3471759
2006-06-06,167.7,167.7,164.02,166.07,15720272
2006-06-07,165.71,165.71,164.51,164.77,11953140
2006-06-08,165.36,165.36,163.21,163.65,16260675
2006-06-09,164.19,165.36,162.53,163.73,12489314
2006-06-12,163.9,166.79,163.9,166.16,18925969
2006-06-13,166.27,166.27,160.16,160.52,9390697
2006-06-14,160.06,161.2,159.86,161.18,5782090
