date,open,high,low,close,volume
2005-01-03,130.72,131.34,130.07,130.58,6742639
2005-01-04,130.72,132.41,130.2,131.69,5344746
2005-01-05,131.85,131.85,127.83,128.78,8945489
2005-01-06,128.15,129.85,128.15,129.41,6074533
2005-01-07,129.72,130.02,128.85,129.61,15957606
2005-01-10,129.48,129.69,128.67,129.08,6175282
2005-01-11,128.68,132.11,128.68,132.07,9418447
2005-01-12,132.19,132.94,130.92,131.29,19813082
2005-01-13,131.04,132.39,131.04,132.02,8528794
2005-01-14,131.97,131.97,129.81,129.81,3907364
2005-01-17,129.9,131.59,129.9,131.36,3930428
2005-01-18,132.0,133.9,132.0,133.89,5172358
2005-01-19,133.51,135.63,133.51,133.98,13519766
2005-01-20,133.8,136.27,133.8,134.99,7522687
2005-01-21,134.46,135.92,134.46,135.26,10729819
2005-01-24,135.3,135.72,134.99,135.52,12862522
2005-01-25,135.59,139.12,135.59,138.31,10592510
2005-01-26,137.8,144.25,137.8,143.69,8739827
2005-01-27,143.15,143.15,140.78,140.81,5127388
2005-01-28,141.29,143.98,141.29,143.32,6770841
2005-01-31,142.87,148.59,142.87,146.8,4570672
2005-02-01,146.91,146.91,145.75,145.99,3732953
2005-02-02,145.54,146.73,145.34,145.42,7741188
2005-02-03,144.51,147.35,144.51,147.18,13260247
2005-02-04,147.37,148.48,147.37,147.87,5105539
2005-02-07,147.98,149.05,147.98,148.88,10984253
2005-02-08,148.48,150.82,148.48,150.53,10491158
2005-02-09,149.84,151.5,149.09,151.12,5364518
2005-02-10,151.1,155.24,151.1,154.05,6264000
2005-02-11,154.42,156.38,154.42,156.37,11803850
2005-02-14,155.94,156.63,154.47,156.28,5695338
2005-02-15,154.83,155.68,154.66,155.21,3804482
2005-02-16,155.29,156.63,154.18,156.09,13774164
2005-02-17,157.04,157.04,154.34,155.01,17564613
2005-02-18,155.42,155.42,153.94,153.96,12777463
2005-02-21,152.71,157.18,152.71,155.83,6378564
2005-02-22,155.05,155.23,152.79,153.89,9484340
2005-02-23,154.62,157.89,154.62,157.33,4718160
2005-02-24,157.22,160.53,157.22,160.32,5503451
2005-02-25,160.06,161.3,160.06,160.6,17616517
2005-02-28,160.07,160.44,159.27,159.84,13502954
2005-03-01,160.5,160.5,159.62,159.77,3954648
2005-03-02,159.55,160.01,158.71,159.53,13785420
2005-03-03,160.03,164.13,160.03,163.09,5207239
2005-03-04,162.57,164.93,161.83,162.61,12468935
2005-03-07,162.88,163.53,161.25,162.94,9341200
2005-03-08,162.94,165.62,162.75,164.15,10198491
2005-03-09,164.02,164.02,163.21,163.76,4527907
2005-03-10,164.94,164.94,162.22,163.48,26033078
2005-03-11,163.27,163.27,157.39,159.44,8943109
2005-03-14,159.28,162.65,159.28,161.61,8341104
2005-03-15,160.97,164.96,160.97,163.52,8440569
2005-03-16,163.33,163.33,162.2,162.57,10267767
2005-03-17,162.45,165.26,162.45,164.67,13390472
2005-03-18,164.43,164.83,163.21,163.82,17648717
2005-03-21,163.45,165.6,163.45,164.85,20087718
2005-03-22,164.71,164.71,160.41,161.7,7607912
2005-03-23,161.0,161.0,159.94,160.4,9972665
2005-03-24,160.8,161.99,160.09,161.01,12989843
2005-03-25,160.88,160.88,157.89,158.59,6086925
2005-03-28,158.63,158.63,157.16,157.17,5067252
2005-03-29,156.9,157.31,156.9,157.29,8787933
2005-03-30,157.38,157.38,154.18,154.84,5386755
2005-03-31,155.22,155.22,153.52,154.07,7690154
2005-04-01,153.89,153.89,149.91,150.07,10630248
2005-04-04,150.93,150.93,149.39,149.53,12580607
2005-04-05,150.22,150.88,149.73,150.81,8029651
2005-04-06,150.39,150.39,146.51,146.6,10600970
2005-04-07,147.79,148.03,146.25,147.15,13860323
2005-04-08,146.94,146.94,144.64,144.97,8057154
2005-04-11,145.3,147.82,145.3,146.46,9318931
2005-04-12,146.28,150.88,146.28,150.28,11723701
2005-04-13,151.14,151.14,148.88,150.06,16090251
2005-04-14,149.85,150.35,149.35,149.61,17805591
2005-04-15,148.94,153.34,148.94,152.77,8801315
2005-04-18,152.37,152.75,150.96,151.92,13017628
2005-04-19,151.26,155.5,151.26,153.85,12537951
2005-04-20,154.84,154.84,152.3,152.35,7338970
2005-04-21,152.16,152.56,151.11,152.43,12428343
2005-04-22,152.32,152.33,151.44,151.7,18754116
2005-04-25,151.43,151.43,149.67,150.27,17205496
2005-04-26,150.53,150.53,148.19,149.43,4967415
2005-04-27,149.63,150.11,149.63,150.0,18937546
2005-04-28,150.21,150.21,147.95,148.07,7900457
2005-04-29,148.03,148.03,145.76,146.2,3013374
2005-05-02,145.75,148.69,145.75,148.5,4106218
2005-05-03,148.65,150.78,148.65,149.82,6221349
2005-05-04,149.97,149.97,149.18,149.19,6308446
2005-05-05,148.69,152.76,148.69,152.52,14622610
2005-05-06,151.78,154.99,151.78,152.96,17189273
2005-05-09,152.86,153.86,152.08,152.68,8607742
2005-05-10,153.07,153.83,153.07,153.81,10600686
2005-05-11,153.96,157.45,153.96,157.1,5364631
2005-05-12,157.83,158.39,157.26,157.81,16642020
2005-05-13,157.45,160.79,157.45,158.68,11228134
2005-05-16,159.65,159.65,157.75,157.83,6877152
2005-05-17,158.02,159.37,157.73,159.26,10351793
2005-05-18,158.56,160.72,157.71,159.31,6131579
