date,open,high,low,close,volume
2005-01-03,72.45,73.49,72.33,72.7,8234015
2005-01-04,72.28,72.28,70.36,70.55,10334891
2005-01-05,70.5,70.5,67.42,68.26,8533764
2005-01-06,67.88,72.15,67.88,72.04,13187762
2005-01-07,73.32,73.32,72.13,72.44,20105551
2005-01-10,71.96,73.77,71.96,73.47,16983343
2005-01-11,74.02,74.02,71.25,73.09,4323466
2005-01-12,73.07,74.16,70.65,73.09,6185286
2005-01-13,72.93,72.93,68.89,70.25,8069280
2005-01-14,69.76,72.13,69.76,71.3,9148425
2005-01-17,70.79,72.73,70.79,72.43,4930913
2005-01-18,72.4,72.4,70.41,71.87,6217825
2005-01-19,72.26,73.06,71.6,71.95,7731287
2005-01-20,72.1,72.1,69.9,70.51,10112174
2005-01-21,70.18,73.62,70.18,72.23,8165095
2005-01-24,72.2,72.33,70.71,71.24,3948239
2005-01-25,70.72,74.42,70.72,73.48,8359444
2005-01-26,74.14,74.14,72.51,72.93,7704221
2005-01-27,72.82,72.82,70.6,70.85,8711682
2005-01-28,70.62,71.96,69.8,70.96,2645784
2005-01-31,71.55,71.55,68.71,69.31,13938672
2005-02-01,69.76,70.98,69.09,69.9,7906393
2005-02-02,70.21,70.21,67.65,68.94,16704017
2005-02-03,69.61,71.91,69.61,70.22,14697856
2005-02-04,70.35,70.35,67.45,68.46,10728450
2005-02-07,68.81,68.81,65.48,66.55,20106343
2005-02-08,66.23,66.78,65.36,66.77,6277093
2005-02-09,66.44,69.02,66.44,67.91,4194977
2005-02-10,67.68,68.03,66.68,67.5,13787501
2005-02-11,67.81,67.81,65.75,67.08,10762185
2005-02-14,66.57,67.32,66.09,66.45,4128102
2005-02-15,66.89,66.89,62.92,63.41,18237907
2005-02-16,63.3,64.07,62.62,63.04,8854426
2005-02-17,63.29,63.29,59.98,61.48,5515012
2005-02-18,61.46,63.63,61.46,62.67,10521071
2005-02-21,63.34,63.39,62.37,63.01,5861288
2005-02-22,62.71,65.47,62.71,65.4,7643389
2005-02-23,65.31,67.64,64.69,65.64,7576501
2005-02-24,65.44,68.27,65.44,68.01,8050987
2005-02-25,67.9,70.78,67.9,70.18,10526965
2005-02-28,69.5,71.48,69.01,70.44,2350025
2005-03-01,70.33,72.1,70.33,71.87,2012517
2005-03-02,71.78,71.78,68.17,69.42,12356366
2005-03-03,69.26,69.26,67.93,67.94,18548246
2005-03-04,67.55,69.66,67.55,68.89,9145280
2005-03-07,68.83,69.05,67.65,68.97,17435417
2005-03-08,69.46,69.46,65.76,67.33,4283745
