date,open,high,low,close,volume
2005-01-03,82.79,83.76,82.3,82.87,15642497
2005-01-04,82.7,84.69,82.7,84.15,5608606
2005-01-05,83.55,85.58,83.55,85.31,8805746
2005-01-06,85.37,86.47,84.71,84.8,11475570
2005-01-07,85.57,85.57,83.47,83.63,7119657
2005-01-10,83.68,83.68,82.51,83.16,5084311
2005-01-11,83.07,83.48,82.09,83.02,6809209
2005-01-12,83.29,83.29,82.24,82.47,3660261
2005-01-13,82.33,84.52,82.33,84.05,4030761
2005-01-14,83.65,86.25,83.65,85.69,14568831
2005-01-17,85.77,85.77,83.57,84.31,17941208
2005-01-18,84.05,85.3,84.05,85.01,5386725
2005-01-19,85.2,85.2,83.39,83.45,4379946
2005-01-20,83.4,83.75,82.79,83.35,8430070
2005-01-21,83.7,83.7,82.59,82.82,6486744
2005-01-24,82.98,83.48,82.69,82.87,5857445
2005-01-25,82.31,83.61,82.31,83.05,21639262
2005-01-26,82.96,84.32,82.96,84.27,2378740
2005-01-27,84.05,84.88,83.15,84.34,9080735
2005-01-28,84.41,84.43,83.59,84.16,12681405
2005-01-31,83.67,85.13,83.67,84.82,12283787
2005-02-01,84.45,84.92,84.45,84.84,17303035
2005-02-02,85.12,86.24,85.12,86.17,10129835
2005-02-03,85.99,88.26,85.99,88.17,7279520
2005-02-04,88.1,88.97,87.57,87.91,18428451
2005-02-07,88.02,89.11,88.02,88.37,7297789
2005-02-08,88.8,88.8,87.91,87.92,3249631
2005-02-09,87.89,87.89,87.06,87.35,10687361
2005-02-10,87.69,89.33,87.17,87.89,8180099
2005-02-11,88.38,89.6,88.24,88.77,13570389
2005-02-14,88.7,89.53,88.7,89.04,5466967
2005-02-15,89.02,90.71,89.02,90.51,12230081
2005-02-16,90.29,92.58,90.29,92.01,4514126
2005-02-17,92.19,92.19,90.43,91.1,7612287
2005-02-18,91.39,91.73,89.73,90.91,7553060
2005-02-21,90.61,90.61,88.53,89.39,24065679
2005-02-22,88.8,90.22,88.8,89.7,10551442
