date,open,high,low,close,volume
2005-01-03,97.43,97.43,93.98,94.94,3037686
2005-01-04,94.57,94.57,89.62,90.47,9525278
2005-01-05,90.5,93.99,90.5,92.77,6004672
2005-01-06,92.92,92.92,89.83,91.65,11743293
2005-01-07,91.61,91.65,88.7,89.56,13057832
2005-01-10,89.83,89.83,87.69,88.24,5035680
2005-01-11,88.54,88.54,84.69,87.34,13301126
2005-01-12,87.08,89.9,87.08,88.68,9972292
2005-01-13,87.17,89.66,87.17,89.31,8120885
2005-01-14,88.84,93.05,88.84,92.71,14533308
2005-01-17,93.13,93.13,90.41,90.91,7783684
2005-01-18,90.59,90.69,89.26,90.29,19266461
2005-01-19,90.02,90.02,88.56,88.71,3059214
2005-01-20,88.18,90.22,88.07,89.27,7389006
2005-01-21,89.41,89.41,85.51,87.46,4558671
2005-01-24,87.13,87.92,87.04,87.13,5282951
2005-01-25,87.61,88.81,87.61,88.81,6618891
2005-01-26,88.9,89.64,88.08,88.54,5272325
2005-01-27,88.48,91.79,88.48,91.04,6108303
2005-01-28,92.19,92.19,87.58,88.8,9184905
2005-01-31,88.33,88.33,82.7,84.32,8344785
2005-02-01,84.19,84.19,80.11,82.7,11393474
2005-02-02,82.58,83.5,82.58,83.47,5619141
2005-02-03,83.76,85.41,83.73,84.1,4997342
2005-02-04,83.86,85.17,82.19,84.9,16420051
2005-02-07,83.76,86.4,83.76,84.71,9298145
2005-02-08,85.32,89.93,85.32,89.25,8798894
2005-02-09,90.09,90.09,87.76,88.98,9437755
2005-02-10,89.06,89.06,84.0,85.39,7117948
2005-02-11,86.43,87.42,86.4,87.12,12768198
2005-02-14,87.91,87.91,84.72,85.47,10122876
2005-02-15,85.0,85.16,84.36,84.76,8391814
2005-02-16,84.67,84.67,80.97,82.11,5319172
2005-02-17,82.22,83.59,79.83,82.24,2565440
2005-02-18,82.8,83.87,82.8,83.47,4907211
2005-02-21,83.35,83.35,81.44,81.66,9342810
2005-02-22,81.0,82.61,81.0,82.58,8190534
2005-02-23,82.45,82.45,80.75,81.16,6024134
2005-02-24,80.86,83.42,80.86,82.84,3597232
2005-02-25,82.88,85.46,82.59,83.52,6070749
2005-02-28,83.68,83.68,80.86,82.4,6574341
2005-03-01,82.02,82.02,78.2,79.5,5409403
2005-03-02,79.75,79.99,78.02,78.1,4391678
2005-03-03,77.69,79.75,77.69,79.28,13641929
2005-03-04,79.07,81.02,79.07,80.3,21290498
2005-03-07,79.91,81.47,79.14,80.3,4073268
2005-03-08,80.14,83.15,80.14,83.09,8927811
2005-03-09,82.36,82.36,78.34,79.95,5850511
2005-03-10,79.98,83.11,79.98,82.29,4766212
2005-03-11,82.18,82.18,80.82,80.88,11418818
2005-03-14,80.43,82.99,80.43,81.29,12652974
2005-03-15,82.1,82.1,80.35,80.65,12908163
2005-03-16,80.08,81.01,80.08,80.78,6583682
2005-03-17,81.18,81.18,77.68,78.72,6877458
2005-03-18,78.5,78.5,76.05,76.43,6461807
2005-03-21,77.22,77.26,75.82,77.19,5129235
2005-03-22,77.1,78.76,76.98,78.05,8919098
2005-03-23,78.2,81.35,78.2,80.74,12467177
2005-03-24,81.06,81.78,80.26,81.13,6522349
2005-03-25,81.88,86.16,81.88,83.29,11905321
2005-03-28,83.99,84.4,82.23,83.44,6217399
2005-03-29,83.07,83.07,81.28,81.63,9796968
2005-03-30,81.1,85.31,81.1,84.83,4631199
2005-03-31,84.54,84.54,82.99,84.06,9410033
2005-04-01,84.46,84.46,79.76,80.28,21478581
2005-04-04,80.13,84.05,80.13,83.8,7757785
2005-04-05,83.59,85.41,81.96,83.71,10336693
2005-04-06,83.63,85.14,83.63,84.18,14203867
2005-04-07,84.8,84.8,81.79,82.54,5350426
2005-04-08,81.87,86.01,81.87,83.92,10933610
2005-04-11,84.26,85.32,81.88,84.14,15433732
2005-04-12,83.24,83.99,82.29,82.34,8903105
2005-04-13,82.53,82.91,81.55,81.92,8243076
2005-04-14,81.69,81.78,80.39,81.19,4972821
2005-04-15,81.27,83.38,81.27,82.8,3092717
2005-04-18,82.76,84.56,82.76,83.94,15274234
2005-04-19,84.8,84.8,82.52,82.64,7851084
2005-04-20,82.03,83.27,81.79,82.76,6549595
2005-04-21,82.96,83.01,81.6,81.7,6878157
2005-04-22,81.19,81.19,79.15,80.28,4184441
2005-04-25,80.58,80.58,77.9,78.85,5111702
2005-04-26,78.14,81.11,78.14,80.05,5820414
2005-04-27,78.75,78.75,77.07,78.11,30678738
2005-04-28,78.09,81.16,78.09,80.75,9070018
2005-04-29,81.11,84.15,81.11,83.94,9340989
2005-05-02,84.57,84.57,81.45,82.98,4946744
2005-05-03,83.62,83.62,82.79,83.21,9110432
2005-05-04,83.19,84.66,82.74,84.39,11080018
2005-05-05,84.3,85.3,82.14,83.44,16278915
2005-05-06,83.47,83.47,79.73,80.52,7575020
2005-05-09,81.05,81.05,78.61,78.64,19937753
2005-05-10,77.95,79.96,77.95,79.74,7918879
2005-05-11,80.33,80.33,77.85,78.36,10956796
2005-05-12,79.23,79.23,73.99,75.44,12141529
2005-05-13,74.93,78.26,74.93,77.08,17941074
2005-05-16,76.81,78.02,76.81,77.87,10580898
2005-05-17,78.65,78.65,75.61,76.62,7543747
2005-05-18,76.64,76.64,74.23,74.8,13493118
2005-05-19,74.86,75.68,74.49,75.0,20498487
2005-05-20,73.87,74.72,73.0,74.31,13855622
2005-05-23,73.92,77.69,73.92,76.32,5330396
2005-05-24,76.69,76.69,73.6,75.29,5519984
2005-05-25,75.03,77.66,75.03,77.52,7985720
2005-05-26,78.05,80.64,78.05,79.55,5201103
2005-05-27,79.24,81.24,79.24,79.84,15893950
2005-05-30,80.77,84.0,80.77,82.52,9525602
2005-05-31,82.29,82.29,80.45,80.96,18993538
2005-06-01,81.92,81.92,79.67,80.22,12620879
2005-06-02,80.12,83.94,80.12,83.93,2987403
2005-06-03,82.61,83.07,82.61,83.04,12497822
2005-06-06,82.31,82.31,80.27,80.71,7291991
2005-06-07,80.97,82.77,80.97,82.42,3758193
2005-06-08,81.36,82.61,81.05,81.7,8105749
2005-06-09,81.54,83.15,81.02,82.64,4406054
2005-06-10,83.15,83.15,78.25,79.48,8555281
2005-06-13,78.95,78.95,77.62,78.56,17372843
2005-06-14,78.9,78.9,77.48,77.55,5527975
2005-06-15,77.5,77.5,74.78,75.04,10286434
2005-06-16,74.49,78.42,74.49,77.97,11516674
2005-06-17,78.0,78.0,76.54,77.17,3087030
2005-06-20,77.06,83.59,77.06,82.46,5549020
2005-06-21,82.51,82.52,79.63,81.0,7017499
2005-06-22,80.84,80.84,78.26,80.15,7150025
2005-06-23,80.27,81.52,80.27,80.93,5989646
2005-06-24,80.09,80.27,79.01,80.16,4743487
2005-06-27,80.8,80.8,76.36,77.02,7371028
2005-06-28,76.55,76.71,74.31,74.83,2124310
2005-06-29,75.54,77.19,75.22,76.12,8020180
2005-06-30,76.12,76.38,74.77,75.32,9271050
2005-07-01,75.25,77.22,75.25,76.53,9200856
2005-07-04,77.0,77.16,75.34,75.61,10697893
2005-07-05,75.98,75.98,72.24,73.76,11093371
2005-07-06,73.5,73.5,68.0,68.62,13791800
2005-07-07,67.93,70.11,67.15,68.8,12527979
2005-07-08,69.08,69.94,69.04,69.45,6795993
2005-07-11,69.41,70.55,69.41,70.15,14336646
2005-07-12,69.87,69.87,68.27,69.24,5762285
2005-07-13,68.46,73.09,68.46,72.26,5249771
2005-07-14,72.88,72.88,71.05,71.2,22522958
2005-07-15,71.6,73.64,71.6,73.64,7275106
2005-07-18,73.57,74.58,73.57,73.85,7946145
2005-07-19,73.78,77.22,73.78,77.18,11029904
2005-07-20,77.54,77.54,75.51,75.62,9436412
2005-07-21,76.05,77.79,76.05,76.98,40857400
2005-07-22,77.0,77.0,74.17,74.46,13918633
2005-07-25,74.3,77.03,74.3,75.13,7130203
2005-07-26,75.8,76.53,74.62,75.79,5573493
2005-07-27,76.58,77.85,76.58,77.59,12150365
2005-07-28,76.67,81.93,76.67,81.24,9725670
2005-07-29,80.73,81.57,80.57,81.54,5245758
2005-08-01,81.82,85.56,81.82,83.36,6637786
2005-08-02,83.59,83.59,78.52,79.57,4706981
2005-08-03,79.52,79.85,79.1,79.61,6419361
2005-08-04,80.12,81.15,80.12,80.35,5867071
2005-08-05,81.21,81.21,77.86,78.71,8201701
2005-08-08,78.93,78.93,78.44,78.67,6548746
2005-08-09,78.15,78.15,75.54,75.56,7968067
2005-08-10,75.36,77.04,75.36,76.97,8899946
2005-08-11,77.29,80.23,77.29,79.28,13386081
2005-08-12,78.64,83.12,78.64,80.86,14741965
2005-08-15,80.55,81.08,80.34,80.73,6818289
2005-08-16,81.04,82.88,79.91,81.08,8022778
2005-08-17,80.66,80.66,76.88,77.27,18641461
2005-08-18,76.81,77.02,76.29,76.6,12798355
2005-08-19,77.38,77.38,75.61,76.28,8983475
2005-08-22,76.68,79.41,76.68,79.12,13166080
2005-08-23,79.5,81.55,79.45,81.16,4081906
2005-08-24,79.81,82.75,79.81,81.76,6684402
2005-08-25,81.69,86.68,81.69,84.68,6476477
2005-08-26,84.45,85.46,82.64,83.33,4756727
2005-08-29,82.94,82.94,79.37,80.78,26883589
2005-08-30,81.12,81.12,77.63,78.98,6307895
2005-08-31,79.03,80.05,76.89,78.44,15112276
2005-09-01,78.63,81.8,78.63,81.65,14276715
2005-09-02,81.07,81.07,76.57,79.4,8386879
2005-09-05,79.73,81.53,79.73,80.98,14925780
2005-09-06,80.87,80.87,78.37,78.76,11621888
2005-09-07,78.66,79.68,78.63,79.41,12729672
2005-09-08,79.89,81.28,79.89,81.02,12200158
2005-09-09,80.01,80.01,77.92,79.07,7955605
2005-09-12,78.84,79.12,78.07,78.47,12352222
2005-09-13,78.11,80.95,78.11,80.22,11101528
2005-09-14,80.44,81.52,80.17,80.32,5909490
2005-09-15,80.08,83.39,80.08,82.14,9486481
2005-09-16,82.4,83.22,82.4,82.96,5959026
2005-09-19,82.7,83.72,82.26,83.12,4820736
2005-09-20,83.67,83.67,80.56,81.81,14527384
2005-09-21,82.24,82.46,81.35,82.12,5041164
2005-09-22,81.29,81.29,80.06,80.7,8103090
2005-09-23,79.8,79.81,79.5,79.7,10002862
2005-09-26,79.44,81.5,79.07,79.63,9584823
2005-09-27,79.04,79.04,76.41,76.78,16353615
2005-09-28,76.93,82.01,76.93,81.49,7753286
2005-09-29,81.13,83.32,80.15,82.12,8697336
2005-09-30,82.01,82.01,77.85,77.89,2679504
2005-10-03,78.85,78.85,77.42,77.66,11291852
2005-10-04,78.08,79.85,78.08,78.87,8451163
2005-10-05,78.67,78.67,72.96,74.2,3073571
2005-10-06,73.9,73.9,72.32,72.9,11089341
2005-10-07,73.23,75.06,73.23,74.47,5891760
2005-10-10,74.26,74.26,69.57,70.65,12690826
2005-10-11,70.62,74.32,70.62,73.47,12969411
2005-10-12,73.49,73.49,68.87,69.59,7148826
2005-10-13,69.44,73.5,69.44,72.99,16964886
2005-10-14,73.44,73.44,70.12,70.12,10211195
2005-10-17,70.15,72.56,70.15,71.69,3563148
2005-10-18,72.01,72.01,69.87,70.97,5664446
2005-10-19,70.24,71.08,69.19,70.7,6290869
2005-10-20,71.62,71.62,71.11,71.17,5905357
2005-10-21,71.0,72.29,71.0,72.27,12501125
2005-10-24,71.85,72.42,70.74,72.08,6229947
2005-10-25,72.43,72.43,68.82,69.33,8302920
2005-10-26,69.58,69.58,68.0,68.29,10347500
2005-10-27,68.35,68.35,67.92,67.92,5408842
2005-10-28,67.93,67.93,65.83,65.87,5360568
2005-10-31,65.66,65.66,64.52,64.66,9034235
2005-11-01,64.52,64.52,63.01,63.42,8074620
2005-11-02,63.92,63.92,61.37,61.74,3934662
2005-11-03,61.98,61.98,58.36,58.91,6596480
2005-11-04,58.85,61.96,58.85,61.13,5188719
2005-11-07,61.29,64.74,61.29,62.66,3924144
2005-11-08,62.64,64.03,62.64,63.56,8305409
2005-11-09,63.7,66.01,63.7,64.43,14649451
2005-11-10,65.02,65.02,61.56,61.7,7503442
2005-11-11,62.0,62.0,59.12,59.32,8293402
2005-11-14,59.52,59.52,57.35,58.26,7292224
2005-11-15,58.04,58.04,57.19,57.83,5409871
2005-11-16,57.16,57.76,56.9,57.41,3092428
2005-11-17,57.63,57.63,54.33,55.08,9316230
2005-11-18,55.57,56.3,55.4,55.62,6657056
2005-11-21,55.71,55.71,53.73,53.99,5288409
2005-11-22,53.92,54.84,53.66,53.73,4063761
2005-11-23,54.31,56.39,54.31,55.74,11940290
