date,open,high,low,close,volume
2005-01-03,114.88,115.37,114.88,115.27,6962042
2005-01-04,115.48,116.25,115.48,115.82,12020516
2005-01-05,115.48,116.22,114.62,115.11,4287613
2005-01-06,114.98,116.22,114.38,115.15,5713426
2005-01-07,115.14,118.68,115.14,117.44,6878221
2005-01-10,117.96,117.96,116.17,116.82,14096194
2005-01-11,116.34,117.94,116.34,116.61,3190186
2005-01-12,116.17,118.08,116.17,117.55,9859372
2005-01-13,117.34,117.88,116.15,116.8,6035902
2005-01-14,115.86,119.34,115.86,118.97,10991049
2005-01-17,118.36,118.67,117.98,118.55,10788023
2005-01-18,118.87,119.93,118.67,119.15,3829151
2005-01-19,119.12,119.12,116.74,117.62,7196952
2005-01-20,117.53,119.12,117.53,118.94,5629675
2005-01-21,119.06,119.06,117.86,118.38,3395351
2005-01-24,119.05,119.66,118.22,118.65,17103014
2005-01-25,118.87,120.89,118.87,120.41,10950569
2005-01-26,120.92,120.92,118.91,119.74,18102599
2005-01-27,119.9,122.15,119.9,121.42,10723491
2005-01-28,121.72,121.72,120.92,121.21,6317978
2005-01-31,121.24,123.58,121.24,122.67,19483336
2005-02-01,123.17,123.17,120.76,121.59,15003859
2005-02-02,120.92,120.92,118.54,119.7,23495695
2005-02-03,119.48,119.48,116.88,117.07,13523747
2005-02-04,117.34,117.47,117.0,117.15,4331707
2005-02-07,117.5,117.5,114.26,115.29,7938270
2005-02-08,114.56,117.43,114.56,117.29,5888674
2005-02-09,116.89,118.76,116.89,118.23,9133289
2005-02-10,118.31,118.72,117.39,118.41,12703885
2005-02-11,118.36,121.18,118.36,121.05,3953344
2005-02-14,120.97,120.97,120.06,120.28,7963559
2005-02-15,120.17,122.38,120.17,122.26,3981686
2005-02-16,122.5,123.05,122.07,122.19,15586799
2005-02-17,122.33,122.33,120.07,120.3,10763115
2005-02-18,120.14,120.14,118.73,119.81,7540578
2005-02-21,119.71,119.71,117.81,118.03,16610114
2005-02-22,117.93,118.24,116.08,117.16,12973707
2005-02-23,117.52,118.83,117.5,117.62,5579755
2005-02-24,117.41,117.41,116.19,117.16,6130760
2005-02-25,116.69,119.94,116.69,119.02,5997252
2005-02-28,119.2,119.2,116.73,117.19,9021032
2005-03-01,116.96,116.96,115.8,115.93,3365087
2005-03-02,115.67,115.67,113.97,114.02,4932528
2005-03-03,113.62,114.91,113.62,113.93,13059644
2005-03-04,113.41,113.91,111.57,112.51,17004500
2005-03-07,113.09,113.74,111.7,111.87,4264583
2005-03-08,112.02,112.02,110.53,110.55,8700808
2005-03-09,110.71,112.57,110.71,111.89,7503152
2005-03-10,111.49,112.81,111.49,112.01,31347227
2005-03-11,111.74,112.49,111.74,111.79,6629098
2005-03-14,112.21,112.25,110.68,110.95,6128801
2005-03-15,111.25,111.25,109.89,110.08,11130915
2005-03-16,110.08,111.5,109.94,110.91,22506258
2005-03-17,110.84,110.84,109.11,110.03,6152650
2005-03-18,110.18,110.79,109.74,110.46,5297111
2005-03-21,110.47,112.87,110.47,112.19,6546155
2005-03-22,111.87,115.43,111.87,115.42,13544700
2005-03-23,115.88,115.88,113.48,114.14,8628536
2005-03-24,114.45,115.08,114.39,114.56,9106838
2005-03-25,114.67,115.58,114.67,115.37,8216681
2005-03-28,115.26,115.26,112.17,113.01,13051743
2005-03-29,113.4,115.22,113.4,114.1,5324414
2005-03-30,113.89,115.29,113.89,114.87,5914042
2005-03-31,114.5,114.58,113.95,113.99,27153608
2005-04-01,114.14,114.14,113.08,113.56,3921805
2005-04-04,113.41,114.52,113.41,113.75,6444955
2005-04-05,113.46,113.46,111.9,112.26,9346866
2005-04-06,112.7,112.7,109.45,110.64,21146477
2005-04-07,110.08,112.52,110.08,112.24,10679913
2005-04-08,112.16,112.82,111.2,112.02,11637139
2005-04-11,112.08,112.9,111.19,111.7,19496304
2005-04-12,111.58,114.77,111.58,114.55,7626987
2005-04-13,114.5,114.5,112.72,112.95,12846880
2005-04-14,113.49,113.49,112.78,112.9,12590289
2005-04-15,112.86,113.11,112.37,112.62,5016337
2005-04-18,112.73,112.81,112.11,112.34,7363534
2005-04-19,112.28,112.28,109.87,110.38,6001912
2005-04-20,110.74,110.74,108.53,109.05,11829114
2005-04-21,109.31,109.73,108.67,109.23,3636752
2005-04-22,109.05,110.39,109.05,109.45,1925515
2005-04-25,109.35,111.13,109.35,110.77,13460152
2005-04-26,110.71,110.71,109.62,109.86,5497985
2005-04-27,109.59,110.25,109.59,109.79,11308676
2005-04-28,109.72,110.74,109.72,110.0,19768795
2005-04-29,110.24,110.46,110.01,110.46,22512779
2005-05-02,110.92,114.59,110.92,113.94,7253362
2005-05-03,113.87,113.87,110.81,111.53,10147473
2005-05-04,111.47,111.47,110.09,110.17,10636708
2005-05-05,109.41,110.3,109.3,109.81,2153995
2005-05-06,109.95,110.17,109.51,110.03,15977067
2005-05-09,110.29,110.99,109.81,110.43,4556392
2005-05-10,110.77,110.77,109.13,109.89,15127778
2005-05-11,109.92,111.61,109.92,111.51,4717394
2005-05-12,111.19,113.3,111.19,113.17,16208193
2005-05-13,113.15,113.15,111.73,112.06,18902030
2005-05-16,111.93,111.93,110.62,111.03,5852811
2005-05-17,110.91,112.98,110.91,112.68,5839352
2005-05-18,112.48,114.58,112.48,113.2,5543860
2005-05-19,113.01,113.01,111.18,111.3,10665449
2005-05-20,111.48,112.54,111.48,112.37,12035207
2005-05-23,112.94,113.83,112.73,113.62,15046239
2005-05-24,114.12,114.12,112.95,112.97,7143917
2005-05-25,113.02,113.99,112.95,113.09,4700268
2005-05-26,112.73,113.25,112.73,112.93,4959885
2005-05-27,112.88,112.88,111.24,111.8,9591329
2005-05-30,112.43,113.85,112.43,113.0,10889513
2005-05-31,113.17,113.86,112.26,112.51,4819803
2005-06-01,112.34,113.59,112.34,113.14,28678290
2005-06-02,113.08,113.08,112.29,112.39,7297168
2005-06-03,112.75,113.67,112.75,113.31,4442329
2005-06-06,113.4,114.0,113.29,113.44,5239964
2005-06-07,113.28,113.28,111.38,111.78,10005724
2005-06-08,111.6,112.01,110.8,111.42,15995436
2005-06-09,111.54,114.39,111.54,113.93,14980950
2005-06-10,114.06,115.04,114.06,114.93,4700716
2005-06-13,115.2,115.2,112.66,112.86,15359509
2005-06-14,112.9,112.9,111.14,111.83,6458020
2005-06-15,111.46,112.83,111.46,112.83,3828791
2005-06-16,112.64,112.93,112.64,112.9,3802497
2005-06-17,112.58,112.58,111.5,112.36,11346958
2005-06-20,112.56,112.56,110.99,111.71,7956601
2005-06-21,111.32,113.58,111.32,113.24,5539813
2005-06-22,112.84,113.05,112.54,112.62,3614882
2005-06-23,113.45,114.45,112.93,114.13,25326088
2005-06-24,113.95,114.2,113.33,113.55,13513931
2005-06-27,113.47,113.47,112.31,112.49,7199401
2005-06-28,112.12,112.12,110.62,111.28,5407269
2005-06-29,111.5,111.5,108.32,108.39,18879426
2005-06-30,108.54,109.33,108.54,109.16,8592753
2005-07-01,109.47,109.47,108.51,108.81,5730122
2005-07-04,108.64,108.64,107.42,107.45,9889332
2005-07-05,108.12,108.12,105.72,106.41,4010653
2005-07-06,106.33,106.33,105.24,105.32,10201418
2005-07-07,105.54,106.19,105.49,105.94,7130055
2005-07-08,106.28,108.29,106.28,107.4,14822857
2005-07-11,107.62,107.62,106.28,106.5,12245712
2005-07-12,106.63,106.63,105.8,106.13,4390092
2005-07-13,106.03,106.03,104.96,104.99,7085870
2005-07-14,104.94,105.69,104.94,105.5,12601509
2005-07-15,106.07,106.07,103.73,103.95,9698541
2005-07-18,103.54,105.2,103.54,104.75,21121998
2005-07-19,104.35,104.39,103.88,103.93,12306641
2005-07-20,103.05,104.8,103.05,104.21,9084450
