date,open,high,low,close,volume
2005-01-03,46.62,47.36,46.62,47.01,14584665
2005-01-04,47.2,48.05,47.2,48.0,7310910
2005-01-05,48.38,49.35,48.38,49.2,5060260
2005-01-06,49.12,49.28,48.65,49.04,13195607
2005-01-07,49.01,49.63,49.01,49.31,7926503
2005-01-10,49.47,50.47,49.46,49.61,12505598
2005-01-11,49.94,49.94,48.42,49.31,14878599
2005-01-12,49.13,49.8,49.13,49.26,6656905
2005-01-13,49.51,49.86,49.51,49.61,11930879
2005-01-14,49.92,51.05,49.92,50.69,12973936
2005-01-17,50.76,51.52,50.43,50.74,9129541
2005-01-18,50.77,52.05,50.53,51.18,5023465
2005-01-19,51.43,51.43,50.45,50.68,6521927
2005-01-20,50.74,50.74,50.26,50.35,16334013
2005-01-21,50.79,51.32,50.76,50.92,29435725
2005-01-24,51.03,51.64,50.92,50.95,4762898
2005-01-25,51.07,51.07,50.1,50.2,10852163
2005-01-26,50.08,50.08,49.71,49.79,6251960
2005-01-27,49.76,49.76,48.74,48.79,8246021
2005-01-28,48.87,50.64,48.87,50.37,9934351
2005-01-31,50.61,51.6,50.61,51.18,5157114
2005-02-01,50.68,50.68,50.36,50.48,4233156
2005-02-02,50.36,52.83,50.36,52.57,4382125
2005-02-03,53.11,53.11,51.24,51.46,10085729
2005-02-04,51.44,51.44,51.23,51.3,16766593
2005-02-07,51.17,51.63,51.17,51.51,7025633
2005-02-08,51.46,51.46,50.01,50.63,3738416
2005-02-09,50.63,51.0,50.22,50.97,8076488
2005-02-10,51.01,51.85,51.01,51.72,24298193
2005-02-11,51.55,52.8,51.55,52.43,8644122
2005-02-14,52.35,53.42,52.35,53.18,6593135
2005-02-15,52.82,53.64,52.82,53.47,7262803
2005-02-16,53.6,54.36,53.6,53.81,11125659
2005-02-17,53.74,55.74,53.74,55.51,20216135
2005-02-18,55.54,55.59,54.65,55.43,5654949
2005-02-21,55.26,55.26,53.34,53.42,12079763
2005-02-22,53.52,54.8,53.52,54.04,8848219
2005-02-23,54.4,56.37,54.4,55.99,11541598
2005-02-24,56.08,56.08,54.84,55.02,10320560
2005-02-25,55.15,56.81,55.15,55.81,10346718
2005-02-28,55.63,55.7,55.6,55.63,5581199
2005-03-01,55.77,57.32,55.77,57.31,15571790
2005-03-02,56.86,57.57,56.35,56.73,11213734
2005-03-03,56.31,57.06,56.22,56.36,7483343
2005-03-04,56.35,56.35,55.23,55.26,36766128
2005-03-07,55.2,56.98,55.2,56.74,11129249
2005-03-08,57.03,57.03,55.53,55.8,3772374
2005-03-09,55.69,56.32,55.66,55.81,6224730
2005-03-10,55.73,58.03,55.73,57.89,9439837
2005-03-11,58.17,59.22,58.17,58.58,7641712
2005-03-14,58.64,60.06,58.64,59.74,8591300
2005-03-15,59.55,59.55,57.92,58.02,11903479
2005-03-16,58.18,58.92,58.18,58.67,4639393
2005-03-17,58.58,59.21,58.53,58.72,4121798
2005-03-18,58.72,59.91,58.72,59.78,7740112
2005-03-21,60.05,60.36,59.5,59.82,13244431
2005-03-22,59.28,60.24,59.28,59.69,41037503
2005-03-23,59.67,60.91,59.67,60.59,17078320
2005-03-24,60.64,61.76,60.64,61.28,4230102
2005-03-25,61.67,61.67,60.04,60.58,5888355
2005-03-28,60.44,61.01,60.44,60.92,5968617
2005-03-29,60.99,62.7,60.99,62.27,12159828
2005-03-30,62.04,63.68,62.04,63.01,8603500
2005-03-31,63.1,63.1,60.78,61.89,6003738
2005-04-01,62.13,62.13,60.44,60.64,12502748
2005-04-04,60.69,61.33,59.82,60.49,3548988
2005-04-05,60.65,61.54,60.62,61.03,9656696
2005-04-06,61.09,61.09,59.84,60.44,16529901
2005-04-07,60.44,61.94,60.44,61.47,12898295
2005-04-08,61.41,61.52,61.0,61.14,5062724
2005-04-11,61.57,62.11,61.57,61.83,7953002
2005-04-12,61.51,61.51,59.79,60.54,10687607
2005-04-13,60.65,62.9,60.65,62.54,7818465
2005-04-14,62.34,63.29,61.9,61.98,30647207
2005-04-15,62.53,62.53,60.77,61.1,8688824
2005-04-18,60.74,61.45,60.74,61.04,11467443
2005-04-19,60.93,60.93,58.76,59.65,5391431
2005-04-20,59.43,59.56,59.25,59.43,7954331
2005-04-21,59.58,60.02,58.74,59.31,7474381
2005-04-22,59.43,59.43,58.64,58.77,12888838
2005-04-25,58.72,59.91,58.72,59.84,3104854
2005-04-26,59.8,60.31,59.67,60.09,8776349
2005-04-27,60.16,61.58,59.87,60.58,4518810
2005-04-28,60.86,60.86,59.25,60.16,10198648
