date,open,high,low,close,volume
2005-01-03,145.03,147.44,145.02,145.99,16754756
2005-01-04,144.99,149.06,144.99,146.73,5120707
2005-01-05,146.79,146.79,143.04,145.13,9422906
2005-01-06,145.25,145.25,144.3,145.21,5253906
2005-01-07,146.24,146.24,145.2,145.53,9551039
2005-01-10,144.74,148.39,144.74,148.23,11091722
2005-01-11,147.86,152.03,147.86,151.98,6349396
2005-01-12,152.21,152.21,150.89,151.67,9607993
2005-01-13,151.56,151.56,147.96,150.05,21015806
2005-01-14,150.3,150.3,145.76,147.83,8134335
2005-01-17,147.12,147.42,146.63,147.18,11639323
2005-01-18,147.28,147.9,147.26,147.64,4496903
2005-01-19,148.29,148.29,145.99,146.33,7032072
2005-01-20,146.37,148.4,146.24,147.65,11332326
2005-01-21,147.33,147.33,144.94,145.18,7230666
2005-01-24,144.77,147.23,144.77,146.15,8208403
2005-01-25,146.13,146.13,144.87,145.43,12283679
2005-01-26,145.36,148.32,145.36,146.83,2590718
2005-01-27,148.36,148.36,142.7,144.21,4981058
2005-01-28,144.33,149.07,144.33,147.05,7464781
2005-01-31,147.03,150.76,147.03,150.12,7448699
2005-02-01,151.13,152.29,147.84,151.16,6045584
2005-02-02,150.61,150.61,146.25,147.51,11807561
2005-02-03,148.12,148.12,144.96,146.23,14790967
2005-02-04,144.91,146.36,144.74,145.02,15028046
2005-02-07,146.0,146.0,140.85,141.64,6450987
2005-02-08,141.28,141.28,137.85,140.12,6232801
2005-02-09,140.22,140.22,137.71,138.11,5768387
2005-02-10,138.66,140.27,138.66,139.8,4736265
2005-02-11,139.45,144.26,139.45,144.14,13381070
2005-02-14,144.32,144.54,143.86,144.17,14282309
2005-02-15,144.74,144.74,142.71,143.5,5856014
2005-02-16,143.63,145.54,142.76,144.14,9401211
2005-02-17,143.9,143.9,141.78,142.36,6533604
2005-02-18,141.99,141.99,138.98,139.2,3488306
2005-02-21,139.2,139.41,137.45,138.93,8141841
2005-02-22,139.44,140.71,137.89,139.49,4947629
2005-02-23,139.25,139.25,136.19,136.95,7393066
2005-02-24,137.08,137.08,132.16,133.48,12867100
2005-02-25,133.7,137.73,133.7,135.76,10410463
2005-02-28,136.16,137.41,134.76,136.08,5958298
2005-03-01,136.4,136.58,135.61,136.57,13460545
2005-03-02,136.96,136.96,132.39,133.31,4988844
2005-03-03,132.72,132.72,129.54,130.39,16232466
2005-03-04,130.12,130.12,128.57,129.6,8312297
2005-03-07,129.65,129.65,126.45,127.51,3979451
2005-03-08,127.98,128.39,126.67,126.92,17417627
2005-03-09,126.73,126.73,125.8,126.16,14418044
2005-03-10,125.89,130.06,125.89,128.78,6855074
2005-03-11,128.84,131.75,128.84,129.59,4804091
2005-03-14,130.17,134.41,130.17,134.4,14323342
2005-03-15,134.57,134.57,132.89,133.58,11400782
2005-03-16,134.01,136.61,134.01,135.7,10769458
2005-03-17,135.28,137.21,135.08,136.26,4612857
2005-03-18,136.94,140.22,136.94,139.34,13137543
2005-03-21,139.38,140.6,138.62,138.76,6366616
2005-03-22,138.3,138.41,136.0,137.43,10907756
2005-03-23,137.31,139.02,137.31,138.77,6118248
2005-03-24,139.11,140.49,137.18,138.77,3766058
2005-03-25,139.34,141.22,139.34,139.75,12904058
2005-03-28,139.55,143.87,139.55,142.08,6679655
2005-03-29,141.77,144.13,141.77,143.8,6799075
2005-03-30,143.78,147.34,143.78,146.7,13200843
2005-03-31,147.16,147.16,144.64,145.94,6226556
2005-04-01,146.05,148.55,146.05,148.15,5923964
2005-04-04,147.91,149.22,147.62,149.16,9048957
2005-04-05,150.0,152.93,150.0,151.82,7369914
2005-04-06,152.08,153.45,151.94,152.92,13460818
2005-04-07,153.07,156.61,153.07,155.08,9728030
2005-04-08,154.91,156.02,154.81,155.76,14384885
2005-04-11,156.31,156.31,153.32,154.87,3703247
2005-04-12,153.87,156.17,153.87,155.63,6443321
2005-04-13,156.26,159.53,155.82,157.09,4289263
2005-04-14,157.76,158.15,156.34,157.24,23790500
2005-04-15,156.93,157.66,156.93,157.32,9111788
2005-04-18,157.17,158.92,157.17,158.64,11589816
2005-04-19,158.36,158.36,155.3,156.15,7703942
2005-04-20,156.22,163.11,156.22,161.8,5512251
2005-04-21,162.16,162.16,156.35,156.93,11161177
