date,open,high,low,close,volume
2005-01-03,88.23,88.45,87.97,88.09,12248533
2005-01-04,88.46,88.46,87.55,88.18,5009750
2005-01-05,88.4,88.4,86.09,86.19,5064265
2005-01-06,86.51,87.02,86.3,86.42,16642415
2005-01-07,86.26,87.25,86.26,87.11,15636480
2005-01-10,87.11,87.57,86.49,86.68,26535693
2005-01-11,86.82,88.92,86.82,88.66,19528831
2005-01-12,88.7,88.7,87.79,88.18,13107169
2005-01-13,88.16,88.16,86.25,86.67,11089089
2005-01-14,87.21,87.21,86.54,86.64,14665445
2005-01-17,86.92,87.69,86.57,86.96,10355672
2005-01-18,86.87,86.87,85.11,85.26,7217432
2005-01-19,85.17,86.37,85.17,86.22,4989137
2005-01-20,86.53,87.1,86.53,86.75,9589331
2005-01-21,87.25,87.25,86.62,86.88,11187245
2005-01-24,86.74,86.74,85.06,85.39,25672936
2005-01-25,85.39,90.39,85.39,89.17,11817635
2005-01-26,88.89,89.28,88.27,88.57,6436820
2005-01-27,88.35,89.31,87.86,88.7,4137955
2005-01-28,88.37,89.24,88.11,88.41,15426355
2005-01-31,88.69,89.6,87.74,88.43,12533139
2005-02-01,88.52,88.55,86.63,87.86,12051215
2005-02-02,87.5,87.98,85.18,86.23,17795631
2005-02-03,86.76,86.76,84.65,85.71,11264798
2005-02-04,85.22,86.7,85.22,86.58,10924957
2005-02-07,85.98,85.98,84.85,85.6,10945349
2005-02-08,85.33,85.33,83.6,84.4,14665140
2005-02-09,84.01,85.25,84.01,84.45,6446498
2005-02-10,84.3,86.26,84.3,85.95,12879537
2005-02-11,86.28,86.98,86.21,86.86,11252100
2005-02-14,86.68,87.38,86.6,87.09,8512113
2005-02-15,86.58,87.61,86.43,87.5,5373658
2005-02-16,87.56,90.13,87.56,89.89,4816764
2005-02-17,89.5,89.5,88.78,88.93,9294025
2005-02-18,88.69,89.27,88.69,89.05,9378566
2005-02-21,89.25,90.17,88.74,89.21,12485163
2005-02-22,89.23,89.23,87.5,87.87,7580745
2005-02-23,87.4,91.27,87.4,90.15,16051652
2005-02-24,90.25,91.91,90.25,91.53,8143761
2005-02-25,91.6,92.47,91.6,92.32,15353033
2005-02-28,92.47,93.35,92.47,93.0,7597900
2005-03-01,93.09,93.09,91.92,92.06,12104851
2005-03-02,91.81,93.56,91.81,93.51,8186311
2005-03-03,93.84,93.84,92.47,92.87,6801761
2005-03-04,92.98,94.77,92.98,94.48,4609443
2005-03-07,94.2,94.2,92.81,93.14,9465033
2005-03-08,93.04,94.04,92.67,93.22,7443752
2005-03-09,93.34,93.99,92.42,93.04,9392583
2005-03-10,92.57,94.39,92.57,93.53,9331733
2005-03-11,93.86,94.52,93.86,94.43,6118675
2005-03-14,94.28,94.44,93.77,94.24,10663416
2005-03-15,94.33,94.33,93.04,93.63,10853977
2005-03-16,93.45,93.45,93.06,93.36,4280777
2005-03-17,93.15,93.15,90.38,90.42,13461492
2005-03-18,90.52,93.16,90.52,92.85,5906883
2005-03-21,93.25,95.41,93.25,94.53,6381412
2005-03-22,94.61,94.61,93.94,93.99,2478081
2005-03-23,94.08,94.83,93.63,94.03,12885285
2005-03-24,94.69,95.84,94.69,95.1,11389937
2005-03-25,94.8,94.8,93.51,93.96,3708186
2005-03-28,94.08,94.62,93.66,94.42,3952013
2005-03-29,93.98,93.98,93.16,93.41,6571484
2005-03-30,93.54,93.54,91.09,91.55,16358833
2005-03-31,91.74,92.09,91.61,91.91,26411692
2005-04-01,92.15,92.15,90.13,90.24,4422725
2005-04-04,90.66,91.26,90.18,90.66,8695838
2005-04-05,90.92,90.92,89.37,89.5,8961205
2005-04-06,89.69,89.89,88.87,89.57,13079999
2005-04-07,90.26,90.48,89.74,89.82,10398993
2005-04-08,89.91,89.91,87.54,87.99,10583936
2005-04-11,88.29,88.29,87.1,87.32,8102969
2005-04-12,87.22,89.64,87.22,88.69,15945265
2005-04-13,89.1,89.1,85.73,86.3,14227783
2005-04-14,85.54,89.1,85.54,87.46,11689759
2005-04-15,87.21,88.7,87.21,88.32,9874338
2005-04-18,88.17,88.18,87.63,88.07,6122975
2005-04-19,87.9,88.51,87.9,88.07,10132774
2005-04-20,88.05,89.89,88.0,88.33,8516939
2005-04-21,88.02,89.7,88.02,89.68,5876347
2005-04-22,89.89,90.58,89.89,90.51,7907688
2005-04-25,91.01,92.94,91.01,92.18,9967919
2005-04-26,91.6,93.13,91.46,92.16,4966708
2005-04-27,91.77,94.51,91.77,93.34,19023192
2005-04-28,93.4,95.19,93.4,94.48,6309362
2005-04-29,94.64,94.64,93.54,94.04,6686698
