date,open,high,low,close,volume
2005-01-03,81.66,82.09,79.45,79.78,7011240
2005-01-04,79.48,79.72,77.37,78.62,9707673
2005-01-05,78.34,78.34,76.95,77.76,8492550
2005-01-06,78.58,78.58,75.96,76.42,7281994
2005-01-07,76.68,76.68,73.89,74.79,15703944
2005-01-10,75.04,75.89,74.46,74.96,5106531
2005-01-11,74.72,77.34,74.72,76.73,7927673
2005-01-12,76.73,79.13,76.73,78.3,8521134
2005-01-13,78.22,78.6,77.85,78.23,10302566
2005-01-14,77.99,78.45,74.0,77.48,9377697
2005-01-17,77.34,77.34,74.96,75.44,12202032
2005-01-18,75.53,77.7,75.53,77.63,11629762
2005-01-19,77.93,79.82,77.93,79.16,11104939
2005-01-20,80.0,80.0,77.59,77.7,3793330
2005-01-21,77.46,77.46,74.43,75.86,10156702
2005-01-24,75.31,77.38,75.31,76.58,5532604
2005-01-25,76.54,76.54,74.48,74.98,23029753
2005-01-26,75.13,76.21,74.25,75.09,9271213
2005-01-27,75.07,75.07,72.56,73.29,5536516
2005-01-28,72.87,76.31,72.87,74.54,6728285
2005-01-31,75.01,75.01,72.08,73.22,17061454
2005-02-01,73.35,76.36,73.35,74.64,5544127
2005-02-02,74.07,78.39,74.07,76.77,9997579
2005-02-03,76.71,77.38,75.03,76.12,3541358
2005-02-04,76.03,77.74,75.84,76.93,11684254
2005-02-07,77.19,79.43,77.19,78.79,5278649
2005-02-08,78.51,78.51,75.16,76.64,5141375
2005-02-09,76.01,77.65,76.01,77.45,5351000
2005-02-10,77.69,77.69,73.84,74.35,2232605
2005-02-11,74.3,77.65,74.3,76.65,7757337
2005-02-14,77.17,77.92,75.74,76.16,13811288
2005-02-15,75.82,76.41,75.49,76.23,11522058
2005-02-16,76.45,79.55,76.45,78.41,20840770
2005-02-17,78.83,81.72,78.83,80.61,7553706
2005-02-18,81.12,81.12,79.6,79.62,9278468
2005-02-21,79.51,82.06,79.51,81.5,11471688
2005-02-22,81.79,81.79,79.88,80.24,8002681
2005-02-23,81.13,81.13,78.52,79.58,8834988
2005-02-24,79.44,79.48,77.47,78.46,22216524
2005-02-25,78.33,79.0,78.33,78.94,5648552
2005-02-28,78.7,79.38,77.8,79.15,7022754
2005-03-01,79.63,85.62,79.63,84.12,26199505
2005-03-02,83.93,85.93,83.93,85.42,15075420
2005-03-03,85.29,85.29,83.36,83.86,5685207
2005-03-04,84.03,84.03,80.0,81.39,12850229
2005-03-07,81.4,81.4,77.22,78.77,4688835
2005-03-08,78.33,79.14,76.91,78.2,16240457
2005-03-09,78.66,79.89,78.66,79.48,5063417
2005-03-10,79.0,79.0,77.08,78.54,11421387
2005-03-11,78.35,78.35,75.38,76.69,5884858
2005-03-14,76.09,78.94,76.09,78.76,7798213
2005-03-15,78.54,79.88,78.54,79.7,7939871
2005-03-16,79.39,81.67,79.39,81.01,6278886
2005-03-17,81.42,81.42,79.38,80.28,8197628
2005-03-18,80.32,83.9,80.32,82.85,9412079
2005-03-21,83.2,83.2,81.32,82.3,26485593
2005-03-22,82.74,83.22,81.69,82.28,6638766
2005-03-23,82.82,82.82,80.52,80.72,6686004
2005-03-24,81.36,82.33,80.57,81.67,4618643
2005-03-25,82.21,84.82,82.21,83.93,12999320
2005-03-28,83.19,83.19,80.54,82.29,22903194
2005-03-29,82.41,82.41,78.94,79.86,7744691
2005-03-30,80.34,80.93,79.73,80.1,17573775
2005-03-31,80.61,80.61,79.52,80.07,3963338
2005-04-01,79.48,79.48,75.97,76.7,4781687
2005-04-04,77.29,78.68,77.29,77.68,6161357
2005-04-05,77.51,77.8,77.22,77.69,11508459
2005-04-06,78.03,78.03,75.22,76.4,5275059
2005-04-07,75.97,78.47,75.97,77.71,5850101
2005-04-08,76.54,79.22,76.54,78.61,13861598
2005-04-11,78.96,79.89,78.34,79.25,6711831
2005-04-12,78.71,81.91,78.71,81.48,10292531
2005-04-13,81.72,82.6,81.49,82.59,24052908
2005-04-14,82.72,82.72,79.28,81.67,5655839
2005-04-15,82.2,82.2,80.82,81.85,10466795
2005-04-18,81.54,81.85,79.38,81.34,4786213
2005-04-19,81.22,81.22,78.05,79.66,10578116
2005-04-20,79.26,85.16,79.26,84.81,4916867
2005-04-21,83.74,88.25,83.74,87.83,19993160
2005-04-22,87.41,89.07,87.41,88.2,8664188
2005-04-25,86.82,90.97,86.82,89.7,12270995
2005-04-26,89.73,89.73,85.37,86.71,9923697
2005-04-27,85.87,88.39,85.87,87.56,11571093
2005-04-28,86.8,87.03,84.77,86.37,8779179
2005-04-29,87.25,87.51,86.67,87.05,9543241
2005-05-02,86.24,88.24,85.74,87.56,11561963
2005-05-03,87.93,88.32,87.12,88.22,11543580
2005-05-04,88.12,89.11,87.36,88.57,8330974
2005-05-05,89.13,89.13,87.3,87.77,2154864
2005-05-06,86.76,87.1,86.76,87.05,10948393
