date,open,high,low,close,volume
2005-01-03,127.21,127.26,125.31,126.51,11281396
2005-01-04,127.01,127.27,125.11,125.95,18846557
2005-01-05,125.22,130.1,125.22,129.73,11334273
2005-01-06,129.27,129.27,125.62,126.14,14169593
2005-01-07,126.39,126.39,122.5,122.79,11939766
2005-01-10,123.1,123.1,118.8,120.73,13303481
2005-01-11,120.79,125.96,120.79,125.11,12667083
2005-01-12,125.22,126.48,124.67,125.04,8915407
2005-01-13,124.45,125.57,124.45,125.55,9459814
2005-01-14,125.42,125.42,121.93,122.33,6282408
2005-01-17,122.05,122.85,120.97,122.15,4897213
2005-01-18,122.14,122.14,119.65,120.98,6662352
2005-01-19,121.34,121.34,117.26,119.0,11575796
2005-01-20,118.72,120.76,118.72,119.41,8254011
2005-01-21,119.34,119.34,117.22,117.57,9022476
2005-01-24,117.5,119.09,117.5,118.14,6018164
2005-01-25,117.64,119.04,117.64,118.4,10503423
2005-01-26,118.01,119.75,118.01,118.91,3892664
2005-01-27,118.74,119.3,116.49,118.49,8370366
2005-01-28,118.35,121.35,118.35,120.87,10727600
2005-01-31,120.85,123.49,120.85,122.0,14579663
2005-02-01,121.75,123.76,121.75,123.69,7068327
2005-02-02,123.87,124.98,123.44,124.22,12439746
2005-02-03,123.56,126.01,123.56,124.22,4212041
2005-02-04,125.01,125.01,123.11,124.47,4343402
2005-02-07,124.48,127.0,124.48,125.48,7274377
2005-02-08,125.35,125.35,122.15,123.47,13909122
2005-02-09,124.55,125.25,123.71,124.52,7928373
2005-02-10,124.91,125.26,124.22,124.69,7838727
2005-02-11,125.1,127.95,125.1,127.53,6181931
2005-02-14,127.32,127.95,126.82,127.7,2909236
2005-02-15,128.19,129.63,126.66,128.21,21757135
2005-02-16,128.78,128.78,126.71,126.86,7786318
2005-02-17,127.25,127.45,126.28,127.14,3269341
2005-02-18,127.28,128.22,127.28,127.7,8370603
2005-02-21,128.17,128.22,127.24,127.38,9568308
2005-02-22,127.07,127.67,125.31,126.53,8963305
2005-02-23,125.54,127.44,125.54,126.72,9309393
2005-02-24,127.19,127.19,125.87,125.92,15616255
2005-02-25,125.48,125.48,122.72,123.59,6904172
2005-02-28,123.08,125.09,123.08,124.7,5276735
2005-03-01,124.51,125.83,124.51,125.34,6735114
2005-03-02,124.87,125.69,123.64,125.21,15489921
2005-03-03,125.09,126.94,125.09,125.64,17048969
2005-03-04,125.54,128.82,125.54,128.14,5335673
2005-03-07,128.18,133.08,128.18,130.6,6372342
2005-03-08,130.44,130.44,127.94,128.35,8295908
2005-03-09,128.29,128.29,126.01,126.49,7281736
2005-03-10,126.17,127.7,126.17,126.77,16436821
2005-03-11,126.87,130.98,126.87,129.82,4281913
2005-03-14,130.19,130.19,128.04,129.42,6205952
2005-03-15,129.58,129.58,126.31,126.71,4976448
2005-03-16,127.29,127.29,125.55,125.59,8806457
2005-03-17,125.01,131.89,125.01,131.09,9670093
2005-03-18,131.27,134.52,131.27,133.79,4642471
2005-03-21,134.15,134.15,132.69,133.44,7666228
2005-03-22,133.42,135.29,132.37,133.6,12652279
2005-03-23,134.17,135.1,133.75,134.45,6611615
2005-03-24,133.77,134.43,133.77,134.0,5422585
2005-03-25,134.5,134.5,132.18,132.94,12066141
2005-03-28,132.2,134.88,132.2,134.13,14841839
2005-03-29,134.29,135.59,134.0,134.91,8435505
2005-03-30,134.45,134.45,131.95,132.83,13279716
2005-03-31,132.36,133.55,132.36,133.37,16111332
2005-04-01,133.91,134.91,133.91,134.79,3184937
2005-04-04,134.99,135.89,132.16,134.93,14336768
2005-04-05,134.72,134.72,133.39,133.85,6956038
2005-04-06,134.0,136.9,134.0,136.18,15866772
2005-04-07,135.99,136.58,134.91,135.4,8199758
2005-04-08,134.91,134.94,133.98,134.1,8849733
2005-04-11,134.43,135.47,133.4,134.36,9744938
2005-04-12,134.63,134.63,133.58,134.24,22001339
2005-04-13,133.73,136.2,133.73,135.86,4141507
2005-04-14,135.84,135.84,130.59,131.15,5945579
2005-04-15,130.46,133.01,130.46,132.24,19230064
2005-04-18,132.12,136.7,132.12,136.12,14823934
2005-04-19,135.86,135.86,130.6,133.39,3416586
2005-04-20,133.28,133.3,132.43,132.59,7083543
2005-04-21,132.04,132.39,131.55,132.02,12769372
2005-04-22,131.82,134.63,131.82,134.53,15055908
2005-04-25,135.15,136.65,135.15,136.26,28023926
2005-04-26,136.63,138.57,136.63,138.23,5499192
2005-04-27,137.65,137.65,135.14,135.61,3210018
2005-04-28,136.34,136.86,135.05,136.24,5700016
2005-04-29,136.45,136.45,132.59,134.65,7876729
2005-05-02,134.72,136.69,134.72,136.57,10921586
2005-05-03,136.85,138.11,136.85,137.9,20731401
2005-05-04,138.06,141.25,138.06,139.59,8066594
2005-05-05,139.28,139.28,136.48,137.0,2524205
2005-05-06,137.27,137.27,134.88,135.19,8827845
2005-05-09,134.54,136.84,134.54,136.71,4732812
2005-05-10,136.5,142.46,136.5,140.92,10541846
2005-05-11,140.34,144.54,140.34,142.78,18844804
2005-05-12,142.69,142.69,140.8,141.82,8930118
2005-05-13,141.77,145.54,141.77,145.16,5029881
2005-05-16,144.65,147.76,144.65,147.14,4277693
2005-05-17,146.62,147.7,145.91,146.13,30338001
2005-05-18,146.09,149.01,146.09,148.36,16784137
2005-05-19,148.53,148.53,140.86,141.0,12315652
2005-05-20,141.18,141.47,140.15,140.95,10685032
2005-05-23,141.14,143.58,141.14,143.1,10173932
2005-05-24,142.85,142.85,139.94,141.35,9548611
2005-05-25,140.72,142.96,139.94,141.01,7411181
2005-05-26,141.04,141.04,139.3,140.27,13578209
2005-05-27,140.09,140.09,138.98,139.41,15369820
2005-05-30,139.27,139.34,137.55,137.79,3873742
2005-05-31,138.07,139.4,137.02,138.24,6012289
2005-06-01,138.87,139.72,137.65,138.35,16919976
2005-06-02,137.92,140.29,137.92,140.06,8238627
2005-06-03,140.05,143.94,140.05,142.06,5540869
2005-06-06,141.77,144.11,141.77,143.56,4362202
2005-06-07,143.59,143.59,143.15,143.39,13798390
2005-06-08,144.09,145.1,142.51,142.65,11168171
2005-06-09,142.56,142.56,141.55,141.95,5194268
2005-06-10,142.22,142.22,140.22,140.86,11932556
2005-06-13,140.11,140.62,139.67,139.91,8424718
2005-06-14,140.24,140.24,137.44,139.4,5955081
2005-06-15,139.39,139.39,137.9,138.49,6180360
2005-06-16,139.07,139.07,136.4,136.72,18220709
2005-06-17,137.02,139.98,137.02,138.75,10344771
2005-06-20,138.85,138.94,136.89,138.49,13087460
2005-06-21,138.43,142.63,138.43,141.74,23152836
2005-06-22,141.81,141.81,140.23,140.25,18080706
2005-06-23,140.45,144.01,140.45,143.42,5389873
2005-06-24,143.77,144.07,143.22,143.53,8608804
2005-06-27,142.93,143.6,141.6,142.06,7967272
