Date,open,high,low,close,volume,dividends,stock splits
1983-01-03,0.0,6.4375,6.125,6.125,266400.0,0.0,0.0
1983-01-04,0.0,6.25,6.0625,6.21875,186800.0,0.0,0.0
1983-01-05,0.0,6.21875,6.0625,6.09375,428800.0,0.0,0.0
1983-01-06,0.0,6.625,6.0625,6.53125,2500400.0,0.0,0.0
1983-01-07,0.0,6.875,6.53125,6.78125,884400.0,0.0,0.0
1983-01-10,0.0,6.96875,6.71875,6.9375,400000.0,0.0,0.0
1983-01-11,0.0,7.0,6.90625,6.96875,710400.0,0.0,0.0
1983-01-12,0.0,7.5,6.9375,7.25,945200.0,0.0,0.0
1983-01-13,0.0,7.375,7.21875,7.28125,506800.0,0.0,0.0
1983-01-14,0.0,8.0,7.5,8.0,1830800.0,0.0,0.0
1983-01-17,0.0,8.53125,8.1875,8.34375,1760800.0,0.0,0.0
1983-01-18,0.0,9.0,8.3125,8.90625,2094800.0,0.0,0.0
1983-01-19,0.0,8.96875,8.4375,8.6875,1423200.0,0.0,0.0
1983-01-20,0.0,8.90625,8.6875,8.875,630000.0,0.0,0.0
1983-01-21,0.0,8.75,8.5,8.5625,581200.0,0.0,0.0
1983-01-24,0.0,8.375,7.84375,7.96875,1315600.0,0.0,0.0
1983-01-25,0.0,8.5625,8.0625,8.34375,1105600.0,0.0,0.0
1983-01-26,0.0,8.5625,8.40625,8.53125,666800.0,0.0,0.0
1983-01-27,0.0,8.875,8.5625,8.78125,632400.0,0.0,0.0
1983-01-28,0.0,8.90625,8.65625,8.78125,444000.0,0.0,0.0
1983-01-31,0.0,9.0,8.6875,9.0,376000.0,0.0,0.0
1983-02-01,0.0,9.46875,9.0,9.0,613600.0,0.0,0.0
1983-02-02,0.0,8.9375,8.6875,8.75,1158800.0,0.0,0.0
1983-02-03,0.0,8.875,8.6875,8.875,623600.0,0.0,0.0
1983-02-04,0.0,9.5,8.875,9.5,852800.0,0.0,0.0
1983-02-07,0.0,9.59375,9.125,9.21875,734000.0,0.0,0.0
1983-02-08,0.0,9.25,8.6875,8.6875,861200.0,0.0,0.0
1983-02-09,0.0,8.75,8.1875,8.4375,711200.0,0.0,0.0
1983-02-10,0.0,8.8125,8.5625,8.75,510000.0,0.0,0.0
1983-02-11,0.0,8.96875,8.78125,8.78125,297200.0,0.0,0.0
1983-02-14,0.0,9.3125,8.84375,9.21875,451200.0,0.0,0.0
1983-02-15,0.0,9.5,9.1875,9.34375,849200.0,0.0,0.0
1983-02-16,0.0,9.375,9.0,9.0625,624800.0,0.0,0.0
1983-02-17,0.0,9.0625,8.65625,8.75,720800.0,0.0,0.0
1983-02-18,0.0,8.96875,8.8125,8.9375,581200.0,0.0,0.0
1983-02-22,0.0,9.03125,8.8125,8.875,301600.0,0.0,0.0
1983-02-23,0.0,9.4375,8.9375,9.4375,604000.0,0.0,0.0
1983-02-24,0.0,9.71875,9.375,9.6875,778400.0,0.0,0.0
1983-02-25,0.0,9.8125,9.3125,9.3125,768800.0,0.0,0.0
1983-02-28,0.0,9.3125,9.0625,9.125,462400.0,0.0,0.0
1983-03-01,0.0,9.28125,9.0,9.0625,421200.0,0.0,0.0
1983-03-02,0.0,9.0,8.5625,8.65625,1107600.0,0.0,0.0
1983-03-03,0.0,8.8125,8.625,8.65625,742400.0,0.0,0.0
