Date,open,high,low,close,volume,dividends,stock splits
1983-01-03,0.0,7.0625,6.75,6.75,468000.0,0.0,0.0
1983-01-04,0.0,6.9375,6.75,6.84375,361200.0,0.0,0.0
1983-01-05,0.0,6.84375,6.5,6.71875,405600.0,0.0,0.0
1983-01-06,0.0,7.03125,6.65625,7.0,428400.0,0.0,0.0
1983-01-07,0.0,7.15625,6.9375,6.9375,160400.0,0.0,0.0
1983-01-10,0.0,7.1875,6.78125,7.15625,169200.0,0.0,0.0
1983-01-11,0.0,7.125,6.96875,7.125,118800.0,0.0,0.0
1983-01-12,0.0,7.4375,7.0625,7.3125,212400.0,0.0,0.0
1983-01-13,0.0,7.25,7.0,7.125,48000.0,0.0,0.0
1983-01-14,0.0,7.21875,7.09375,7.15625,724400.0,0.0,0.0
1983-01-17,0.0,7.28125,7.125,7.1875,132800.0,0.0,0.0
1983-01-18,0.0,7.21875,7.0,7.125,68400.0,0.0,0.0
1983-01-19,0.0,7.1875,6.9375,6.9375,100400.0,0.0,0.0
1983-01-20,0.0,7.0625,6.875,7.0625,280000.0,0.0,0.0
1983-01-21,0.0,7.125,6.9375,7.03125,168000.0,0.0,0.0
1983-01-24,0.0,6.78125,6.5,6.78125,155600.0,0.0,0.0
1983-01-25,0.0,6.875,6.65625,6.875,348000.0,0.0,0.0
1983-01-26,0.0,6.875,6.71875,6.71875,312800.0,0.0,0.0
1983-01-27,0.0,6.9375,6.71875,6.875,353200.0,0.0,0.0
1983-01-28,0.0,7.25,7.0,7.1875,195600.0,0.0,0.0
1983-01-31,0.0,7.5,7.25,7.5,446000.0,0.0,0.0
1983-02-01,0.0,7.625,7.46875,7.53125,276400.0,0.0,0.0
1983-02-02,0.0,7.84375,7.46875,7.65625,292400.0,0.0,0.0
1983-02-03,0.0,7.875,7.65625,7.6875,112800.0,0.0,0.0
1983-02-04,0.0,7.9375,7.6875,7.9375,91200.0,0.0,0.0
1983-02-07,0.0,8.125,7.875,7.96875,163600.0,0.0,0.0
1983-02-08,0.0,8.0625,7.9375,7.9375,166400.0,0.0,0.0
1983-02-09,0.0,7.96875,7.78125,7.78125,120800.0,0.0,0.0
1983-02-10,0.0,7.96875,7.71875,7.875,108800.0,0.0,0.0
1983-02-11,0.0,7.875,7.78125,7.8125,183200.0,0.0,0.0
1983-02-14,0.0,7.9375,7.78125,7.9375,76400.0,0.0,0.0
1983-02-15,0.0,8.0,7.875,8.0,173200.0,0.0,0.0
1983-02-16,0.0,7.96875,7.78125,7.78125,112400.0,0.0,0.0
1983-02-17,0.0,7.78125,7.53125,7.6875,138000.0,0.0,0.0
1983-02-18,0.0,7.96875,7.78125,7.96875,123600.0,0.0,0.0
1983-02-22,0.0,8.0,7.90625,7.9375,79200.0,0.0,0.0
1983-02-23,0.0,7.90625,7.625,7.75,175600.0,0.0,0.0
1983-02-24,0.0,7.9375,7.6875,7.8125,158400.0,0.0,0.0
1983-02-25,0.0,7.90625,7.75,7.8125,160000.0,0.0,0.0
1983-02-28,0.0,7.84375,7.6875,7.75,136000.0,0.0,0.0
1983-03-01,0.0,7.78125,7.65625,7.75,208000.0,0.0,0.0
1983-03-02,0.0,7.75,7.625,7.65625,203600.0,0.0,0.0
1983-03-03,0.0,7.8125,7.65625,7.8125,107200.0,0.0,0.0
1983-03-04,0.0,8.0625,7.75,8.0625,173600.0,0.0,0.0
1983-03-07,0.0,8.09375,7.875,7.9375,204000.0,0.0,0.0
1983-03-08,0.0,7.875,7.5625,7.5625,168400.0,0.0,0.0
1983-03-09,0.0,7.625,7.3125,7.5625,329200.0,0.0,0.0
1983-03-10,0.0,7.65625,7.375,7.4375,295600.0,0.0,0.0
1983-03-11,0.0,7.46875,7.09375,7.1875,302800.0,0.0,0.0
1983-03-14,0.0,7.375,7.15625,7.34375,195600.0,0.0,0.0
1983-03-15,0.0,7.34375,7.125,7.1875,264800.0,0.0,0.0
1983-03-16,0.0,7.125,6.9375,7.0,186800.0,0.0,0.0
1983-03-17,0.0,7.15625,6.90625,7.15625,170000.0,0.0,0.0
1983-03-18,0.0,7.46875,7.25,7.46875,169200.0,0.0,0.0
1983-03-21,0.0,7.53125,7.40625,7.46875,256800.0,0.0,0.0
1983-03-22,0.0,7.53125,7.3125,7.3125,193600.0,0.0,0.0
1983-03-23,0.0,7.625,7.3125,7.59375,110400.0,0.0,0.0
1983-03-24,0.0,7.78125,7.59375,7.75,171600.0,0.0,0.0
1983-03-25,0.0,7.78125,7.65625,7.78125,104800.0,0.0,0.0
1983-03-28,0.0,7.78125,7.5625,7.5625,58800.0,0.0,0.0
1983-03-29,0.0,7.6875,7.5,7.53125,93600.0,0.0,0.0
1983-03-30,0.0,7.59375,7.53125,7.59375,162000.0,0.0,0.0
1983-03-31,0.0,7.5625,7.375,7.40625,176800.0,0.0,0.0
1983-04-04,0.0,7.375,7.09375,7.21875,177200.0,0.0,0.0
1983-04-05,0.0,7.46875,7.21875,7.375,140000.0,0.0,0.0
1983-04-06,7.375,7.4375,7.15625,7.15625,169200.0,0.0,0.0
1983-04-07,7.21875,7.25,7.125,7.125,46400.0,0.0,0.0
1983-04-08,7.21875,7.25,7.15625,7.25,148400.0,0.0,0.0
1983-04-11,7.4375,7.625,7.34375,7.625,138000.0,0.0,0.0
1983-04-12,7.625,7.875,7.625,7.875,109200.0,0.0,0.0
1983-04-13,7.9375,7.96875,7.90625,7.96875,95600.0,0.0,0.0
1983-04-14,7.90625,7.90625,7.75,7.8125,150400.0,0.0,0.0
1983-04-15,7.75,7.78125,7.5625,7.5625,216800.0,0.0,0.0
1983-04-18,7.5625,7.6875,7.46875,7.6875,190800.0,0.0,0.0
1983-04-19,7.6875,7.78125,7.59375,7.75,103600.0,0.0,0.0
1983-04-20,7.6875,7.78125,7.6875,7.75,161200.0,0.0,0.0
1983-04-21,7.78125,8.0,7.75,7.9375,323600.0,0.0,0.0
1983-04-22,7.90625,7.90625,7.6875,7.75,130000.0,0.0,0.0
1983-04-25,7.5625,7.6875,7.4375,7.4375,175200.0,0.0,0.0
1983-04-26,7.375,7.5,7.25,7.28125,170400.0,0.0,0.0
1983-04-27,7.1875,7.375,6.96875,7.03125,191600.0,0.0,0.0
1983-04-28,7.125,7.25,7.0,7.15625,959600.0,0.0,0.0
1983-04-29,7.21875,7.28125,7.125,7.21875,400800.0,0.0,0.0
1983-05-02,7.125,7.25,7.0,7.25,140400.0,0.0,0.0
1983-05-03,7.0,7.09375,6.9375,7.03125,214400.0,0.0,0.0
1983-05-04,7.15625,7.25,7.0625,7.125,188400.0,0.0,0.0
1983-05-05,7.125,7.15625,7.0625,7.0625,92800.0,0.0,0.0
1983-05-06,7.09375,7.46875,7.09375,7.4375,522800.0,0.0,0.0
1983-05-09,7.4375,7.46875,7.34375,7.4375,167600.0,0.0,0.0
